# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rutC//ttdB//
BirA_neg	glyA//ulaG//dhaK//lpd//cysC//
BluR_neg	
BolA_neg	chbF//mhpB//
BolA_pos	xdhB//yfdE//
BtsR_pos	deoD//
CRP_neg	paaY//ilvD//umuD//astA//mltF//astC//codA//napG//aroH//gcl//xdhC//fadJ//mhpE//allA//recB//carB//talA//patA//bcsB//entH//tadA//ynfH//cysE//pflB//sucC//ttdA//dhaK//dgcN//luxS//pck//cynS//sufS//prpC//metK//talA//amiA//mngB//rtcA//hyaA//xylB//sdhB//pdeL//frdB//cysG//prpE//rutD//pfkA//dapD//yeaE//phnL//cysJ//aceE//queA//metF//fbaB//purA//nanK//moaE//malS//frdB//sbcD//dhaM//patA//allC//torA//cysE//glgB//glgP//argD//entB//fadM//
CRP_pos	ppsA//fucU//cynS//dacC//caiD//cdd//dmsC//ribA//nrfC//pgaC//rutA//ampD//tktB//uxaC//manA//atoB//nagA//trmD//talA//trpE//paaC//glmS//ychF//hyaB//folE//puuA//adhE//ascB//treC//dgkA//paaC//ttdB//deoB//speA//napB//puuA//galK//glxK//allD//yqhD//frdB//gpmA//glpC//paaJ//allA//astA//entD//trpC//fumB//hycC//glxR//puuC//fumC//aroG//lpxD//purK//nfsA//fucI//pgi//apaH//purA//psd//uxaA//hcaB//hcaE//ppc//metL//psd//ilvI//galT//citD//serA//rffT//ravA//carB//sgbU//araB//bcsZ//ddlB//hcaE//bioB//araA//recF//fabD//malS//rffH//ybjG//phnG//bioD//gutQ//patZ//entC//nagB//alaS//wecC//sucB//xdhB//dsdA//allE//fucA//cadA//accD//pck//allC//glxK//nrdF//rffM//phnG//phnL//sdaA//uxuB//fumC//gltB//uxaC//mngB//aceA//citD//lysU//ynfG//gpmM//ccp//araA//fadJ//glcB//murF//paaJ//xapA//phnL//uxaC//chbG//araB//uxaC//nrdE//purE//amiA//iscS//ynfE//dgcC//ybjG//hchA//pgaD//rhaA//glmS//leuC//ttdB//lysC//pagP//yedX//dacC//araD//aldB//gabD//tdh//eda//murF//entH//glxR//cyaA//cysK//talA//mpaA//pnp//phnP//ruvA//gdhA//acnA//glmU//entH//dapB//xapA//malS//glgP//carB//astB//ulaG//gntK//glnA//mpaA//glmU//manA//allC//paaC//glcD//gor//hcaE//garK//icd//nrfC//ahpC//cysI//fdhF//rtcB//umpH//mhpF//phnM//rtcA//dmsA//alaS//ulaF//rtcB//carA//epd//citG//dkgA//moeA//entA//chbF//mhpE//pgi//gcd//moaE//metC//ygeA//umpH//ynfF//xdhA//fabZ//purE//paaH//paaJ//gdhA//wzb//phnH//dhaK//argG//cpdB//rhaA//fdhF//ynfH//kbl//lyxK//gcl//rhaD//hpt//cdd//hflX//leuA//mraY//recB//nanA//paaZ//dkgB//gltD//hmp//glpC//cysI//ycjG//pspE//rffT//
CadC_pos	aroA//eda//fes//
CaiF_pos	phnO//metL//chbF//entA//ackA//
Cbl_pos	napB//patA//paaY//fadB//garK//
CdaR_pos	nanA//citF//adiA//nrdF//gadB//acnA//fabA//epd//umuD//
CecR_neg	ulaF//
ChbR_neg	allC//frc//fbaA//
ChbR_pos	glmU//patZ//mltF//
ComR_neg	
CpxR_neg	fucA//argI//ampD//
CpxR_pos	rpiB//kbaY//lacA//xdhC//lyxK//argB//pncB//purN//manA//phnP//aspC//moeB//rutB//rhaB//fadA//mnmG//yfdE//astB//
Cra_neg	lldD//mhpE//thrS//zwf//cmoM//gabD//phnP//ugpQ//entF//idnD//fadE//dmsA//fadA//speC//hchA//glmS//prpB//ogt//metF//idnK//arsC//ttdA//rtcA//pyrC//pgaC//mdh//dkgB//pgpC//ftnA//fdhF//dsdA//cysI//preT//mhpD//gltD//uxuB//glyA//frdC//paaH//astD//fadA//idnK//lyxK//sucA//ilvB//
Cra_pos	pheT//fucO//luxS//paaF//epd//purH//argF//uvrC//argB//uvrA//hypF//sucA//ulaE//glgB//cysN//hcaE//gatD//
CreB_neg	nagB//
CreB_pos	bioF//
CsgD_neg	garR//aspC//
CsgD_pos	gabD//rbsD//frdC//
CsiR_neg	lysU//mhpD//sufS//deoD//
CspA_pos	gatD//
CueR_neg	speB//gabD//ahpF//
CueR_pos	ulaG//mhpB//
CusR_pos	phnO//ilvD//frdA//accA//
CynR_neg	
CynR_pos	asnB//sgbE//tam//
CysB_neg	narI//prs//hycC//
CysB_pos	cysD//ydcS//cadA//glcE//aroA//dapB//cheB//sdhA//cadA//iscS//gnd//sgbU//nrdF//speA//
CytR_neg	caiC//bioB//relA//metA//bglB//ldtB//hyaB//ftnA//mnmG//nadB//
DcuR_pos	gabT//glpX//bioD//uxaB//
DeoR_neg	trmA//rffG//tdcG//galM//ansB//gnd//
DhaR_neg	
DhaR_pos	caiD//
DicA_neg	
DinJ-YafQ_neg	aceB//
DnaA_neg	atoB//phnI//cysI//narG//wecB//
DnaA_pos	purM//ynfG//argE//
DpiA_neg	
DpiA_pos	galK//glgA//gatY//mraY//sgbU//
DsdC_neg	
DsdC_pos	preA//glpA//
EbgR_neg	
EnvR_neg	patD//fabG//
EnvY_pos	ulaD//poxB//
EvgA_pos	garK//fumA//lysU//gadB//lhgO//idnD//
ExuR_neg	amn//ilvN//glpE//deoD//aroA//hycF//
FNR_neg	astD//ada//citE//hycG//fbaB//caiC//aroA//tdcD//lysA//umuC//ribA//dmsC//hycC//rutE//atoB//allE//thrS//ttdA//rbsK//purD//adeD//wzc//dgkA//gcvP//pepD//pyrD//wrbA//hcp//napH//pheS//aceB//xylB//betA//lysU//atoA//dhaK//sdhA//prpE//psd//ampD//xdhC//ttdA//ppc//entC//
FNR_pos	ccp//glpB//paaB//citE//tehB//iscS//sgbH//paaY//adhE//glgA//chbF//glk//moeB//paaK//fumA//preT//alaS//pheS//ubiG//hemF//rutE//mpaA//deoB//leuC//preT//pgaD//glpQ//narG//appA//nrdB//ackA//aceA//malS//frdA//ssuE//cmoM//metK//napB//recB//rutB//gnd//fruK//ftsI//nirB//sdhB//fucO//ppc//fabI//fucO//cynS//allB//astE//prpC//fumC//pdeF//ftnA//rhaA//alaA//mltF//leuD//allD//ung//ulaG//phnH//cmoM//cysK//dapB//oxc//moaE//garR//nrdF//hycG//entF//aldA//rsmA//paaZ//kbaY//dhaL//folE//amiA//ruvA//hypB//argC//hyaB//gadA//murE//waaY//fumA//lyxK//guaB//idnO//frdC//amiA//fadE//murI//allB//
FabR_neg	kbaZ//caiD//rutA//
FadR_neg	murE//argC//wzc//tehB//moaE//cmoM//gltB//fucO//torC//
FadR_pos	gatZ//trpD//ilvC//glpX//hycG//hycF//dhaM//mngB//ftnA//narH//
FeaR_pos	hchA//gdhA//
FhlA_pos	gcvP//leuB//sbcC//ybjG//nemA//lyxK//rffM//dgcN//
Fis_neg	apaH//ccp//gltB//dhaL//uxaB//yeaG//nrdB//gatY//pagP//ilvG_1//lhgO//tadA//kbaZ//gcvH//garD//fbaA//fbaA//dapB//deoC//amn//fumB//hchA//fadI//ubiG//gcvP//purL//folA//phoA//rutD//fabB//garL//fruK//ynfH//carB//aspA//hyaA//adeD//betA//sucD//dsdA//chbG//metA//nirB//prpE//kbl//pdxA//
Fis_pos	amn//hyi//mhpA//ynfF//leuB//glgP//ynfG//phoA//pykF//dmsC//pgaD//dacC//nanM//rsmH//yeaE//araD//betA//mhpE//ydcS//yeaG//ldtC//sdhA//uidA//alaC//dkgA//paaB//mtlD//dinB//gpmM//folA//lpxD//ubiC//eno//tdh//napA//bioC//gabD//
FlhDC_neg	murI//metL//
FlhDC_pos	aceA//accD//nadB//waaH//ackA//glgB//fabH//ravA//fabA//sdhB//sodA//kbl//
FliZ_neg	cadA//chbG//glgA//phnG//aldA//
FucR_pos	treC//glgC//uidA//ravA//sdaA//truB//
Fur_neg	rbsD//mhpA//caiA//aroG//deoD//uxaC//frc//betB//agp//guaA//ndh//truB//xylA//galK//nrfC//xylB//ahpC//ilvE//araA//epd//ssuE//iscS//nfsA//gcvP//cysH//adeD//dgcZ//alaS//sufS//preT//dgcN//asnB//hcaC//lpxA//paaG//torA//gloA//gadB//puuA//trmA//paaH//adhE//argB//nagB//waaZ//xdhC//fabD//uidA//nfsA//xylA//queA//garR//pgaD//
Fur_pos	amiA//waaH//gpsA//eno//kbaY//guaA//wrbA//napA//garL//gloA//umpH//polB//cynS//tam//aceA//rimK//
GadE-RcsB_pos	pyrD//moaE//phnJ//yeaE//katG//
GadE_pos	fabH//dkgA//udp//fucU//purN//ssuE//glpB//glcB//leuA//hpt//
GadW_neg	cheR//nfsB//prmC//
GadW_pos	metC//mngB//hycB//aroF//
GadX_neg	acnB//cysK//
GadX_pos	uxaB//ubiG//yedX//metA//paaZ//entB//phnM//mhpB//entB//slt//gdhA//
GalR_neg	tdcB//icd//fadE//hycC//ruvB//malZ//
GalR_pos	avtA//kbaY//nfsA//sdhC//
GalS_neg	phoA//nrdB//yedX//sgbH//dmsB//astC//
GalS_pos	acnA//moaD//paaA//rffH//
GatR_neg	srlD//kbaY//katE//
GcvA_neg	glpA//hyaB//ybjG//
GcvA_pos	gltA//hemF//ruvA//
GlcC_neg	
GlcC_pos	asnA//paaF//narH//
GlpR_neg	galM//narI//gloA//puuE//dusB//ubiC//alaS//
GlrR_pos	
GntR_neg	metE//rbsK//fadB//caiC//idnD//alaA//ilvI//fbaB//fumC//
GutM_pos	ygeA//trpC//ppsA//
H-NS_neg	gnd//purN//frdB//chbG//folE//dgcC//nrdA//avtA//argD//bioD//aceE//rsmH//fumB//hcaD//hyi//pflB//uxaA//purC//phnJ//cueO//galE//bioA//lpxD//ycjG//glyA//glpB//yiaK//yiaK//aroF//astC//truB//rutD//rffG//nrdB//aroH//argD//mltF//fabZ//mazG//aroL//fabG//aceA//trmA//glsA//aldB//eno//rffT//gltX//cheR//sucC//astE//
H-NS_pos	mhpD//rfe//leuA//treC//glgA//garL//caiD//ygeA//galE//nirB//accD//xdhB//mazG//murI//allE//
HU_neg	fabA//dhaM//fucO//nirD//bioD//ribA//tadA//
HU_pos	
HcaR_neg	
HcaR_pos	lsrF//pagP//
HdfR_neg	
HdfR_pos	
HigA_neg	nadB//
HigB-HigA_neg	cynS//
HipAB_neg	lpd//fbaA//
HipB_neg	purN//lhgO//ilvI//
HprR_neg	glsA//dsdA//
HprR_pos	betB//katE//
HyfR_pos	ddlB//
HypT_neg	gatY//allA//
HypT_pos	tktB//cysC//nrfC//ccp//recD//
IHF_neg	nrdA//chbF//glpD//metB//umuC//cysM//hycG//pdeL//glcB//purE//pdxA//purM//lysC//nrfC//dmsB//alaA//dadX//dacC//mltF//sbcC//glpA//dhaM//ackA//preA//narI//allB//mhpB//aroG//alaS//deoA//phnI//cysI//ampC//ampC//pgaB//mpl//uxuB//mnmG//ttdB//bacA//pspE//putA//ldtD//
IHF_pos	hycF//rffG//zwf//mazG//rbsD//amiA//glgB//rpiB//metB//hycB//bacA//citE//fes//rffT//nfsB//lyxK//rhaA//bioF//aldA//mnmG//guaA//lpd//aceA//dgcN//lpxC//ahpF//sdaA//nagB//hchA//cysE//astC//ulaG//ada//hyaC//phnH//dgkA//hflX//acs//paaH//aceE//lpxC//bglB//hcp//rtcB//glcF//gltB//tdcE//avtA//ychF//nfsA//glpQ//apaH//dgcN//fumB//paaI//purC//moeB//recB//lpxC//ulaF//hemH//speB//entD//ydcS//srkA//pdeR//sucA//fadA//lsrF//gcl//fbaA//
IclR_neg	ldtC//sucD//trpD//
IdnR_neg	cysE//sdhC//
IdnR_pos	malZ//yedX//asnA//purC//
IlvY_neg	
IlvY_pos	yedX//
IscR_neg	garK//ldtB//frdB//idnK//rffG//dgkA//
IscR_pos	ugpQ//ulaG//
KdgR_neg	mngB//hemA//
KdpE_pos	entF//
LacI_neg	nrdB//katG//dsdA//
LeuO_neg	
LeuO_pos	malP//deoB//galM//argH//patA//asnB//
LexA_neg	fbaB//cysD//katE//hcp//fadI//mnmG//aroA//gabD//prpD//paaE//pdeH//pgaB//tdcB//pheT//nrfC//uidA//glxK//glgP//moaA//gatD//katG//gpmM//yedX//
LldR_neg	lpxC//glpK//
LldR_pos	ilvB//dgkA//
LrhA_neg	
LrhA_pos	
Lrp_neg	gltA//ada//deoD//aceF//glyA//trpC//pgk//umuC//fabG//pgi//srlD//ruvB//icd//ruvB//talA//rsmH//fabA//glk//tdcE//citX//phnG//hycD//adhE//
Lrp_pos	glgX//apaH//sodB//gadA//cueO//fucO//ruvA//mpl//add//leuD//adiA//dgkA//caiA//polB//fucK//trmA//atoA//amn//speB//glnA//
LsrR_neg	phnN//alkA//phnN//hycC//trpC//
LysR_neg	
LysR_pos	alaC//
MalI_neg	argG//ahpC//
MalT_pos	lysA//entC//deoA//glxR//rutA//citX//
MarA_neg	kbaY//
MarA_pos	entF//hmp//recD//ahpC//dacC//garK//umuD//gcvP//rhaD//lpxA//tyrB//tadA//pncB//lyxK//umuC//pgaB//tauD//paaH//metK//nanE//glgX//paaG//garL//
MarR_neg	
MatA_neg	fabZ//
MatA_pos	
MazE-MazF_neg	metF//
MazE_neg	umuD//
McbR_neg	
McbR_pos	
MelR_neg	purK//murI//
MelR_pos	mhpC//fumC//
MetJ_neg	asnB//purB//dgcC//tdcD//ung//bglB//glpB//phnI//wzc//gatZ//
MetR_neg	lyxK//
MetR_pos	ttdB//ulaF//hycE//moaE//
MhpR_pos	argG//dacC//hyaC//nanM//bacA//malZ//
Mlc_neg	alkA//fbaB//zwf//bglB//
MlrA_pos	metA//
MngR_neg	fadJ//bglB//
MntR_neg	ubiX//
MntR_pos	fadI//
ModE_neg	fbaA//malP//uxuA//ulaD//pheS//paaH//ilvB//idnD//
ModE_pos	nrfC//narG//glcD//entA//truB//fadM//feaB//glcD//gutQ//
MprA_neg	cheB//purF//bglB//
MqsA_neg	speA//garD//
MraZ_neg	phnP//allC//nadB//nagA//bioD//purK//cueO//entA//galM//uidA//
MurR_neg	alsE//aroH//wecE//
MurR_pos	
Nac_neg	trpA//murD//pheS//
Nac_pos	pyrC//polB//mhpE//murI//hflX//xapA//gpmM//zwf//
NadR_neg	ssuE//ampD//dgcN//uvrC//
NagC_neg	dhaK//araB//argG//frdA//kbl//ravA//bcsZ//sdhB//cheR//rnpB//ada//pnp//xylA//ilvB//ascB//hypF//phoA//rsmH//
NagC_pos	yiaK//idnD//
NanR_neg	nadC//cynS//moaA//nrdE//glgA//ilvH//
NanR_pos	
NarL_neg	carB//ilvC//napH//paaJ//purA//mdh//glgP//bacA//gadB//mdh//pdeL//serC//ulaE//rhaB//aceF//entH//metA//napH//tdcB//ilvA//dgkA//gcvP//pagP//ruvA//psd//phnN//garR//aroF//
NarL_pos	amn//gpsA//srlD//mpl//nrfA//ugpQ//hflX//nagA//gatY//glk//pdeF//hemF//phnJ//hemF//umuD//
NarP_neg	purF//xdhB//eno//rutB//nrfA//
NarP_pos	ruvA//gatZ//cynT//sodA//ackA//aspC//umuD//asnA//patZ//ldtC//rffC//nadA//gadA//glmS//
NemR_neg	cadA//nrdE//
NhaR_pos	idnK//trpB//ynfE//rhaB//murI//
NikR_neg	argE//
NimR_neg	trpE//
NorR_neg	
NorR_pos	sbcC//
NrdR_neg	ilvD//folE//gudD//wzc//
NsrR_neg	chbG//entF//hcaD//fucK//glgC//phnJ//prpC//paaB//sgbH//torC//rffM//apaH//ugpQ//dadX//yeaG//dmsB//astA//uvrB//pagP//avtA//pgk//murC//moaA//ftnA//tnaA//preA//nfsA//argC//trpB//ravA//astD//ddlB//ppiA//uxaA//tynA//epd//fabZ//sucA//gudD//purM//
NtrC_neg	nanK//fadD//
NtrC_pos	pdeH//glmU//mhpA//tauD//dadA//poxB//poxB//ilvC//ahpC//sdhA//gltB//uxuA//paaJ//lpxC//fadM//uvrC//argA//sdaA//gapA//wecE//malS//
OmpR_neg	pyrC//hcaF//ulaG//dhaM//trmD//
OmpR_pos	fumB//waaZ//tyrA//rffG//
OxyR_neg	paaJ//alkB//cyoE//fadD//psd//
OxyR_pos	paaZ//fabB//dadX//pspE//fes//caiB//lysU//lpxC//patA//uxaC//grxA//pdeR//
PaaX_neg	ansB//tdcD//cynS//rutB//pgaC//nrfC//uxaC//gatY//mhpB//
PdeL_pos	ilvN//
PdhR_neg	udp//glpC//yedX//pgaD//metF//queA//oxc//ynfF//appA//glpX//paaK//ydcS//fadI//cysD//feaB//fucU//argH//ulaG//asnB//glsA//phnP//adhE//fabZ//
PdhR_pos	ulaD//fadM//
PepA_neg	lysA//epd//
PgrR_neg	galT//gcvH//
PhoB_neg	paaZ//polA//ampC//metL//garL//
PhoB_pos	entH//dhaL//glpX//iscS//rfe//fadB//glxK//umuD//acnB//narI//metK//fbaB//narI//ppc//umpH//hycB//metC//
PhoP_neg	cpdB//cysI//citC//
PhoP_pos	gatD//cheR//alaS//lpd//putA//metA//mhpF//pheS//tdcE//astE//rutC//rtcB//cueO//paaE//citE//xdhC//citX//alaA//katG//tpiA//murQ//glpK//glxK//glpX//cysJ//ascB//hyaB//pagP//hcaC//hemF//alaC//
PrpR_neg	
PrpR_pos	pdeR//dmsC//guaA//alaC//
PspF_neg	
PspF_pos	gatD//
PurR_neg	ssuE//pykF//puuC//serC//speC//hycC//phnO//tdcE//tadA//murQ//katG//preT//waaY//chiA//astC//xylB//purM//rbsK//allB//gltA//araB//phr//yedX//phnI//ilvI//lysU//
PutA_neg	ttdB//moaC//
PuuR_neg	sodA//aroF//rbsK//paaH//sucB//nirD//
QseB_neg	
QseB_pos	
RbsR_neg	prpE//frdD//araD//fabG//katG//
RbsR_pos	hemH//
RcdA_neg	
RcdA_pos	moaA//
RclR_pos	
RcnR_neg	pgi//
RcsAB_neg	metB//
RcsAB_pos	lsrF//gatY//
RcsB-BglJ_pos	oxc//chbF//
RcsB_neg	speA//
RcsB_pos	hyaB//ychF//fadD//
RelB-RelE_neg	preT//
RelB_neg	waaY//
RhaR_pos	
RhaS_pos	carA//uidA//prs//hypB//
Rob_neg	
Rob_pos	fabB//lpxD//yqhD//garK//sdhB//gdhA//idnO//metA//cysJ//dadX//aroL//pykF//adhE//dgcN//pncB//sgbE//hyaA//murC//gcd//
RstA_neg	narH//pdeH//
RstA_pos	queA//
RtcR_pos	fabD//phoA//
RutR_neg	fumC//speC//chiA//pgaC//torC//entB//fabH//nfsB//icd//folA//
RutR_pos	sdhD//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadM//
SgrR_pos	gpsA//gatZ//
SlyA_neg	
SlyA_pos	garR//atoB//citG//ravA//galT//fadD//dgcZ//gcl//cueO//
SoxR_neg	
SoxR_pos	kbaZ//
SoxS_neg	
SoxS_pos	nanM//guaA//argD//queA//polB//hpt//ssuD//paaG//ilvI//ugpQ//pgi//glmS//gabT//hchA//serA//umpH//gcvT//paaG//hypB//uxaC//yqhD//nanA//cdd//cysI//glgX//acnA//
SrlR_neg	entE//astC//citG//
StpA_neg	yeaE//lacZ//murC//
SutR_neg	moaA//sdhC//
SutR_pos	
TdcA_pos	edd//paaA//hyaC//metE//rfe//
TdcR_pos	lysC//rffT//puuB//pgpC//gloA//
TorR_neg	alaS//
TorR_pos	aspA//fadM//thrS//accC//
TreR_neg	yeaG//glgA//
TrpR_neg	rhaA//xdhC//bioD//malP//fabD//psd//hycF//metC//katE//
TtdR_pos	hycG//tktB//
TyrR_neg	guaA//fumC//alkB//deoB//dgkA//wzc//eno//
TyrR_pos	bioD//ampC//garD//
UhpA_pos	thrS//
UidR_neg	lacA//purK//
UlaR_neg	puuC//moaD//nrfA//yeaE//pdeF//
UvrY_pos	alaC//icd//
UxuR_neg	uvrB//citF//fadH//preA//tdcD//
XapR_pos	pgaD//gadA//
XylR_neg	
XylR_pos	mraY//gcl//paaF//
YdeO_neg	
YdeO_pos	prmC//pgk//ubiG//
YefM-YoeB_neg	kbaY//
YefM_neg	asnB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	hemH//tdcG//dhaK//cysH//paaC//pgaD//
YjjQ_neg	pgaC//lsrF//
YpdB_pos	
YqhC_pos	deoC//nadA//
YqjI_neg	paaA//
ZntR_pos	bioA//
ZraR_pos	
Zur_neg	aceF//
