# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfG//bioC//
CRP_neg	uxuB//hcp//gcvH//rhaA//ilvI//nirB//ulaE//caiD//narI//moeB//pck//argF//citD//metC//rbsD//ilvA//pspE//paaI//hemH//hycC//fdhF//acnA//paaZ//ndh//glpQ//sdhB//fabD//dhaK//phnO//recB//fucA//fbaA//citE//hmp//trpE//folA//dgcN//accC//cheB//ftnA//gpmM//alkA//glpB//moeB//mhpC//leuB//ynfF//hycC//metL//astB//epd//trpB//trmD//fucU//cysK//lpxC//pyrC//nirD//udp//rffH//hyi//cmoM//astE//galM//puuC//aceA//polA//xdhA//malP//napA//cyaA//
CRP_pos	mhpF//lysU//garK//dadX//pykF//gudD//purE//gloA//uidA//slt//nfsB//moeB//glpA//glpC//paaB//katE//eno//serC//ilvM//purL//nrfD//phr//hemF//puuE//argD//hycE//yqhD//mngB//aroH//aroL//aspC//dadA//aroG//allC//metF//ynfH//hyaB//serC//pgi//tktB//nanE//srlD//recD//entE//pagP//chiA//fabI//argF//phnO//speA//ubiA//ogt//guaA//ampC//napA//ilvB//mhpB//hycE//mhpB//cheR//dmsB//rpiB//folE//hycB//cyoE//ubiX//fucO//ahpF//cysN//fabZ//fes//cysH//phnO//hemH//ravA//paaC//bcsB//dkgB//glcB//ybjG//garK//caiD//glgP//malY//astD//ynfE//entA//astC//rutD//gabD//rnpB//hyaA//cueO//eda//leuB//recB//fadA//caiD//rsmA//pck//upp//idnD//ilvB//paaI//folE//amiA//atoD//ndh//pyrD//mpl//leuB//asnB//puuC//lpxC//waaY//polA//galT//wzc//waaZ//srlD//nagB//citD//gudD//dhaK//patD//nemA//xapA//paaB//hypB//fucK//mraY//rsmH//ugpQ//ynfH//pncB//fau//rffH//udp//mhpE//rtcA//oxc//cdd//yeaE//pgm//serA//ulaE//cysI//bioB//pdxA//rffH//napB//gatD//fes//ahpC//yedX//rtcA//sucD//lsrK//accD//accA//cmoM//idnO//pdxA//entD//rbsD//fau//avtA//moeB//paaC//ydcS//astA//fabI//paaG//acnA//lldD//cheB//frdA//ndh//lysA//caiA//upp//lsrF//allC//araB//gcvH//gnd//bioB//wzb//pnp//add//ulaG//edd//fucU//fadJ//garL//citX//ilvD//uxaA//aroA//aldA//arsC//prmC//rtcB//ilvG_1//phoA//entA//ruvB//cysE//gatY//ssuE//uxuB//ilvI//araA//ascB//mdh//udp//mpaA//moaA//pykF//rutE//sdhA//ulaG//sodA//pck//accA//pgk//pgaD//uvrB//melA//rutC//ascB//purL//rffT//hycG//wzb//ynfF//pspE//aspC//ubiX//argE//phnL//purM//moaC//glgA//dkgA//glxK//mpaA//deoD//adiA//
CadC_pos	rutB//hyaA//aceE//
CaiF_pos	uxaC//entC//mhpF//hflX//araB//
Cbl_pos	pykF//galE//icd//aroF//gapA//
CdaR_pos	astE//mhpD//malY//ruvB//gatY//carB//argA//tyrB//fabI//
CecR_neg	pgk//
ChbR_neg	srlD//glxK//nrdD//
ChbR_pos	alsE//sdhA//paaF//
ComR_neg	
CpxR_neg	nirD//rffM//tyrB//
CpxR_pos	lysC//lhgO//aceA//glgP//glpA//ldtD//rhaA//allE//aroL//tam//ssuD//metL//sbcC//paaB//cysM//folA//upp//rffT//
Cra_neg	pgaC//yfdE//entA//astA//frdC//kbaZ//glgA//accC//bioC//phnN//manA//ilvG_1//ynfH//ulaE//dinB//phnL//ynfG//purC//nanK//fucI//murC//dapD//entA//pyrD//tdcD//waaY//uxaB//phnP//poxB//uxuB//entD//dgcC//astD//nrfC//moaD//hycE//bglB//cysH//tehB//mhpB//fucO//nrdB//atoA//aroG//rfe//
Cra_pos	lpxD//dapD//garL//hcp//ldtC//puuC//ssuD//dgcZ//ackA//ampC//adeD//narI//rimK//yqjH//dmsB//ynfG//ldtD//
CreB_neg	aroH//
CreB_pos	dhaK//
CsgD_neg	galK//aldA//
CsgD_pos	ilvN//gcvP//astA//
CsiR_neg	fbaA//recF//pepD//recF//
CspA_pos	phnP//
CueR_neg	murF//argC//fau//
CueR_pos	wzc//dapB//
CusR_pos	upp//nemA//pgaB//ulaE//
CynR_neg	
CynR_pos	tktB//uxaC//nrdF//
CysB_neg	fumC//entE//entE//
CysB_pos	ppsA//ccp//fadM//mazG//bioC//nanA//yeaE//yiaK//gabD//hypB//accC//sgbU//trmA//purL//
CytR_neg	acnA//gudD//sgbE//moeB//mhpB//deoA//rhaD//paaB//frdC//tpiA//
DcuR_pos	adeD//folE//sbcC//ynfG//
DeoR_neg	glyA//argG//galT//gatZ//malZ//frdC//
DhaR_neg	
DhaR_pos	hyaA//
DicA_neg	
DinJ-YafQ_neg	ldtB//
DnaA_neg	fadE//malS//bcsB//glcD//ascB//
DnaA_pos	sufS//zwf//dapB//
DpiA_neg	
DpiA_pos	chbF//glpE//aceF//nagA//murF//
DsdC_neg	
DsdC_pos	hflX//truB//
EbgR_neg	
EnvR_neg	xapA//rffG//
EnvY_pos	fumC//bcsB//
EvgA_pos	trpD//frc//glpC//cysN//wecC//glpX//
ExuR_neg	glsA//tdcE//sodA//fadB//fadM//paaY//
FNR_neg	nfsA//torA//astB//xdhA//lacA//melA//lhgO//edd//nrfD//ssuD//metC//purC//ynfF//purD//murD//gcvT//ubiA//astA//rhaD//cyaA//ccp//psd//tam//gadA//narG//ulaG//speC//xapA//cueO//gdhA//cysD//purC//patZ//tdcD//serC//purN//pgpC//glcF//puuB//garR//ppsA//iscS//mhpC//patD//
FNR_pos	pnp//dkgB//nanE//glcD//phnG//caiA//yeaE//fadH//citX//recB//fabB//trpE//entF//hycB//trpC//glxK//astE//waaY//pgpC//luxS//pspE//bacA//waaH//pykF//ynfF//deoD//rtcA//glgC//ilvC//moaD//fadB//hycC//sbcD//lacA//alaS//galE//guaA//metH//ychF//frc//cysM//ulaG//melA//srlD//ilvE//carB//nfsB//gor//ampC//appA//metK//ampC//adhE//ppsA//ilvE//rhaD//moaD//malP//katG//frc//pncB//deoD//fucA//polB//glcF//purH//fucU//napH//ampC//rfe//dkgB//nrdB//tdcB//dmsB//hycE//treC//yeaE//rpiB//malZ//citD//napA//tdh//hypB//pflB//ydcS//trmA//recB//hemL//allA//dkgA//sucC//tauD//ascB//ahpC//gor//frdA//
FabR_neg	argF//kbaY//sbcD//
FadR_neg	fucO//umuC//argB//alaA//rnpB//ppc//amn//ftnA//garL//
FadR_pos	leuD//tdcE//hemA//fabA//cdd//frdC//hchA//argE//alkA//fbaA//
FeaR_pos	uxaB//fadI//
FhlA_pos	yedX//nirD//feaB//murD//speC//puuE//fabZ//tdh//
Fis_neg	phnJ//sdaA//nrdD//rffC//waaY//prpD//acnA//talA//glpC//add//sucA//ubiA//trpB//fruK//tnaA//sdhC//ada//torC//yqjH//glsA//mhpC//glxR//pdeF//mltF//rbsD//deoC//cysI//betB//pgi//malZ//trpC//ldtD//uvrC//chiA//hycD//fucK//eda//cdd//glgC//leuC//phnJ//glpX//aldB//aroF//ubiX//frc//
Fis_pos	metB//cueO//cyoE//paaJ//ynfG//glmS//phr//puuA//edd//ssuE//sbcD//citX//dhaM//tdcB//carB//dmsA//ilvB//lysC//srkA//ybjG//sucB//gabD//yqjH//tadA//hchA//xdhA//citX//metH//moeB//caiB//purD//ampD//lsrK//rimK//dhaM//ftnA//garD//
FlhDC_neg	fabA//gadA//
FlhDC_pos	eda//ycjG//xdhB//mhpA//waaY//argH//gcd//tyrA//entB//metK//mdh//fucU//
FliZ_neg	queA//paaY//polB//lacZ//sufS//
FucR_pos	tpiA//sucA//alkB//glgP//galK//paaB//
Fur_neg	gdhA//accC//fadH//bioB//trpA//cysN//nfsA//tyrA//ppsA//hemL//ilvC//ttdB//bioB//caiC//cysM//argG//wecE//purD//poxB//rutD//gpsA//hycC//paaA//frc//amn//guaB//glgB//murF//tdh//sgbU//aldB//caiD//dadA//xdhA//narG//citC//araA//metC//nadC//dgcC//purH//trpB//glnA//galM//metC//patD//sucB//luxS//mhpB//cysG//guaA//ulaG//hycE//
Fur_pos	pykF//acs//cynS//mazG//trpE//wecB//aldB//purF//prpB//aspA//entC//atoA//ftnA//mhpD//yqjH//pdxA//
GadE-RcsB_pos	paaK//uxaA//dgcZ//serA//garL//
GadE_pos	bacA//rsmH//rutE//nrfA//leuD//hemF//glpC//folE//rutC//alkB//
GadW_neg	pheS//iscS//allD//
GadW_pos	leuC//paaZ//nagB//psd//
GadX_neg	metA//lysU//
GadX_pos	dsdA//poxB//pgaD//paaA//xapA//pgi//glcF//purE//wecE//glnA//hycG//
GalR_neg	nanA//cysG//dacC//rffM//ubiA//argE//
GalR_pos	fumB//phr//ppsA//araA//
GalS_neg	purE//citG//gltX//ilvI//glmU//aroA//
GalS_pos	pyrD//nanE//phnL//prmC//
GatR_neg	hcaB//rffG//prmC//
GcvA_neg	lysU//trpD//alkA//
GcvA_pos	serA//alaS//torC//
GlcC_neg	
GlcC_pos	udp//dgcC//gadB//
GlpR_neg	ynfE//zwf//rutD//zwf//ldtB//pheS//metL//
GlrR_pos	
GntR_neg	glsA//hemH//metF//dhaK//entE//codA//argC//nanM//mtlD//
GutM_pos	hycE//sodA//glpA//
H-NS_neg	cmoM//adiA//sgbH//glcF//glpB//prpE//nemA//aldA//ppiA//argF//malS//rtcB//phnM//glpC//cdd//paaI//pepD//argH//adhE//rimK//puuC//patD//pgaC//dhaM//lsrF//cheB//fadA//napA//rhaB//srlD//gor//purF//sdhB//lysC//pnp//ychF//luxS//aspA//allE//pncB//paaK//murC//preT//sbcC//frdC//bioD//araD//gpmM//sucA//cueO//ldtD//
H-NS_pos	aldB//cmoM//mdh//fadE//arsC//pdeR//ansB//ynfH//hemA//waaH//argA//serC//srlD//pgm//bcsB//
HU_neg	hypB//murD//tdcG//hmp//argA//galM//nrdB//
HU_pos	
HcaR_neg	
HcaR_pos	fadH//polB//
HdfR_neg	
HdfR_pos	
HigA_neg	leuB//
HigB-HigA_neg	cyaA//
HipAB_neg	rbsK//ddlB//
HipB_neg	araA//umuD//hycC//
HprR_neg	rtcB//uvrC//
HprR_pos	tyrA//xylA//
HyfR_pos	rhaD//
HypT_neg	hyi//glyA//
HypT_pos	sdhB//ilvN//ung//entH//ilvA//
IHF_neg	caiB//polB//bioD//uvrB//ilvN//nrfA//dmsB//frdD//sucA//ssuD//argD//gcvP//pdeL//bcsZ//nagA//fucK//ynfG//tdcD//nrdD//slt//uxaC//araB//glxK//dapB//aroF//phnL//phnL//purC//talA//gpmM//prpC//nirD//ynfF//cheB//uvrC//fadD//glxK//ilvH//nemA//glpK//iscS//ppiA//treC//
IHF_pos	xdhB//leuB//tdcB//adhE//ada//allB//ulaE//aroF//aceB//sgbU//hcaF//ydcS//cyaA//tktB//uxaB//gpmM//trpA//pgaB//garK//phoA//gadB//dmsC//pyrC//purA//malQ//dgcN//dmsB//ldtB//polA//cheB//phnJ//fabZ//feaB//cdd//paaZ//yedX//wzb//purL//paaJ//argB//hmp//rtcA//tam//garR//cysE//mhpB//nrdF//glxK//ilvE//cysH//dkgA//glxR//patD//tdcD//sdhC//ravA//purD//hyaC//hycB//prmC//ilvE//nfsB//polA//ynfF//uidA//pdeR//caiB//ugpQ//wzc//dapB//icd//
IclR_neg	ahpF//prs//umuD//
IdnR_neg	gpsA//hyaA//
IdnR_pos	astB//paaH//nadC//fadH//
IlvY_neg	
IlvY_pos	aldA//
IscR_neg	allE//purM//ugpQ//ccp//glmU//upp//
IscR_pos	pdeH//rpiB//
KdgR_neg	eda//caiD//
KdpE_pos	fdhF//
LacI_neg	idnO//paaZ//tauD//
LeuO_neg	
LeuO_pos	nfsB//cysC//lacZ//idnO//talA//ybjG//
LexA_neg	upp//phnM//lyxK//mhpF//caiD//adiA//ldtD//lsrF//glcB//glgC//deoA//gpmA//paaC//fumB//cheB//atoB//ssuE//dusB//argI//gpmA//metL//ung//chbG//
LldR_neg	hyaB//add//
LldR_pos	paaA//ldtC//
LrhA_neg	
LrhA_pos	
Lrp_neg	nirD//nanM//wrbA//aroG//srkA//ubiC//nrdE//carA//rbsK//betA//cheR//murQ//ldtD//preA//glpQ//pyrD//glgP//tauD//dkgB//acs//pyrC//phnN//dgcZ//
Lrp_pos	aldB//fadH//accD//argI//alkA//glyA//paaC//cyoE//hypF//fucK//fucO//murF//pncB//citG//hyaA//citC//citC//entE//melA//idnO//
LsrR_neg	argE//fumC//zwf//pdxA//hcaE//
LysR_neg	
LysR_pos	treC//
MalI_neg	wzb//atoB//
MalT_pos	adiA//citF//moaA//umpH//paaI//bioF//
MarA_neg	appA//
MarA_pos	gdhA//aldA//pgk//ulaE//ndh//ascB//tktB//leuD//uvrA//gpsA//nagB//caiC//hemF//pnp//sucA//ttdB//uvrA//glgX//araA//fau//gatZ//speC//phr//
MarR_neg	
MatA_neg	araA//
MatA_pos	
MazE-MazF_neg	katE//
MazE_neg	hemA//
McbR_neg	
McbR_pos	
MelR_neg	leuA//aroF//
MelR_pos	lhgO//bcsZ//
MetJ_neg	trmA//mnmG//paaY//frdA//uxaB//talA//katG//deoB//accD//mdh//
MetR_neg	idnK//
MetR_pos	rfe//pheT//deoD//cdd//
MhpR_pos	hypF//pdeF//yiaK//hcaF//aldA//allE//
Mlc_neg	queA//nirD//fabH//ampC//
MlrA_pos	argG//
MngR_neg	hycF//paaY//
MntR_neg	serA//
MntR_pos	fbaB//
ModE_neg	bacA//frdB//tehB//ssuD//purH//rbsD//cadA//purB//
ModE_pos	grxA//patD//acnA//acs//nrfA//lpxC//argA//nrfD//aroH//
MprA_neg	fes//purF//fucK//
MqsA_neg	tdcE//narG//
MraZ_neg	rsmH//allA//ung//hycC//paaK//mhpF//ynfF//arsC//trpB//aroF//
MurR_neg	fdhF//mngB//mpl//
MurR_pos	
Nac_neg	ulaD//speB//murD//
Nac_pos	phr//ogt//cadA//mhpF//citC//serC//sbcD//phnM//
NadR_neg	rpiB//trmA//glpC//rutE//
NagC_neg	murF//rbsD//pdxA//napH//dgcN//entE//patD//rfe//ssuE//hemL//ackA//katG//glpE//mhpA//asnB//purB//murE//purN//
NagC_pos	wecE//ruvB//
NanR_neg	puuB//ppiA//bioF//ssuE//rffT//adiA//
NanR_pos	
NarL_neg	serA//recB//kbaZ//phnL//malS//ilvD//metK//pdeR//katE//gntK//rutE//putA//cysG//idnO//gpmA//paaI//feaB//uxaB//argD//codA//fadJ//epd//wecB//fbaB//lpxA//glgX//fadH//alkB//
NarL_pos	gor//garR//gabT//yqhD//nrdF//slt//purE//glxK//alkA//ubiA//pdeF//rfe//katG//mdh//trpE//
NarP_neg	phnM//citX//atoB//ppsA//nrdA//
NarP_pos	trpE//gatY//ssuE//pyrD//astA//paaI//entA//nrdD//lpxD//dkgB//nrdA//nanK//glgC//ubiA//
NemR_neg	idnK//ldtC//
NhaR_pos	fadE//appA//rtcA//ilvE//rhaA//
NikR_neg	phnJ//
NimR_neg	moaE//
NorR_neg	
NorR_pos	fumB//
NrdR_neg	umuD//metA//pgaD//hypF//
NsrR_neg	moaE//feaB//hcaE//napG//ldtD//ynfH//garK//hcaE//dmsB//lacZ//ribA//paaE//edd//ung//cmoM//adeD//waaZ//speA//lsrG//paaF//treC//poxB//ldtB//pgm//sdhD//hpt//cynS//fabH//yfdE//paaE//phnN//hypB//aroA//bioF//mpl//tam//sucA//entE//putA//poxB//
NtrC_neg	nadC//agp//
NtrC_pos	ddlB//gatD//sucA//metH//rutA//putA//rnpB//garD//sucC//mtlD//gudD//fabH//paaZ//fabI//bioA//astD//idnD//gor//feaB//wecC//prmC//
OmpR_neg	ychF//hemF//fadM//nrdF//glpA//
OmpR_pos	ubiX//hycC//phnO//fucI//
OxyR_neg	entB//dhaM//agp//rbsD//cysN//
OxyR_pos	ulaE//recF//alkB//cadA//patA//hyaA//purL//fruK//acs//wrbA//fabI//accD//
PaaX_neg	metK//metL//wzc//hycF//aceB//glcD//astA//allA//xylB//
PdeL_pos	gatY//
PdhR_neg	pncB//glpC//prpC//serC//ubiA//aceF//hypB//gadA//trmD//prpC//murI//ychF//oxc//mhpE//mraY//frc//sucB//glpQ//glgB//umpH//astC//dkgB//citG//
PdhR_pos	idnD//cyoE//
PepA_neg	hyaA//fruK//
PgrR_neg	cynS//murQ//
PhoB_neg	sodB//gabT//paaC//patD//nrdB//
PhoB_pos	phnL//allB//tnaA//hemA//uxaA//ilvH//deoA//waaZ//grxA//polA//malQ//ilvC//puuA//bcsB//nrfA//sucC//gudD//
PhoP_neg	pncB//cheR//wecB//
PhoP_pos	fabB//lpxD//glcE//tdcB//paaB//nrdD//gdhA//paaF//hcaC//paaZ//phoA//garD//glgA//aroF//prpD//rutD//gutQ//alsE//dkgA//dmsC//idnD//lysC//uxaB//ssuE//yeaE//cheR//tpiA//ruvB//lpxD//hycE//srlD//
PrpR_neg	
PrpR_pos	relA//udp//moeA//ndh//
PspF_neg	
PspF_pos	patZ//
PurR_neg	tam//iscS//rutD//fadD//trmA//ycjG//fbaA//citG//ppc//accD//lpxC//moaE//fumA//polA//feaB//ascB//dusB//garD//mltF//rutD//malP//sdhC//nrdA//citE//phnG//atoA//
PutA_neg	garL//cysM//
PuuR_neg	bioA//trpE//betB//katG//tynA//ddlB//
QseB_neg	
QseB_pos	
RbsR_neg	carB//araB//glcB//fucI//ilvM//
RbsR_pos	rutD//
RcdA_neg	
RcdA_pos	queA//
RclR_pos	
RcnR_neg	bioA//
RcsAB_neg	argA//
RcsAB_pos	paaZ//glgP//
RcsB-BglJ_pos	ccp//uxaB//
RcsB_neg	poxB//
RcsB_pos	tadA//entB//yqjH//
RelB-RelE_neg	lldD//
RelB_neg	uxaB//
RhaR_pos	
RhaS_pos	glgC//pdeL//gltD//alsE//
Rob_neg	
Rob_pos	sufS//glxR//ldtC//glcE//glpX//lsrK//nagB//metC//fadM//rsmH//hyi//ugpQ//fabI//garL//leuA//patZ//fumB//umuD//ogt//
RstA_neg	preT//udp//
RstA_pos	ynfH//
RtcR_pos	caiC//gatD//
RutR_neg	guaB//paaY//uxuB//fucA//citC//umuC//icd//paaY//rffT//murG//
RutR_pos	adeD//
SdiA_neg	
SdiA_pos	
SgrR_neg	aroH//
SgrR_pos	uxuA//fadH//
SlyA_neg	
SlyA_pos	araA//add//glpD//moaD//fabG//xdhC//ldtD//glgA//citC//
SoxR_neg	
SoxR_pos	hmp//
SoxS_neg	
SoxS_pos	speC//acs//dapB//codA//cueO//idnD//aceB//entB//aspC//pncB//nrdB//mhpF//narG//sgbE//napG//fucK//yfdE//phnL//putA//gcvH//zwf//gltB//ldtB//ppsA//ulaE//fabB//
SrlR_neg	pyrD//ackA//accA//
StpA_neg	tnaA//sdhD//ybjG//
SutR_neg	avtA//glgX//
SutR_pos	
TdcA_pos	allA//cysM//paaA//pyrC//fucK//
TdcR_pos	purF//narG//dkgA//metC//citD//
TorR_neg	moaA//
TorR_pos	avtA//dkgA//mhpC//tnaA//
TreR_neg	pgm//ttdB//
TrpR_neg	yeaE//kbaZ//glcF//argD//murF//malQ//puuE//bacA//fdhF//
TtdR_pos	glnA//eda//
TyrR_neg	hycG//glgB//rpiB//glpA//ttdB//accA//rbsD//
TyrR_pos	pck//trmA//garR//
UhpA_pos	aldB//
UidR_neg	alaS//grxA//
UlaR_neg	dacC//glpA//mnmG//metK//udp//
UvrY_pos	patD//hemF//
UxuR_neg	nanA//nfsB//lsrF//paaI//ilvA//
XapR_pos	dacC//ccp//
XylR_neg	
XylR_pos	hyaB//lsrK//mnmG//
YdeO_neg	
YdeO_pos	allA//glpD//srlD//
YefM-YoeB_neg	hmp//
YefM_neg	prs//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purM//rffH//paaE//pgaD//uvrA//hycC//
YjjQ_neg	trpB//asnB//
YpdB_pos	
YqhC_pos	nanK//argB//
YqjI_neg	ybjG//
ZntR_pos	hyaC//
ZraR_pos	
Zur_neg	gnd//
