# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	hyaB//trpA//
CRP_pos	glgA//treC//fumC//gcvH//prmC//frdD//mhpD//citX//glgP//katE//glcF//cysI//wecE//aspA//napA//lpd//idnD//ccp//idnK//napB//patZ//fbaB//rffM//glpE//allE//allB//entH//rimK//dhaL//metL//galM//nirB//hycD//bglB//rhaA//ubiG//purE//ung//dmsB//entF//paaI//garL//aspC//pdeL//dadA//cyaA//prpE//umuC//appA//wecC//gntK//pdeR//glxR//glcF//paaK//adhE//betA//idnK//gatZ//phnP//ilvA//uxaA//ldtB//polA//cdd//galK//gcvH//rsmA//prpC//agp//gpsA//ruvB//tyrA//fabZ//argH//ugpQ//caiC//nrdA//ulaF//nadB//ynfH//fruK//hycD//cysH//pdeF//fucA//hchA//psd//purD//lysU//murF//phnL//pdeH//patA//ppiA//narI//cmoM//sucA//adhE//speA//ppiA//nfsB//purE//feaB//leuB//ilvE//glgB//puuB//ahpC//yedX//aceB//leuB//patZ//fabH//fucU//ilvA//citE//glgB//ynfE//pgaD//glgC//ttdA//deoC//ppiA//fruK//trmD//accA//leuC//prpC//aroH//cheB//glpB//ahpF//murF//polB//atoB//ilvI//lysA//sdhD//ycjG//yeaG//wrbA//glsA//glyA//arsC//tnaA//guaA//hcaD//oxc//lpd//sgbE//gpmM//entC//pepD//dapD//prpC//rpiB//cynS//xylB//hypB//alkA//nanA//dapB//ahpC//melA//bglB//uvrB//uxaB//hycF//sdaA//phnG//hyaB//pncB//treC//aroH//glpC//rffG//garL//purL//paaJ//prpB//mdh//feaB//moaC//ada//pdeR//trpA//cynS//ssuD//phnM//ydcS//dhaK//sbcD//argF//mdh//accD//leuC//preA//gor//aspA//fbaA//accC//ilvA//garL//glxR//ppc//apaH//ung//bacA//fadA//cynT//iscS//ldtD//ssuE//nanA//hflX//cheR//purC//alaA//uvrA//dkgA//purM//napA//xdhC//hyaB//caiC//pepD//arsC//gadA//hcaE//betA//dmsB//bglB//bioF//gltX//napA//paaC//psd//citD//queA//prpE//ilvI//allC//amn//aceA//phnJ//fbaB//fadD//tpiA//
CadC_pos	nadA//fadB//citX//
CaiF_pos	pfkA//murD//ilvI//trmA//entC//
Cbl_pos	glgB//fumB//eda//entC//argA//
CdaR_pos	ldtC//idnD//nrdF//glpQ//prpC//glpB//nrdB//uidA//gpsA//
CecR_neg	ygeA//
ChbR_neg	trpA//hycF//deoB//
ChbR_pos	accD//ribA//phnJ//
ComR_neg	
CpxR_neg	rsmA//wzc//argI//
CpxR_pos	tktB//metH//gpsA//citD//gutQ//accC//queA//nadC//gudD//yfdE//glpB//yedX//rnpB//puuD//murE//dkgA//entD//slt//
Cra_neg	murC//moaC//gcvP//glgB//gapA//ravA//lhgO//murD//ilvC//ycjG//puuB//dmsC//katG//ascB//rhaA//paaK//uvrB//nrdB//aroF//fruK//pspE//xdhA//lsrF//psd//gcvT//hemH//metA//caiC//aldB//ung//cheB//treC//tpiA//uxaB//ndh//ascB//malZ//alaA//tdcD//xdhC//glxR//waaZ//glxR//dusB//nirD//
Cra_pos	napB//ychF//yedX//leuD//gltD//fadJ//carA//alkB//sucD//purM//accA//bioC//ampD//ascB//patZ//aroG//umpH//
CreB_neg	hchA//
CreB_pos	leuC//
CsgD_neg	narG//pdeR//
CsgD_pos	malQ//bioD//hpt//
CsiR_neg	entC//pgpC//gcd//gltD//
CspA_pos	xdhB//
CueR_neg	katE//nagA//cpdB//
CueR_pos	fadM//ndh//
CusR_pos	gcd//dhaL//purN//fabB//
CynR_neg	
CynR_pos	lpxA//rimK//rutE//
CysB_neg	waaZ//hypF//tdcE//
CysB_pos	ampD//pheT//glpK//entF//rimK//nirD//xdhB//tnaA//fadE//hycB//glgC//prpC//cpdB//polB//
CytR_neg	phnH//umuC//argF//puuE//frdC//fucO//glmS//pfkA//napH//phnG//
DcuR_pos	atoD//gcvT//glcD//zwf//
DeoR_neg	dinB//ilvM//allB//hyaC//hmp//hmp//
DhaR_neg	
DhaR_pos	idnO//
DicA_neg	
DinJ-YafQ_neg	ldtB//
DnaA_neg	carB//guaA//sbcD//mhpA//ynfG//
DnaA_pos	cueO//glxK//xdhA//
DpiA_neg	
DpiA_pos	gabD//rutB//malP//xdhB//ilvH//
DsdC_neg	
DsdC_pos	uxaB//metE//
EbgR_neg	
EnvR_neg	accC//frdD//
EnvY_pos	accD//atoD//
EvgA_pos	rutA//ilvI//rimK//rhaB//pgaB//metK//
ExuR_neg	yfdE//fabI//gntK//pgm//pgi//accA//
FNR_neg	prpC//patD//fucA//gor//phnL//bioB//malS//ilvD//glk//nemA//fumA//glpQ//codA//rtcA//chiA//idnD//add//ulaG//hcaF//prmC//nrdE//fadD//rnpB//fumB//katE//fucO//gudD//rffH//pgaB//ilvM//eda//phnH//tdh//acnB//gpmM//tdcE//aldA//icd//gudD//citF//puuD//cysI//murG//gadB//
FNR_pos	malY//sucC//murQ//aldA//pgpC//dsdA//cysD//lsrG//mngB//nrfA//yqjH//frdC//ybjG//malY//nrfC//argF//rhaB//tehB//ndh//garR//dkgA//purN//accA//alaA//napB//lpd//fes//argC//icd//allA//moeA//gatZ//bioC//hcaF//citF//mazG//ftsI//argC//adiA//nanK//cheB//uxuB//hchA//deoA//sgbH//ruvA//gatZ//ubiA//fabI//nfsA//alaA//accA//fucK//napH//wecB//pck//nirD//lpd//icd//lacA//deoB//entA//chbG//wecB//ulaG//gatZ//prpC//pepD//galE//trpB//moaE//mhpB//nfsB//bioD//fabA//ilvE//gcl//rhaA//patZ//ppiA//deoA//ccp//sucB//betA//rffT//caiC//fumC//alaS//allB//entA//acs//tdcG//hcaC//araD//pgaB//gpsA//
FabR_neg	rutA//uvrA//pagP//
FadR_neg	moaE//glcF//ulaD//xylB//rtcB//speB//araD//murD//glxK//
FadR_pos	purH//alkA//ravA//umuC//malS//betA//nagB//dmsC//betB//nanM//
FeaR_pos	dmsC//prs//
FhlA_pos	fadD//argC//tdcG//ttdB//hpt//murC//mltF//malY//
Fis_neg	fumC//alsE//dapD//torC//aldA//hchA//puuD//rutA//ppc//chbF//bglB//prmC//ampC//ldtB//sgbE//pheS//glcE//fadJ//metB//bioF//wecB//phnN//lysC//bacA//accA//phnO//cpdB//trpC//asnA//hycG//ung//rbsD//rutD//glpD//phnJ//dkgA//trpB//fucI//sufS//atoD//queA//melA//idnD//aroA//dhaL//asnA//
Fis_pos	gntK//glcE//fabZ//phnN//citF//waaY//guaA//ddlB//tam//nagA//fdhF//rhaB//puuB//dusB//phnN//citE//rbsK//pnp//ilvA//fucI//metA//hcp//avtA//srlD//mtlD//glpQ//paaJ//gpmA//ppiA//yedX//betA//accA//hycC//wecB//xapA//narI//hemH//
FlhDC_neg	sdaA//caiB//
FlhDC_pos	glgA//melA//nanK//nrfD//wecB//citG//astE//fumC//cysJ//citG//hemH//nirB//
FliZ_neg	gatY//accC//epd//allC//ssuE//
FucR_pos	murE//phr//glxR//idnK//glpX//fau//
Fur_neg	ruvA//appA//acnB//xdhB//nadA//adeD//deoA//sucB//fucI//dmsA//allE//purN//gatD//caiD//mhpB//rtcB//glpB//nrfD//alaA//murI//pyrD//galK//chbF//moeB//fadD//trpE//cysM//glcE//mhpD//dhaL//sbcD//argC//ppiA//eno//dusB//caiC//araD//entA//araA//cheB//gnd//patD//ilvA//ogt//glpE//ldtC//alsE//add//pgm//wecB//glpQ//napB//uidA//
Fur_pos	guaA//aroG//murC//nrfC//narG//pyrD//alkB//adiA//dkgB//ynfF//murE//nanE//astC//moaC//tnaA//fucU//
GadE-RcsB_pos	murF//ttdA//mtlD//speC//fucA//
GadE_pos	tam//glpK//poxB//hflX//wrbA//dadA//pfkA//hyaC//fruK//waaH//
GadW_neg	betA//ilvC//ynfH//
GadW_pos	atoD//hycC//paaE//nrfD//
GadX_neg	alkB//sdhB//
GadX_pos	ppsA//dkgB//rtcA//frdD//glpA//ilvN//deoD//rtcA//srkA//feaB//napG//
GalR_neg	phnO//ahpF//citE//ddlB//cysI//uvrB//
GalR_pos	dmsC//fdhF//waaZ//ackA//
GalS_neg	tdcD//fruK//gabD//fadJ//nrdE//frdB//
GalS_pos	galT//nanK//adeD//purN//
GatR_neg	uidA//galE//ackA//
GcvA_neg	nrdB//bioC//gdhA//
GcvA_pos	frdA//hcaD//glgC//
GlcC_neg	
GlcC_pos	dapD//entH//rsmH//
GlpR_neg	malY//agp//ascB//entB//narI//polA//metH//
GlrR_pos	
GntR_neg	rsmA//mpaA//phnP//rtcA//rutE//entE//pheT//rbsK//fabA//
GutM_pos	dhaM//uvrB//glyA//
H-NS_neg	moeA//galT//gltX//pdeR//paaH//pdeH//argG//uxaB//fucO//glgX//appA//ilvC//pncB//ugpQ//sucA//icd//mazG//nadB//lacZ//sucC//paaB//napH//pyrD//puuB//mltF//citC//gutQ//hmp//cyaA//cyoE//chbG//napB//ilvA//tauD//rpiB//fabH//ulaE//citF//hcaD//gntK//citE//putA//betB//purE//ogt//yfdE//phnJ//nrdD//ldtD//tpiA//metE//
H-NS_pos	ilvB//ulaD//mhpF//ulaE//accD//ada//nanM//lpd//sbcC//entD//rimK//purF//rutE//purM//dmsA//
HU_neg	acnA//uvrB//rffG//ddlB//rutD//phnJ//lacZ//
HU_pos	
HcaR_neg	
HcaR_pos	allE//nirD//
HdfR_neg	
HdfR_pos	
HigA_neg	glgX//
HigB-HigA_neg	tyrB//
HipAB_neg	sgbH//prs//
HipB_neg	uidA//purF//recB//
HprR_neg	paaC//gltB//
HprR_pos	betB//dhaK//
HyfR_pos	mtlD//
HypT_neg	argF//mraY//
HypT_pos	umuD//nrdD//poxB//pck//fadH//
IHF_neg	uxuA//cyaA//lsrK//ydcS//fadB//alkA//truB//zwf//glpB//mngB//ldtD//bioF//hycG//leuC//fadE//rutA//metE//dgkA//ilvI//fabG//nadB//fucK//chiA//hyaA//lldD//hycG//nagB//gcvP//gcd//gutQ//dgcZ//gcvH//tktB//argI//ilvI//ubiG//moaA//puuA//fabA//betB//yedX//grxA//mtlD//
IHF_pos	citC//cysH//galK//pagP//pnp//metL//dmsA//xdhB//hycB//add//cdd//ilvI//rhaD//dusB//ynfH//puuA//glnA//speC//yqhD//atoA//nanA//gabT//cysE//patD//garK//lacZ//fucU//fucI//ilvN//murG//cysK//ilvI//araD//malY//putA//purA//cysJ//wecC//carA//rbsK//dadA//hemA//ubiG//dapB//poxB//acnA//polA//alkB//glgA//tyrB//rutC//gcvT//tpiA//cysD//fabB//nanE//hpt//fucA//aroF//nanA//lsrK//mdh//uxaA//srkA//ulaF//pgpC//paaJ//ndh//nrdE//hemH//dkgA//
IclR_neg	deoD//entB//cyaA//
IdnR_neg	frdC//cynT//
IdnR_pos	sbcC//mazG//hemA//deoD//
IlvY_neg	
IlvY_pos	ilvI//
IscR_neg	gltA//rutB//truB//mltF//caiB//cynS//
IscR_pos	speC//ynfG//
KdgR_neg	cheB//bglB//
KdpE_pos	lsrK//
LacI_neg	prpE//aroA//galM//
LeuO_neg	
LeuO_pos	ascB//umuC//rutC//ynfE//ulaD//fumC//
LexA_neg	murF//hycE//lsrK//garK//ilvG_1//aceE//ilvC//mhpA//dgcZ//dhaK//moaE//torC//dusB//fbaA//malS//ybjG//entA//fumB//nadB//ynfH//arsC//lysA//astC//
LldR_neg	pfkA//glcE//
LldR_pos	phnG//fucO//
LrhA_neg	
LrhA_pos	
Lrp_neg	sodB//ilvH//glcB//fucK//gltX//fadJ//betA//phnG//tdcE//nagA//serC//acnB//entB//pagP//glcB//malP//cysD//pnp//thrS//allE//metA//cynT//ydcS//
Lrp_pos	alkA//napH//sucD//bcsZ//fdhF//queA//cyaA//nirD//sdhC//glcE//cdd//pheT//rimK//mhpB//puuD//putA//ampD//narI//bioC//trpA//
LsrR_neg	gatZ//sucC//adhE//idnO//citG//
LysR_neg	
LysR_pos	paaA//
MalI_neg	cynT//hmp//
MalT_pos	ubiA//murQ//melA//trpA//ddlB//ndh//
MarA_neg	glgX//
MarA_pos	gabT//purB//guaB//hypB//mpaA//queA//cadA//fadI//paaE//sufS//metL//hchA//rnpB//lsrG//aroF//ilvM//mnmG//glxR//hycF//dkgB//ada//phnL//carA//
MarR_neg	
MatA_neg	upp//
MatA_pos	
MazE-MazF_neg	mpl//
MazE_neg	alaC//
McbR_neg	
McbR_pos	
MelR_neg	ilvE//patA//
MelR_pos	aceF//bcsZ//
MetJ_neg	lldD//lyxK//entA//talA//purF//purN//ilvB//dadX//aroG//yiaK//
MetR_neg	hycF//
MetR_pos	moaA//argA//alkA//pagP//
MhpR_pos	glpA//argB//entA//guaA//narG//ung//
Mlc_neg	tdh//glsA//torC//bglB//
MlrA_pos	aroG//
MngR_neg	phnN//leuC//
MntR_neg	pflB//
MntR_pos	patA//
ModE_neg	malY//glgP//mhpE//mhpB//citF//idnD//cueO//dgcZ//
ModE_pos	uvrA//purN//idnO//glpD//phoA//allB//xylB//paaH//phr//
MprA_neg	aroA//tdh//rutB//
MqsA_neg	nemA//mtlD//
MraZ_neg	tyrA//rutD//ynfG//wecE//wecB//dkgA//appA//gntK//mltF//mhpC//
MurR_neg	prpB//tadA//sgbH//
MurR_pos	
Nac_neg	melA//caiA//sucA//
Nac_pos	cheB//ulaF//cynS//aspC//puuB//glk//tktB//serC//
NadR_neg	glmS//ilvC//gabT//napA//
NagC_neg	allD//gatY//gltB//rbsD//ampD//nadC//sgbU//pdxA//alkB//rutC//tauD//dmsC//nrdF//waaY//lsrK//trmA//mazG//argA//
NagC_pos	nrfA//moaA//
NanR_neg	lsrF//cysI//adeD//srlD//paaG//amiA//
NanR_pos	
NarL_neg	astA//nrdB//aceB//hemH//gadA//fumC//uxaC//pgaB//garK//alkA//glcF//frdA//prpD//nrdB//nadC//nirB//nirD//astC//nrfA//fdhF//arsC//tdcE//deoA//cysN//uvrC//aldB//bioA//rutA//
NarL_pos	ilvA//rtcB//waaH//aroL//adeD//garL//trpB//gloA//nrdB//paaA//ftsI//ampC//sodB//glpK//gcvP//
NarP_neg	recB//iscS//lysA//glgB//lysU//
NarP_pos	glpA//lysC//ycjG//cyaA//rffH//citF//prmC//ynfG//rffM//lsrK//pdeL//sdaA//tauD//prpC//
NemR_neg	fucA//frc//
NhaR_pos	ldtC//dgcC//ahpC//folA//nanM//
NikR_neg	fabD//
NimR_neg	fabD//
NorR_neg	
NorR_pos	rhaD//
NrdR_neg	ogt//phnG//prpE//uvrC//
NsrR_neg	dgcZ//chbG//tynA//fadJ//gcl//prpC//tdcB//cadA//sgbE//wzc//paaA//edd//paaI//oxc//moeB//entH//prs//nrfC//lpxC//hcp//rhaD//cysN//hemL//ygeA//narI//epd//ttdB//katG//hemL//ulaG//mazG//leuD//mltF//mhpA//entC//argD//rffM//alaC//relA//ada//
NtrC_neg	hcp//mraY//
NtrC_pos	nadA//hemA//phnO//wzb//sufS//serA//mhpE//pgpC//hemA//fadM//aldB//nfsA//mhpB//paaE//glmU//fau//glcE//paaK//aceA//serC//purE//
OmpR_neg	ilvI//hmp//mngB//rtcA//nanE//
OmpR_pos	preT//pdxA//idnO//moaC//
OxyR_neg	arsC//gpmM//recF//chiA//moeA//
OxyR_pos	metC//umuC//moaC//rhaB//rffM//bioC//speC//ygeA//araD//tyrB//garK//ilvC//
PaaX_neg	astA//melA//fruK//murG//alkA//metF//citX//rhaA//ynfG//
PdeL_pos	tdcD//
PdhR_neg	ung//aspA//astE//prs//carB//hycG//idnK//paaB//dkgA//grxA//phr//deoB//polB//umuC//purN//mhpD//uxaA//ychF//luxS//dusB//tnaA//moaD//leuA//
PdhR_pos	dadX//lpd//
PepA_neg	gltA//speB//
PgrR_neg	pgm//puuB//
PhoB_neg	waaZ//hycD//paaA//ahpC//ruvA//
PhoB_pos	hycB//trpD//aroF//malY//kbl//ubiG//xdhC//dgcC//rsmH//fadI//galK//asnA//murE//mhpF//argC//argE//ascB//
PhoP_neg	ada//guaB//cysI//
PhoP_pos	paaI//ilvM//cyoE//xylA//wzc//hmp//torA//hemL//purM//dkgA//nanA//slt//nrdA//bioB//pnp//lsrF//srlD//ruvA//ulaG//deoC//ddlB//narI//prs//aroA//alsE//ldtC//betA//glcB//waaZ//ttdA//hemH//
PrpR_neg	
PrpR_pos	dadA//frc//galM//argB//
PspF_neg	
PspF_pos	xapA//
PurR_neg	guaA//hcaF//malY//dgkA//yedX//ampC//rhaB//pdeL//adeD//bioF//nrdE//phnO//gor//deoD//katG//alaS//argD//nanE//frdB//galT//ydcS//aceE//aceF//dapD//ugpQ//murC//
PutA_neg	argG//tdcE//
PuuR_neg	alaC//fucO//gnd//glpE//hycD//nirB//
QseB_neg	
QseB_pos	
RbsR_neg	nanK//ppsA//pdeH//moeB//ackA//
RbsR_pos	nanA//
RcdA_neg	
RcdA_pos	nemA//
RclR_pos	
RcnR_neg	sucC//
RcsAB_neg	lpxC//
RcsAB_pos	purE//cysJ//
RcsB-BglJ_pos	truB//ygeA//
RcsB_neg	yfdE//
RcsB_pos	treC//ilvG_1//puuB//
RelB-RelE_neg	argD//
RelB_neg	bioA//
RhaR_pos	
RhaS_pos	pgaC//eno//chbG//argH//
Rob_neg	
Rob_pos	rutD//glmS//metC//frdC//entC//mltF//ldtD//araB//hycF//cheB//cysN//ruvB//fumC//hycC//paaC//pgi//poxB//ccp//folE//
RstA_neg	torA//zwf//
RstA_pos	waaH//
RtcR_pos	pgpC//codA//
RutR_neg	napH//pgi//bcsZ//aceF//aspC//dhaL//citX//metA//ppsA//talA//
RutR_pos	nagB//
SdiA_neg	
SdiA_pos	
SgrR_neg	pdxA//
SgrR_pos	ttdB//pgaC//
SlyA_neg	
SlyA_pos	nanA//rsmH//caiD//kbaY//glpB//phnG//chbF//aroH//dadA//
SoxR_neg	
SoxR_pos	ubiX//
SoxS_neg	
SoxS_pos	araB//ruvB//sufS//glcF//argG//dgkA//phnJ//pheT//ynfE//pdeH//argF//luxS//gudD//tam//hemA//tdcG//pdeL//speA//waaH//murG//frdC//gapA//murI//preA//narH//malY//
SrlR_neg	mngB//pykF//icd//
StpA_neg	atoB//mltF//alaC//
SutR_neg	tyrB//entD//
SutR_pos	
TdcA_pos	narG//ftnA//umpH//sgbE//talA//
TdcR_pos	cpdB//yqhD//pyrD//speA//rffC//
TorR_neg	cysN//
TorR_pos	mpl//araD//mazG//yedX//
TreR_neg	bioF//hflX//
TrpR_neg	purC//citE//gcd//grxA//fadM//tam//phr//glnA//narH//
TtdR_pos	iscS//pspE//
TyrR_neg	gapA//hyaA//bcsZ//putA//metH//gnd//epd//
TyrR_pos	allA//accA//trpD//
UhpA_pos	glcF//
UidR_neg	fadM//mhpC//
UlaR_neg	glpB//pgpC//nemA//ftsI//idnK//
UvrY_pos	tdcG//pheS//
UxuR_neg	truB//paaC//hcaF//pgm//guaB//
XapR_pos	pgaD//argG//
XylR_neg	
XylR_pos	metA//gutQ//rffM//
YdeO_neg	
YdeO_pos	ppiA//srlD//purM//
YefM-YoeB_neg	nadC//
YefM_neg	melA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ilvD//phr//dgcC//phnJ//allB//nadC//
YjjQ_neg	ulaD//gltB//
YpdB_pos	
YqhC_pos	dhaM//tnaA//
YqjI_neg	atoB//
ZntR_pos	glpD//
ZraR_pos	
Zur_neg	rsmA//
