# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	psd//ttdB//
CRP_pos	bioB//sucD//cysK//galK//lysC//ulaD//phnO//argE//serA//murG//nrfA//puuE//uvrA//citC//agp//ilvD//ftnA//pagP//dhaM//fbaA//pdxA//aceA//moaE//idnO//mhpD//lacZ//pykF//asnB//psd//ygeA//ilvC//upp//paaC//aroL//pfkA//umpH//rhaA//malZ//leuB//fadA//betA//yqhD//rutD//nrdD//moaA//trmD//kbl//napB//pdeR//ccp//gpmA//gcd//moaA//psd//bioC//pagP//ilvI//lysC//katE//tdcB//ssuE//kbaY//nadB//gntK//pheT//fabH//rutB//tadA//mpl//trpB//caiC//paaF//ilvI//paaC//uxaC//rffH//bioC//iscS//alkB//torA//rbsK//tdcG//ruvA//lyxK//fadM//rutE//prpD//ynfE//cyaA//talA//ulaF//puuD//ravA//folE//hyaC//deoA//paaY//pgi//moaD//fabD//gltX//eno//ruvA//kbaY//wecC//atoA//deoC//metB//kbl//entE//hycC//tauD//murE//agp//recB//fumC//dgcZ//murD//bcsB//accD//zwf//galT//sdhC//cysD//dgcN//argB//trmA//deoD//deoA//leuA//srlD//paaG//fdhF//argH//pepD//dapD//prs//nfsA//aroL//gcvP//galE//bglB//purF//aspC//pyrC//mazG//nrdF//mhpD//nrfA//ilvB//leuD//sdaA//citX//puuD//lsrG//alsE//rutD//lpxD//wrbA//leuA//gutQ//hchA//gpmM//ssuD//nagA//deoB//glgC//sgbU//alkB//lsrG//waaH//gpmA//ccp//ynfG//rutE//galT//phoA//sdhD//add//recD//fabZ//pagP//hpt//garL//allC//grxA//yeaG//glgP//aldB//ribA//napH//cysD//alkB//napA//mdh//alaS//fdhF//hcaD//talA//bcsZ//nanM//trpE//yfdE//queA//hemH//idnO//ddlB//araD//fadE//puuA//metH//prmC//yqhD//agp//metA//sgbH//caiC//ubiA//recB//serA//dkgA//waaH//dmsB//xylA//glmU//wzb//deoD//melA//fdhF//sgbU//waaZ//moaC//tnaA//cysH//entA//malS//araA//grxA//alkB//hmp//cysJ//bioA//gudD//tdcG//ulaD//metH//udp//ahpF//sbcD//
CadC_pos	dhaL//allB//ddlB//
CaiF_pos	dadX//gudD//aceF//moaE//bioB//
Cbl_pos	rsmA//ppc//tyrB//glpA//lldD//
CdaR_pos	chiA//paaJ//ynfH//fumA//glgA//wzc//ppsA//deoA//gpmM//
CecR_neg	rutA//
ChbR_neg	sodA//hflX//ygeA//
ChbR_pos	xdhB//rbsD//glgB//
ComR_neg	
CpxR_neg	argF//bcsZ//iscS//
CpxR_pos	fucO//epd//gutQ//entA//fadJ//bioA//thrS//katE//gatD//waaH//lpxD//accD//fau//garK//ackA//katE//patZ//fadH//
Cra_neg	argC//fabB//cueO//lacZ//putA//wrbA//ilvE//metF//alkB//glpB//glmU//feaB//sucB//appA//gpmA//speC//avtA//puuD//speC//garR//hycF//entF//cysI//aroF//tauD//metB//glpB//hycD//relA//fau//astB//yedX//dgcZ//hycB//ynfF//ilvA//prpE//sdhA//sufS//srkA//gadB//cysD//purK//phnH//idnO//
Cra_pos	lysU//fucK//rutC//nadB//bioC//ulaG//rffT//nfsB//purF//rimK//argD//metB//sgbH//upp//xdhA//psd//iscS//
CreB_neg	glgP//
CreB_pos	upp//
CsgD_neg	queA//ydcS//
CsgD_pos	uvrC//bioC//gdhA//
CsiR_neg	acnB//aroG//luxS//caiD//
CspA_pos	uvrC//
CueR_neg	rhaA//dmsB//nrdB//
CueR_pos	moaA//aceB//
CusR_pos	glk//pheS//tam//rtcB//
CynR_neg	
CynR_pos	uxaC//caiA//astE//
CysB_neg	ulaE//trpA//purL//
CysB_pos	pheS//idnD//argA//gcd//entE//hycD//ahpF//polA//ynfH//gadA//hycC//frdD//hemH//polA//
CytR_neg	hyaC//mhpC//sgbH//dgcZ//ynfE//ubiX//paaF//sdhA//entB//napH//
DcuR_pos	ilvN//glcF//pgaC//prpE//
DeoR_neg	gutQ//astA//ppc//moaC//purH//yiaK//
DhaR_neg	
DhaR_pos	gltD//
DicA_neg	
DinJ-YafQ_neg	tpiA//
DnaA_neg	napB//xdhB//citC//ada//nrdB//
DnaA_pos	xapA//fadM//pgaC//
DpiA_neg	
DpiA_pos	entD//pgk//phnP//narI//glcF//
DsdC_neg	
DsdC_pos	gcl//deoD//
EbgR_neg	
EnvR_neg	narH//phoA//
EnvY_pos	narH//murC//
EvgA_pos	apaH//srkA//fadH//lpxD//edd//fabG//
ExuR_neg	ilvH//lpxD//lhgO//cheB//alaS//gor//
FNR_neg	lsrK//waaZ//folE//lacA//galK//fau//ada//polB//argD//hycD//entE//cheR//acs//xdhC//sdhC//wzc//astE//paaC//lpxA//purE//prpC//yeaE//sucD//guaA//paaY//moaD//gdhA//moaE//katE//argE//gudD//dhaL//hcaE//astC//gltX//ttdA//bcsB//paaB//metB//galE//mazG//astB//pdxA//ynfH//
FNR_pos	puuA//glcE//patZ//gatZ//hypB//recB//lacZ//lpd//aldB//glcE//ackA//puuC//dgcN//moaA//ilvB//frdD//metF//fabD//gdhA//glcD//adiA//argE//uxaB//bioF//paaB//puuC//speA//mhpE//accA//ccp//argG//galK//dkgB//waaH//astB//rimK//srkA//araD//ubiC//trmA//fabG//frdC//argC//phnI//amiA//ilvH//alsE//entA//pspE//sdaA//tehB//polB//sucA//hemH//tdcE//mpl//xdhB//sdaA//pagP//gltB//katE//ubiX//fdhF//hflX//yqhD//glnA//asnB//rffG//cysG//ubiC//relA//phnL//yfdE//talA//purF//ulaF//paaA//fadB//lysA//fucU//phnN//malP//narG//gcvT//malS//hycG//nemA//lpd//adeD//guaA//paaI//nirB//nagB//hyaC//argE//trpC//
FabR_neg	citG//add//astC//
FadR_neg	avtA//fabZ//trpA//citE//paaZ//hpt//yeaG//dhaM//puuE//
FadR_pos	ynfE//pagP//malP//fucK//tadA//xapA//uvrB//glcD//alsE//ahpF//
FeaR_pos	udp//sufS//
FhlA_pos	rutA//hycF//gloA//glcE//hemF//betA//ascB//ppc//
Fis_neg	pnp//araA//glpB//pdeR//rsmH//manA//malY//entC//entF//purC//ung//ascB//ppiA//cysK//ilvI//preA//murG//prpB//cdd//serA//aceF//paaI//rutD//paaE//ahpC//tauD//poxB//ubiC//ndh//dhaL//murI//atoD//yedX//rhaB//leuA//rutD//fumB//ackA//uidA//pyrC//deoB//garK//lpxA//polA//paaA//rffM//
Fis_pos	xdhB//metF//fabD//leuB//uvrA//trmA//gpmM//rhaD//purA//nfsB//glgX//rutA//feaB//prs//gcvT//aroH//napG//patZ//leuA//glpQ//carB//dacC//fadB//metF//phnJ//fadB//alaA//moaE//metF//manA//lpd//ppc//rffM//fdhF//cysH//speC//cysK//
FlhDC_neg	dacC//patZ//
FlhDC_pos	hcp//gutQ//paaC//murG//hcaF//rhaD//mhpE//deoB//mhpA//purA//citD//dsdA//
FliZ_neg	glk//dapD//nrdB//gntK//fabG//
FucR_pos	hyaA//citG//sdhC//manA//xdhB//rffM//
Fur_neg	phnL//ychF//recD//ychF//gatD//rbsD//apaH//alsE//ilvC//glgP//pdeH//uxuB//lhgO//hchA//carA//gatZ//hemA//tdcE//talA//rimK//nrfC//ulaE//ilvB//prpB//phnH//hyaA//sucC//gadB//dapB//recB//sgbE//wzc//purA//astE//ychF//cysM//atoD//slt//gabD//purL//dsdA//fabB//gapA//yqjH//hpt//leuD//folA//ubiX//rffG//cysG//lacZ//glcD//citX//
Fur_pos	glpB//adeD//aceE//nadB//mtlD//rhaA//trpC//ftsI//alkB//mnmG//speB//tyrB//cynT//ubiC//fabZ//pgpC//
GadE-RcsB_pos	argA//ldtC//gcl//acnB//uxuA//
GadE_pos	allE//rhaB//yiaK//nanA//polB//ampD//pdeR//cmoM//lysU//malQ//
GadW_neg	bacA//speA//nanK//
GadW_pos	gdhA//sdhD//fumC//garR//
GadX_neg	appA//allC//
GadX_pos	phnL//idnO//citD//ilvH//fadB//sucC//lyxK//puuE//ung//rbsK//umpH//
GalR_neg	cmoM//entB//zwf//cysD//caiA//guaA//
GalR_pos	tam//alsE//garL//amiA//
GalS_neg	gnd//cysK//fes//caiD//paaY//sbcD//
GalS_pos	argB//xdhB//nemA//grxA//
GatR_neg	citX//pykF//hcaD//
GcvA_neg	tdcE//bcsB//idnD//
GcvA_pos	rnpB//garD//mpl//
GlcC_neg	
GlcC_pos	moaE//gadA//adhE//
GlpR_neg	adeD//nrfD//astA//glsA//rtcA//paaK//glgX//
GlrR_pos	
GntR_neg	acnA//glcF//pncB//acnA//pdeH//prpD//gutQ//bioA//argE//
GutM_pos	dapD//nrdB//yedX//
H-NS_neg	srlD//betA//fabH//trpB//gudD//sucD//ubiC//ssuD//glnA//patA//dkgB//srkA//pheT//aspA//fabZ//dapD//nrfA//ycjG//wecB//dkgB//purF//ilvC//mhpD//fucO//rsmA//tdcE//wecC//metK//paaC//torA//argF//frdB//ilvA//citE//adiA//dkgA//tynA//wzb//manA//narH//dgkA//psd//dacC//ndh//acnB//hchA//metF//ung//metE//ilvB//uxaC//
H-NS_pos	bioB//aceE//ulaF//avtA//udp//hemF//caiB//purM//dkgB//nadB//rffC//galM//trpC//ynfG//cadA//
HU_neg	sucB//phnP//ravA//entD//glxR//gatZ//adhE//
HU_pos	
HcaR_neg	
HcaR_pos	phnH//nirD//
HdfR_neg	
HdfR_pos	
HigA_neg	hmp//
HigB-HigA_neg	phnJ//
HipAB_neg	trpA//bioB//
HipB_neg	fabA//uxuB//alaC//
HprR_neg	hcp//ruvB//
HprR_pos	bglB//avtA//
HyfR_pos	hemL//
HypT_neg	gltB//argG//
HypT_pos	malY//lpxD//katE//hflX//aceE//
IHF_neg	astD//lpxD//aceE//sdhC//dhaL//glnA//phnL//sucC//waaZ//hpt//ulaE//purF//alkB//acnA//ppsA//cysE//xylA//asnB//phnH//caiD//eno//fabI//wecE//prs//moeB//cysG//gcvT//metK//waaZ//ilvD//pepD//lsrF//hycF//glk//aceE//mhpB//leuB//hycF//ascB//nrdE//avtA//leuB//bioB//
IHF_pos	rhaA//purH//nagA//srlD//dgcC//rbsD//mhpE//lacZ//moaC//hyaA//argE//slt//metL//nfsB//ddlB//trpB//sucA//aroF//prmC//pgpC//fadM//gabD//phnL//tadA//glcD//yeaG//purA//ydcS//murG//frdA//gltA//gltX//cpdB//uxuA//carB//fucA//murC//gutQ//hypF//paaZ//metK//folA//umuC//napA//phnG//puuA//xdhA//gatD//puuB//aceE//gcvH//cysK//mngB//leuD//malY//serA//avtA//sdhB//cmoM//ilvN//alaC//ackA//citF//mhpD//xdhB//dapD//metK//hycD//melA//dadX//torA//
IclR_neg	aroA//tpiA//argG//
IdnR_neg	trpB//gadA//
IdnR_pos	metA//relA//ung//rsmA//
IlvY_neg	
IlvY_pos	nrfA//
IscR_neg	pdeR//tyrA//fabZ//malS//gadA//cynT//
IscR_pos	fucO//acnA//
KdgR_neg	ruvB//prpC//
KdpE_pos	aspC//
LacI_neg	rtcB//putA//accA//
LeuO_neg	
LeuO_pos	ldtD//pgaD//aldB//rimK//leuA//fadI//
LexA_neg	metB//metK//glpB//pdxA//glgB//murQ//argD//lldD//pheS//dgkA//araA//aroH//fadJ//sucC//gdhA//citE//tyrA//malY//leuB//murF//lysA//glpE//fau//
LldR_neg	aceE//pgm//
LldR_pos	allD//lysC//
LrhA_neg	
LrhA_pos	
Lrp_neg	phnL//cysJ//avtA//hflX//polA//glsA//nrdD//hyi//paaZ//hyaB//cysC//cysD//moaA//tehB//phnG//fadD//rffT//prpE//glgA//uvrB//cysK//phnN//fadA//
Lrp_pos	cysH//napB//yeaE//prpD//avtA//nrfC//mpaA//gdhA//ilvC//ilvG_1//glcF//lacA//gutQ//phnG//speB//acs//glcB//citF//tam//araD//
LsrR_neg	sufS//dusB//argE//cysE//ssuD//
LysR_neg	
LysR_pos	pyrC//
MalI_neg	lsrK//atoA//
MalT_pos	paaC//pspE//psd//rsmH//wrbA//glpX//
MarA_neg	nanM//
MarA_pos	glyA//nrdA//ada//cadA//tam//nirB//putA//rffH//lsrF//malS//dgkA//purL//fucI//tyrA//ftsI//hemF//wzc//cysM//astB//argI//dhaK//argA//ynfE//
MarR_neg	
MatA_neg	yedX//
MatA_pos	
MazE-MazF_neg	bioB//
MazE_neg	hflX//
McbR_neg	
McbR_pos	
MelR_neg	gnd//ahpF//
MelR_pos	glcD//cynS//
MetJ_neg	glpC//glxK//queA//fabG//wzc//uxaA//mazG//ftsI//rffH//fadE//
MetR_neg	ilvM//
MetR_pos	feaB//uxuA//trpB//phnI//
MhpR_pos	lsrG//mraY//napA//fadI//lsrG//xdhA//
Mlc_neg	rnpB//ilvC//ssuE//kbl//
MlrA_pos	icd//
MngR_neg	prpC//fau//
MntR_neg	entC//
MntR_pos	putA//
ModE_neg	alaC//rhaD//mpl//aldB//citG//yeaE//ftnA//aldB//
ModE_pos	ynfH//lpd//rffH//ilvN//accA//rffH//rnpB//rffC//aroG//
MprA_neg	ahpC//melA//ilvA//
MqsA_neg	pagP//gcvH//
MraZ_neg	ilvC//uxaC//paaG//allA//rbsK//cadA//ilvC//pdeL//entF//aroG//
MurR_neg	nfsA//bioA//cysK//
MurR_pos	
Nac_neg	gpmA//fadB//entF//
Nac_pos	dmsB//phnJ//manA//recF//murC//mhpE//deoB//gatD//
NadR_neg	ulaE//lpd//aceF//hycC//
NagC_neg	phoA//chbG//narI//gpsA//preT//ldtB//dkgB//sgbU//lpd//citD//hemL//ssuE//prpE//glpK//ampC//metA//cysC//napG//
NagC_pos	cmoM//frc//
NanR_neg	entE//aroA//moaA//purF//glpX//entC//
NanR_pos	
NarL_neg	recF//argC//frc//pncB//wrbA//pdxA//ansB//argB//wecB//oxc//galM//ilvM//gpsA//bioC//torA//leuB//bioC//glcD//pgaC//nrfC//paaB//uidA//sgbH//allA//fucK//tpiA//dadX//fabG//
NarL_pos	ldtC//rpiB//dgcN//deoC//yqhD//acnA//moeA//moaC//sucC//moaC//cysM//chiA//ycjG//rhaB//gcvH//
NarP_neg	deoB//dkgB//glgA//araB//moaC//
NarP_pos	paaZ//metC//avtA//moaE//ppiA//ubiC//phnH//xylB//acnB//mhpA//lhgO//ampD//dkgB//pgaC//
NemR_neg	tktB//entE//
NhaR_pos	accD//allA//yqhD//fadD//fadE//
NikR_neg	pdeF//
NimR_neg	deoA//
NorR_neg	
NorR_pos	alaS//
NrdR_neg	mpaA//alsE//alaS//polA//
NsrR_neg	ybjG//fumC//xdhC//aldB//acs//accC//nrfD//uvrB//fadH//chbG//fadH//astB//ruvA//agp//gatY//narI//folE//mpaA//cpdB//rffG//gabD//glcE//cdd//murE//moaC//dinB//sucB//lpxA//paaH//glpX//gcvT//kbaY//srkA//rsmH//amiA//puuB//sdhD//waaH//paaC//poxB//
NtrC_neg	lysC//fabI//
NtrC_pos	pgaB//hcaD//ubiG//umuD//atoA//ada//rffM//codA//gpsA//mraY//citD//ilvD//yfdE//ilvM//amn//ilvB//phnH//hemL//murG//bcsB//fabZ//
OmpR_neg	gcd//psd//lsrF//lysC//cueO//
OmpR_pos	relA//citE//eno//acnB//
OxyR_neg	cysN//ubiG//mhpF//mtlD//umuD//
OxyR_pos	ulaD//cysI//garL//pfkA//sbcC//araD//mhpE//betB//cheB//mraY//mdh//bcsZ//
PaaX_neg	cysD//hcaE//sgbE//atoA//gltA//serC//dinB//ulaE//xdhB//
PdeL_pos	melA//
PdhR_neg	gadB//fucU//galT//ilvD//gpmA//pheS//prpB//dadA//xdhB//ilvG_1//nirD//purE//folE//garR//glxR//moeA//hyi//dgkA//phnN//mhpD//rbsK//pdxA//fabZ//
PdhR_pos	gor//uvrB//
PepA_neg	ubiX//allA//
PgrR_neg	fruK//ssuE//
PhoB_neg	lpxC//tnaA//polB//rffH//arsC//
PhoB_pos	fadH//napH//fabD//rsmA//mdh//bacA//avtA//bcsB//dhaM//dacC//ilvA//fadM//glgP//hemF//ilvA//ndh//uxaB//
PhoP_neg	mtlD//chbG//puuA//
PhoP_pos	lsrF//frdA//phnI//argG//avtA//paaC//aldA//polB//sodA//ribA//wecB//bcsB//purL//malY//tktB//rffM//leuB//grxA//lacA//sdhB//pdeR//glgX//aspA//atoD//nrdD//glpB//umuC//nagB//rffM//puuA//ada//
PrpR_neg	
PrpR_pos	patA//araA//zwf//yqhD//
PspF_neg	
PspF_pos	dadA//
PurR_neg	rsmH//metA//phnJ//metA//rffG//hmp//sgbE//rutD//aceA//betB//fucI//fucK//paaB//nadB//ccp//hycB//codA//moaE//hyi//tynA//mhpA//mhpE//oxc//lsrK//nrdA//aceE//
PutA_neg	napB//aceA//
PuuR_neg	bglB//murE//dgcN//bcsB//caiB//metC//
QseB_neg	
QseB_pos	
RbsR_neg	prmC//nadA//dapB//entH//metF//
RbsR_pos	pgaD//
RcdA_neg	
RcdA_pos	glgC//
RclR_pos	
RcnR_neg	metK//
RcsAB_neg	wecC//
RcsAB_pos	speC//sdhB//
RcsB-BglJ_pos	folE//ynfE//
RcsB_neg	chiA//
RcsB_pos	mhpE//nanE//argH//
RelB-RelE_neg	tynA//
RelB_neg	entD//
RhaR_pos	
RhaS_pos	dmsB//nadA//nadA//hyaB//
Rob_neg	
Rob_pos	ilvG_1//sucA//asnB//ycjG//rtcB//murC//fucI//malZ//glmU//ychF//hemA//phoA//acnB//rutB//uxaA//upp//mtlD//cadA//ruvA//
RstA_neg	sucB//gcvP//
RstA_pos	aspA//
RtcR_pos	ahpF//aceA//
RutR_neg	srkA//waaH//fbaA//purD//mhpE//cynT//katE//phnP//manA//araD//
RutR_pos	wecB//
SdiA_neg	
SdiA_pos	
SgrR_neg	allA//
SgrR_pos	glgB//cpdB//
SlyA_neg	
SlyA_pos	lhgO//prpD//hypB//cheB//paaB//deoA//nanM//dmsC//uxuB//
SoxR_neg	
SoxR_pos	dusB//
SoxS_neg	
SoxS_pos	caiD//glpK//nirB//ubiG//phnN//eda//rpiB//aldA//accC//bioA//ubiA//katE//polB//hcaB//uxaC//rbsD//mngB//yqjH//uvrC//purL//hyi//glmS//rffH//astD//ilvA//phr//
SrlR_neg	pdxA//yeaE//tdcD//
StpA_neg	ulaE//betA//alkA//
SutR_neg	nrdE//gabD//
SutR_pos	
TdcA_pos	chiA//glxR//paaZ//cadA//moaE//
TdcR_pos	nanK//dkgA//ubiX//pspE//wrbA//
TorR_neg	aroL//
TorR_pos	deoC//sucC//hycC//glk//
TreR_neg	purK//ndh//
TrpR_neg	gatD//glpQ//acnB//truB//gor//argC//yqhD//glnA//gabD//
TtdR_pos	argE//gntK//
TyrR_neg	ubiA//murC//entC//aceB//mngB//umuC//ybjG//
TyrR_pos	serA//gltD//deoA//
UhpA_pos	umuC//
UidR_neg	speA//hycE//
UlaR_neg	nfsA//dmsC//gapA//pdxA//narG//
UvrY_pos	phnO//mhpB//
UxuR_neg	glgC//fabB//aspA//hypB//ilvE//
XapR_pos	ravA//mpaA//
XylR_neg	
XylR_pos	citD//ydcS//treC//
YdeO_neg	
YdeO_pos	fabB//agp//bglB//
YefM-YoeB_neg	rimK//
YefM_neg	acnA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	araD//feaB//paaK//frdC//citC//hflX//
YjjQ_neg	hcaE//fadJ//
YpdB_pos	
YqhC_pos	uidA//aroA//
YqjI_neg	lsrG//
ZntR_pos	pspE//
ZraR_pos	
Zur_neg	hycE//
