# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pgm//ubiX//
CRP_neg	acnA//fumC//luxS//uxaB//trmA//glpC//nagA//grxA//glcB//ilvA//napA//tnaA//ppiA//glcD//uvrC//ulaF//prpC//moaA//ubiC//ampD//alkB//dmsA//eno//araB//dadX//chbF//hyaB//tauD//gnd//ugpQ//hemA//phoA//udp//paaC//rsmA//pgi//fabZ//ilvB//pyrC//moeA//fumA//hcaB//chiA//argB//paaK//leuB//murG//pdeR//gltD//ygeA//hycF//allB//cynS//mnmG//phnJ//frdB//nemA//gatD//ilvA//preA//psd//malS//ada//moaC//ulaF//fadE//frdC//yiaK//astD//rnpB//moeA//
CRP_pos	uxuA//citG//pepD//feaB//xdhB//pgk//ilvM//malP//purD//ndh//mazG//aldA//fumA//mhpE//ynfE//glpB//leuD//gcvP//hyaA//tam//acnA//garR//apaH//dgkA//cyaA//ynfF//mhpF//upp//metL//purK//tyrA//purF//deoC//ruvB//fabG//rutA//cysC//amn//mhpA//gabD//ilvI//trpA//dacC//entF//dadX//waaH//hycF//malP//pgm//pflB//asnA//gapA//ackA//entA//entA//cysG//gcvH//aceE//nadA//cysM//mhpD//hcaF//recB//purC//uvrA//prpC//paaJ//rutA//queA//srkA//fabZ//poxB//lysU//pgaC//rffH//purH//garR//dacC//phr//rutA//sucD//asnA//pgpC//tdcD//gatZ//leuA//fumC//gabT//nadC//patZ//ssuE//argI//torA//bioB//glcD//nadC//cysE//aroH//caiD//gor//tdcD//ilvH//thrS//hyaC//cpdB//nirB//fabZ//polA//fabZ//cdd//torA//citC//pgaD//oxc//paaB//argC//nrdF//bglB//pspE//glgC//paaZ//hycD//sucD//metK//frdD//dgkA//hcp//gpmM//hcp//cysJ//gdhA//napB//tktB//pgpC//dhaM//nemA//pnp//gcvP//preA//purN//ahpF//ilvM//xylA//fumA//hyaA//fadD//tnaA//gcd//kbaY//bcsZ//yqhD//ogt//prs//gpmA//gcvT//alaS//rffC//paaI//carA//nadA//aldA//betA//cysD//hyaC//pnp//fadI//aroH//nfsA//nagA//queA//apaH//gpmA//sufS//ldtC//fdhF//preA//nanA//aldA//grxA//glgX//avtA//folE//hyaA//pheS//rimK//paaH//gloA//fau//lpxC//aroL//fabD//phr//talA//malP//rffM//treC//accA//sucC//dkgA//gatY//ilvE//pgaB//glmU//poxB//yiaK//uxaB//pck//leuA//truB//torA//narG//tyrB//apaH//patZ//entH//relA//paaJ//acnB//waaH//bcsZ//wzb//fadE//atoA//aroF//purF//nirB//astB//xdhB//tadA//nagB//rhaB//puuC//nrfC//oxc//purL//acs//caiB//xapA//gapA//asnB//dapB//nadB//napG//preA//dgcZ//entH//glxR//araA//fabB//
CadC_pos	sgbH//nrfD//yiaK//
CaiF_pos	mhpD//ruvA//acnB//hyaC//idnK//
Cbl_pos	fruK//dgcZ//prpE//dgcN//fucU//
CdaR_pos	pspE//rbsD//rutC//purM//pck//rhaA//phnN//nirB//ada//
CecR_neg	pck//
ChbR_neg	astD//prpB//gnd//
ChbR_pos	nanM//nrfD//murG//
ComR_neg	
CpxR_neg	prs//sgbH//pgaB//
CpxR_pos	thrS//melA//prpC//sodB//aspA//cysJ//dapD//dadX//citE//uidA//wecC//thrS//ccp//entB//murE//tam//glcF//hyaC//
Cra_neg	sdhC//metB//recF//apaH//sucB//xylA//fadD//pspE//mraY//ppsA//paaG//dsdA//sufS//trpE//nrfA//phnN//ynfH//pspE//epd//astB//argI//cysI//pgi//eda//dinB//nrdF//hcaE//ccp//purC//araA//codA//ulaD//recB//fabH//tdcG//dgcC//frdD//dhaM//patA//sdhA//hcaC//hycD//mnmG//rtcB//mhpA//
Cra_pos	fadA//fabZ//iscS//lsrK//dkgB//tdcE//gadA//nirB//uxaC//pflB//ssuE//purD//dmsC//lacA//argC//lpxC//citG//
CreB_neg	rfe//
CreB_pos	murQ//
CsgD_neg	puuA//galE//
CsgD_pos	ynfH//pnp//dapD//
CsiR_neg	preT//ampD//entF//ccp//
CspA_pos	purB//
CueR_neg	fdhF//ldtC//gpmA//
CueR_pos	hyaC//phnL//
CusR_pos	torC//dinB//mdh//malP//
CynR_neg	
CynR_pos	treC//accD//cysD//
CysB_neg	ruvA//uidA//zwf//
CysB_pos	pgm//fumC//ubiG//pgaC//rsmH//ubiC//ugpQ//dapB//moaC//hycF//nanM//hyaB//upp//prs//
CytR_neg	murI//nadA//bcsB//ilvM//tdcD//purC//carB//aceF//mtlD//ahpC//
DcuR_pos	fbaB//entF//glpA//mpl//
DeoR_neg	hyaB//frc//lhgO//pck//argA//melA//
DhaR_neg	
DhaR_pos	tdcD//
DicA_neg	
DinJ-YafQ_neg	ldtC//
DnaA_neg	epd//nrfC//araD//glgA//agp//
DnaA_pos	bacA//dkgB//ilvG_1//
DpiA_neg	
DpiA_pos	melA//gabD//tdcE//argA//xylA//
DsdC_neg	
DsdC_pos	gadA//metL//
EbgR_neg	
EnvR_neg	dkgA//argB//
EnvY_pos	glpD//frdB//
EvgA_pos	cysE//xylA//entC//gadA//cysC//rutD//
ExuR_neg	cueO//rutA//hcaD//argD//lyxK//glnA//
FNR_neg	pepD//paaE//deoD//aspC//pdeH//pykF//dhaM//feaB//paaB//fadB//lysC//tyrB//nrfA//mpl//glpE//rhaB//mhpE//rutD//ulaF//gpsA//wrbA//fucA//iscS//lpd//pepD//sucD//ybjG//uvrA//prmC//putA//melA//fadA//gltB//uvrC//paaJ//ttdA//dkgB//entA//tauD//rhaB//acs//araB//trpA//fabG//
FNR_pos	hyi//aceA//lyxK//glpA//puuB//ugpQ//cysM//katG//sbcD//betA//alaC//bcsB//paaB//sodA//galT//patA//hycG//mhpC//deoD//metE//aspC//cyaA//lsrF//bioC//nadA//wecB//ldtD//edd//gcd//chbF//ampC//rutB//katG//puuB//psd//tyrA//paaC//aroG//ychF//rffC//napA//prs//xdhB//sdhD//gcvT//mhpF//eda//murI//asnB//glpK//glcE//argF//hycD//leuB//gcvP//fadJ//sdhC//lpxA//ulaF//citX//nrfC//moaC//glgB//murI//polB//rhaB//fumA//talA//ftsI//cysK//glpK//puuA//tadA//paaB//hpt//relA//hpt//lsrG//ftsI//rhaB//glsA//mtlD//asnB//cpdB//bcsZ//paaK//allC//manA//nirB//rtcB//lpd//rutE//carB//ilvI//ilvC//pspE//
FabR_neg	gatZ//lsrK//ssuE//
FadR_neg	manA//mhpB//gapA//cysK//astE//rtcA//wzc//fdhF//tdh//
FadR_pos	bioD//dkgA//pdeR//hcp//apaH//argH//glgP//dinB//bioF//nanE//
FeaR_pos	gpmM//fumA//
FhlA_pos	phnO//aspA//dacC//sdhB//polB//speA//accA//ldtD//
Fis_neg	phnM//upp//lpxA//rbsK//polB//mhpA//murF//glpQ//eda//frdB//accD//mhpE//malS//citC//paaK//hycE//treC//uvrA//nirB//apaH//adhE//prpE//malZ//argF//rutC//aroF//betA//luxS//agp//hchA//rtcA//dkgA//sgbU//mngB//fabZ//allE//lysA//aspC//citC//mraY//ubiX//rtcA//prpD//hyi//rtcB//arsC//
Fis_pos	prpE//umuD//entF//hflX//rutA//dsdA//pnp//mpl//ilvG_1//phr//rutD//lpxD//speA//bcsB//sgbU//ybjG//kbaY//cysD//malS//entD//ahpC//dkgB//bioC//fbaA//ampD//purC//fucA//tdcE//polB//epd//gatD//lsrK//metL//folE//appA//gltX//dacC//
FlhDC_neg	dhaK//gcvT//
FlhDC_pos	entC//garK//paaA//prpD//ravA//citX//sufS//betB//hycC//yedX//prpB//caiD//
FliZ_neg	dadA//citC//iscS//bioD//purF//
FucR_pos	hemH//ychF//ulaE//serC//slt//dusB//
Fur_neg	murD//cmoM//mhpE//alaA//uxaA//hchA//bglB//nanA//gatD//ogt//agp//prpE//deoD//relA//manA//dmsB//glcB//treC//sgbH//fabD//fadB//argD//trpA//cysD//ahpC//ygeA//ansB//nanA//allE//hypB//narG//dhaL//ahpF//gpsA//tdcE//tyrB//lysA//dsdA//gabT//sucC//gatZ//phnN//phnP//speC//puuC//glmS//putA//cysE//lysA//relA//psd//putA//rutA//
Fur_pos	carB//metF//serA//deoC//prs//carB//hcaC//rutB//paaZ//pagP//napH//dsdA//mdh//moaA//purA//nrfC//
GadE-RcsB_pos	allB//lpd//melA//araA//speA//
GadE_pos	zwf//fumC//metC//nfsB//aroL//murQ//astD//araB//ascB//cysK//
GadW_neg	ynfE//puuD//edd//
GadW_pos	lysU//phr//nemA//entH//
GadX_neg	phnJ//moeA//
GadX_pos	bioA//amiA//bglB//glcB//cysN//gpmM//mhpE//ybjG//fbaA//nadB//cynS//
GalR_neg	purD//leuD//ansB//alsE//leuD//paaK//
GalR_pos	gatD//paaC//ttdB//eno//
GalS_neg	amiA//paaI//glpK//alsE//hemL//ansB//
GalS_pos	bcsZ//nfsB//chbG//gor//
GatR_neg	phnL//cysI//argD//
GcvA_neg	frdD//moaA//narI//
GcvA_pos	udp//astE//hcaB//
GlcC_neg	
GlcC_pos	sbcC//glpA//gatZ//
GlpR_neg	phnH//uvrB//rffM//argE//folA//ilvG_1//argG//
GlrR_pos	
GntR_neg	umuD//sdhD//eno//aroL//hcaD//allC//sdaA//acnA//ribA//
GutM_pos	carA//rbsD//accD//
H-NS_neg	ulaF//phnN//gloA//gltA//ddlB//glnA//pncB//phnP//narH//ubiA//ldtB//yqhD//fadJ//bcsZ//bcsB//deoC//atoB//rutD//yeaE//kbaZ//pncB//murQ//pgaC//hyaB//tynA//narH//metE//icd//rpiB//wecC//murC//entA//pepD//hycD//cynS//xapA//lysU//bcsB//aroL//codA//recB//aroH//poxB//ulaD//nrdF//murC//tnaA//argF//malS//astB//hcaD//
H-NS_pos	lpxD//metH//polB//nrdB//trmA//lysU//ugpQ//fadM//xdhA//lpxA//pheS//prpB//pck//alsE//metC//
HU_neg	lsrG//argI//moeA//nrdD//dhaL//hycC//gpsA//
HU_pos	
HcaR_neg	
HcaR_pos	folA//prpE//
HdfR_neg	
HdfR_pos	
HigA_neg	nadC//
HigB-HigA_neg	cyoE//
HipAB_neg	glpC//dinB//
HipB_neg	astB//rhaD//ilvB//
HprR_neg	cyaA//argG//
HprR_pos	purF//araB//
HyfR_pos	cadA//
HypT_neg	gcl//cysN//
HypT_pos	purL//ppiA//nrdF//xylA//queA//
IHF_neg	argD//udp//xdhA//waaZ//nanK//hcp//gatY//adeD//glcB//idnO//gudD//hypF//puuB//citE//paaZ//pdeF//tehB//fdhF//napB//entH//hchA//allA//gdhA//uidA//glcF//lacA//trpB//rimK//uxuB//narH//metK//nrdF//argE//entH//fadJ//adhE//ada//purN//pgm//pgaD//dsdA//lysA//oxc//
IHF_pos	cyoE//paaH//glxK//speA//rtcB//narH//ulaG//narH//metH//hycC//trpD//guaA//frc//recD//phnM//citF//torC//hyi//oxc//katG//moaA//ulaF//malS//allA//entH//cysG//gltB//ppsA//paaH//fes//pheS//uxuB//betB//treC//phr//murE//cysM//mltF//ychF//sucB//caiD//betB//fumB//purC//ulaE//purA//tam//ilvE//tdcB//tyrB//nrfC//umpH//pepD//ampC//icd//pgm//adhE//tadA//purH//cyaA//accC//astB//aroL//rutD//adiA//argD//malY//entA//trpD//paaB//allE//
IclR_neg	paaA//aroA//recB//
IdnR_neg	ubiG//atoD//
IdnR_pos	rsmH//cysD//hyaA//pdeR//
IlvY_neg	
IlvY_pos	ulaE//
IscR_neg	fabI//dadX//carA//lacA//pdeR//gltA//
IscR_pos	narI//glpE//
KdgR_neg	ppc//ilvD//
KdpE_pos	astA//
LacI_neg	uxuA//asnB//garK//
LeuO_neg	
LeuO_pos	fadE//ilvI//hcaF//ulaD//ulaG//fucA//
LexA_neg	paaK//entC//fadD//ugpQ//deoD//waaY//moeB//nanA//glsA//paaH//hemL//paaK//napB//caiD//carB//deoD//uxaB//glpB//allC//lysC//xylB//ldtC//araD//
LldR_neg	ruvB//glxK//
LldR_pos	asnB//acs//
LrhA_neg	
LrhA_pos	
Lrp_neg	tdcG//pyrD//lsrG//folA//gatZ//trpB//fadH//yqjH//ackA//idnD//uxuB//fabA//pyrD//dmsA//entE//leuB//xdhB//mtlD//amn//accA//pfkA//tauD//metL//
Lrp_pos	rffT//ubiG//frc//galM//speC//gor//purD//hemL//ravA//cyaA//fucA//aceE//cysE//rhaD//moaD//bacA//hemH//ttdA//uvrB//ascB//
LsrR_neg	feaB//fabH//purH//moeA//gnd//
LysR_neg	
LysR_pos	ilvI//
MalI_neg	fabZ//bioF//
MalT_pos	ppiA//pyrC//acs//allE//sgbE//pyrD//
MarA_neg	pgpC//
MarA_pos	cysC//ruvA//feaB//fdhF//hemA//metA//argA//psd//waaH//citC//uxuA//ruvB//relA//tam//nrdE//cysD//ilvB//appA//argF//grxA//napG//glyA//frdC//
MarR_neg	
MatA_neg	ilvG_1//
MatA_pos	
MazE-MazF_neg	gabD//
MazE_neg	xapA//
McbR_neg	
McbR_pos	
MelR_neg	hcaD//ruvA//
MelR_pos	malQ//puuD//
MetJ_neg	xylA//recB//ppiA//gor//lysU//mraY//acs//rffT//ascB//garL//
MetR_neg	icd//
MetR_pos	moaD//wecC//alsE//epd//
MhpR_pos	napG//rimK//mpl//gltD//murI//glpX//
Mlc_neg	dacC//narH//xylA//moeA//
MlrA_pos	ulaD//
MngR_neg	glcB//tdcG//
MntR_neg	fau//
MntR_pos	fbaB//
ModE_neg	uvrA//acnB//amiA//glpB//lacZ//hypB//iscS//agp//
ModE_pos	waaZ//frdB//waaH//garK//waaZ//entF//nrfA//xdhA//polA//
MprA_neg	galM//apaH//gadA//
MqsA_neg	pheS//ybjG//
MraZ_neg	caiA//leuC//chiA//dsdA//trpD//treC//entB//fumB//ychF//caiB//
MurR_neg	idnD//icd//moaE//
MurR_pos	
Nac_neg	asnA//sdhA//gor//
Nac_pos	fadA//allA//fadE//adhE//entF//codA//trpD//dhaL//
NadR_neg	feaB//allA//waaZ//metB//
NagC_neg	murG//sodA//aroG//thrS//tktB//wrbA//rbsK//glpX//napH//deoB//pdxA//sgbU//phnN//bcsZ//aceF//moaE//citF//wzb//
NagC_pos	bioF//rfe//
NanR_neg	glpK//citC//tyrB//malY//lsrG//xylB//
NanR_pos	
NarL_neg	alaC//lldD//fucU//ulaG//pykF//aspC//purC//recB//tyrB//fumA//umuD//moaC//trmD//dacC//apaH//fadM//glcB//dhaK//astB//serC//araA//gloA//prs//ychF//dapD//glyA//mpaA//nrdA//
NarL_pos	bioD//puuC//citC//fadJ//pheT//prpD//dapD//ilvI//alkA//ilvI//fucO//prpE//cysJ//udp//ilvA//
NarP_neg	hycF//bglB//paaH//garK//gapA//
NarP_pos	ulaF//deoB//nrfD//fumA//gutQ//frc//metF//ahpF//tadA//ruvB//argD//rutC//argB//cyoE//
NemR_neg	moaC//phnG//
NhaR_pos	fadI//pdeH//citF//gltA//relA//
NikR_neg	prpD//
NimR_neg	paaF//
NorR_neg	
NorR_pos	glpQ//
NrdR_neg	nirB//patZ//paaG//sbcC//
NsrR_neg	fabD//dadX//serC//purF//ddlB//yqhD//glpD//hyi//dgcZ//galE//ilvI//ycjG//fadD//recF//sodB//fadA//glgX//hcp//gor//ansB//moaE//hycE//deoB//sucA//mltF//lpxC//rtcB//ybjG//napA//mhpE//nrdD//metC//ubiG//tnaA//alaC//pdeF//dusB//entH//cysD//argB//
NtrC_neg	fabH//metH//
NtrC_pos	trpB//dinB//entA//hcaB//lldD//dgcN//treC//fabG//ilvD//truB//gltA//aceA//ccp//ygeA//hcaE//ftsI//mpaA//aroG//deoD//phnI//serA//
OmpR_neg	fabA//pyrD//sdaA//lyxK//nanK//
OmpR_pos	ttdA//hemH//nagA//ilvE//
OxyR_neg	upp//cynT//wecE//prpB//treC//
OxyR_pos	fruK//trpE//rutD//ynfH//leuC//cadA//phnO//glpE//nagB//rbsK//ilvH//hmp//
PaaX_neg	pck//wecC//add//folA//moaC//pfkA//tam//hcaB//dsdA//
PdeL_pos	fadB//
PdhR_neg	nfsA//paaZ//astC//alaA//dadA//wzc//caiC//lacA//pheT//pepD//upp//allD//entC//ydcS//ttdA//hycG//wzc//dhaL//sodA//hycF//citD//glcF//preA//
PdhR_pos	aspC//gatZ//
PepA_neg	tdcB//fucK//
PgrR_neg	cysE//dapD//
PhoB_neg	gor//mhpA//allC//uvrB//gpmM//
PhoB_pos	phnH//hemF//glgA//lhgO//ynfG//ppsA//eda//citC//pgm//ynfG//dapD//guaB//rffM//slt//sufS//galM//ssuE//
PhoP_neg	puuD//cyaA//entC//
PhoP_pos	gadA//glyA//pdxA//gltX//puuC//dapD//nadB//hcaB//phnP//rsmH//mazG//fdhF//sucB//nadB//fucU//fabG//gltX//leuD//napG//nrdD//rffM//pfkA//glmU//pyrC//rpiB//guaA//rffG//gltD//argA//nirD//patD//
PrpR_neg	
PrpR_pos	tdh//fadI//tnaA//gltX//
PspF_neg	
PspF_pos	ftnA//
PurR_neg	katG//argD//glk//gatY//fucU//araB//betA//atoD//nanK//nrfA//torA//sucB//fbaA//tdh//paaA//glpB//mdh//trpD//cysI//kbaZ//pdeH//ilvM//entD//purB//sdhA//hchA//
PutA_neg	ldtB//puuB//
PuuR_neg	cyoE//cueO//lysC//paaY//edd//kbl//
QseB_neg	
QseB_pos	
RbsR_neg	fes//nadC//accC//paaZ//arsC//
RbsR_pos	aceA//
RcdA_neg	
RcdA_pos	iscS//
RclR_pos	
RcnR_neg	hyi//
RcsAB_neg	ahpF//
RcsAB_pos	ubiX//frdD//
RcsB-BglJ_pos	prpC//aroL//
RcsB_neg	entB//
RcsB_pos	atoD//fumA//hycC//
RelB-RelE_neg	chiA//
RelB_neg	puuC//
RhaR_pos	
RhaS_pos	ung//ilvC//apaH//fes//
Rob_neg	
Rob_pos	argH//betA//metC//gnd//add//ilvD//entF//cyoE//nfsA//napB//bioC//sdhD//pdeF//aceB//lsrF//ilvB//cysM//hycD//fadH//
RstA_neg	tnaA//ychF//
RstA_pos	tdcD//
RtcR_pos	fabH//hycD//
RutR_neg	sdhB//alsE//ttdB//gcl//leuA//dgcZ//sgbH//melA//citX//ulaD//
RutR_pos	codA//
SdiA_neg	
SdiA_pos	
SgrR_neg	hemA//
SgrR_pos	glpX//astA//
SlyA_neg	
SlyA_pos	paaY//dmsC//sodB//idnK//atoD//ydcS//lsrK//queA//bioA//
SoxR_neg	
SoxR_pos	atoD//
SoxS_neg	
SoxS_pos	tdcE//hemL//bglB//napG//paaA//atoD//hyaC//pheT//kbaZ//cysH//nadA//mhpE//ruvB//puuA//purH//entA//zwf//gcvT//fucU//phnI//accC//hcaB//tauD//purM//gcvH//ppc//
SrlR_neg	gdhA//ilvA//rsmA//
StpA_neg	fes//pgi//gpsA//
SutR_neg	srlD//waaH//
SutR_pos	
TdcA_pos	cysG//bioF//pdeF//lysA//rsmH//
TdcR_pos	alaS//pheS//cmoM//trmD//hycG//
TorR_neg	patA//
TorR_pos	tyrB//truB//fadB//alkA//
TreR_neg	ada//ftnA//
TrpR_neg	sbcD//glcB//dgcC//yeaG//feaB//pgi//allB//phnG//ribA//
TtdR_pos	phnJ//paaH//
TyrR_neg	mnmG//aceB//fucI//hyi//ung//leuC//cadA//
TyrR_pos	rbsD//phnL//hmp//
UhpA_pos	rsmA//
UidR_neg	metA//yedX//
UlaR_neg	cueO//adiA//lacA//metK//glpD//
UvrY_pos	glsA//glpX//
UxuR_neg	fabA//fucA//pgm//alkB//pgi//
XapR_pos	dmsA//fabA//
XylR_neg	
XylR_pos	nirB//rffT//fadD//
YdeO_neg	
YdeO_pos	avtA//lacZ//entD//
YefM-YoeB_neg	gloA//
YefM_neg	pdeL//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	asnA//rsmA//accD//rutC//puuA//purE//
YjjQ_neg	fabZ//glpD//
YpdB_pos	
YqhC_pos	betA//frc//
YqjI_neg	glgX//
ZntR_pos	aldA//
ZraR_pos	
Zur_neg	rpiB//
