# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	wecC//frdC//
CRP_pos	nirB//leuC//nrdA//trmD//tadA//paaJ//hcaF//torC//cysK//glpE//edd//entE//nrdF//speB//glnA//astD//entB//upp//paaI//gadB//mltF//fes//ubiC//ddlB//epd//adiA//xdhB//recD//tyrB//leuC//tynA//gcd//glcD//glcF//citD//phr//sgbE//pyrD//sdaA//lpxC//napA//amn//purH//entE//glmS//prmC//uxaC//gltX//rimK//garL//chbG//frdC//dgkA//hyaC//trpC//lacZ//ada//glnA//wrbA//argH//glcB//cysN//entB//uvrC//frdD//atoD//pepD//allC//aroH//ssuE//speC//araD//hycF//pdxA//xylA//cheB//pdeH//araD//purE//wecB//psd//cysI//rbsD//hcaC//astD//wecB//citG//fadD//aceB//rutB//ada//ascB//glpD//asnB//waaY//deoD//cysC//phnO//kbl//wecC//moaC//alaC//puuD//appA//purD//uvrB//idnK//psd//gltA//rhaD//glsA//leuB//dacC//sucB//entF//adeD//hycD//manA//dgkA//ynfG//ftnA//wzb//fucU//accC//gltA//patZ//ulaE//cysH//hcaE//rpiB//atoB//paaE//grxA//gltB//caiA//araD//pgm//gadB//hyaA//rhaD//cysC//paaY//appA//pheT//cdd//appA//hemH//poxB//cysD//gltA//lyxK//argD//adiA//alkA//rffC//nagA//hchA//ldtC//umuC//fucI//uvrC//tdh//psd//metB//entC//ahpF//waaY//speB//lysC//nrdA//gdhA//murG//glgX//purN//ilvB//dkgB//aroL//pheS//katG//sbcC//dmsB//speC//pgi//gor//glxR//phnI//gabT//caiA//dmsC//mhpD//sodA//pdeH//citC//fumA//nfsA//ampD//waaY//astE//tdh//xylA//rffG//asnB//moaA//fucA//cynS//glpK//pagP//mpaA//tktB//wecC//lpxC//garD//murQ//amn//aldB//pheT//ppc//araD//phnI//metA//dhaM//lyxK//aspC//dinB//fdhF//cueO//hypF//rtcA//ilvA//ftsI//paaC//dapB//gatD//waaY//glcB//napB//wzc//fucK//dadA//eno//mazG//murI//iscS//poxB//guaA//pheS//preT//uidA//ygeA//
CadC_pos	dgcN//prpE//hmp//
CaiF_pos	bioB//gpmA//manA//caiB//ubiC//
Cbl_pos	dgcC//tam//ssuD//iscS//malZ//
CdaR_pos	bioB//grxA//aroA//waaY//leuA//nanE//rtcA//mpaA//ynfE//
CecR_neg	katE//
ChbR_neg	aroG//moaD//hemF//
ChbR_pos	ubiG//rsmH//nirD//
ComR_neg	
CpxR_neg	wecB//adiA//murC//
CpxR_pos	phoA//tam//uxaB//xdhA//fabB//ahpC//pyrD//sgbH//ilvE//fucU//yeaE//ubiC//hcaF//dadA//fucO//dgcC//cadA//hemA//
Cra_neg	grxA//mtlD//metH//rffT//gadB//ygeA//rsmA//poxB//pagP//ravA//mhpB//paaF//nadA//fucI//malZ//recF//frc//araA//pdeF//nrdE//ppc//mhpA//ssuD//sdaA//argE//rffG//glpK//purH//glpC//dinB//ssuE//yfdE//ychF//ycjG//dacC//citG//glpK//nfsA//puuA//leuA//aroH//fbaA//gcvP//allD//ilvG_1//
Cra_pos	purD//sgbE//paaF//amn//lysU//ubiC//cysJ//preA//rsmA//mtlD//nadB//astB//cyoE//serA//tdh//ravA//gltX//
CreB_neg	argI//
CreB_pos	alaC//
CsgD_neg	argB//amiA//
CsgD_pos	kbl//treC//hpt//
CsiR_neg	bacA//pspE//treC//idnO//
CspA_pos	fucO//
CueR_neg	paaH//frdC//oxc//
CueR_pos	aroA//ssuD//
CusR_pos	ansB//rsmH//lpxC//tdcE//
CynR_neg	
CynR_pos	truB//rnpB//ilvA//
CysB_neg	eda//lpxA//pdeL//
CysB_pos	fabB//nirB//psd//rsmH//sdhC//ruvA//aroA//mhpC//pncB//feaB//puuA//fadE//gltD//gatZ//
CytR_neg	udp//caiB//katE//ychF//bacA//glgP//fucU//citD//rffM//edd//
DcuR_pos	metA//pgpC//glgB//cpdB//
DeoR_neg	metE//pfkA//ilvC//hycG//argB//citE//
DhaR_neg	
DhaR_pos	phnP//
DicA_neg	
DinJ-YafQ_neg	frdC//
DnaA_neg	sdhD//astB//dgcC//paaK//fabB//
DnaA_pos	hcaE//sucB//glpX//
DpiA_neg	
DpiA_pos	atoA//fucI//dkgB//dkgA//prs//
DsdC_neg	
DsdC_pos	gnd//aceF//
EbgR_neg	
EnvR_neg	purE//luxS//
EnvY_pos	caiC//argF//
EvgA_pos	dmsA//uvrC//glcB//nanA//purK//purN//
ExuR_neg	hycB//rbsD//citE//nrdF//chbG//mpaA//
FNR_neg	acs//metH//astC//mhpE//malQ//argA//aceE//wrbA//pgaB//astD//glyA//pnp//tynA//oxc//napG//metH//glgB//ppiA//leuA//pgm//tauD//allD//ttdA//hcp//ruvA//apaH//phnO//argH//glpC//ada//nanK//lhgO//purC//folA//glpE//paaY//tehB//ung//mhpD//nemA//folE//rfe//cmoM//uxuA//
FNR_pos	argF//tauD//atoA//metE//moeA//hycD//gcd//glgX//uvrB//argE//gdhA//sucD//lsrK//dmsC//glpB//alkA//ttdA//ascB//malQ//ackA//ansB//nagB//tyrA//lpd//pdeR//sucC//deoA//deoC//hycD//phnL//cpdB//cheB//rffM//fdhF//ynfF//fbaA//hemF//rtcB//alaS//phnJ//nadA//malY//cysM//mhpB//feaB//thrS//waaZ//pgaC//ribA//prpB//uxuB//glpX//gcl//bioF//cysG//patD//sdaA//malZ//malQ//phnG//purH//murG//nanM//purD//fumB//phoA//mltF//rbsK//wecC//deoB//sbcD//cysJ//moeA//purE//purD//wecC//phnP//recF//slt//phnM//purK//ugpQ//gudD//entC//uidA//metF//pepD//fau//icd//nrfA//agp//hycD//caiD//hcaC//gatD//dadX//
FabR_neg	dsdA//prs//gltA//
FadR_neg	fruK//phnI//rffT//fdhF//yedX//gadB//gatZ//bcsB//purE//
FadR_pos	fbaB//tdcB//glpD//chiA//gapA//malQ//ubiC//entD//alaA//frdA//
FeaR_pos	purB//paaY//
FhlA_pos	umuC//gltX//argC//speC//glk//nemA//gpmM//malZ//
Fis_neg	gatZ//lsrK//amn//wzb//fadI//ynfG//ftsI//gltX//fau//ugpQ//purA//hycG//zwf//cmoM//alkA//hemF//pncB//ribA//glcB//sucA//fdhF//gatD//nanM//paaF//garK//galM//fbaB//gpmM//gudD//alkA//nfsA//carA//preA//pflB//slt//fabG//manA//ychF//citX//uidA//gcl//pgaD//dacC//araB//hemL//pyrD//
Fis_pos	metL//phnP//uvrC//fadD//argC//rhaD//tadA//astB//nagB//uvrA//tdh//prpC//prpD//phnL//hypB//serC//adiA//glgX//ackA//araD//ubiG//cmoM//fbaA//malY//dhaM//argI//fadJ//trpE//gcl//gabT//oxc//nrdA//phnM//bioA//srkA//metL//moeA//
FlhDC_neg	frdB//rutB//
FlhDC_pos	lacZ//uvrC//bacA//aroL//rhaA//prs//nadB//fucI//mltF//appA//mdh//cysI//
FliZ_neg	hypB//rutA//astA//serA//torA//
FucR_pos	glyA//rimK//ilvD//serA//hcaF//iscS//
Fur_neg	preT//gadB//purA//lacA//fadM//dmsA//dhaL//mdh//caiB//pagP//leuC//ugpQ//hcaC//rhaA//hemF//ccp//pheT//fabH//nanE//uvrC//cmoM//bioD//amiA//phnO//gor//mazG//carA//nagA//hcaE//ldtC//glcF//bcsZ//bioC//puuB//glpC//hycC//acs//gdhA//carA//glxR//kbaZ//xylB//hycC//prpE//lsrF//rbsK//lacA//dmsB//fabD//dapB//luxS//ulaD//malY//
Fur_pos	metC//queA//lldD//paaG//moeA//nrfA//fucU//glcF//nadA//pheS//srlD//fadM//trpE//caiB//fadB//glnA//
GadE-RcsB_pos	fucI//gutQ//lsrK//aspA//paaA//
GadE_pos	glpB//dhaM//cmoM//ftnA//mpl//ilvM//entF//glcE//gltD//ssuE//
GadW_neg	bioA//ygeA//betA//
GadW_pos	nrdE//citD//tpiA//rimK//
GadX_neg	entB//paaB//
GadX_pos	ravA//hchA//nrfC//fadD//astA//phnN//talA//arsC//entB//alaC//malY//
GalR_neg	edd//gor//murQ//malQ//tadA//alaA//
GalR_pos	gabD//adeD//speC//appA//
GalS_neg	preA//wzc//lacA//oxc//folA//fbaA//
GalS_pos	amiA//argE//allA//sgbE//
GatR_neg	frdB//asnB//cyaA//
GcvA_neg	dsdA//wrbA//dgcC//
GcvA_pos	pnp//ilvG_1//mhpA//
GlcC_neg	
GlcC_pos	sdhC//glpD//gapA//
GlpR_neg	phnI//argH//phnG//uvrB//betA//sucB//ppiA//
GlrR_pos	
GntR_neg	cynS//wzb//galK//atoB//betB//nrdB//glpD//caiB//dmsA//
GutM_pos	citE//rffM//deoB//
H-NS_neg	ugpQ//pagP//deoC//udp//deoC//puuD//nanM//ccp//glcD//frdD//patD//rutD//amn//rhaD//ubiG//citX//adeD//xapA//srlD//murC//fdhF//chbG//metL//wzc//grxA//bglB//rutB//pdeL//amn//sbcD//argF//deoD//bcsZ//argB//allB//mnmG//glgB//nrdB//ilvC//sgbE//pgaB//queA//ygeA//ubiA//rhaD//glcD//ydcS//nrfA//fau//alaA//nanA//
H-NS_pos	ftnA//torA//gnd//atoA//sbcC//upp//ndh//astB//cysM//gltB//prpE//dacC//fadM//glxK//hchA//
HU_neg	hypF//malY//galM//hcaD//relA//idnO//mnmG//
HU_pos	
HcaR_neg	
HcaR_pos	pck//ulaF//
HdfR_neg	
HdfR_pos	
HigA_neg	argD//
HigB-HigA_neg	prpB//
HipAB_neg	trpE//glyA//
HipB_neg	lsrG//epd//garD//
HprR_neg	recB//frdD//
HprR_pos	hcaD//gcvP//
HyfR_pos	xdhA//
HypT_neg	pyrC//argE//
HypT_pos	serA//acs//glmU//purD//gpmA//
IHF_neg	purF//glgP//purC//atoA//uvrC//pdeR//edd//nadC//patD//aroF//bioC//ftsI//dusB//galM//apaH//trmA//rpiB//hemF//atoA//lacA//purA//hchA//recB//adiA//nanM//pflB//pdeL//waaH//trpC//paaI//ilvC//gpmM//ydcS//glgC//avtA//asnB//fucI//alsE//ulaG//kbaZ//serC//pheT//pyrD//
IHF_pos	carA//gutQ//phoA//speC//frdA//cynT//fucA//fumA//phnL//murI//moaC//argF//mhpB//nadA//cdd//ldtD//fes//fdhF//citE//ppc//cysH//gabD//ybjG//purE//yeaG//patA//purN//ybjG//icd//astD//pfkA//glsA//rhaB//mhpA//gudD//hcaF//mhpF//nrfD//rutC//malZ//ycjG//carB//tyrB//nrdE//paaI//phnM//recD//phnO//glyA//dgcN//mhpB//ycjG//ilvI//prmC//hycF//treC//ilvC//gatD//betB//moaA//fdhF//metH//xdhC//torC//alaA//talA//rtcB//rffC//nanE//phnI//leuA//
IclR_neg	nanK//gcvH//dgcN//
IdnR_neg	deoA//fabG//
IdnR_pos	alaC//amiA//manA//ttdA//
IlvY_neg	
IlvY_pos	paaB//
IscR_neg	ulaG//metH//entH//adhE//hycF//ydcS//
IscR_pos	allD//sbcC//
KdgR_neg	argE//glpE//
KdpE_pos	rhaB//
LacI_neg	ung//ychF//glcE//
LeuO_neg	
LeuO_pos	nrfA//pgaD//sdhD//lpxA//glpX//fadA//
LexA_neg	folA//glgC//yeaG//purN//tdcG//entB//tyrA//trpB//rbsD//psd//caiB//sgbE//nadC//chiA//gpmA//fumC//amn//entB//hycE//relA//eno//nrfA//umuC//
LldR_neg	glpD//asnB//
LldR_pos	murQ//ulaF//
LrhA_neg	
LrhA_pos	
Lrp_neg	speB//glpK//dgcN//pdxA//murD//wecC//fabA//phnJ//hycG//trpD//fdhF//cysE//nagB//ulaF//ahpC//mtlD//argG//fadE//murF//mraY//sodA//zwf//aceE//
Lrp_pos	hemF//glgA//serC//ahpF//melA//gor//moeB//mpl//phnM//mazG//aspC//gdhA//ilvE//deoA//acs//pdeH//argA//paaZ//ychF//hcaE//
LsrR_neg	cysH//gcl//sdhC//torC//umuD//
LysR_neg	
LysR_pos	lsrG//
MalI_neg	icd//ssuE//
MalT_pos	garR//cyoE//patA//dmsC//gcvP//paaB//
MarA_neg	carA//
MarA_pos	xylB//hycB//nemA//fruK//pgaD//moaA//glcF//phnM//ilvC//mpaA//hycC//ttdA//dhaL//mtlD//cdd//lyxK//paaJ//pheT//dacC//nrdA//patD//glgC//pdeR//
MarR_neg	
MatA_neg	gltB//
MatA_pos	
MazE-MazF_neg	fes//
MazE_neg	argA//
McbR_neg	
McbR_pos	
MelR_neg	fabG//ttdA//
MelR_pos	dkgB//sucC//
MetJ_neg	ahpC//sodB//glpA//tam//wecC//torC//glsA//lacZ//purM//adhE//
MetR_neg	edd//
MetR_pos	ilvE//tdcB//nanA//arsC//
MhpR_pos	alaS//cysH//manA//gapA//ycjG//entC//
Mlc_neg	gcvP//astA//fbaA//phnL//
MlrA_pos	pspE//
MngR_neg	nagA//fbaA//
MntR_neg	purM//
MntR_pos	pdeH//
ModE_neg	hycB//phnI//atoA//cdd//yeaE//glpK//moaA//pyrC//
ModE_pos	phnH//pdeH//uvrB//ahpC//dkgB//gltA//pyrD//pheS//cueO//
MprA_neg	paaJ//bacA//ilvD//
MqsA_neg	ilvH//malQ//
MraZ_neg	pgk//purF//sucC//pdeR//ilvE//thrS//purD//ssuE//ulaF//dgcC//
MurR_neg	yfdE//sufS//glpQ//
MurR_pos	
Nac_neg	mngB//adeD//guaA//
Nac_pos	gltX//citE//prs//dadX//citG//luxS//gabD//nrdF//
NadR_neg	argF//allC//ddlB//pgaC//
NagC_neg	aspA//ldtC//glxK//fabB//ilvB//rfe//alaA//srkA//patD//uvrA//uxaA//guaB//garK//cheB//deoC//ruvA//pgi//ftnA//
NagC_pos	mpl//lacZ//
NanR_neg	pdeL//paaG//fabA//glgB//sucB//deoB//
NanR_pos	
NarL_neg	purB//lldD//gpsA//uvrC//ldtD//phnG//glpB//waaH//citC//ugpQ//bcsZ//caiB//hpt//glxK//ilvI//phnL//ubiC//bcsB//aroH//purH//sodB//yiaK//yfdE//rutA//hmp//ynfE//pagP//ubiA//
NarL_pos	glcD//aldB//glcF//cysI//acs//ldtD//uxuA//allB//glsA//rbsD//gnd//carB//rpiB//murI//hyi//
NarP_neg	rnpB//ilvB//alaS//gcl//astB//
NarP_pos	ttdB//tpiA//mraY//rutD//lpxD//pck//deoA//nanE//pdxA//galK//uvrA//astB//lldD//dmsA//
NemR_neg	malP//purA//
NhaR_pos	purM//cysH//alsE//ubiA//allA//
NikR_neg	sgbH//
NimR_neg	prpC//
NorR_neg	
NorR_pos	citG//
NrdR_neg	dhaK//tdcB//sucB//xdhC//
NsrR_neg	glyA//ndh//cysG//phr//uxaB//acs//napG//ldtD//entH//ulaE//uvrC//nrfC//pgaC//fucI//nrfA//pgpC//fruK//nadB//pyrC//alaC//allB//malY//ttdB//cysJ//allC//astE//prpD//bglB//amiA//ubiX//dsdA//nanE//lysA//tdcG//pheT//rbsD//yedX//galK//murF//paaB//
NtrC_neg	malQ//serA//
NtrC_pos	chbG//narH//cmoM//purD//psd//purE//araD//dmsC//lysC//cadA//glcB//nirD//hemH//polB//ogt//adhE//gnd//metA//murG//phnO//malY//
OmpR_neg	entD//glpX//glmS//trmD//ahpF//
OmpR_pos	glpX//xdhA//leuB//paaA//
OxyR_neg	ulaD//mltF//glyA//dadA//uvrA//
OxyR_pos	cueO//waaZ//aceA//glpB//mtlD//aceE//glpE//argA//aroL//acnA//pnp//glpX//
PaaX_neg	glmU//sucA//gcvP//allB//fau//ccp//uxuA//tdcD//lacZ//
PdeL_pos	appA//
PdhR_neg	nrfD//mltF//phnI//dhaM//aspA//phnI//paaH//alkA//ynfE//rnpB//amiA//bioB//waaY//leuC//hpt//srlD//ilvA//alaC//fdhF//frdB//xdhC//lysU//umpH//
PdhR_pos	dusB//preA//
PepA_neg	napB//dmsA//
PgrR_neg	caiB//pdeF//
PhoB_neg	ubiX//nfsA//paaH//frdC//avtA//
PhoB_pos	phnI//uvrB//entB//phnM//alaA//gltA//sodA//allE//idnK//glyA//appA//yiaK//purF//ung//acs//rimK//srkA//
PhoP_neg	ldtD//gltB//prpC//
PhoP_pos	hpt//nadA//purC//glyA//waaZ//ruvB//xdhA//wzb//edd//napH//ssuD//entD//malZ//dapD//sucC//wecC//metF//aspA//citG//kbl//purK//hemL//wecC//dmsC//torC//tyrA//glk//leuC//rffC//rnpB//cdd//
PrpR_neg	
PrpR_pos	pdeH//nadB//tdcD//cdd//
PspF_neg	
PspF_pos	ybjG//
PurR_neg	xdhA//deoA//ndh//phnN//alaA//ynfF//dmsC//hypB//gatY//mpl//wecE//recD//fumC//patA//ybjG//ilvM//gapA//trpB//lpxD//tyrB//udp//ung//hemL//xdhB//kbl//talA//
PutA_neg	alaA//araD//
PuuR_neg	purM//adhE//ugpQ//upp//cpdB//waaH//
QseB_neg	
QseB_pos	
RbsR_neg	purK//pck//moeA//yqjH//ugpQ//
RbsR_pos	rtcB//
RcdA_neg	
RcdA_pos	argH//
RclR_pos	
RcnR_neg	atoD//
RcsAB_neg	tehB//
RcsAB_pos	pspE//hyaB//
RcsB-BglJ_pos	fadJ//moeA//
RcsB_neg	poxB//
RcsB_pos	ilvM//moeA//gcvT//
RelB-RelE_neg	dadX//
RelB_neg	tpiA//
RhaR_pos	
RhaS_pos	eda//torC//ttdA//asnA//
Rob_neg	
Rob_pos	recD//tdcE//rhaB//sucD//aroF//sdaA//rutD//citG//paaJ//rpiB//araA//cysE//pdeF//dmsB//xdhC//ahpC//trpE//argA//napA//
RstA_neg	phnO//ampD//
RstA_pos	cadA//
RtcR_pos	wzc//cynS//
RutR_neg	torA//glcB//psd//phoA//gntK//aroF//fumC//glpA//tktB//chiA//
RutR_pos	ppiA//
SdiA_neg	
SdiA_pos	
SgrR_neg	fau//
SgrR_pos	dgcC//nanM//
SlyA_neg	
SlyA_pos	fabA//sdhB//sdhC//fes//pheT//bglB//ulaF//mhpE//citG//
SoxR_neg	
SoxR_pos	fucO//
SoxS_neg	
SoxS_pos	yeaE//fadA//waaZ//gatZ//rffH//napG//lsrF//glpB//serA//asnB//hycG//waaH//rbsK//gadB//entE//ychF//ilvB//uvrC//ubiC//paaC//hypF//ttdB//folA//glxK//cyoE//xdhA//
SrlR_neg	kbaY//pgk//malP//
StpA_neg	murQ//trpB//glpA//
SutR_neg	rutA//yiaK//
SutR_pos	
TdcA_pos	cueO//fucA//mtlD//gloA//allC//
TdcR_pos	truB//cysG//appA//melA//pdeF//
TorR_neg	aroG//
TorR_pos	glcD//tam//dacC//caiC//
TreR_neg	glpQ//alaS//
TrpR_neg	malY//xylA//aroA//uxaC//recF//kbaZ//waaZ//mpaA//aceA//
TtdR_pos	rtcA//hemL//
TyrR_neg	nirD//ssuD//sodA//ndh//mazG//fumB//paaA//
TyrR_pos	deoA//lldD//folA//
UhpA_pos	nfsA//
UidR_neg	mltF//nfsB//
UlaR_neg	hemL//ychF//purD//pgpC//yqhD//
UvrY_pos	glpE//wzc//
UxuR_neg	paaI//sdhA//wzb//citE//hcaB//
XapR_pos	dadA//pflB//
XylR_neg	
XylR_pos	ampD//waaZ//frdB//
YdeO_neg	
YdeO_pos	ruvB//xylB//nfsA//
YefM-YoeB_neg	gltD//
YefM_neg	aceE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gltD//hemL//torC//rutC//ftsI//wecC//
YjjQ_neg	agp//paaC//
YpdB_pos	
YqhC_pos	tdcD//fes//
YqjI_neg	dadX//
ZntR_pos	serA//
ZraR_pos	
Zur_neg	lhgO//
