# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	argF//ccp//
PhoP	lacZ//cysG//oxc//pyrD//yqjH//fumB//glk//cynT//puuC//galT//dgkA//fabH//aspC//hcaD//metK//mhpC//nadA//yiaK//garK//hcp//ulaG//rsmH//argD//sdhD//gabT//gatZ//entA//sodA//aceA//umuD//murI//srlD//
PrpR	nadA//ung//polB//glxK//
PspF	folE//
PurR	prpE//murC//ynfH//uvrA//dgkA//allB//wzb//pncB//fbaA//ung//trpE//argG//dacC//lpd//hycC//mtlD//alaC//allC//malS//tyrB//purC//purD//paaI//astB//trpE//sodA//
PutA	ahpC//serA//
PuuR	malP//phoA//ilvC//ppsA//deoA//tpiA//
QseB	
RbsR	citX//wecB//purA//glsA//sodA//patD//
RcdA	gdhA//
RclR	
RcnR	pdeH//
RcsAB	glpQ//grxA//fabB//
RcsB	ilvE//leuC//waaZ//sdhD//
RcsB-BglJ	paaZ//glmU//
RelB	ulaE//
RelB-RelE	hemL//
RhaR	
RhaS	ldtB//astA//nagB//srlD//
Rob	hyi//xapA//caiC//ftnA//fes//ugpQ//ribA//argD//murC//epd//lpxD//dhaM//garL//murF//metH//galK//ilvH//pyrD//gapA//
RstA	allE//oxc//mtlD//
RtcR	ccp//metH//
RutR	nirD//caiC//galK//metB//phnG//fadM//moaE//thrS//malS//pdeL//purN//
SdiA	
SgrR	galK//hypB//citE//
SlyA	paaY//bacA//entD//bglB//add//phnH//ynfE//folE//gnd//
SoxR	bioD//
SoxS	prpE//fadI//cysM//fucU//glpD//ilvA//pfkA//aroA//mhpF//ogt//gabD//gor//gntK//pgaD//fruK//glxR//murF//glpC//pgaC//wrbA//dadA//nanK//rfe//carB//amn//accC//
SrlR	sgbH//citG//gcl//
StpA	astB//tynA//dacC//
SutR	mhpA//mhpE//
TdcA	accC//astB//murC//citX//citC//
TdcR	ynfH//wecC//uxaA//ogt//eda//
TorR	cysE//pgi//entC//phnH//pgaD//
TreR	avtA//zwf//
TrpR	allA//sdhD//yeaG//nrfD//pdeR//hcaC//glpB//carA//nagB//
TtdR	chbG//poxB//
TyrR	frdB//mtlD//dinB//mtlD//glgC//argG//speA//entC//ahpC//
UhpA	gor//
UidR	tdcD//pgi//
UlaR	asnB//cysE//ilvH//sbcD//treC//
UvrY	narH//truB//
UxuR	deoA//katE//cysJ//hcaD//carB//
XapR	betA//folE//
XylR	dacC//recB//ulaE//
YdeO	aceF//gutQ//metB//
YefM	asnB//
YefM-YoeB	mhpC//
YeiL	
YhaJ	
YiaJ	cysN//prpE//rhaA//rhaA//uxuB//phnJ//
YjjQ	lysU//cueO//
YpdB	
YqhC	relA//speB//
YqjI	paaA//
ZntR	phnO//
ZraR	
Zur	pyrC//
