# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	astC//malP//
CysB	lpxA//pgk//purA//gor//rffH//metE//fucA//lldD//glpA//metH//kbaZ//paaI//dkgA//aceE//ubiX//polA//trpE//
CytR	fdhF//entB//cysJ//sbcC//guaB//nfsB//serA//glgA//malS//ilvI//
DcuR	ydcS//astD//udp//paaF//
DeoR	araB//idnD//hypF//fumC//narI//dhaK//
DhaR	betB//
DicA	
DinJ-YafQ	argI//
DnaA	leuD//paaC//paaC//garL//kbaZ//srkA//
DpiA	ruvA//paaF//malQ//uvrC//rhaD//
DsdC	lacZ//pncB//
EbgR	
EnvR	rimK//hyi//
EnvY	nemA//metF//
EvgA	nrdF//glmS//polB//glcD//hycD//phoA//
ExuR	allC//hemH//fdhF//murQ//idnD//malZ//
FabR	moaE//metE//talA//
FadR	ybjG//accA//cysC//idnK//purB//malZ//nrfA//mhpB//purN//glxR//glpD//atoD//cynT//ung//trpE//paaJ//ddlB//fadI//carB//
FeaR	argH//metL//
FhlA	citE//argI//napG//aspA//glmS//aspC//garD//dmsB//
FlhDC	ppiA//metK//paaJ//metL//trpC//puuE//tdcE//argE//gnd//fadM//trpE//glcE//lacZ//dapD//
FliZ	rffT//ftnA//phnJ//bioD//entB//
FucR	gnd//yedX//fadB//zwf//sucA//purM//
Fur	nanK//aspC//gloA//kbaZ//glgC//caiB//mhpA//dgkA//aroG//accA//fbaA//argF//entD//dgcC//trpA//nanK//bioD//caiA//cdd//aspA//kbaZ//malQ//betA//dapD//mhpD//gcvP//carB//moaA//wzc//cysG//cysK//rutB//murE//pagP//sucD//glgP//glmU//fadJ//dacC//pyrD//hcaC//metL//argE//prpE//hemH//mhpE//folE//recF//ppc//nadB//treC//mhpC//atoD//sucC//ilvG_1//nanA//uvrB//luxS//fadJ//tauD//lpxD//ftsI//
GadE	murC//fucK//folA//sucA//metH//hycC//allA//moeA//ppiA//tadA//
GadE-RcsB	tdcD//garR//pck//ynfE//cynS//
GadW	paaG//carA//gadA//metE//
GadX	hyaB//paaK//murE//metB//ldtB//ygeA//bglB//hcaF//moaE//argC//argC//asnA//ybjG//
GalR	hypB//adiA//ppc//wzc//rtcA//hcaC//
GalS	sdhC//phnP//treC//aroG//srlD//entH//
GatR	hcaF//murQ//murI//
GcvA	alaS//aceE//phnO//
GlcC	phnJ//hemL//wzc//
GlpR	udp//sucA//hcaF//trpE//glmU//argC//umpH//
GlrR	
GntR	phnN//fucA//cysG//entA//pck//aceE//malY//leuD//fucU//
GutM	polB//mhpB//lhgO//
HU	allE//fbaB//cdd//prs//yedX//entA//pepD//
HcaR	fadD//gltB//
HdfR	
HigA	frdB//
HigB-HigA	grxA//
HipAB	lsrG//dgcC//
HipB	phnH//cysM//ynfG//
HprR	trpA//sucA//alaS//talA//
HyfR	rutA//
HypT	astE//phnO//ychF//glxK//yeaG//sodA//avtA//
IclR	aspA//argF//putA//
IdnR	pncB//ruvB//codA//waaY//speB//gadA//
IlvY	citE//
IscR	sucD//wecC//lacA//tdcD//astC//aceE//accA//ybjG//
KdgR	cysK//glnA//
KdpE	paaC//
LacI	entE//hcaE//luxS//
LeuO	gnd//zwf//hcp//betA//glpB//mhpB//
LexA	purB//fabG//dkgB//xylA//arsC//sgbE//wecE//citF//dinB//mltF//gudD//leuB//glpB//garL//ssuD//hyaA//treC//aroA//purN//cueO//rnpB//trpB//sucC//
LldR	argA//lsrK//
LrhA	
Lrp	ttdA//waaY//sucB//murQ//katE//paaB//recF//nirD//lacZ//uxaB//uvrA//lysU//glcF//nanE//alaA//hcaE//hcaF//ilvD//paaC//deoC//idnK//tyrB//ldtD//cdd//phnN//glgP//allE//sdhA//katG//hyaA//rfe//prpB//hycC//uxaC//pdeR//amn//phnG//nrdE//pck//yfdE//
LsrR	gapA//mpl//prpE//ychF//ubiA//
LysR	bglB//
MalI	putA//allB//
MalT	narI//paaJ//narG//entE//napG//allD//
MarA	rhaA//ribA//nagA//cdd//wecB//napG//wzb//cysD//hyaA//ribA//argA//alaA//alkB//glgX//wecB//rbsK//nrfC//napB//hycC//trpB//sucA//talA//accD//uxaA//
MarR	
MatA	alaC//
MazE	nirD//
MazE-MazF	nirB//
McbR	
MelR	ribA//avtA//
MetJ	hypF//nrdA//betA//nfsB//sucD//garR//poxB//dapB//napA//aceA//
MetR	pagP//rtcA//lyxK//lldD//
MhpR	ppc//murE//bioA//gpmM//pgi//cysJ//
Mlc	aroG//hypB//aroF//patD//
MlrA	ung//
MngR	glxR//umpH//
MntR	fabZ//wecB//
ModE	fadJ//idnD//glmU//rutA//sdhD//mhpB//rtcB//talA//galK//polA//malY//ftnA//fadA//ahpF//gapA//nanK//nrdA//
MprA	iscS//appA//moaA//
MqsA	glgP//tam//
MraZ	adhE//glgC//fau//katE//umpH//yedX//dadA//nrfA//accC//murG//
MurR	paaE//betB//gor//
Nac	nirD//dgkA//fabI//hemL//speA//leuC//waaH//serC//treC//pgaB//waaZ//
NadR	malQ//glsA//bacA//glnA//
NagC	pgaC//nagA//phnJ//dapD//thrS//mhpA//garR//purK//galE//rutA//pdeH//nrfC//glmS//fabB//fruK//lpxA//tynA//gutQ//fumB//
NanR	dhaK//pgm//hyaC//slt//entD//uxuA//
NarL	wzc//phnJ//pfkA//allE//dacC//waaH//rffC//hemL//chbF//entF//gloA//aldA//glpX//tnaA//nadB//malZ//nrdF//lsrF//napH//glcF//uidA//treC//gloA//folE//sdaA//nanM//ilvG_1//purL//nrfC//ubiC//metC//uidA//dkgA//udp//frc//fadH//betA//xylB//hyaB//atoA//amn//
NarP	carB//pgm//ubiX//tehB//atoA//sbcD//edd//fucO//gadA//deoD//ilvM//fucI//fucU//tdcG//rffC//
NemR	galT//dmsB//
NhaR	cysD//lsrF//mazG//hypB//chbG//
NikR	araD//
NimR	gadB//
NorR	bioF//
NrdR	paaH//paaG//tyrB//dkgA//
NsrR	paaI//glcD//atoA//leuC//nfsB//umuC//fabB//tnaA//murG//ycjG//arsC//allC//fes//rutC//frdD//ampC//ftnA//yeaG//kbl//citD//argD//fumB//prpB//pgi//lysA//gcvH//phnN//murQ//dinB//poxB//ilvI//tpiA//pgi//trpB//garL//putA//napH//entD//wecE//pagP//
NtrC	ugpQ//argH//alaS//mpl//rtcB//wecB//nrfA//eno//epd//ydcS//aceE//trpD//gcvH//nagB//yfdE//wecB//purB//ulaE//murQ//ilvM//fes//
OmpR	moaA//prpD//ftnA//ogt//recB//yqhD//malP//caiD//
OxyR	uxaA//phoA//ulaE//wecC//tauD//alsE//hmp//caiA//phnI//ubiA//gor//hypF//wrbA//moaA//polB//truB//serC//
PaaX	argI//pgpC//yqjH//garL//serA//recB//ubiA//melA//nadB//
PdeL	glk//
PdhR	hyaC//hmp//tyrB//nrfD//glxK//ulaF//eno//mpl//paaI//malQ//purM//bioB//betB//napG//purM//fbaA//prpB//hycE//gltB//rhaA//allD//dmsB//entB//recF//napB//
PepA	ybjG//ppc//
PgrR	mpaA//rimK//
PhoB	glpX//serC//cynS//idnO//lhgO//hypB//xylA//fadB//allE//gatY//ldtB//ulaD//paaK//ruvA//gabT//aspA//mhpE//yqhD//frdC//zwf//
PhoP	appA//sdaA//mhpF//sdaA//trpE//tktB//purF//nrdE//cysK//recD//ubiC//puuD//ttdA//puuD//lpxC//chbG//bioF//metC//cysC//pck//ugpQ//asnB//aspC//moaC//dapB//cysK//glxR//argA//fadJ//bioF//purL//feaB//
PrpR	aspC//pgaD//rutD//lsrG//
PspF	rffM//
PurR	nfsA//torA//sdaA//sgbE//pheT//nrdA//xylA//trpC//gatY//hycE//polA//cynT//ccp//rbsK//garR//deoA//dadX//bioF//gadA//hemL//alkB//nrdB//ynfG//citF//moeB//mltF//
PutA	polB//ubiA//
PuuR	argF//lsrK//gor//bacA//gor//glsA//
QseB	
RbsR	glxK//pgi//leuB//prpE//dapD//ilvC//
RcdA	uvrB//
RclR	
RcnR	amn//
RcsAB	phnM//arsC//metA//
RcsB	glxK//murE//carB//dgcC//
RcsB-BglJ	tdcB//alaS//
RelB	gadA//
RelB-RelE	argA//
RhaR	
RhaS	argI//allE//betB//puuE//
Rob	phnM//fes//dgcN//argD//ppsA//gntK//sodB//moeB//idnD//mhpE//lhgO//ldtC//dkgB//wecB//murD//fadE//entF//phnJ//tauD//
RstA	adiA//acnA//fabD//
RtcR	nirD//astC//
RutR	allB//ccp//add//aceB//astA//tnaA//dhaK//fadI//rhaB//mazG//xylA//
SdiA	
SgrR	fucI//purD//ilvG_1//
SlyA	lsrF//gudD//murE//uvrC//araA//araA//polA//yqjH//folE//
SoxR	ubiA//
SoxS	sgbH//hcaB//hyaA//moaE//yfdE//aspC//ampC//aceA//ilvI//wecB//bioF//aceB//ilvI//phnI//phnM//deoA//leuD//dgcN//asnA//mhpF//caiD//lyxK//sucC//dgkA//tnaA//aroH//
SrlR	moeB//dadA//yedX//
StpA	uvrB//metK//kbaZ//
SutR	rffG//malP//
TdcA	codA//idnD//murG//phnL//accA//
TdcR	gor//glgB//sdhA//deoA//argB//
TorR	alsE//rffT//cynT//lacA//aroG//
TreR	aroG//nfsA//
TrpR	cynT//yiaK//pdeR//pdeH//fadH//purB//pflB//fucI//lsrF//
TtdR	tdcB//mngB//
TyrR	phnL//malZ//purC//waaZ//atoD//cueO//sdhC//wecC//ddlB//
UhpA	gabT//
UidR	pfkA//rutB//
UlaR	sdhB//fabG//murQ//pflB//alkA//
UvrY	pagP//cysI//
UxuR	alkA//pgi//sdhB//fucI//glgP//
XapR	folE//pykF//
XylR	glsA//paaA//nanK//
YdeO	aceE//cysJ//purK//
YefM	sucD//
YefM-YoeB	entD//
YeiL	
YhaJ	
YiaJ	hycG//hycD//purN//psd//phoA//frc//
YjjQ	tnaA//hycF//
YpdB	
YqhC	nfsA//argC//
YqjI	phoA//
ZntR	xylA//
ZraR	
Zur	lyxK//
