# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	feaB//purE//
NarL	ribA//wzc//aldA//paaB//pgaC//cynS//lldD//rhaA//pgaD//paaI//xylA//pyrC//alsE//glcD//aldA//nanE//lpxC//yqjH//cysN//cueO//paaG//trpB//narH//gatY//malS//garR//pheS//adiA//ruvA//glyA//dgcN//glpA//aroG//alsE//dapD//mngB//nrdD//rimK//polA//cysJ//murQ//
NarP	thrS//asnB//asnA//paaY//cysM//aroG//gcl//uxuB//uvrB//tdcB//cysG//grxA//glxR//aspA//allE//
NemR	metE//fadI//
NhaR	fadJ//fadD//lsrK//cysC//murG//
NikR	iscS//
NimR	citC//
NorR	napA//
NrdR	glpB//ruvA//nadB//sucD//
NsrR	ssuD//rutB//umuD//recF//rffG//uxaC//moaA//xylB//fucU//mhpF//trpE//hyi//gltD//murE//yeaE//moaC//gatZ//paaK//gatD//mdh//ulaF//entC//tdcG//napA//dsdA//lysA//pykF//malP//trpD//fabA//sdaA//wecB//mhpE//atoD//lpxD//katG//cynT//dgcZ//carA//sucD//
NtrC	pdeL//narH//ubiC//dmsA//speA//atoA//recF//prpE//rffH//malP//tdcD//sdhC//ynfE//acnB//purF//sgbH//pdeL//glpB//moeB//appA//ttdA//
OmpR	hemL//hcaB//deoA//ascB//yqhD//slt//rhaD//tktB//
OxyR	ppiA//cyoE//xapA//gntK//dgcN//mraY//ubiC//caiA//wecB//allD//gabD//rhaA//guaB//gnd//bioF//fdhF//gapA//
PaaX	adhE//fabZ//dacC//aroL//gapA//rffG//gapA//mdh//purD//
PdeL	argH//
PdhR	dsdA//purF//glxK//entB//glpB//glgB//accA//waaY//glpC//polA//ruvA//mtlD//metA//hyaC//codA//purD//kbaY//citC//fadD//aroL//napH//phr//recB//paaB//cysM//
PepA	murF//hyi//
PgrR	paaY//dgcN//
PhoB	pnp//ynfH//sucA//metC//napB//hypF//pgk//pdeR//deoD//argD//ruvB//pnp//nrdB//phnI//leuA//gcvP//pgm//mpaA//tauD//nagA//
PhoP	ssuE//malY//garD//sodB//dhaK//idnK//moeB//argH//gpmA//pykF//lyxK//hcp//narI//atoA//ppc//wzb//ddlB//alkA//fadH//fumB//nadA//glgX//carB//umuD//nrdE//purK//dhaK//fau//mltF//gntK//citE//dhaM//
PrpR	pgk//fabI//moaE//fucU//
PspF	slt//
PurR	dinB//purC//glmS//serA//glcB//fadH//ung//glpB//dkgA//dmsB//purN//cysG//pyrD//entF//gcvT//gabT//ynfH//uidA//psd//epd//dgcC//fucI//torC//purB//caiC//narI//
PutA	astC//moeB//
PuuR	mhpC//malY//sbcD//glk//cysM//gdhA//
QseB	
RbsR	talA//ppsA//ccp//trpC//eda//add//
RcdA	rffH//
RclR	
RcnR	guaA//
RcsAB	alkA//gadB//aroA//
RcsB	udp//chbG//entE//ssuE//
RcsB-BglJ	metK//dadA//
RelB	dkgA//
RelB-RelE	hypF//
RhaR	
RhaS	idnD//gpmM//glyA//uidA//
Rob	purE//fruK//rutD//alkB//dhaM//uxaA//nrfC//fucK//narG//ulaE//recD//bioC//frdA//sodB//pagP//lldD//adiA//argE//metF//
RstA	uidA//phnH//rpiB//
RtcR	puuD//frc//
RutR	ilvI//pspE//ppc//fucA//purK//wecE//fabZ//purL//entB//fabB//argD//
SdiA	
SgrR	ddlB//sgbH//glpB//
SlyA	alsE//gcl//gcvH//pspE//ulaF//paaY//puuA//ppsA//dmsC//
SoxR	sgbH//
SoxS	serC//hypF//dadA//paaF//glpA//lsrF//lldD//rimK//purK//dgkA//murF//ppiA//murE//cysH//paaB//umuC//astE//edd//ilvE//frc//slt//phnN//dgcC//ada//fruK//tdcB//
SrlR	betB//murQ//pyrD//
StpA	folE//mhpE//mdh//
SutR	entC//metF//
TdcA	treC//dmsB//speB//argH//paaA//
TdcR	mhpE//paaE//citX//glk//bioA//
TorR	paaJ//paaC//glpX//argB//fadA//
TreR	paaA//nrdB//
TrpR	entB//rutE//glcE//ppsA//grxA//garK//argF//nagB//glpQ//
TtdR	paaH//dmsC//
TyrR	entA//yfdE//lpxC//ampC//ftsI//mtlD//deoB//serA//pncB//
UhpA	ahpF//
UidR	poxB//sgbE//
UlaR	astC//umpH//napG//mpl//grxA//
UvrY	gadB//ssuE//
UxuR	ruvA//fadA//tnaA//udp//kbaZ//
XapR	nrdB//paaK//
XylR	paaH//glnA//hycD//
YdeO	dgcZ//dmsA//fucI//
YefM	moaC//
YefM-YoeB	gcvP//
YeiL	
YhaJ	
YiaJ	accD//sdhC//hyaC//argG//astD//cysJ//
YjjQ	ilvD//dadX//
YpdB	
YqhC	bioA//gadA//
YqjI	relA//
ZntR	alaC//
ZraR	
Zur	fadJ//
