# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	guaA//phnO//
GalR	serA//kbaY//katG//sucA//atoA//glnA//
GalS	epd//wecE//paaY//galM//dgcZ//aceE//
GatR	edd//atoD//phnP//
GcvA	rtcB//dgcZ//sdaA//
GlcC	leuD//nagB//entD//
GlpR	napH//allB//acnA//torA//entE//nfsB//pck//
GlrR	
GntR	patA//hyaB//fucA//pykF//chbF//ycjG//relA//sdhB//xapA//
GutM	pheS//garK//napA//
HU	nrfD//pgpC//ulaG//dadA//glpC//psd//umuC//
HcaR	katG//eno//
HdfR	
HigA	moaD//
HigB-HigA	icd//
HipAB	ahpF//xapA//
HipB	kbaY//udp//phr//
HprR	glpA//malY//lacZ//aroA//
HyfR	lldD//
HypT	fucI//dmsA//sodA//rbsD//paaB//purK//ynfH//
IclR	trpB//phnL//fadH//
IdnR	relA//paaB//paaE//paaZ//aroG//cynT//
IlvY	xylA//
IscR	serA//citC//icd//pfkA//nirD//sucD//sucC//leuD//
KdgR	glxR//ygeA//
KdpE	ybjG//
LacI	ampC//gnd//argC//
LeuO	uvrA//frdB//ampC//codA//citF//sgbE//
LexA	rimK//acnA//puuE//uxuB//idnD//allC//tadA//ldtC//prs//gor//metA//phnM//ynfF//ppsA//sdhD//pgk//glgX//torC//srkA//hcp//accD//garK//purK//
LldR	purC//garK//
LrhA	
Lrp	ruvA//paaY//uvrB//glgA//cysD//tdcB//fucI//ruvB//murF//deoD//garL//feaB//dkgA//entF//gabT//glxR//garD//accC//nanE//yeaG//dkgA//nrfC//oxc//dgkA//gor//cysK//tdcG//tktB//moeB//cdd//sucD//deoB//phnH//rtcB//sufS//ilvI//sbcD//rbsK//umuC//asnB//
LsrR	gatY//uxuA//allB//puuB//garL//
LysR	hycC//
MalI	asnA//murG//
MalT	glgB//treC//cynS//chbF//betB//galE//
MarA	aldA//rhaB//uxaA//aceF//ttdB//glgC//pdeH//rutD//cyoE//hycC//purN//uxuA//moeB//ilvD//uxaA//ilvI//kbaZ//hypB//hcaC//glpD//fadE//gcl//luxS//phnJ//
MarR	
MatA	gcvH//
MazE	frdC//
MazE-MazF	xylA//
McbR	
MelR	cysG//ldtD//
MetJ	uvrB//eno//lacA//lacA//fadH//leuB//yfdE//ulaG//chbG//ilvA//
MetR	lsrF//pdeL//melA//pgk//
MhpR	napG//ampC//nanM//caiD//sufS//rffH//
Mlc	pgaD//leuC//argC//torA//
MlrA	deoA//
MngR	fbaA//yqjH//
MntR	sufS//ilvI//
ModE	glgA//hyi//fabI//purL//moaD//nirB//uxaA//mhpD//pgk//aspC//citX//aroL//fadE//argG//amn//carA//nanE//
MprA	mdh//ulaG//entA//
MqsA	gcvT//gloA//
MraZ	garL//ampC//edd//uxaA//slt//dkgA//argC//nrdB//entA//fabA//
MurR	ssuD//pspE//yiaK//
Nac	phr//nemA//polB//pyrC//murQ//astD//trpD//alsE//glxR//nadA//hcaC//
NadR	dkgB//ilvG_1//talA//argC//
NagC	tktB//ilvH//ubiC//rffM//phnN//lsrG//metA//udp//ychF//trpC//purF//allB//pagP//polA//purN//accC//tam//narG//glgP//
NanR	gor//ilvG_1//ubiC//hycD//fucI//mhpC//
NarL	pdeH//fadM//alsE//torA//rtcA//ychF//glcF//leuD//lpd//caiC//cysH//fruK//oxc//trpB//nirD//entC//umuD//fabB//moaA//ilvG_1//cyoE//puuD//paaC//pdeR//gadB//hycB//cysD//nrdE//ilvA//trpD//argH//sucC//gdhA//ahpF//hypF//uvrA//uvrB//hyaC//prpE//nfsB//rsmH//
NarP	gnd//rtcA//dgcZ//napB//ruvB//phnN//nagA//aspC//ulaF//dmsC//deoA//chbG//fucU//rutA//purA//
NemR	alaA//xylA//
NhaR	pgaD//relA//hcaC//gcvH//mhpA//
NikR	ilvI//
NimR	fruK//
NorR	fes//
NrdR	tdcG//hyi//gor//cysM//
NsrR	ulaE//aroA//argG//bglB//sdhB//sdhD//avtA//argB//serA//fbaA//moeA//puuA//dadX//garL//purA//yeaE//glgA//citG//uvrA//mnmG//fabH//dadA//uidA//moeB//acnB//ynfH//sucC//torA//gatD//caiD//mraY//tyrA//uvrA//frdA//garL//malQ//bioF//cadA//galT//rnpB//
NtrC	bacA//feaB//melA//gatY//treC//cysK//fadA//recB//grxA//pgaD//rbsD//ddlB//sgbU//ycjG//dgcC//dhaM//uvrB//ldtB//rhaB//talA//lhgO//
OmpR	fabH//hemL//avtA//hcaD//gatY//trpB//narH//serC//
OxyR	narI//dgkA//wzc//citF//mtlD//dkgB//ppiA//fucO//fabB//pyrC//glgX//sdhA//frdA//lysC//lldD//ampC//phoA//
PaaX	poxB//allA//galM//fabD//trpD//feaB//hcaC//cdd//ttdB//
PdeL	paaG//
PdhR	recD//gcvP//hemL//fucU//wecC//acnA//aroA//gdhA//fadJ//zwf//glk//sucC//nagB//glgP//aroF//truB//uxaB//hycD//phnG//atoA//ftsI//umuD//patA//leuB//wzb//
PepA	gudD//napB//
PgrR	pgm//aroF//
PhoB	fabB//chbF//ynfH//napB//rnpB//fdhF//ssuE//mhpE//gudD//lpxA//frdB//nanE//gadA//grxA//puuE//uxaB//dmsB//paaJ//patA//uxuB//
PhoP	malS//sbcD//paaE//carA//glgA//prpB//hcaF//gapA//accC//glk//gcvH//avtA//ulaF//paaJ//prpC//lhgO//truB//cueO//ndh//pgk//serA//cdd//hyaA//aroA//tynA//hycG//dgcC//puuA//ruvB//paaA//glk//citX//
PrpR	rpiB//lacA//lsrG//fabH//
PspF	frc//
PurR	murG//dadX//frc//bacA//carA//fes//pdeH//rsmH//nanM//pdeH//phnI//ftsI//hyi//bioC//lacZ//fdhF//aspC//argH//garK//sucA//nrdD//phnP//waaZ//aroF//trpE//murE//
PutA	paaJ//lysC//
PuuR	pgpC//umuD//ftsI//aceA//mhpB//umpH//
QseB	
RbsR	paaF//moeA//gpmA//gatZ//xylA//pncB//
RcdA	nadB//
RclR	
RcnR	fau//
RcsAB	fadI//ygeA//yeaE//
RcsB	gatZ//pncB//fadA//fadE//
RcsB-BglJ	ddlB//cysE//
RelB	mnmG//
RelB-RelE	araD//
RhaR	
RhaS	acnA//wzc//kbl//glpA//
Rob	glmU//frdC//gcvT//narI//rpiB//fdhF//kbaY//glcB//truB//tpiA//paaG//puuD//nirD//yeaE//pyrC//murI//speA//sbcC//dhaL//
RstA	trpB//zwf//rtcA//
RtcR	gapA//mhpE//
RutR	astB//moaE//fucA//sufS//hycB//lpd//glgP//alaA//nadB//gatZ//glpD//
SdiA	
SgrR	fucA//moaD//malY//
SlyA	gutQ//pepD//pheS//xapA//nadB//tadA//metA//glpK//hyaA//
SoxR	tehB//
SoxS	purN//fucK//mnmG//ygeA//rutB//yiaK//gadB//accA//purH//nadA//poxB//tdh//katE//aroH//yedX//katG//folA//cysD//ogt//purF//aceA//astD//bioB//recB//metB//gapA//
SrlR	allB//paaG//ahpC//
StpA	tadA//paaJ//aspC//
SutR	kbl//leuA//
TdcA	tdcE//glgP//garL//glxK//murF//
TdcR	fabH//gatD//fadI//purE//allD//
TorR	serC//adiA//gor//hycG//dapD//
TreR	icd//ada//
TrpR	purE//nrdA//gatY//sgbU//pheS//paaG//hcaD//mhpA//cysI//
TtdR	rnpB//dgkA//
TyrR	dmsC//purB//codA//ynfE//polB//glgP//feaB//glxR//pncB//
UhpA	aroG//
UidR	acnB//sdhD//
UlaR	gltD//caiA//pgaC//astD//cysK//
UvrY	asnB//relA//
UxuR	fadE//glgX//aspA//umuC//glk//
XapR	cynS//rfe//
XylR	uvrA//hycF//allA//
YdeO	murF//poxB//uvrC//
YefM	hcaD//
YefM-YoeB	glpC//
YeiL	
YhaJ	
YiaJ	citC//tyrA//psd//purF//frdA//glgX//
YjjQ	metL//aldA//
YpdB	
YqhC	glpC//mhpB//
YqjI	tyrB//
ZntR	zwf//
ZraR	
Zur	napA//
