# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	lysU//ruvA//
Fur	glk//asnA//ilvH//gpmM//entD//accD//hypF//gcvH//accC//murC//folA//purK//narI//sucC//folA//pdeL//grxA//mpaA//entE//prs//glpB//ttdA//entA//bglB//polA//glcE//cysK//accD//tauD//talA//paaE//phnN//fadD//citE//fucK//asnA//argH//ilvC//waaZ//sbcC//fabZ//ycjG//carA//cdd//mhpB//malQ//nfsA//yiaK//purN//glpQ//glk//wecE//dmsC//trpE//nanM//amn//rffT//tehB//rutB//astA//cysM//metA//
GadE	mhpE//pfkA//rtcA//allA//pgpC//allA//ubiX//atoB//metL//nrfA//
GadE-RcsB	citE//umuC//ccp//cdd//ldtB//
GadW	paaC//icd//narG//add//
GadX	glgA//cysC//betB//argC//rhaB//sufS//bioF//phnH//paaI//aroA//puuC//purA//betA//
GalR	metE//astE//accC//yqhD//yeaG//hcp//
GalS	gabT//phnJ//cysJ//ada//pdeR//cadA//
GatR	cueO//wrbA//purA//
GcvA	deoA//mhpC//sodB//
GlcC	malS//tdcD//gapA//
GlpR	torC//dsdA//sdhA//sucB//idnD//cynT//fadM//
GlrR	
GntR	fabI//gatZ//phnI//bioC//pgpC//puuC//mhpF//acnB//caiB//
GutM	puuC//gor//nanM//
HU	araA//fadH//edd//sdaA//gcvT//atoD//puuB//
HcaR	fadJ//udp//
HdfR	
HigA	add//
HigB-HigA	ssuE//
HipAB	atoD//pykF//
HipB	fruK//nadA//kbaZ//
HprR	uxaC//pdeL//ydcS//mhpE//
HyfR	cyoE//
HypT	phnN//phnJ//uxaC//dinB//melA//prpC//metK//
IclR	argH//ddlB//cyoE//
IdnR	citD//trpB//paaE//glmS//pgaC//metL//
IlvY	pgaB//
IscR	hypB//phnH//puuE//iscS//sdhB//ilvA//gcvH//fadJ//
KdgR	gpmA//frdD//
KdpE	rbsK//
LacI	lpxD//betA//atoB//
LeuO	gntK//gltB//acnB//paaC//glgA//aceF//
LexA	hcaD//metA//hcp//allB//argH//sucD//purF//atoA//murC//malQ//nrdB//metE//narI//pgaD//astE//phnG//dgcZ//purD//napA//frdD//glgA//caiC//asnA//
LldR	tdcE//pyrD//
LrhA	
Lrp	rbsD//malZ//hemH//dinB//thrS//nrfD//argD//ppsA//pdeH//glpC//nagA//purK//nanA//uxuB//fucU//yfdE//paaK//aroG//uidA//cysK//moaA//hycB//tdcB//sgbE//paaJ//eda//hycB//bioF//aroF//serA//phnP//ulaG//trpE//sucD//argI//grxA//metA//uxuA//glxR//phnO//
LsrR	umpH//metB//ahpC//fabB//bacA//
LysR	rbsK//
MalI	dinB//pyrC//
MalT	pdeH//rnpB//cdd//amn//codA//mhpC//
MarA	rutA//uxaA//yeaE//betA//glpA//gor//ldtB//tadA//mhpE//phoA//zwf//gatY//caiA//pyrC//sucD//puuB//mpaA//citF//ttdA//dkgB//atoA//betA//astA//lyxK//
MarR	
MatA	aroF//
MazE	hcaD//
MazE-MazF	bioC//
McbR	
MelR	argG//bioD//
MetJ	puuB//pheT//waaH//nrdB//alkA//waaY//murD//moaD//lysU//leuC//
MetR	nrdD//lacZ//rffM//nanM//
MhpR	srkA//glpD//gadB//glpC//rbsK//ssuE//
Mlc	dhaK//caiA//cysK//uxaB//
MlrA	caiB//
MngR	lsrK//aceA//
MntR	fadH//ulaG//
ModE	ftsI//malY//lyxK//lsrK//fbaA//dadA//ilvA//gcvH//xylB//paaI//uxuA//aceE//gutQ//tehB//fadB//pgk//pflB//
MprA	gatY//ssuE//rsmH//
MqsA	nfsA//phr//
MraZ	dhaL//fdhF//cysH//adhE//astD//speB//lpxA//aceF//sodB//glmU//
MurR	dmsB//aroH//mhpE//
Nac	fabG//rutD//tehB//nadA//bioC//guaB//rffH//aspC//phnG//chbG//glmU//
NadR	grxA//gatY//ruvB//tdcG//
NagC	murG//rffG//dadA//mnmG//sbcD//argG//gatZ//adiA//rimK//entA//ung//mpl//hycD//ftsI//uxuA//folE//asnB//ttdB//argA//
NanR	narG//sgbH//cysC//purK//patD//trpC//
NarL	glgB//glcF//tdcD//ynfG//nemA//relA//galE//frdC//nrdB//napB//phnH//glk//galK//argH//fabZ//udp//pepD//hypF//prpD//patA//ccp//pfkA//hemH//paaK//cynT//aroH//gabT//guaA//phnO//xylA//rhaA//torC//atoD//trpE//cysN//nrdA//nanE//trpC//metH//folA//purE//
NarP	glnA//ilvD//wecE//ldtD//tktB//paaH//lacA//zwf//feaB//yfdE//sgbE//purD//feaB//rffH//aroA//
NemR	cadA//murQ//
NhaR	phnN//murG//rfe//ascB//moeA//
NikR	tadA//
NimR	bioF//
NorR	eno//
NrdR	trpD//pgm//gapA//gntK//
NsrR	glyA//recB//folA//citE//glpD//dapD//caiC//leuD//caiC//alaS//purB//paaG//pgpC//argE//fadH//aspA//ulaE//gloA//torC//cysE//acnB//mraY//pfkA//deoA//paaE//metE//katG//dgcZ//iscS//ilvM//phnH//metK//glpC//pgi//ahpF//nanM//nemA//ruvA//udp//ilvA//
NtrC	gabT//gabD//alaS//bioC//pyrC//lysC//caiA//malY//lyxK//bacA//murD//murE//bioA//aceF//xapA//asnA//ftsI//pgaC//mazG//tadA//fau//
OmpR	ybjG//torA//ldtC//fucU//hypF//deoD//glmS//mnmG//
OxyR	ulaE//dapB//ssuE//hcaD//garK//ldtD//purB//lpxA//hyaC//chbF//hcaB//hyi//aspA//purC//idnK//tdcE//pdeR//
PaaX	pnp//glgC//fucU//cysC//mnmG//galT//sgbH//yiaK//fumC//
PdeL	argB//
PdhR	ilvA//moaD//malP//ulaF//epd//astC//polB//uidA//phnP//dacC//nrdA//fadB//puuD//fadA//fabA//lpxA//alkB//ddlB//fabD//alsE//metE//metF//ilvH//prs//prpE//
PepA	mhpF//paaF//
PgrR	tauD//ruvB//
PhoB	relA//phnM//moeA//pgaD//gatY//tdh//pdeL//glgA//ynfE//rbsD//betA//pncB//araD//aroL//treC//tynA//folA//aroL//paaG//ybjG//
PhoP	uidA//ynfE//wzc//thrS//lpxD//narI//rutB//fumB//frc//pgk//glpD//torC//cynT//torA//ilvA//tauD//ldtB//codA//avtA//atoB//caiB//ynfH//mraY//pgpC//dhaK//caiB//nemA//allE//phnL//sucA//tdcE//cysK//
PrpR	patA//pgpC//deoD//dapB//
PspF	frdA//
PurR	ubiA//yqhD//cynS//dapB//paaY//ogt//polB//rbsK//dkgA//rutA//purD//garL//gntK//ynfH//dadX//glsA//phnG//ilvA//rutD//purF//allD//malZ//talA//malP//wzc//hemH//
PutA	sufS//nfsA//
PuuR	fabD//purF//prpC//guaB//puuE//rnpB//
QseB	
RbsR	lpxD//alkA//mltF//araB//mhpC//pgaC//
RcdA	ogt//
RclR	
RcnR	ulaF//
RcsAB	frdA//gltB//aroG//
RcsB	nrdB//dmsA//nrdA//purM//
RcsB-BglJ	trpE//ttdA//
RelB	entC//
RelB-RelE	lsrK//
RhaR	
RhaS	dsdA//wecB//tdcB//patA//
Rob	yfdE//mnmG//melA//gpmM//metL//ahpF//trpD//bioB//cysE//tdcG//rffM//uxuB//glgX//rffC//melA//paaJ//acnB//bioD//icd//
RstA	frdC//dinB//gatY//
RtcR	wecC//murE//
RutR	kbaZ//purH//sucA//glnA//katG//paaA//recB//nfsB//glnA//acnA//prpB//
SdiA	
SgrR	ydcS//glpQ//tdcE//
SlyA	lldD//gudD//thrS//purE//ugpQ//argB//glgA//leuD//argF//
SoxR	puuE//
SoxS	moaA//hcaE//idnK//purF//eda//deoA//ahpF//carA//xylA//hyi//recD//nrdE//zwf//ldtB//metA//moeA//fucA//moaE//ydcS//udp//rutE//leuC//nrdE//purA//ilvI//bioF//
SrlR	folA//chbF//ldtB//
StpA	glxK//malP//ynfH//
SutR	malQ//prs//
TdcA	allE//mnmG//pgm//pyrC//glcF//
TdcR	rhaA//pgaB//asnB//gutQ//lpxA//
TorR	aceA//gcl//arsC//citD//ahpC//
TreR	rbsK//ahpC//
TrpR	aspC//frdB//waaH//srlD//hycE//bioC//fabB//psd//tdcB//
TtdR	trpD//murF//
TyrR	rhaB//cysK//mltF//xylB//sdhB//kbaY//mhpD//pdeR//gcvH//
UhpA	moaA//
UidR	xylA//hycB//
UlaR	fucO//metC//accA//malS//polA//
UvrY	fau//astA//
UxuR	fabZ//ulaF//nrdA//cysH//rbsD//
XapR	metK//ubiX//
XylR	alaC//aspA//alkB//
YdeO	ynfG//ugpQ//serC//
YefM	nfsB//
YefM-YoeB	bioB//
YeiL	
YhaJ	
YiaJ	ada//dinB//lpxA//metA//yeaE//dhaK//
YjjQ	udp//aceF//
YpdB	
YqhC	fucO//nadB//
YqjI	rpiB//
ZntR	ugpQ//
ZraR	
Zur	pgaD//
