# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pflB//sdhB//
RhaR	
RhaS	xapA//nfsA//phnI//fucA//
Rob	sufS//ung//glxR//phnI//fabZ//dacC//garK//nadA//fucK//astB//leuA//sdhD//astC//folE//frc//narI//folE//dhaM//wecE//
RstA	fabD//nrfC//lsrK//
RtcR	dsdA//rffH//
RutR	ftnA//xapA//ftnA//ssuD//narH//metK//srlD//pdeL//lacA//fruK//narI//
SdiA	
SgrR	bioC//entD//pykF//
SlyA	patA//entD//uvrA//cysE//hcaF//atoD//katE//alkB//mpaA//
SoxR	dacC//
SoxS	wecC//sufS//caiA//tauD//waaZ//astE//iscS//glcD//glpB//fumC//purL//trpD//tktB//argB//aroF//cynT//ilvC//allA//yfdE//glgP//narH//lsrK//argF//sdhA//puuD//aroG//
SrlR	rsmH//hcp//nagB//
StpA	pagP//ugpQ//metH//
SutR	cysC//fucK//
TdcA	sodB//ubiA//wzb//mhpC//fabA//
TdcR	argF//mhpA//nrfD//speA//psd//
TorR	hycC//rbsK//nfsB//rpiB//malP//
TreR	hcaF//pgk//
TrpR	napA//malZ//guaB//nanE//gor//trpC//sodB//cdd//tyrB//
TtdR	mpl//yeaE//
TyrR	purL//prpE//ubiC//rhaB//prs//mhpB//torA//bioB//cadA//
UhpA	purE//
UidR	tdh//recF//
UlaR	adiA//rffH//lpxD//psd//nagA//
UvrY	idnK//yeaG//
UxuR	paaZ//gapA//carB//torA//phr//
XapR	prpD//deoA//
XylR	prpC//ribA//cysK//
YdeO	uidA//astE//waaY//
YefM	pgm//
YefM-YoeB	bioA//
YeiL	
YhaJ	
YiaJ	murE//aceA//malP//fadJ//dadA//pspE//
YjjQ	caiB//ynfE//
YpdB	
YqhC	fabI//thrS//
YqjI	argA//
ZntR	rtcA//
ZraR	
Zur	tam//
