# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fruK//sdhD//
CysB	phnP//entF//edd//ampC//ldtB//slt//ilvD//prpE//cyoE//yeaG//polA//gapA//hycC//trpB//yqhD//fucA//pdeL//
CytR	pykF//prpE//gor//poxB//argH//pyrD//metF//paaI//metA//nemA//
DcuR	ogt//lsrF//hypF//ugpQ//
DeoR	gloA//codA//pykF//lpxA//glpB//dadA//
DhaR	argI//
DicA	
DinJ-YafQ	ubiA//
DnaA	kbl//mhpC//purL//hcaB//pgaD//uvrB//
DpiA	ftnA//adiA//umuC//cynS//astB//
DsdC	rsmH//gatY//
EbgR	
EnvR	ldtC//phnG//
EnvY	cysN//tdh//
EvgA	arsC//ssuE//luxS//recD//ung//paaZ//
ExuR	gabD//yqhD//cyoE//gpmA//uxaA//nrfC//
FabR	gltD//fucO//glpK//
FadR	yfdE//mraY//tdh//metA//entC//treC//ilvM//purA//feaB//cynT//gabD//thrS//mazG//rbsK//leuC//gntK//ada//mhpE//malS//
FeaR	trpE//hmp//
FhlA	mhpA//cynS//entD//idnO//rffG//nanE//speA//dgcC//
FlhDC	puuA//glk//ubiX//phnI//idnK//ampC//gcvH//hemH//ubiX//gpmM//phnM//fadM//rffT//glcE//
FliZ	ilvI//truB//fabG//nanE//fadB//
FucR	argF//acnA//fabI//pnp//hcaB//ppsA//
Fur	tynA//gor//gcvT//guaB//asnA//rbsK//cysM//phnP//mpl//ddlB//putA//lpd//astA//gor//sodB//metK//puuC//hyaC//pgpC//recB//pykF//phnP//prpD//add//paaG//guaB//paaB//phoA//ilvI//gpmA//argI//nrdB//glpB//alaS//glgC//ttdA//lacZ//mtlD//ada//ogt//glmU//waaZ//chbG//argF//bglB//fadD//ilvE//paaH//paaJ//lsrG//bacA//deoC//betA//sucD//cueO//tktB//paaF//waaZ//dmsA//mhpD//argH//paaE//
GadE	rfe//acnB//hmp//fabH//alkA//bioD//aceB//citG//dadX//astC//
GadE-RcsB	nrdD//pgpC//thrS//fabA//rffM//
GadW	frdC//sucC//sucB//add//
GadX	alaC//murD//sodB//accC//accA//tpiA//ygeA//chbG//entB//mngB//aroG//fdhF//rfe//
GalR	prs//glcD//nfsA//glgB//kbaY//argH//
GalS	gatZ//fucK//gltD//fadE//garL//citF//
GatR	rhaA//nadB//katG//
GcvA	lysU//cadA//lhgO//
GlcC	rutE//pspE//sdaA//
GlpR	mhpD//lpxC//fdhF//rtcB//ubiX//entH//nfsA//
GlrR	
GntR	wecC//glcB//yeaE//folE//nadA//pfkA//hycB//umuC//srkA//
GutM	allE//cysE//hycB//
HU	rbsK//gpmA//argE//ccp//araA//hcp//metB//
HcaR	leuB//dgcZ//
HdfR	
HigA	waaY//
HigB-HigA	glgA//
HipAB	metH//tktB//
HipB	lysC//cadA//add//
HprR	cueO//citD//glnA//fucK//
HyfR	prpD//
HypT	melA//leuD//yqjH//sdhD//ddlB//frdC//nrdD//
IclR	moaA//fumC//gabD//
IdnR	uxaB//deoC//rbsD//gadB//fumC//paaE//
IlvY	gadB//
IscR	argI//hycG//hycG//speB//fumB//uvrB//paaK//purN//
KdgR	nirB//chbG//
KdpE	deoC//
LacI	purL//citC//alaC//
LeuO	torA//fucO//hycE//argG//nrfC//polA//
LexA	pgaC//waaH//cysN//alkA//cysM//pyrD//prs//dgkA//phnO//allD//metA//puuE//uxaA//aldA//acnA//glpX//allC//waaY//glsA//udp//tnaA//trpC//fadH//
LldR	umuD//hyaB//
LrhA	
Lrp	wrbA//icd//gabD//add//mtlD//gudD//ilvE//fadI//kbl//dgcZ//ydcS//gpmM//aceB//purN//fadA//prs//pflB//murI//hycF//rutA//entC//glgA//cysG//ynfE//uidA//fumC//sucD//epd//rffG//glgC//ascB//fadD//sucB//dgcC//tehB//prpD//phnG//mhpC//mtlD//rimK//
LsrR	umuD//glpD//serC//phnI//tauD//
LysR	glgA//
MalI	mazG//fumC//
MalT	astD//dkgA//mraY//rffT//deoD//rpiB//
MarA	hyi//paaZ//aroA//dgkA//malY//ddlB//paaC//aroH//dinB//fadE//astE//fucU//rffH//prpB//speA//paaJ//glsA//tynA//folE//accC//pgk//fbaB//tyrB//fabG//
MarR	
MatA	moaE//
MazE	mltF//
MazE-MazF	aroL//
McbR	
MelR	paaG//ubiA//
MetJ	sodB//paaY//phnH//frdA//lpxC//phnP//cysM//pgk//edd//ilvI//
MetR	hemH//argB//fruK//dapD//
MhpR	katE//ppc//alsE//yfdE//mdh//purA//
Mlc	mpl//moaD//tynA//bioB//
MlrA	luxS//
MngR	trpD//ssuD//
MntR	moeA//purA//
ModE	ilvE//aldA//glsA//waaH//kbaZ//folE//cueO//pgaD//srkA//dkgA//glsA//tynA//sdhC//caiD//serC//ssuE//polA//
MprA	frdA//gpmM//nanK//
MqsA	leuA//bioA//
MraZ	cyoE//pgi//dinB//puuC//gcl//cdd//nemA//purK//paaZ//tdcD//
MurR	rbsD//sodA//umuC//
Nac	pfkA//moeA//cysJ//fabI//sbcC//purD//glmS//astD//astC//pyrC//oxc//
NadR	ugpQ//sucB//ybjG//lacA//
NagC	tdcE//glpD//glgX//hcaC//atoA//cdd//uxaB//eno//ppc//sdhB//paaY//ulaD//pdeH//galM//dadX//pncB//purC//ilvE//aroF//
NanR	gdhA//tdcD//glpB//gadA//purL//ilvG_1//
NarL	prpC//ynfE//rtcA//frdB//hycF//fabA//mngB//lpxA//argG//pheT//glpX//rffH//deoA//folA//metL//katE//pyrC//astA//sbcC//nrdA//ilvC//paaG//glcF//malZ//nadB//gatZ//fabB//mhpC//uxuA//puuD//frdC//fucU//sucD//serA//dkgB//fes//alaS//pyrD//murI//caiA//katG//
NarP	ynfG//aceF//tynA//rnpB//wecC//dhaL//dhaM//yeaE//ilvC//trpD//caiA//dadX//murF//recF//argH//
NemR	gapA//cysG//
NhaR	phnL//wecE//trpA//udp//rhaA//
NikR	paaI//
NimR	pagP//
NorR	garK//
NrdR	sucB//hcaE//udp//phnM//
NsrR	ydcS//ruvB//fadA//gatY//hycG//fadA//fabI//pflB//fumB//glpC//ppiA//citE//add//hycC//fabA//fadA//yedX//frc//ampC//lsrF//napA//pck//narH//caiC//eno//pgaC//idnO//relA//sodB//gdhA//lsrG//yeaG//tam//dmsB//pykF//phnG//garL//hyaB//fadJ//fadA//
NtrC	aroL//tehB//rutD//rfe//pgaB//astE//zwf//deoD//ascB//dacC//galT//alaS//rtcB//iscS//carA//nemA//rsmH//fucO//glyA//melA//tynA//
OmpR	umpH//ruvA//rffT//lacZ//bioD//glgA//uvrB//adhE//
OxyR	rffG//lldD//glyA//nagA//narI//dgkA//ahpC//wrbA//dsdA//grxA//fabG//gltB//pagP//guaB//fucI//ssuD//allB//
PaaX	garR//glmS//prpD//garK//uvrB//fabZ//rbsD//ilvM//dhaM//
PdeL	metH//
PdhR	mazG//dkgA//pgaB//phnP//ugpQ//tadA//ndh//rhaA//purF//sodA//sdhD//codA//fumB//mpaA//acnA//phnP//argI//tehB//acnB//accC//pspE//uidA//rffH//narH//murI//
PepA	betA//fumC//
PgrR	nrdE//sgbH//
PhoB	murQ//citE//frdB//chbF//bacA//metA//moaA//alsE//lpd//ynfG//paaF//rutB//galE//aroL//cysJ//guaA//dadA//udp//yqhD//fucO//
PhoP	trpE//rutE//aroA//torC//cysH//ogt//puuE//ulaD//aroL//chbG//mhpA//rnpB//moaD//sucB//tdcG//astD//nirD//paaG//fabI//waaY//citX//pgaB//garK//sdhB//phnI//citF//pgpC//narH//dapB//poxB//ampC//hypB//
PrpR	xapA//frc//sucC//rtcB//
PspF	cysE//
PurR	ubiA//murQ//idnD//aroH//moaA//ndh//gcl//aroF//fadJ//moeB//luxS//allE//dmsA//rffC//hypF//ilvD//uvrB//gltB//wecC//murI//gcvH//frc//tdh//lsrK//nirB//pagP//
PutA	tnaA//hyaA//
PuuR	oxc//ybjG//phr//ppc//sgbE//trpC//
QseB	
RbsR	caiC//galM//ubiX//fau//sucD//argB//
RcdA	waaZ//
RclR	
RcnR	hycC//
RcsAB	sdhD//ada//cysI//
RcsB	fucU//chbG//hyi//umuD//
RcsB-BglJ	moaA//deoD//
RelB	dkgB//
RelB-RelE	ascB//
RhaR	
RhaS	argC//torC//leuA//aspA//
Rob	ygeA//dadX//accA//phnI//citG//glpC//fes//sdhB//dadX//nagA//gatD//betB//guaA//ulaD//kbaZ//cynS//fadJ//sbcC//paaZ//
RstA	tdcE//sgbH//gadB//
RtcR	bioA//rffM//
RutR	moaC//ppsA//dsdA//pheT//rutC//tpiA//gadA//rimK//codA//rnpB//ilvH//
SdiA	
SgrR	ilvD//speA//ftsI//
SlyA	truB//ttdA//trpB//lacZ//frdC//phnN//glpD//nrfD//narH//
SoxR	dkgB//
SoxS	paaB//atoD//gatD//chbG//waaH//gcvH//fdhF//hcaC//sucC//nadB//melA//fbaA//gloA//aspA//cysN//treC//lhgO//amn//deoD//frdC//waaY//cynT//uxaC//cysG//metH//caiA//
SrlR	nanE//murD//poxB//
StpA	ilvE//prpD//alkB//
SutR	carA//wrbA//
TdcA	guaB//malY//uxaC//araD//trpD//
TdcR	frdA//murQ//gutQ//pyrD//aspC//
TorR	hycG//cysH//poxB//yeaG//metC//
TreR	garK//pgk//
TrpR	lacZ//nrfC//alaC//cysE//rhaD//accC//cysD//idnD//ydcS//
TtdR	gatZ//glmS//
TyrR	argB//mhpC//bioB//ynfE//ubiX//napB//uxuA//kbl//fabA//
UhpA	cysD//
UidR	tyrA//entC//
UlaR	pgk//caiB//aceF//ppc//acnB//
UvrY	ampC//metB//
UxuR	astE//dkgA//kbaZ//ampC//hcp//
XapR	puuC//hcaD//
XylR	fumB//pgm//fadM//
YdeO	rpiB//prpB//hcaB//
YefM	glpK//
YefM-YoeB	cysE//
YeiL	
YhaJ	
YiaJ	dadA//ynfF//garD//gpmA//sdaA//paaH//
YjjQ	bioD//hemH//
YpdB	
YqhC	alsE//uxuB//
YqjI	argD//
ZntR	sdaA//
ZraR	
Zur	dmsC//
