# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fucO//torC//
TrpR	dhaM//aroG//dgcC//gcvH//mnmG//pdeH//carA//ilvG_1//glgP//
TtdR	arsC//ttdB//
TyrR	alkB//fadB//rffG//citC//argC//phnI//gdhA//garL//hcp//
UhpA	phnO//
UidR	rbsD//glgA//
UlaR	gdhA//cysH//citD//cdd//dapB//
UvrY	eno//bioA//
UxuR	rffM//torC//ubiA//mdh//citF//
XapR	nrdD//nanA//
XylR	hycF//lysA//pyrC//
YdeO	tdcB//sdhB//hycF//
YefM	pdeL//
YefM-YoeB	fadD//
YeiL	
YhaJ	
YiaJ	mngB//hycF//araB//ilvA//cueO//pgaB//
YjjQ	hcaE//dgkA//
YpdB	
YqhC	yqhD//hyaA//
YqjI	fabH//
ZntR	rhaD//
ZraR	
Zur	rpiB//
