# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ppiA//argE//
Lrp	lacZ//purL//ldtC//mazG//fabH//xapA//poxB//adiA//hcaB//ilvH//ldtB//eda//tdh//glpA//uxuB//fucK//serA//ulaD//aroA//speB//mltF//nirB//mnmG//rbsK//wecE//napG//pyrC//uxaB//rpiB//talA//murI//fruK//alaA//frc//gudD//pck//appA//tdh//alaA//alaC//
LsrR	cysI//ada//dapD//add//fau//
LysR	dhaK//
MalI	astB//paaZ//
MalT	gcvP//tdcB//gltD//arsC//ogt//appA//
MarA	nanK//puuA//hypB//cadA//frdD//idnO//aspC//recF//uxaC//trpD//pyrD//frdA//uvrC//murC//araB//wrbA//trpB//amn//yedX//ilvG_1//phnL//sbcC//purM//guaB//
MarR	
MatA	tdh//
MazE	fau//
MazE-MazF	malZ//
McbR	
MelR	ynfE//chbG//
MetJ	tktB//rbsK//hmp//eda//metH//lpxA//prs//lysU//tynA//yiaK//
MetR	torA//tdcE//argE//tadA//
MhpR	umpH//rutA//nrdB//fabI//fadD//trpB//
Mlc	dgcC//aceF//bglB//fabG//
MlrA	ampC//
MngR	galT//gor//
MntR	metA//ilvE//
ModE	bioB//purD//wrbA//rhaD//ulaD//ndh//sucC//srlD//mdh//nrfC//tyrB//cysC//fucK//citE//prpB//murQ//pyrD//
MprA	entC//rutC//icd//
MqsA	ynfF//idnO//
MraZ	citE//lysA//pepD//ilvC//leuA//rffC//gatY//garR//tnaA//trpC//
MurR	bglB//pspE//dacC//
Nac	deoA//alaA//hemL//rhaB//phnG//yeaE//wecC//allE//narH//glcF//epd//
NadR	gdhA//carA//idnK//ttdA//
NagC	garK//rpiB//lpxA//prpC//nrdB//bioA//cysG//hemH//gor//cysK//murI//fumB//citE//putA//citG//ldtB//phnO//sucA//nadA//
NanR	fabI//ftnA//fucU//fadI//ftnA//katE//
NarL	mltF//ada//lhgO//pgi//nrdB//poxB//puuE//sdaA//bioD//trpB//sgbU//chbG//dhaM//eda//mhpD//dmsB//dacC//gatZ//mhpE//rutE//pgk//glnA//dkgB//gpmA//ttdA//mhpD//pflB//fbaB//nagA//gloA//paaK//nirD//mpaA//fabG//lsrG//phnJ//tehB//adiA//sdhC//cynS//waaY//
NarP	hmp//ftnA//dkgB//torC//bacA//ilvC//hcaF//srlD//gadB//cyoE//udp//ssuE//aceE//hcaC//ttdB//
NemR	dkgB//rffC//
NhaR	rimK//tynA//pykF//hycE//sodB//
NikR	ndh//
NimR	nfsB//
NorR	moeA//
NrdR	treC//gloA//pflB//ttdA//
NsrR	aceA//ruvA//araB//tyrB//argH//fucK//zwf//ulaD//pheS//rffH//garL//caiD//hypB//epd//ilvI//paaG//ilvD//bioB//pykF//ynfF//pagP//bioA//pnp//pagP//rffG//pgi//ogt//mpl//lsrG//purF//hycE//rimK//entD//ynfH//ycjG//guaB//glgB//ynfE//dhaL//rbsD//
NtrC	puuC//phnO//cynS//puuC//sgbE//tktB//entF//cysE//sdhB//fucI//cynT//putA//fes//mtlD//cyoE//fadA//rimK//folA//ydcS//kbaZ//dhaL//
OmpR	waaH//fucU//fadA//gcvH//ppc//ppc//poxB//fdhF//
OxyR	pepD//guaA//gltD//patA//gor//aceA//nrfD//hcaE//gadB//malZ//nrdB//dadX//rtcB//glk//ynfG//malS//leuC//
PaaX	lacA//gabT//talA//glcF//betA//glpC//tehB//astC//ubiX//
PdeL	dgcN//
PdhR	fabA//allB//eno//ribA//paaI//argF//citD//sdhD//aroL//aspC//zwf//folA//nadA//tam//waaH//frc//pgaD//umpH//sgbH//sbcC//appA//hcp//hemH//glpD//kbl//
PepA	metH//yiaK//
PgrR	entB//ycjG//
PhoB	ruvB//aceE//alkA//hypB//asnB//carA//purK//rpiB//sodB//eno//dhaL//udp//dkgA//ldtB//sodA//pgm//aroG//lacA//sdhA//ilvA//
PhoP	gcvT//phr//citE//galE//hcaC//narG//paaC//nadA//yeaE//glcD//ldtC//rffH//gutQ//lldD//ynfF//argD//idnK//mnmG//murC//hcaF//trpB//cysK//mazG//purB//nirB//yfdE//paaK//glcD//gcvT//frdD//ulaD//fucK//
PrpR	fadE//narI//glpK//ulaD//
PspF	moeB//
PurR	yeaE//narG//puuC//pflB//aceE//pheS//tpiA//cadA//sgbU//entF//ubiX//mhpF//waaH//lysC//ssuD//nirB//trpD//puuB//dacC//kbaY//hycD//fadB//ychF//frdD//aroL//sdhB//
PutA	xylB//puuB//
PuuR	sucA//idnD//ydcS//gntK//paaC//rpiB//
QseB	
RbsR	glcE//yiaK//pdeH//ilvH//gatZ//cynS//
RcdA	astE//
RclR	
RcnR	sucC//
RcsAB	sgbH//yiaK//atoA//
RcsB	kbaY//puuC//ilvA//ldtD//
RcsB-BglJ	ilvM//pgaC//
RelB	paaB//
RelB-RelE	hemL//
RhaR	
RhaS	gdhA//citF//malP//citD//
Rob	fbaA//nanM//pdeH//sdhC//ilvG_1//yfdE//garK//ndh//gloA//glgA//accA//asnB//ydcS//nagA//entD//uxuB//gabT//dgcZ//carB//
RstA	guaB//adhE//allD//
RtcR	hemH//murI//
RutR	entA//pgaD//gutQ//narG//ogt//waaH//astD//hycD//fucI//ada//pnp//
SdiA	
SgrR	idnO//trpB//glgB//
SlyA	purC//paaG//rutE//nadA//yqhD//dhaL//wecE//dmsC//citE//
SoxR	hcaC//
SoxS	fadA//phnL//udp//ruvA//appA//murC//gatD//glcE//alaS//entH//tadA//ldtD//dinB//ppc//ttdB//treC//napB//murC//malP//poxB//astB//sdaA//rutD//glpD//glmU//psd//
SrlR	entA//folE//argH//
StpA	argB//fabZ//rutD//
SutR	mpl//mhpD//
TdcA	glpD//recF//pdeH//icd//mhpC//
TdcR	dgcC//fadD//dkgA//garL//atoB//
TorR	caiD//eno//serC//moeA//sucB//
TreR	glsA//metA//
TrpR	idnO//deoA//dadX//deoD//ttdA//mhpD//fucK//tdcB//chbF//
TtdR	tehB//lacA//
TyrR	cysG//allA//katE//wecC//carA//acnA//dacC//pncB//nanA//
UhpA	puuA//
UidR	ttdB//hcaB//
UlaR	fumC//relA//kbaY//napG//relA//
UvrY	ndh//uxuA//
UxuR	entA//chbG//galE//hcaE//phoA//
XapR	astD//ftnA//
XylR	entF//tyrA//srkA//
YdeO	melA//argF//sgbE//
YefM	aroF//
YefM-YoeB	rimK//
YeiL	
YhaJ	
YiaJ	fruK//gor//glmU//rhaB//glgX//moaE//
YjjQ	yeaG//nrfA//
YpdB	
YqhC	aroG//glpD//
YqjI	rnpB//
ZntR	bioC//
ZraR	
Zur	astC//
