# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	metC//puuA//
Lrp	fadH//nemA//ldtC//hyaB//aceA//hcaB//puuD//cdd//glpB//epd//ampC//lysC//wrbA//talA//mtlD//patD//ahpF//kbl//araB//hyaB//dhaM//rtcA//polA//ulaD//glgA//fucA//tadA//glpX//mhpE//ppsA//deoA//ilvH//bglB//pyrD//dhaK//purN//dhaM//melA//murF//waaY//
LsrR	yedX//glgC//sdhB//tyrA//mhpD//
LysR	astB//
MalI	ilvH//gutQ//
MalT	fucK//carA//epd//melA//hypB//fabZ//
MarA	xylA//accA//rffC//nfsB//entD//wecB//fadJ//entE//rtcA//slt//purB//arsC//tdh//argD//putA//tehB//ada//cueO//kbaY//grxA//add//fucU//sufS//araB//
MarR	
MatA	katG//
MazE	leuA//
MazE-MazF	gloA//
McbR	
MelR	waaH//phnO//
MetJ	murC//katE//truB//garD//sodB//speB//tehB//purL//citF//fdhF//
MetR	aceA//paaK//cysE//aceA//
MhpR	hycC//betB//aroF//fabH//aroA//codA//
Mlc	pdeR//murQ//uxuA//tam//
MlrA	puuD//
MngR	entE//glpD//
MntR	mhpE//aroL//
ModE	moaD//yqhD//phnJ//entC//ftsI//leuC//leuC//fabG//putA//moaE//add//phnN//deoA//glpK//argB//moeA//mtlD//
MprA	add//cysE//entD//
MqsA	rhaD//purD//
MraZ	metA//citF//lsrF//rffM//hycB//glpK//nrdB//folA//hcaC//gatD//
MurR	entF//xapA//sdhB//
Nac	treC//umpH//astE//aroF//ftnA//argF//prpB//tktB//purD//gpmM//moaA//
NadR	phnM//gdhA//entE//moaC//
NagC	pyrD//purK//ubiX//ogt//malS//rbsD//dacC//paaE//gadA//astC//allC//patD//putA//metK//paaF//accC//fadA//argH//tam//
NanR	allC//dacC//aceF//wzc//dapD//tehB//
NarL	mhpD//phnH//mazG//pdeR//dsdA//mraY//ilvG_1//poxB//tauD//citX//lhgO//ynfG//mhpE//frdC//dacC//prpB//pgm//napB//arsC//kbaY//slt//fau//frdD//paaJ//nanA//purC//bioF//guaA//mhpB//nrfA//argE//tehB//rhaB//ahpC//ttdA//dhaM//trpA//aroA//hyaB//pgaC//leuD//
NarP	phnP//zwf//sbcD//pgk//hycC//glgA//truB//rutB//hcaF//metC//nadB//fumB//prpB//nfsB//purE//
NemR	gloA//sodA//
NhaR	glpD//rhaD//uxuA//eda//ppsA//
NikR	ftnA//
NimR	nfsA//
NorR	yeaE//
NrdR	paaJ//mhpC//slt//lpxA//
NsrR	dgcZ//tadA//ogt//ubiC//paaC//cysI//ldtD//rtcB//garD//malQ//frdC//fucK//gor//glpK//ndh//bioC//hycD//murF//sucD//serC//gutQ//metL//gadA//paaA//glpB//leuA//ttdB//pgm//lpxC//fabI//napH//astC//mhpB//pdeL//nfsB//deoD//tdh//dkgA//fumB//dhaK//
NtrC	pgk//umuC//cysI//ppiA//wzc//tdcD//lldD//citC//paaG//gltD//paaI//tehB//citC//fadI//galM//trpB//fbaA//phnL//tktB//entD//sgbU//
OmpR	gpmA//gatZ//paaI//ynfE//bacA//rnpB//patD//ssuE//
OxyR	lpxA//trpB//ilvG_1//astC//fadE//metF//recD//entA//aroL//glpX//deoD//srlD//ydcS//uvrC//glcB//frdB//hcaE//
PaaX	sgbU//ada//kbaZ//thrS//melA//guaA//argI//glgB//uxaA//
PdeL	trpE//
PdhR	lpxD//ilvE//puuA//gadA//galT//pspE//puuC//prpB//betA//rutC//nfsA//ftsI//gcvH//hcp//folA//garD//waaH//sbcD//cysK//malS//relA//feaB//gltD//mazG//nrfD//
PepA	icd//gapA//
PgrR	mhpB//torA//
PhoB	katG//rnpB//dhaL//citD//appA//ssuD//recB//murC//tauD//ycjG//aceE//cysN//bioF//ilvI//mtlD//hycC//napA//wecE//ahpF//fadH//
PhoP	nadA//glgC//sgbH//patD//speB//citC//ulaD//gadA//ydcS//katE//rutA//paaJ//glgP//pspE//sbcC//hyaB//tdcB//gntK//mhpD//prpC//appA//umuC//asnB//mpaA//cysM//lpxD//fau//idnO//deoB//sucD//ndh//adiA//
PrpR	mdh//glgA//argH//tdcE//
PspF	ilvG_1//
PurR	fabI//rffH//tadA//ttdB//epd//mhpD//phnP//caiA//polB//gabT//gcl//gloA//purA//rutD//nadA//deoC//fadE//ycjG//kbaZ//ung//eno//accD//leuA//adiA//purD//ttdA//
PutA	cysJ//garL//
PuuR	pheT//prpD//leuC//asnA//entF//metK//
QseB	
RbsR	phr//gcvP//glpX//rsmH//ftnA//argF//
RcdA	ppiA//
RclR	
RcnR	yedX//
RcsAB	paaH//polB//mngB//
RcsB	metE//nagB//hcaC//frdC//
RcsB-BglJ	tdcG//betB//
RelB	rutC//
RelB-RelE	dgcC//
RhaR	
RhaS	srlD//eno//folE//hcaF//
Rob	phnN//sucD//alsE//paaH//ppiA//rffH//glyA//ilvA//bglB//appA//paaC//rhaA//frdA//entA//recF//fadI//rutE//luxS//garR//
RstA	cueO//thrS//nrdE//
RtcR	glpA//pepD//
RutR	glnA//uxuB//phnI//yfdE//patA//mdh//ychF//mpl//paaB//edd//truB//
SdiA	
SgrR	gor//bglB//hcaF//
SlyA	sbcC//hmp//deoB//wzb//wzc//codA//hemL//glgP//glgA//
SoxR	ynfH//
SoxS	moaE//treC//sufS//serA//lysU//pykF//rimK//ilvA//tdh//allD//ynfH//gatD//frdD//mazG//pgaC//rffH//uxaA//entB//nanE//napH//lpd//glsA//napA//eda//rffT//yedX//
SrlR	hycF//purC//argE//
StpA	xapA//bioF//ulaG//
SutR	hycB//xylA//
TdcA	mltF//gudD//rhaD//gatZ//narH//
TdcR	napA//purH//metK//aspA//caiA//
TorR	murE//aceB//hyaB//hyaB//paaJ//
TreR	gcl//pgm//
TrpR	astA//pheS//slt//napG//galM//aspC//srlD//talA//dapD//
TtdR	glcB//wzb//
TyrR	puuC//sufS//glpC//kbaY//pgaB//cysK//entC//moaC//gpmA//
UhpA	codA//
UidR	tktB//hycC//
UlaR	ilvM//ampC//speB//garL//purF//
UvrY	sucD//cyoE//
UxuR	cysK//cdd//dapB//ddlB//ilvI//
XapR	entE//waaY//
XylR	nadB//garK//phnI//
YdeO	ycjG//hemL//bioF//
YefM	ulaE//
YefM-YoeB	lpxD//
YeiL	
YhaJ	
YiaJ	ldtD//wzb//srlD//aroG//ftnA//yfdE//
YjjQ	uxaA//gatZ//
YpdB	
YqhC	paaY//sgbE//
YqjI	hcaB//
ZntR	glcB//
ZraR	
Zur	napH//
