# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	fadJ//deoB//
FadR	uxaB//truB//dhaM//ppsA//dgcC//putA//dgcC//avtA//ampC//rhaD//murI//gpmA//sufS//lpxC//asnB//uxuB//mdh//ubiX//hycG//
FeaR	dmsB//citG//
FhlA	glgC//sdhA//alaS//puuD//chbG//astC//argA//frdD//
FlhDC	araA//aroA//dgcZ//pdeH//frdB//entH//paaB//napA//ilvC//uxuB//alaC//rnpB//bioD//fadB//
FliZ	fucK//allE//prpE//metB//srkA//
FucR	mltF//glyA//hycG//ftsI//fucA//allB//
Fur	kbaZ//idnO//patD//moaE//bioB//malP//murE//lhgO//mhpC//dapD//glnA//bioB//recD//citG//dadX//alaS//sucA//fadJ//metL//gapA//moeA//murF//pyrD//mpaA//napB//entA//ubiC//putA//dmsB//accA//gabD//thrS//ilvI//idnK//ilvH//rhaA//dinB//argI//nirB//napA//allE//ychF//deoB//purE//fucI//gdhA//glyA//ldtB//caiB//ilvH//carA//katE//nrdD//argB//argC//rutA//aspA//gpmM//waaY//nanK//dkgB//purC//
GadE	folA//fabH//dgcN//dapB//lysA//fadA//moaA//sgbU//fes//caiB//
GadE-RcsB	dapB//ppc//glxK//nrfD//lldD//
GadW	epd//pfkA//waaZ//fucO//
GadX	ynfE//recB//mpl//nirD//tdcE//paaH//oxc//ilvH//folA//astC//araB//dgcC//nrdF//
GalR	rutE//puuE//dgcC//kbl//moaE//epd//
GalS	cysJ//tehB//patD//pgaB//sdhA//rtcA//
GatR	pfkA//dhaL//fadE//
GcvA	rpiB//pspE//dmsC//
GlcC	bioC//bioA//glsA//
GlpR	rutC//mngB//gor//dadA//metE//gltB//phoA//
GlrR	
GntR	ilvG_1//nanE//fucI//rutC//bioA//metH//idnK//paaA//serA//
GutM	entC//sgbU//cysC//
HU	fadD//ahpF//glxK//ldtB//bglB//ttdB//tdcB//
HcaR	alaC//citD//
HdfR	
HigA	aspA//
HigB-HigA	trpA//
HipAB	galE//tdcE//
HipB	rffG//uxuA//ddlB//
HprR	fumC//tehB//citG//ldtD//
HyfR	hycF//
HypT	poxB//speA//phnI//paaZ//rutD//paaK//ndh//
IclR	gadB//hemL//fadE//
IdnR	wecC//lpxD//entC//glgB//entC//sdhD//
IlvY	metC//
IscR	arsC//srlD//rhaA//rpiB//cyoE//fadJ//mpaA//dadA//
KdgR	rffT//paaH//
KdpE	wecC//
LacI	fucI//nanM//chbG//
LeuO	leuB//murI//pspE//recF//dgcC//narG//
LexA	hycF//fucO//allC//prpC//mltF//glyA//ahpC//fadA//frdB//malP//deoD//lpxC//sodB//mraY//pdeR//yfdE//carA//napB//narG//paaK//purL//ssuE//glpX//
LldR	argF//ampC//
LrhA	
Lrp	yqhD//patA//trpD//nanA//umpH//pgpC//folA//fadA//xylB//ttdB//narG//moeB//glpX//caiA//hycD//wecE//pflB//phnN//sdhA//trpE//rtcA//hycC//rhaA//glgC//ilvC//purH//ycjG//citG//glpA//fucO//paaK//fucK//fadM//accD//leuC//fumC//ilvC//puuE//ychF//glpK//
LsrR	rffG//mhpC//dacC//fabG//gltB//
LysR	garK//
MalI	sucA//sdaA//
MalT	caiC//mhpB//caiD//nirD//dmsA//kbaZ//
MarA	dadX//kbaZ//puuD//glxR//rhaD//gabT//atoD//trpE//allC//fadE//yqjH//ugpQ//frdC//chbG//metF//hypF//umuD//gcvH//appA//malQ//mhpB//glpX//pnp//argB//
MarR	
MatA	glnA//
MazE	glpQ//
MazE-MazF	ssuE//
McbR	
MelR	lsrF//citC//
MetJ	ada//mnmG//fabI//ppiA//murF//argI//rutD//yqhD//aroG//kbaY//
MetR	hmp//mnmG//rsmH//fbaA//
MhpR	ilvI//galK//mhpC//narG//sodB//yedX//
Mlc	dmsA//add//cueO//astD//
MlrA	uxaA//
MngR	mnmG//gabD//
MntR	pgaB//ubiC//
ModE	aspA//paaA//nirB//cynT//ruvB//argH//dhaK//glpQ//add//mpaA//garD//gudD//gnd//recF//glpA//lpxC//atoD//
MprA	prpE//pgaB//fbaA//
MqsA	phnN//gloA//
MraZ	deoC//ugpQ//bioC//hycF//cdd//idnK//ynfG//glgX//sucC//rfe//
MurR	argI//ilvA//fadD//
Nac	udp//mazG//malQ//alkB//phnG//entA//hcaE//paaE//purN//gpmM//fucA//
NadR	cysD//prs//patA//sgbE//
NagC	accC//metL//ldtB//gapA//murG//uvrB//hypF//leuD//glxR//dmsB//dhaK//metE//argA//fadM//ppiA//fbaB//moaD//fadB//hycE//
NanR	ilvI//purN//dhaM//gcl//glpX//argI//
NarL	citG//mhpE//purD//glgP//glgX//alkA//gadA//moaA//fruK//umpH//uxuA//tyrA//ilvG_1//rutB//gcvP//murD//mhpE//nfsB//phnM//hcaF//malS//lacA//tyrB//alaC//mngB//ilvI//xapA//frdD//wecB//metE//fadA//purF//ruvB//prs//purK//cynS//ruvA//hycG//fabZ//oxc//alaC//
NarP	cysD//hyaA//fucO//cynT//paaI//fabI//mhpB//malQ//garK//ubiA//phnP//cysC//rbsD//nemA//rnpB//
NemR	tehB//hemH//
NhaR	argA//murI//alaS//pspE//fabI//
NikR	mazG//
NimR	dmsB//
NorR	gadB//
NrdR	aspA//ynfF//sgbH//gudD//
NsrR	ilvA//nrdE//uvrC//dhaL//bioB//polB//hcaF//cueO//ogt//polB//murC//sdhC//ppc//katG//ftnA//fucU//phnL//rbsK//ychF//glyA//phnJ//gapA//rpiB//pgpC//allA//fadM//phnI//uvrC//relA//galE//edd//slt//pgpC//ydcS//umuC//fucA//ascB//hycC//sodA//chbF//
NtrC	entF//rhaB//glgC//truB//sucD//hcp//rimK//hycB//frdC//glyA//bglB//tdcG//murI//entB//glgX//gadA//ndh//phnG//lldD//hcaC//xylB//
OmpR	appA//yiaK//frc//hycB//dinB//puuB//citG//ppsA//
OxyR	leuB//yeaG//paaA//argE//patD//ascB//hyaC//rutD//paaE//ppc//malQ//umuD//pgaC//allC//glpA//tnaA//gor//
PaaX	ynfF//murD//waaH//speB//patD//nanE//ulaF//allD//accC//
PdeL	uvrA//
PdhR	ttdB//alaC//nagB//aceA//idnK//gatY//ilvC//fdhF//alaS//fabA//alaS//alkB//cysH//nagA//phnM//pepD//paaC//dmsA//entE//sucA//ilvD//gabD//aroG//hmp//mtlD//
PepA	waaH//dapB//
PgrR	polA//frdB//
PhoB	dinB//pgaD//sgbE//gabD//chbF//amn//dapB//nrfC//metK//tnaA//nanE//glnA//glpQ//pspE//ahpF//garK//tdcG//rtcA//ilvG_1//sucD//
PhoP	adhE//gor//recD//nadB//gudD//lpxD//ruvA//tdcE//araB//sdhB//deoC//cysH//nanM//carB//cdd//gudD//aldA//gltD//carB//srlD//gatZ//nrfA//galM//hcaF//cysI//fabD//gltB//uvrB//ahpF//sodB//alkB//bioD//
PrpR	mltF//astB//kbl//malZ//
PspF	paaH//
PurR	idnD//cysD//adiA//sdaA//entH//polB//paaA//ssuD//wzb//entB//bioA//gcl//rffC//lsrF//cysI//recF//lsrK//gatD//phnN//dinB//slt//adiA//pflB//fbaA//narH//phnO//
PutA	yqhD//nrdB//
PuuR	deoC//edd//fadJ//pdeH//ulaF//talA//
QseB	
RbsR	aroL//aroL//chbF//uidA//glcE//cynS//
RcdA	relA//
RclR	
RcnR	ccp//
RcsAB	speA//cysC//dmsA//
RcsB	fadE//yiaK//glmS//recD//
RcsB-BglJ	sgbU//uxaB//
RelB	talA//
RelB-RelE	codA//
RhaR	
RhaS	betB//ilvD//rffG//carB//
Rob	tdcG//napB//pgpC//cysE//mnmG//umpH//cdd//aceE//aceA//folA//ycjG//allC//ulaF//deoA//pdeL//ygeA//garD//cadA//gpmA//
RstA	lacA//nanE//gadA//
RtcR	lysC//tyrA//
RutR	metK//mhpC//sdhA//nrfD//tktB//betA//hycG//tam//tauD//ldtC//prpB//
SdiA	
SgrR	dmsA//purL//tadA//
SlyA	gcvH//dapB//cysC//dacC//talA//caiD//bioB//gpmA//uxuB//
SoxR	cynT//
SoxS	glk//purA//mhpC//tdcD//ascB//edd//katG//caiD//nfsB//fes//yiaK//ccp//phnH//hyaB//fadI//sucB//rffM//folA//cysD//rfe//idnO//hycF//lysA//nrfC//melA//srlD//
SrlR	fadI//bioB//rpiB//
StpA	murC//araA//fau//
SutR	edd//speB//
TdcA	nrdE//citD//entH//pgk//ldtC//
TdcR	dhaK//fumC//pgm//astC//alaS//
TorR	glxK//bioA//waaY//patA//aceF//
TreR	metF//cysN//
TrpR	aceE//sodB//ccp//hcaB//xylB//pheT//hyi//umuD//mnmG//
TtdR	garL//cynS//
TyrR	zwf//ldtC//fadI//argI//ogt//bioD//leuC//phr//nirB//
UhpA	cysJ//
UidR	rutB//thrS//
UlaR	melA//rtcA//ilvG_1//gadB//hcaE//
UvrY	talA//carA//
UxuR	rsmH//rffH//gcvH//phnM//paaI//
XapR	dmsC//napH//
XylR	prpC//paaH//bioF//
YdeO	rtcA//accD//glpA//
YefM	lpd//
YefM-YoeB	hyi//
YeiL	
YhaJ	
YiaJ	nanK//galM//sgbE//dapD//fadD//paaI//
YjjQ	argC//metL//
YpdB	
YqhC	nanE//folA//
YqjI	yiaK//
ZntR	xylB//
ZraR	
Zur	narH//
