# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ychF//pnp//
GlpR	mdh//garD//fadI//gloA//fabZ//murI//rtcB//
GlrR	
GntR	puuE//phnO//moaC//nagA//yedX//fadJ//pgaC//bglB//uvrB//
GutM	ycjG//ydcS//wecB//
HU	puuC//dkgB//aroH//nanM//paaJ//sgbU//argA//
HcaR	glgA//chbG//
HdfR	
HigA	phr//
HigB-HigA	glxK//
HipAB	garL//entD//
HipB	glgX//waaH//glpA//
HprR	glpA//tdcG//xylA//folA//
HyfR	lhgO//
HypT	chbF//rbsD//hycF//allB//citE//citF//leuB//
IclR	avtA//fadJ//cysN//
IdnR	betB//sufS//ccp//sdaA//caiA//mhpB//
IlvY	purB//
IscR	dadA//rtcA//asnB//caiA//frc//phnN//dinB//murC//
KdgR	entH//fucU//
KdpE	sodA//
LacI	ttdB//uidA//nrfD//
LeuO	nanM//metA//napA//udp//prpE//nirD//
LexA	prpE//uidA//waaY//patD//entH//glpQ//pncB//alkA//ynfE//dmsA//pncB//aceF//lpxC//ynfE//nrdD//phoA//lsrF//nfsB//glcE//nadA//ilvD//dhaK//pheT//
LldR	pykF//nrdB//
LrhA	
Lrp	ttdA//hyi//sufS//rimK//tdcB//purH//fadE//tehB//entH//cysC//puuD//truB//paaJ//ilvD//fabG//melA//paaK//ndh//phoA//appA//prpB//hyaB//phnJ//eda//allB//dsdA//pdeL//gapA//gor//frdB//hcaC//gcl//alkB//glcF//pspE//tauD//uxaB//fucA//astA//rtcA//
LsrR	gloA//ilvE//rhaA//sgbU//chbG//
LysR	rbsD//
MalI	trpE//sbcD//
MalT	dapB//oxc//ldtB//ruvB//alaS//gcvP//
MarA	nrdF//glxK//rutD//wecE//paaB//rutE//bglB//ftnA//treC//gpmM//hcaE//purD//dgcC//dkgB//adiA//purE//ogt//astC//ulaG//paaY//hcaE//pyrD//purC//treC//
MarR	
MatA	caiB//
MazE	hcp//
MazE-MazF	rffH//
McbR	
MelR	kbaZ//nanK//
MetJ	allC//glmU//nrdB//polA//hycC//gabD//polB//mnmG//metK//tynA//
MetR	fbaB//xylA//cysN//nrdA//
MhpR	caiB//nanE//recF//accC//wecB//garL//
Mlc	moaE//serC//hemH//fbaB//
MlrA	xapA//
MngR	lacA//phnN//
MntR	sucC//arsC//
ModE	sodA//dkgB//xylA//ilvD//moaC//hyi//mpaA//moaE//fabB//icd//phnP//garK//phnL//pgm//ulaE//codA//rbsK//
MprA	pgm//glcF//cysI//
MqsA	accA//caiB//
MraZ	allC//wecE//mhpE//rutB//frc//folE//fucK//entC//nrdD//ribA//
MurR	nadB//wecE//thrS//
Nac	gatZ//tdcE//purC//cynT//fumB//malP//yqjH//alaS//puuD//glgB//frc//
NadR	phnH//ygeA//cysJ//glcB//
NagC	mngB//purL//ftsI//acnA//mdh//pgaD//ampC//dgcN//idnO//ung//argD//treC//bacA//paaF//sdhB//yiaK//garK//napB//sbcD//
NanR	pheS//phnJ//sdhC//frc//aroF//glxR//
NarL	lsrK//fabI//melA//pgk//allE//mltF//phnH//patA//fucI//murE//ulaD//dadA//sdhA//purB//accD//glgB//tam//argG//oxc//cysM//wzb//xylB//entF//deoD//araA//entC//rtcA//mhpF//trpE//napA//eda//fabI//kbl//purF//uxaB//caiA//ilvG_1//purE//hcaE//patD//pgaD//
NarP	hycF//gdhA//aroH//ada//metB//purE//katG//slt//gcvH//lldD//citC//bioB//nirD//dgcN//waaY//
NemR	ilvG_1//pgaD//
NhaR	umuD//ldtC//gadA//cysH//napB//
NikR	cyoE//
NimR	uvrC//
NorR	dgcZ//
NrdR	mhpE//pfkA//sgbE//mhpA//
NsrR	aceB//torA//garL//tyrA//galK//argF//udp//purM//mraY//acnA//sodA//trpD//bioF//hcaB//nfsB//hycD//puuD//fabG//asnA//citG//accC//ogt//frdD//ftnA//purF//waaH//ssuD//purL//nadB//malP//gutQ//allA//glpQ//hcaD//mhpF//hyaA//allD//glgB//yqhD//araB//
NtrC	feaB//lyxK//polB//guaB//ampC//cysD//speA//adhE//metF//ribA//hycF//frc//idnK//hycF//hmp//gcl//ilvE//dinB//paaG//hycE//nrdA//
OmpR	sbcC//moaC//trpD//putA//umpH//tdcE//aroA//tam//
OxyR	rbsK//alkA//bioF//umuC//sdhB//mhpE//umpH//purC//prpB//fadB//pdeL//eno//gatD//fadB//narG//trpC//umuC//
PaaX	cadA//talA//mpaA//nanM//alaS//aceF//rutE//pdeR//wzc//
PdeL	nadA//
PdhR	glk//ldtD//garR//lsrK//allE//glmS//puuE//uxaC//metA//yedX//glgB//ulaF//hemH//bacA//ubiX//puuE//pheS//trpC//pgaD//rhaA//fadE//gapA//ubiA//glpA//mhpD//
PepA	malP//malP//
PgrR	pgk//nrdB//
PhoB	ampC//gudD//ynfH//uxuA//ldtB//sodA//rffT//nrdF//gabT//glyA//rbsD//mazG//yqhD//citC//dadA//astA//nanK//codA//fucK//fabH//
PhoP	araA//citD//cadA//gatZ//prpB//umuD//poxB//lsrF//glgP//grxA//fucU//hycC//phnL//fucU//xylA//folA//carB//phnN//pheT//paaF//fabG//sdhC//nanM//galT//alaS//ogt//leuA//leuC//trpE//waaY//aspC//uxaB//
PrpR	paaI//mhpD//paaH//nirB//
PspF	rffM//
PurR	hypF//uxaC//ygeA//entD//amn//ynfH//moaE//rutA//ilvC//aceB//narG//fucO//gatY//gatD//aroG//wzc//purB//sgbH//rimK//umpH//nfsA//fabD//aroL//rtcA//ulaD//ftnA//
PutA	cynS//argF//
PuuR	nrdE//bglB//betB//dadX//pyrD//alsE//
QseB	
RbsR	uvrC//lysC//speB//rffG//feaB//puuC//
RcdA	pck//
RclR	
RcnR	moeA//
RcsAB	oxc//poxB//cyoE//
RcsB	uxaA//cadA//pyrD//yqjH//
RcsB-BglJ	trpD//glpC//
RelB	pck//
RelB-RelE	fadB//
RhaR	
RhaS	xapA//fadA//lsrK//polA//
Rob	patA//ilvM//prpD//fadI//nemA//deoC//pheS//tynA//ilvM//caiC//araB//dmsA//dmsA//glgP//hyaA//argF//garL//pyrD//argD//
RstA	tam//appA//metL//
RtcR	uvrC//hycC//
RutR	fucI//fadH//metC//uvrB//dmsC//entC//lacA//aroG//rimK//glpB//rsmH//
SdiA	
SgrR	gadB//sucB//adhE//
SlyA	rtcA//lacA//uxaA//galT//katG//guaA//puuE//malP//gudD//
SoxR	pyrC//
SoxS	appA//dmsA//rutB//entH//galE//gatY//fabB//paaZ//fdhF//ampC//dhaL//tdcD//paaG//waaH//cysJ//garR//garL//acnA//dhaL//fadI//rutA//recF//dgcC//hypF//torA//entC//
SrlR	phnN//nrdE//galE//
StpA	nagB//srlD//sgbE//
SutR	cysC//mtlD//
TdcA	ftsI//bioA//aroL//cynT//add//
TdcR	caiD//recB//glmS//wrbA//purE//
TorR	speA//lsrK//uvrA//ilvC//nagB//
TreR	speB//sodB//
TrpR	hycG//ruvA//carA//gadA//sdhC//mhpB//hycE//napA//aldA//
TtdR	ubiA//fabA//
TyrR	grxA//mhpE//garR//zwf//puuB//aroF//yfdE//mdh//nrdA//
UhpA	entD//
UidR	napB//ilvD//
UlaR	glpA//glpC//mpl//nrdE//metB//
UvrY	ftnA//gcvH//
UxuR	phnO//tdcE//gntK//pheT//leuD//
XapR	rutB//mhpA//
XylR	nagB//ubiX//aroH//
YdeO	bacA//mazG//nanE//
YefM	ilvA//
YefM-YoeB	metE//
YeiL	
YhaJ	
YiaJ	iscS//prpE//ynfF//mhpB//fadA//gcvH//
YjjQ	citD//argE//
YpdB	
YqhC	fabB//gadA//
YqjI	nrdD//
ZntR	argE//
ZraR	
Zur	mhpA//
