# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	yqhD//frdA//
LexA	tdh//gapA//entF//yedX//hmp//hcaB//sucC//uxaB//fadD//dadX//pagP//astA//deoD//rffC//wzb//gudD//aceF//gudD//glmS//kbaZ//epd//sdaA//allD//
LldR	entE//folE//
LrhA	
Lrp	carB//dkgA//entC//torA//cadA//paaC//bioF//glyA//treC//eda//phnH//ruvA//umuD//pgi//moeB//narG//narG//glpX//gltB//phr//sdhB//alaA//nfsA//betA//sdhA//ubiX//glxR//caiB//folE//phnO//pdeH//feaB//nadB//rutE//ftnA//trpB//kbaY//purF//rnpB//pgaB//
LsrR	ubiX//caiD//fes//mhpE//ftsI//
LysR	rutD//
MalI	lsrK//sgbE//
MalT	hyaA//glgA//pgaD//cysE//nfsA//nfsA//
MarA	srlD//prpD//bglB//ulaG//pheS//nirD//pspE//torC//guaA//pheT//malZ//ynfF//moeA//pspE//wecC//dacC//pck//lacZ//purB//ccp//wzc//ulaF//trpC//hcaF//
MarR	
MatA	moaC//
MazE	fucI//
MazE-MazF	alkA//
McbR	
MelR	rutD//fruK//
MetJ	lldD//ilvE//dkgA//leuA//folA//paaH//pgk//dadA//metK//murI//
MetR	gnd//astC//purF//srlD//
MhpR	tyrA//paaC//fau//dgcZ//glgP//nadA//
Mlc	betA//kbaY//aspC//metB//
MlrA	allE//
MngR	frdA//ddlB//
MntR	ubiX//bioD//
ModE	truB//metC//pspE//putA//glcF//citG//glpA//malZ//nadA//moaE//patD//ygeA//uvrC//sucA//cysC//rimK//deoD//
MprA	patA//ccp//rffG//
MqsA	katG//gutQ//
MraZ	glpK//sdaA//alaS//wecC//mhpC//fabB//galT//ulaD//cadA//nirB//
MurR	guaA//phoA//glpC//
Nac	rffM//cysK//mhpB//accC//glcB//hcaD//sodB//glpQ//aceB//fumC//hypF//
NadR	lpxD//rtcB//sdhB//aspA//
NagC	aldA//waaZ//moeB//glk//lpxD//murQ//murF//rsmH//nrfC//purL//alaC//leuB//alsE//ascB//cysC//entA//glpD//murE//icd//
NanR	fes//fucK//ttdA//allC//pyrD//hyaA//
NarL	galM//malP//ubiX//dmsB//dmsA//patD//tehB//malP//uxaB//ttdA//sdhA//nanA//hemL//katE//recB//idnO//frc//pgm//purA//garR//xapA//nagA//cysE//adiA//pgk//ccp//metK//kbaY//argB//polB//cysD//puuC//ugpQ//prpB//trpC//hypB//astE//cyoE//frc//katG//metC//
NarP	glyA//rffG//tadA//pgaD//gatD//lpxD//uvrC//hypB//tdcG//yfdE//ascB//dsdA//idnK//phnM//paaH//
NemR	amn//entA//
NhaR	lysA//ulaD//carB//yfdE//fruK//
NikR	gutQ//
NimR	lacZ//
NorR	gdhA//
NrdR	nrfC//purL//torC//araB//
NsrR	ynfG//glgP//lpxD//pgi//alaC//pfkA//speB//frdB//wrbA//psd//fau//moaC//hcp//puuA//xylB//argI//murQ//ynfH//aroA//ynfE//acnB//nrdB//glcE//metF//tynA//pgm//talA//pspE//deoB//ppsA//mpaA//cysG//mnmG//glcE//kbl//dhaK//argC//uxaB//pgm//bioB//
NtrC	murG//tehB//ycjG//uxuA//sodA//gatY//argF//malY//ampC//pdeH//cysC//mpaA//wrbA//dadX//cysM//pgk//gcvH//fabA//fabH//hemL//dhaM//
OmpR	lacZ//nrdD//paaH//phnP//ilvD//cynS//pgi//ung//
OxyR	pyrD//trpA//ilvE//gabD//purA//cysD//ppc//aroA//entB//murG//paaE//nanA//phnN//mazG//pncB//epd//melA//
PaaX	fucA//umuD//umuD//alaC//ppsA//puuB//ldtC//fabZ//argF//
PdeL	mnmG//
PdhR	phnM//hypF//mhpD//gcvH//mhpC//chbG//prpD//icd//citG//carB//ldtC//hcaD//nrfD//rhaB//paaJ//glpX//phnG//garR//fes//rutA//sodB//garD//accD//phnO//cysK//
PepA	rtcB//glpD//
PgrR	malS//fadA//
PhoB	dhaM//idnD//prpD//citD//lpxD//puuC//fadE//pflB//accD//purB//dgcN//dgcC//lyxK//phnL//prpC//gloA//glcE//tktB//phnM//frdD//
PhoP	wecC//nanA//napB//bglB//recD//deoD//atoB//sgbU//nanK//glpK//dmsC//dhaK//sdhB//tehB//waaZ//ulaF//ilvG_1//amn//argI//gadB//fabH//fucK//moaA//gatY//nanM//tyrA//sdaA//rsmH//puuD//gabD//atoD//glgC//
PrpR	ilvE//fbaB//ampC//bioB//
PspF	glpC//
PurR	bioF//puuD//nrdB//yqhD//tdcB//relA//paaJ//eno//serA//uvrC//uvrB//puuD//dmsB//aroH//metF//murF//sodA//cysC//aroG//argG//gudD//pgm//ubiA//hyaC//purE//rhaB//
PutA	murG//rpiB//
PuuR	lacA//zwf//mhpE//wecB//nanK//guaB//
QseB	
RbsR	puuC//fruK//argD//hmp//rfe//amn//
RcdA	accC//
RclR	
RcnR	nrfC//
RcsAB	dgkA//bioC//poxB//
RcsB	phnG//dadA//dinB//rffG//
RcsB-BglJ	fucU//cysG//
RelB	ndh//
RelB-RelE	bioC//
RhaR	
RhaS	mtlD//fadI//ybjG//lpxA//
Rob	accA//lysA//allA//uvrA//leuD//hycG//eda//ampC//nadB//arsC//tpiA//rffM//deoD//tadA//serC//hypF//napB//paaG//cysK//
RstA	hyaC//cadA//hcp//
RtcR	fadI//glcD//
RutR	nanM//cueO//chbG//nrdD//hemH//carA//cdd//dgcC//fumC//nirD//tktB//
SdiA	
SgrR	galE//glmU//phr//
SlyA	sodA//yfdE//glpA//nrfA//gntK//dgkA//pdeH//trpD//rpiB//
SoxR	bacA//
SoxS	rhaD//atoA//araD//lpxD//pfkA//glpK//garK//tauD//hycF//atoD//glpD//narH//wrbA//purK//uvrB//phnN//leuD//rhaD//betA//hyaC//hyaC//sodA//tnaA//talA//dacC//ppsA//
SrlR	metB//fadJ//ppc//
StpA	argD//cysM//tehB//
SutR	malZ//paaK//
TdcA	trpE//paaZ//umpH//frdC//rffM//
TdcR	hcaD//dmsC//cysN//napH//purE//
TorR	entB//paaB//frdA//metF//fadH//
TreR	pgk//poxB//
TrpR	argE//metK//carA//hyaB//rutB//ulaE//uxuB//citD//murG//
TtdR	phnI//mltF//
TyrR	gutQ//guaA//uvrC//waaZ//ddlB//fucI//putA//gnd//uxuB//
UhpA	ynfE//
UidR	narH//hycB//
UlaR	argI//uxuA//glnA//aceB//fadE//
UvrY	napH//pgaC//
UxuR	sgbE//fucK//dapD//dinB//rfe//
XapR	fadA//lpxA//
XylR	glpA//ahpC//gpmA//
YdeO	araA//icd//fbaA//
YefM	gapA//
YefM-YoeB	garR//
YeiL	
YhaJ	
YiaJ	dadA//pagP//hycF//gltB//tdcB//mraY//
YjjQ	gcvP//folE//
YpdB	
YqhC	accD//tyrA//
YqjI	phnJ//
ZntR	umuC//
ZraR	
Zur	metC//
