# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	srkA//pyrD//
GadX	tadA//uvrC//moaD//ilvD//ynfF//caiC//dadX//uxaC//ynfH//gcvP//ampC//astC//recD//
GalR	sodA//hemH//sbcD//puuE//rsmH//lldD//
GalS	hmp//acnA//alaC//yedX//talA//malS//
GatR	entB//psd//dapD//
GcvA	accD//caiD//puuA//
GlcC	ndh//cadA//yqhD//
GlpR	entC//paaY//dapD//bioB//mazG//iscS//rutA//
GlrR	
GntR	argH//astD//hycE//dmsB//mhpD//gadB//nrfD//nrdF//purC//
GutM	ilvE//rfe//xapA//
HU	cysM//pgaB//umuC//murE//glgA//idnO//sgbH//
HcaR	idnK//araA//
HdfR	
HigA	ssuD//
HigB-HigA	fabG//
HipAB	phr//paaI//
HipB	leuD//argH//wecC//
HprR	phoA//metK//araB//fadM//
HyfR	ftnA//
HypT	aceE//moaE//moaD//mpaA//paaF//speB//rnpB//
IclR	caiB//trpD//glxR//
IdnR	glpC//pdeH//dmsA//gutQ//moeB//puuE//
IlvY	dkgA//
IscR	phnO//murF//yiaK//ydcS//sufS//entC//ubiX//sucD//
KdgR	phnG//rffG//
KdpE	truB//
LacI	gor//glgC//nfsA//
LeuO	glcD//caiB//ahpC//fadM//codA//aroL//
LexA	melA//ugpQ//ydcS//allB//cysI//srkA//srlD//luxS//glgB//murF//aceE//astB//malY//pdeH//cysC//gltB//ubiA//hycG//lpxA//srlD//ftnA//fumB//nanM//
LldR	trpD//entD//
LrhA	
Lrp	alaC//glpX//uxuA//gltB//metK//glpB//glgC//gloA//cadA//garD//ung//pyrC//dmsB//tdcB//eda//umpH//ychF//aceA//pgaC//glpA//glmS//paaJ//citE//ruvA//dapB//pheS//nrfD//puuA//rfe//speB//gcvH//glpX//ssuE//sdhA//puuB//amn//deoD//pyrD//pncB//moeA//
LsrR	hcp//waaZ//paaF//polB//recB//
LysR	fucO//
MalI	frdD//gatY//
MalT	alaA//uxaB//metK//guaA//yiaK//sdhA//
MarA	fucK//sgbH//nadB//aceF//tdh//mngB//moeA//rutD//epd//pheS//lpxD//lysC//ppsA//dhaL//gltD//chbF//astA//purH//pgaD//fucU//gor//araB//citE//garK//
MarR	
MatA	guaB//
MazE	trpA//
MazE-MazF	waaZ//
McbR	
MelR	malY//tktB//
MetJ	citF//dmsC//garL//aspA//ubiC//gltB//fabD//fucK//ampC//speB//
MetR	ppiA//nfsB//patA//glgA//
MhpR	pck//dmsC//sucD//thrS//yeaG//sgbH//
Mlc	uvrA//lsrK//uvrC//nagB//
MlrA	folA//
MngR	pflB//bioF//
MntR	hycC//dmsC//
ModE	metC//nrfC//ruvA//kbaY//tdcD//cysM//recB//gpmM//dapB//paaE//wecB//astA//sucD//ribA//pflB//tauD//dmsA//
MprA	aroF//dgkA//yeaE//
MqsA	paaE//ruvA//
MraZ	fabI//betA//ftnA//fucA//lpxC//kbaY//hcaF//dgkA//ccp//fau//
MurR	ahpF//paaZ//yeaG//
Nac	alkB//bioA//dacC//alkA//patA//entH//gor//paaY//phoA//hcaE//cynT//
NadR	murG//pgpC//tdcG//cynT//
NagC	melA//deoD//entC//pgaC//gapA//eno//murE//nrdB//citD//argE//astE//purA//trpE//dhaM//cysN//tehB//malY//wecC//cdd//
NanR	uxaA//wecB//pdeL//sgbE//uidA//glgX//
NarL	wzc//mdh//glpD//ada//rffG//pgm//rtcA//cysK//nirB//ubiX//caiC//ubiC//icd//frdC//paaG//puuE//pck//dhaM//gcl//dapB//murI//gabT//purD//alkA//idnK//wrbA//aroL//napB//hycE//uvrC//sdhD//recB//pnp//pyrD//aroF//ribA//astB//grxA//poxB//lpxA//phnM//
NarP	ychF//citD//garR//nrdA//citC//ppiA//alkB//treC//citF//fabI//lpxD//metH//fadD//napB//dkgB//
NemR	nirD//malS//
NhaR	sucC//thrS//paaG//pdeR//rbsD//
NikR	cysJ//
NimR	argG//
NorR	glcD//
NrdR	epd//uvrA//uxaB//entB//
NsrR	purM//thrS//frdA//hycE//betA//cysC//umuD//yfdE//acnB//sgbU//hycB//treC//pgaD//ssuE//fabI//fau//hycF//ssuD//napG//gor//ubiA//uidA//serA//napG//frdB//fadJ//bacA//frdD//ftsI//gcvH//narH//fbaB//citE//frdD//rtcA//ycjG//bacA//acnA//galT//lsrK//
NtrC	codA//dmsB//caiA//folE//fabB//lyxK//citX//fadJ//rpiB//malZ//paaF//nrdB//cdd//sdhC//slt//fadM//ampC//argF//melA//nirB//aceA//
OmpR	cysJ//aceA//relA//gltD//gcl//araB//dgcN//ubiA//
OxyR	dapD//paaC//uxuA//purK//sufS//mazG//cdd//ychF//pepD//rpiB//rbsD//glgB//nrdB//frdD//sucD//puuD//poxB//
PaaX	citG//glgA//glpA//garD//recD//lpxD//tdcD//mhpB//murI//
PdeL	gcvH//
PdhR	phnJ//aroA//fruK//ilvI//argF//nadA//psd//rhaD//treC//nanA//bioD//entE//argD//phr//citC//fucO//ahpC//uxaC//fdhF//ilvC//glcD//lpxD//uvrB//wzc//glpX//
PepA	paaE//ulaF//
PgrR	ydcS//nanE//
PhoB	uidA//citX//rffT//rtcB//hmp//folE//waaZ//rtcB//rffG//glxR//aroG//ulaF//sucA//phnM//cysM//asnA//ahpC//mtlD//talA//fabD//
PhoP	metE//glcB//fucI//ilvD//ilvG_1//ahpF//ppiA//rutB//nrfD//sodA//wzc//araA//ulaF//fadE//fabZ//rffT//bglB//sgbH//galT//tynA//fucA//rffH//ahpF//napG//tdcG//fucK//frdA//talA//argE//puuA//luxS//bacA//
PrpR	yedX//rbsK//aceE//atoD//
PspF	metK//
PurR	aroH//mnmG//paaY//alkB//serC//dmsB//alkB//trpB//sdaA//sucB//pyrC//tdcB//phnH//atoD//carB//narH//glnA//dgkA//carA//purC//mhpF//mnmG//hypB//udp//ldtB//sbcD//
PutA	alkA//napH//
PuuR	idnK//truB//ahpC//ccp//tktB//puuE//
QseB	
RbsR	hcaB//gabD//yeaG//argC//argG//dhaM//
RcdA	frdA//
RclR	
RcnR	nadA//
RcsAB	glxR//uxaA//argF//
RcsB	dkgA//citF//ynfH//katG//
RcsB-BglJ	sucD//cysC//
RelB	waaY//
RelB-RelE	murF//
RhaR	
RhaS	lysC//nrdA//frc//oxc//
Rob	entH//argH//citF//cysK//dmsA//rffH//phnO//arsC//yiaK//rffM//dgcC//mdh//nadA//ssuD//cysK//tdcB//lpd//citE//rfe//
RstA	hycD//glpD//aroG//
RtcR	astD//gcvP//
RutR	astB//hypB//citX//epd//yqhD//phnI//dkgB//malQ//fucA//rnpB//hycD//
SdiA	
SgrR	tehB//aroL//ilvM//
SlyA	alaA//sgbH//gltD//ubiA//glxK//relA//nrfD//add//lhgO//
SoxR	paaH//
SoxS	glnA//paaJ//astC//yedX//uvrB//lpxA//citE//idnO//cysJ//lldD//citG//frc//cynT//serA//citG//aspC//murE//gnd//sbcC//malP//narH//serA//betB//mltF//fabZ//pspE//
SrlR	gutQ//hypB//hyaC//
StpA	fbaB//serA//ssuE//
SutR	garL//ldtC//
TdcA	arsC//glk//prpC//hyaA//argC//
TdcR	ppiA//acnA//bioB//phnO//glgC//
TorR	hcaC//citC//nemA//umuD//nrfA//
TreR	ldtC//cysE//
TrpR	wzb//moaD//nrfA//dinB//caiA//rutD//alaC//idnD//ilvG_1//
TtdR	cdd//ynfH//
TyrR	ynfG//ssuD//ttdB//truB//yedX//gatY//cysN//argB//glxR//
UhpA	araD//
UidR	pdeL//adiA//
UlaR	fucA//atoB//cysD//wecB//leuA//
UvrY	rffH//add//
UxuR	poxB//fadB//ndh//hycG//aceF//
XapR	fabA//metA//
XylR	ftnA//murG//dhaM//
YdeO	paaC//nanK//waaZ//
YefM	bglB//
YefM-YoeB	pagP//
YeiL	
YhaJ	
YiaJ	nfsA//ilvD//pyrC//accC//alkB//ubiA//
YjjQ	metK//phnM//
YpdB	
YqhC	gpmM//glgA//
YqjI	nrfD//
ZntR	torA//
ZraR	
Zur	fabZ//
