# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	entD//nirB//
Lrp	pdeL//citG//fadA//rutA//dapB//pyrD//purB//hypB//aspA//xapA//aceB//ynfF//hycE//nrdF//hypF//argC//ttdB//tyrB//rutB//sdhD//wecC//ftnA//guaA//hypB//metL//paaI//gadB//pspE//wecC//rhaD//entE//arsC//purB//astD//paaK//sgbU//hcaD//patA//folE//codA//
LsrR	nagA//malY//glgC//phr//mhpC//
LysR	hcaF//
MalI	ada//moeA//
MalT	gltD//purC//garD//argC//entB//murE//
MarA	allE//ubiC//cysG//srkA//rhaB//nrdE//phnP//oxc//patD//nirD//frdA//ndh//mhpA//acnA//ilvG_1//edd//purL//atoD//avtA//garD//purE//rtcB//fucU//ilvI//
MarR	
MatA	rffT//
MazE	aceA//
MazE-MazF	allB//
McbR	
MelR	glcB//eno//
MetJ	fabA//tyrB//cadA//paaG//gdhA//prs//entF//rbsD//napH//entC//
MetR	polB//gabD//argA//dhaM//
MhpR	tynA//glgA//wecC//nagA//pdeR//rnpB//
Mlc	caiA//cadA//oxc//yfdE//
MlrA	tyrB//
MngR	galM//recD//
MntR	glpB//gatD//
ModE	fucK//deoA//glgA//atoA//pncB//carA//entH//alkB//paaK//dsdA//moeA//purE//talA//rutE//ccp//mpl//udp//
MprA	eno//puuB//wzc//
MqsA	tnaA//argF//
MraZ	malP//chbF//argI//rhaA//entC//pgpC//ampC//pgm//psd//fbaA//
MurR	lpd//tynA//mhpF//
Nac	murF//ilvD//glcB//dmsC//umuD//rutE//alkB//sgbE//pgaD//pgk//tktB//
NadR	cynS//hycF//argH//caiD//
NagC	entA//bioF//malQ//phnP//alkA//iscS//wzc//dkgB//citE//dapB//fadJ//narH//gpmM//ampC//xylA//citF//fucK//narH//rhaD//
NanR	lsrF//sbcD//napG//srlD//lysU//alaA//
NarL	alaA//dmsC//serA//glgC//pdeR//aceE//phoA//garR//hycB//alkB//cadA//ftsI//trpC//purH//idnO//purE//puuC//moaE//garL//sbcD//yeaG//sdhB//moeB//nadA//moaE//entE//rimK//gnd//phoA//uxuB//mhpE//cynS//pnp//bioA//cysD//zwf//gadA//astB//paaG//ssuE//gor//
NarP	garD//rutB//mraY//ulaE//deoD//nanA//glmS//waaH//glcE//araD//ychF//gloA//uxuA//hcaB//mngB//
NemR	lysA//chbG//
NhaR	mnmG//tdcE//phnM//astB//yfdE//
NikR	speA//
NimR	paaH//
NorR	dgcN//
NrdR	trpC//fucA//phoA//glsA//
NsrR	uxaA//melA//dgcN//araB//entF//murC//ycjG//cysG//dinB//pgm//nirD//cysH//hycF//leuD//hyaB//pheT//ydcS//moeA//dadX//ilvC//treC//lpxA//yfdE//sucA//mhpC//lacA//nrfA//idnD//hcp//astE//yeaE//pgi//prpB//fadH//uxaB//uvrB//rnpB//citX//araD//fau//
NtrC	deoB//glmS//idnK//nemA//ilvE//glxR//phoA//putA//glxK//paaY//mazG//ccp//ilvD//gltB//rhaD//phnM//hcaB//rffH//ilvI//sodB//gabD//
OmpR	gapA//ppsA//katG//idnO//glmS//paaF//cysN//pflB//
OxyR	argF//metA//ldtC//entH//avtA//fucI//phnN//acnA//dacC//fucI//kbl//trpD//garK//trpC//glxR//add//citF//
PaaX	pdeL//paaI//zwf//eda//lhgO//citE//luxS//gor//hemH//
PdeL	accC//
PdhR	acnB//murE//fadD//slt//lsrF//astE//napB//rutC//fucK//trpE//ulaF//ydcS//bacA//ilvI//cysJ//rutD//yedX//entD//oxc//puuC//paaY//alaA//dmsC//purD//ilvH//
PepA	fumB//ppsA//
PgrR	argD//dkgA//
PhoB	rhaB//pgaD//betA//aldA//nrdA//uxuA//dhaK//allC//leuB//paaB//hcaE//narH//narG//galK//dhaL//galE//glnA//metA//gltD//argA//
PhoP	nirD//uvrA//dgcZ//ubiC//frdD//talA//glpB//gatY//udp//kbaY//rnpB//bioB//yfdE//carB//rfe//galM//sbcC//wecC//tnaA//katE//astA//sufS//adiA//aspC//lsrF//nfsA//kbaY//pyrC//fadE//folE//gcl//xylB//
PrpR	rffM//sucB//galT//recB//
PspF	metE//
PurR	fadH//rtcB//hcaF//glyA//ldtD//allA//dsdA//rutB//alaA//cysJ//pgk//sufS//rtcB//paaJ//gatD//wecC//alsE//hycC//garR//glsA//phnP//tdcB//rutB//dmsB//alaC//ogt//
PutA	gcvH//mhpD//
PuuR	pdeR//glxK//metC//argC//pncB//paaF//
QseB	
RbsR	argH//rsmH//murE//fdhF//ulaE//argH//
RcdA	gnd//
RclR	
RcnR	mnmG//
RcsAB	gudD//yeaG//adiA//
RcsB	frdD//ynfF//paaE//srlD//
RcsB-BglJ	ilvA//putA//
RelB	fadH//
RelB-RelE	hypF//
RhaR	
RhaS	carB//citX//ccp//metK//
Rob	ycjG//mnmG//moaA//mhpE//fucK//rhaD//tdh//aceF//pepD//dmsC//murC//astB//frc//murD//tdh//frdC//nfsB//paaI//mhpA//
RstA	glxK//astD//rtcA//
RtcR	glpD//pgaD//
RutR	gatZ//rhaD//ampC//metB//fadD//hcaC//fucU//phnL//frdD//murD//nadB//
SdiA	
SgrR	murF//aroA//ybjG//
SlyA	murG//ung//hycB//cadA//garL//glpA//wzb//paaK//lacA//
SoxR	hyaC//
SoxS	paaI//argE//dhaK//astB//tyrB//fruK//lyxK//nrdB//mtlD//aroF//metB//folE//appA//kbaZ//waaZ//pgaD//cdd//entD//lpxD//sdhD//ilvM//ilvM//trpC//mnmG//napH//nanE//
SrlR	tpiA//sbcC//recB//
StpA	galT//nrdE//pfkA//
SutR	cysE//nadA//
TdcA	ldtB//fucO//citG//amn//rsmH//
TdcR	tynA//relA//ilvH//lsrK//fau//
TorR	ascB//nrdB//gadA//fumC//pgpC//
TreR	aroG//entC//
TrpR	paaZ//sbcC//wecE//waaZ//ychF//metA//ugpQ//cysK//waaY//
TtdR	moeA//ulaG//
TyrR	gltB//puuD//metA//purK//wzb//sbcD//sucC//purH//ynfH//
UhpA	idnD//
UidR	gabD//citX//
UlaR	moaE//citE//metE//polB//codA//
UvrY	nrdD//katE//
UxuR	torA//cynT//tnaA//yiaK//frdB//
XapR	dkgA//folA//
XylR	murC//nrdF//tdh//
YdeO	ynfF//rtcA//prpD//
YefM	cysJ//
YefM-YoeB	pyrD//
YeiL	
YhaJ	
YiaJ	atoA//glpA//putA//citG//gabT//purN//
YjjQ	ilvG_1//fucU//
YpdB	
YqhC	alkB//mazG//
YqjI	fumC//
ZntR	argD//
ZraR	
Zur	purC//
