# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pgk//ndh//
CytR	cysE//ulaE//sucB//hypF//gatZ//gadB//bioA//idnK//ugpQ//hypB//
DcuR	wrbA//alaA//idnK//mraY//
DeoR	ssuE//sdhC//deoD//ttdB//ftsI//murI//
DhaR	lacZ//
DicA	
DinJ-YafQ	astC//
DnaA	recF//metC//ynfE//fbaA//narG//tnaA//
DpiA	allA//murQ//pykF//phr//garR//
DsdC	caiB//astC//
EbgR	
EnvR	ygeA//gatZ//
EnvY	dhaL//mhpA//
EvgA	tdcB//trpB//fau//ilvI//fumC//bglB//
ExuR	thrS//pepD//appA//trpA//rffC//rffM//
FabR	narH//fadJ//hypB//
FadR	lsrF//deoD//paaA//hyaC//sgbU//sucA//rnpB//fruK//dmsB//gadA//uxaB//citF//deoC//ccp//relA//prs//alsE//glgP//hycF//
FeaR	chbG//lpxD//
FhlA	waaZ//argH//treC//dhaM//phnO//rffG//ampC//ahpC//
FlhDC	wzb//cysH//nadA//glmS//wecC//cyoE//rimK//mhpE//mhpF//paaF//ssuE//lldD//trpD//recD//
FliZ	uvrC//ogt//dmsA//entC//nrfD//
FucR	fabH//moaE//nrdF//dhaL//purH//waaZ//
Fur	citF//ubiA//rhaD//nanE//fadB//uxuB//fabI//glpB//rutD//fes//ruvA//napA//guaB//ybjG//ynfG//fdhF//guaB//hcaF//recB//garD//gapA//sufS//allD//aceF//sufS//malS//dhaM//hyaC//uidA//argG//glpQ//mazG//glnA//alaA//caiA//uxuA//xylB//rbsK//prpC//puuD//glcB//metH//rhaD//fadE//ilvE//ccp//sodA//glpD//kbaY//fabI//cysK//idnK//hypB//glgP//yeaE//xapA//phnJ//hypB//talA//nrdB//citD//dgcC//
GadE	napB//puuE//sgbH//tdcB//glyA//patA//mtlD//rtcA//lpxC//gatD//
GadE-RcsB	hyi//dhaM//tyrB//metL//bioD//
GadW	ccp//paaK//pgpC//uidA//
GadX	pflB//fes//dsdA//paaG//astE//epd//mhpA//pflB//rbsD//truB//betA//prpE//sodA//
GalR	gpmA//thrS//fucO//moaD//fucA//fau//
GalS	argB//astC//glpD//phoA//allD//allE//
GatR	gor//alsE//metK//
GcvA	nrfC//uvrC//cadA//
GlcC	napB//umpH//cysE//
GlpR	wecC//moeB//sodA//dacC//gloA//prpE//pgpC//
GlrR	
GntR	uidA//psd//nagA//sdhC//ribA//mhpD//adiA//deoD//atoA//
GutM	ada//wzc//gnd//
HU	ilvG_1//argH//gltB//argD//cysN//argH//chbG//
HcaR	lpxA//nrdF//
HdfR	
HigA	leuB//
HigB-HigA	fadD//
HipAB	caiA//entD//
HipB	udp//astC//nrfC//
HprR	gutQ//paaH//gapA//guaA//
HyfR	phnP//
HypT	deoC//cysE//tdcB//tyrB//murG//gnd//mraY//
IclR	folE//ssuD//tdcE//
IdnR	pepD//ybjG//nrdF//sgbH//citD//cysN//
IlvY	rsmH//
IscR	wzc//garK//recB//torA//ogt//purA//pfkA//metB//
KdgR	hycG//glpC//
KdpE	mngB//
LacI	mraY//nirB//fadJ//
LeuO	fabA//pgm//pykF//ynfE//cadA//fadJ//
LexA	pykF//gltB//glgB//purB//moaD//pheT//paaJ//alkA//gloA//alaA//accA//mhpD//bioF//aceA//rtcA//nagB//ttdA//mhpC//fabI//leuA//pdeH//fruK//phnO//
LldR	mpaA//galK//
LrhA	
Lrp	lyxK//purF//gcvT//bioD//cysM//bioA//metB//betA//hycE//mltF//prpB//paaG//add//bioC//uvrA//glcD//fabD//wrbA//folE//astD//xylA//paaA//srlD//cueO//argB//galM//sucB//pflB//gadA//xylA//metK//napB//waaH//narI//gpmM//entA//lyxK//ogt//ulaG//araA//
LsrR	aroL//rhaD//lsrG//rtcA//arsC//
LysR	mltF//
MalI	ttdB//astB//
MalT	sucA//uxaC//sgbU//glcE//sgbU//bioF//
MarA	dgcZ//nrdA//patA//cysH//cysH//fau//paaI//tam//nanM//purF//serA//murE//glyA//atoB//trpD//asnA//hemH//frdC//gcvT//sdaA//add//rpiB//ilvE//pspE//
MarR	
MatA	mdh//
MazE	argI//
MazE-MazF	garL//
McbR	
MelR	purA//epd//
MetJ	nrdD//nfsA//uvrA//ilvC//nirB//gntK//glgA//paaA//accD//lpd//
MetR	serC//gatD//hcaC//glpK//
MhpR	nrfC//aroL//rfe//sdhC//argD//tdcD//
Mlc	lysU//rnpB//phr//murD//
MlrA	truB//
MngR	paaC//pncB//
MntR	leuD//xapA//
ModE	tauD//cyoE//fadM//yfdE//fadJ//aceB//sgbH//napH//paaY//glpA//argD//hyaC//paaE//torC//nfsA//phnI//ilvE//
MprA	dinB//prpC//frdC//
MqsA	polB//hycC//
MraZ	metB//atoD//deoD//tdh//ppiA//glsA//leuA//deoD//fruK//sucD//
MurR	pyrC//fumB//chbF//
Nac	ppsA//citC//gnd//narH//kbaY//argF//ldtB//patD//fadD//gadA//dhaM//
NadR	ppiA//gpmA//entH//dapB//
NagC	nirB//metF//ycjG//gatZ//nfsB//moeA//argG//nadA//glgB//nrfD//malY//galT//garK//serA//chbF//udp//entE//moaE//malQ//
NanR	glpQ//fucA//phnL//fbaB//paaH//malS//
NarL	tdcE//metA//hyaC//polB//eno//cadA//sodB//dhaL//sucD//rhaB//srkA//fadB//fadB//atoB//wecE//lsrK//gnd//hcaB//xylA//lpxC//pgpC//nrdA//fucK//araB//gltD//paaC//cysE//ahpF//entB//rffG//frc//argI//fabB//glgA//dgcN//eno//glcE//dadX//recF//hyaA//hcaC//
NarP	glpB//phnO//metH//nanM//fadJ//dacC//nrfD//gcvP//hycB//pykF//fabD//deoB//ssuE//sucD//bioD//
NemR	nemA//serA//
NhaR	ygeA//oxc//purN//hcaD//ilvA//
NikR	ada//
NimR	hmp//
NorR	purK//
NrdR	puuA//phnP//aroA//dkgA//
NsrR	tyrB//sodA//gor//paaZ//rnpB//entB//fucI//gor//ruvA//frdA//ldtD//yqhD//lhgO//rffT//mhpA//leuA//caiA//phnM//hycD//uxaA//rbsD//hemL//carA//fau//garD//ulaE//gdhA//glk//gutQ//argB//fucO//mpl//acnB//phnO//pheS//uidA//gatY//fabA//caiD//mhpF//
NtrC	citD//glgX//entA//relA//mpaA//sucC//citC//pdeR//cdd//deoC//bioF//folE//idnD//pyrC//fucO//talA//accD//napA//mpaA//ruvA//dkgB//
OmpR	fruK//nrdB//frdA//mhpF//tyrB//lpd//sgbH//aspA//
OxyR	glpC//chbG//carB//moaC//thrS//galT//hycE//fadD//puuB//katE//uxuA//hyaA//glgA//metA//nanE//metF//lpxC//
PaaX	yeaE//dgkA//glcD//entA//rutD//ftsI//trpA//aldA//pgpC//
PdeL	glcE//
PdhR	nrdA//glcE//gntK//fruK//psd//gor//rutE//lpxA//fabD//fucU//trpD//alaC//purE//allA//gpmA//glpK//astB//purH//grxA//trpB//aceA//trpB//ddlB//sdhD//ilvC//
PepA	lacA//wzc//
PgrR	yeaE//purF//
PhoB	hcaE//wzb//allE//uidA//asnB//nrdD//dinB//cysJ//sdhD//aldA//mngB//ilvI//lsrK//gabT//aroL//lldD//fau//citD//ilvD//cysI//
PhoP	accD//gatY//gltD//pgaD//argH//glsA//gadB//recD//uxaB//amn//adiA//puuC//caiB//nrdB//ilvD//wzc//ilvM//fumC//dkgA//trpD//accC//malZ//eda//wecC//rtcB//deoD//ychF//astC//galE//gcl//gatZ//ulaG//
PrpR	citF//oxc//trpC//nanE//
PspF	puuD//
PurR	sbcC//glpD//iscS//tehB//ung//frdD//acnA//mazG//glgB//ynfF//sucD//patA//aceB//prpE//nagB//tpiA//amn//paaA//ubiX//chbF//leuC//caiC//prs//deoD//tdcE//ychF//
PutA	aroH//lpxC//
PuuR	pgaD//rhaB//frdD//ftsI//ilvM//guaB//
QseB	
RbsR	wecE//xylB//dapB//pyrD//nagB//sucD//
RcdA	ribA//
RclR	
RcnR	bioB//
RcsAB	argA//edd//sbcC//
RcsB	leuA//srlD//ynfF//putA//
RcsB-BglJ	hcaC//fdhF//
RelB	xylB//
RelB-RelE	hmp//
RhaR	
RhaS	purN//metA//fucU//pspE//
Rob	idnD//tyrA//phnG//rhaD//yiaK//umuD//lsrK//nrdF//add//speB//phnH//fabD//metF//argD//gcl//pheS//lysC//chbG//malP//
RstA	gabT//adiA//rpiB//
RtcR	frdD//rffT//
RutR	waaY//frdB//hypB//waaH//gdhA//dinB//gltB//rpiB//dapD//pyrD//ahpF//
SdiA	
SgrR	wzb//moaD//glpB//
SlyA	fbaB//argC//lsrG//alaS//phnH//pspE//sgbE//gcvH//polA//
SoxR	sgbE//
SoxS	paaE//astD//gatZ//feaB//katG//gloA//paaG//rffG//rtcB//yedX//bioB//idnO//mnmG//melA//gutQ//phnI//uxaB//adhE//betB//lpxA//glxK//rhaD//argC//dadA//ynfE//ttdA//
SrlR	phnH//hyaA//ilvG_1//
StpA	hyaC//fadE//glyA//
SutR	mraY//hcaB//
TdcA	metH//ftsI//rffG//paaF//argC//
TdcR	ppsA//leuA//ynfF//paaC//caiC//
TorR	rfe//fabG//gltB//alkB//purM//
TreR	accD//wecB//
TrpR	aroF//yeaE//mhpF//aceB//sgbH//paaJ//sdhA//entB//frdD//
TtdR	patA//dadA//
TyrR	ldtC//glgB//sucD//entE//yeaG//luxS//frdC//gcvT//entB//
UhpA	gcvH//
UidR	metF//rimK//
UlaR	cysE//gnd//hemL//pgaD//entF//
UvrY	phnI//cysH//
UxuR	ubiC//tdh//nfsB//ppc//carA//
XapR	ribA//malS//
XylR	fadH//mhpB//relA//
YdeO	fbaA//zwf//appA//
YefM	dinB//
YefM-YoeB	lpxC//
YeiL	
YhaJ	
YiaJ	hyi//rhaB//hycD//entE//nemA//hycE//
YjjQ	acnB//paaA//
YpdB	
YqhC	patA//hycE//
YqjI	glgX//
ZntR	cysJ//
ZraR	
Zur	hemL//
