# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gcvT//hycB//
PhoB	slt//garD//phnM//ulaE//hypF//hcaB//moaC//lyxK//rhaB//yiaK//uidA//glgB//alaC//bioA//frc//ilvC//fbaA//asnB//fumB//pgm//
PhoP	lacA//astD//argE//pgaC//dmsA//serA//phnI//alaS//atoB//bglB//leuC//nrdD//murF//uvrC//rsmH//prpE//allC//lsrF//sgbU//umpH//purL//lpd//epd//wzc//nrdB//paaZ//aldA//dadA//garK//rffG//glxK//glxR//
PrpR	hycF//ppc//yfdE//bioA//
PspF	garD//
PurR	fadA//ftsI//hmp//mazG//mhpE//leuB//ddlB//ssuD//napH//slt//acnA//chbF//dkgA//leuC//fau//trpA//lpd//purN//rsmH//tadA//citX//polB//rpiB//rsmH//ygeA//adhE//
PutA	allE//tadA//
PuuR	nrfA//sucD//ada//ilvG_1//prpE//metC//
QseB	
RbsR	frdB//gcvT//glxR//galM//pagP//paaG//
RcdA	pykF//
RclR	
RcnR	arsC//
RcsAB	dapD//fes//ilvE//
RcsB	argF//sgbE//glpA//malS//
RcsB-BglJ	gadB//mhpB//
RelB	metE//
RelB-RelE	fucK//
RhaR	
RhaS	gatY//uxaC//ubiA//ppc//
Rob	pgi//pykF//fabZ//ydcS//sucD//ssuD//citE//galE//waaZ//malY//paaA//rfe//glnA//malS//pgaD//gnd//ulaD//napH//fabA//
RstA	allC//gcl//fucA//
RtcR	oxc//leuC//
RutR	ugpQ//glcD//hycG//pgaB//argB//gabD//gatY//kbaY//dgkA//mpaA//metL//
SdiA	
SgrR	pfkA//puuE//nrdA//
SlyA	sucA//gapA//narI//paaI//fucU//tdcD//ttdA//ndh//ilvG_1//
SoxR	rsmH//
SoxS	glpB//atoB//dapB//nagA//poxB//astA//ilvC//metK//ccp//bacA//dmsC//kbaY//hypF//slt//narG//lpxA//prpE//prpB//ddlB//gadA//paaK//hcaC//argC//fadJ//fabB//ulaE//
SrlR	nadA//guaA//leuD//
StpA	cysM//moeA//argI//
SutR	gntK//lhgO//
TdcA	phnI//rutB//gntK//hycD//ynfE//
TdcR	paaA//ppiA//galK//uxaA//pykF//
TorR	umuD//atoD//ldtD//hypB//umuD//
TreR	ilvE//paaI//
TrpR	fadB//umuD//rutE//fadA//mhpD//tam//argE//tyrA//nanA//
TtdR	melA//dkgB//
TyrR	uxuB//ubiX//epd//dadA//cysG//cueO//yqjH//glpB//murC//
UhpA	aspA//
UidR	astB//cdd//
UlaR	hycF//paaC//dhaL//ilvD//lhgO//
UvrY	fumC//uxaA//
UxuR	rbsK//galT//nanA//cysI//rffG//
XapR	aroL//psd//
XylR	guaB//wecC//mpl//
YdeO	fadH//dgcC//rbsK//
YefM	pdeH//
YefM-YoeB	puuA//
YeiL	
YhaJ	
YiaJ	mazG//sucC//fadI//pncB//tynA//napA//
YjjQ	carB//wecB//
YpdB	
YqhC	ugpQ//argD//
YqjI	leuD//
ZntR	folE//
ZraR	
Zur	paaZ//
