# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	purK//rffT//
DeoR	napB//puuC//glgX//metB//xylB//carB//
DhaR	cysI//
DicA	
DinJ-YafQ	fumC//
DnaA	argC//glpC//araD//glk//grxA//bioB//
DpiA	sucD//galK//uxaA//zwf//tauD//
DsdC	ldtD//ssuD//
EbgR	
EnvR	bglB//umpH//
EnvY	mpaA//lhgO//
EvgA	paaY//rutC//cysG//pncB//mhpC//napB//
ExuR	ynfH//pspE//lpxC//tehB//katG//acnB//
FabR	leuC//metH//oxc//
FadR	sdhC//murQ//cysN//argE//ynfG//recD//deoB//amn//purK//mhpF//glcE//uvrA//metA//ascB//sucA//arsC//aspA//srlD//sdaA//
FeaR	fabG//mhpA//
FhlA	araD//recD//purB//entF//cysG//uvrB//putA//purE//
FlhDC	prs//ilvE//ssuD//waaH//metF//fadA//nadB//lsrK//tadA//nanK//fucI//glxK//glxR//glcE//
FliZ	sucA//appA//gatD//mpl//mazG//
FucR	tnaA//sucC//nagB//hycC//ttdA//cueO//
Fur	mazG//mtlD//aroG//phnG//paaH//entE//nfsB//rtcB//fadB//udp//moaA//purM//nrfA//leuB//fucA//gpmM//talA//bglB//cysK//sufS//pgi//paaZ//galE//uvrC//murD//gadA//rpiB//trpC//lsrK//pncB//malS//cysM//torC//phnG//glnA//ulaF//slt//sucB//melA//umpH//malZ//dadX//nagB//gadA//rbsK//trpD//hypF//lpxC//polB//yeaE//fruK//gdhA//katG//hycC//mltF//ahpF//yfdE//gpmA//moeB//icd//adiA//pheS//
GadE	tdcE//umuD//treC//aroF//aceE//ynfE//glgP//astD//wecC//treC//
GadE-RcsB	puuA//aldA//tnaA//lhgO//leuB//
GadW	pspE//lysA//folE//aceA//
GadX	ilvA//sbcD//allC//gor//prs//nrfC//paaY//citF//waaY//polB//gapA//uvrA//glxK//
GalR	fumC//mhpF//serA//trpE//sucC//leuC//
GalS	purN//glpQ//folA//leuD//pck//ccp//
GatR	entH//fau//kbl//
GcvA	napH//trpE//pgaC//
GlcC	pagP//argE//phnO//
GlpR	gcvH//wecB//bioF//purE//entE//hcaE//srkA//
GlrR	
GntR	glgA//araA//metC//mtlD//arsC//ulaE//fabI//fes//hmp//
GutM	purA//fadB//alsE//
HU	sucB//fucO//rutE//glxK//waaZ//alkA//malZ//
HcaR	dadX//alaC//
HdfR	
HigA	zwf//
HigB-HigA	metK//
HipAB	citE//rffG//
HipB	bioD//tdcG//phnG//
HprR	ulaF//pfkA//melA//murI//
HyfR	purK//
HypT	purM//bacA//folA//gadA//glcB//malY//alkA//
IclR	aceE//kbaY//nadA//
IdnR	fabG//murE//purE//tauD//mraY//sdhB//
IlvY	idnO//
IscR	nfsB//hcaB//paaJ//fabZ//fabA//hycE//epd//cysM//
KdgR	ubiC//ynfG//
KdpE	sodB//
LacI	lsrF//paaE//narI//
LeuO	speB//pfkA//ampC//ubiA//appA//tehB//
LexA	purN//purF//gntK//tauD//glgA//metL//ahpC//trpC//metH//phoA//glyA//putA//cysC//aceE//purM//rbsK//rutB//aroH//rhaD//metH//phnM//galM//cysJ//
LldR	purH//kbaY//
LrhA	
Lrp	idnD//ychF//phnI//kbl//malZ//fabG//sucC//fumC//bioF//frdC//idnO//sgbU//paaA//pck//fadD//phr//dapB//tdcB//purL//tam//paaJ//deoB//glgC//sbcD//allD//fau//mhpF//nrdE//rimK//dmsB//purA//citD//tauD//glxK//hyaC//mhpC//gatD//hyi//fabH//frc//
LsrR	glpC//deoA//prpE//glgP//frdA//
LysR	lpxC//
MalI	xylB//fabA//
MalT	gpmM//fumB//asnA//caiA//glxR//uxaC//
MarA	ilvG_1//sodB//asnA//trpE//hemL//rtcA//prpD//galM//adiA//yeaE//paaJ//prs//frc//iscS//phnG//rutA//alaA//ilvA//mtlD//pgaD//gcvP//malS//paaB//pgaC//
MarR	
MatA	ulaF//
MazE	katG//
MazE-MazF	phnG//
McbR	
MelR	uidA//leuD//
MetJ	rutA//kbl//tam//argF//aspC//pagP//rhaD//mpl//gcl//cysN//
MetR	paaH//tdcB//ampC//frdA//
MhpR	aroA//gapA//nrdA//cysE//mngB//gcvH//
Mlc	metL//sucC//frdD//cysD//
MlrA	allE//
MngR	rutA//alkA//
MntR	argD//dmsA//
ModE	uvrC//dhaK//gabT//melA//ilvG_1//mltF//atoA//cadA//tktB//fumB//asnB//allB//rtcA//garL//glcD//allC//dadA//
MprA	glmS//tdcB//ilvI//
MqsA	codA//glpA//
MraZ	gabD//ilvG_1//pck//trpE//entF//umpH//ynfE//glpX//prpD//purA//
MurR	bioD//pnp//narG//
Nac	deoB//hcaE//lpxD//caiC//carA//fucI//nanE//glcE//dmsB//hcaF//metK//
NadR	codA//metL//phnM//accD//
NagC	glsA//ilvI//pncB//sdhC//gabD//accD//paaF//paaZ//glxK//nanK//prs//yqhD//pfkA//sbcC//grxA//puuC//gcvP//hycF//fucK//
NanR	eda//sgbE//glpQ//aspC//napG//fbaA//
NarL	gcvP//aceE//narG//prpE//tdh//wecB//mraY//avtA//mpaA//murE//narI//moaD//hycG//sdhA//ppc//tdh//pyrD//nanE//entC//phnL//glpX//gatZ//rimK//glcF//purL//phnO//trpB//lsrK//ahpF//avtA//fes//edd//cysD//rhaD//mhpC//argD//dmsA//hemL//ugpQ//ldtD//cysH//
NarP	rutB//malS//prs//caiC//sdhD//umuD//garL//gudD//fes//murF//waaH//gcvT//ynfG//glpD//dgkA//
NemR	frdB//malZ//
NhaR	moeA//nrdA//ilvD//argI//argH//
NikR	cueO//
NimR	purM//
NorR	acnA//
NrdR	mpl//uidA//wzc//asnA//
NsrR	glpK//gcvP//fbaA//glpD//citX//torC//gatY//araD//dmsB//allA//ygeA//tyrA//glcD//fabG//phnM//gor//betB//hcaB//hcaC//cynT//ppiA//rtcA//aroF//sdaA//wecB//mpl//entB//phnG//tktB//purK//citF//uvrA//accC//malP//cysD//gdhA//bioA//ycjG//aceA//katE//
NtrC	phnH//astB//fucU//ychF//asnB//napG//carB//fadM//acnA//gcvH//pspE//puuE//fumB//allC//rpiB//gadB//fabA//malQ//puuA//yfdE//ruvB//
OmpR	umuD//lsrG//gcvT//fadD//folA//cynT//hcaB//tdcD//
OxyR	atoB//guaB//lyxK//pyrD//uvrC//thrS//gor//gltB//citC//ahpC//ndh//gor//gpmA//ldtD//aroL//phnH//argG//
PaaX	narG//frdA//sdhB//alaA//malY//paaJ//garD//lpxA//pdeL//
PdeL	citE//
PdhR	nirD//folE//ydcS//ybjG//aldA//allD//tadA//metH//putA//tktB//pheS//paaB//bioD//recF//ilvC//rutE//citD//prpE//iscS//ilvC//nagB//mngB//pnp//hemH//epd//
PepA	alaS//purK//
PgrR	bioD//frc//
PhoB	nirD//hyaB//alaA//sdhB//uidA//glnA//ndh//purH//bioD//dmsA//pdeH//aceE//paaY//cysG//cysI//cysE//napB//ubiX//kbaZ//allA//
PhoP	ulaD//ttdB//trpB//dmsC//gcvP//dgcZ//alkB//lsrK//recF//gatY//astA//alkB//polA//katE//ilvA//paaC//ynfH//ttdB//citG//galT//lhgO//alaA//dkgA//rtcB//rsmH//ppc//cysJ//cynS//cysK//sucB//iscS//glgX//
PrpR	grxA//nadA//araD//trpA//
PspF	ccp//
PurR	ilvC//prpE//galM//argF//phnP//hmp//napH//accC//mpaA//argD//hcaE//nfsA//aroL//malY//prs//fadB//kbaZ//ogt//pgpC//metB//sdhB//lysA//metE//garD//nfsB//phnM//
PutA	lpxC//metB//
PuuR	bacA//add//metK//ssuE//entB//murQ//
QseB	
RbsR	hycC//phnL//pheS//cysJ//entD//idnO//
RcdA	uxaA//
RclR	
RcnR	araD//
RcsAB	rutD//phnJ//tpiA//
RcsB	fadE//astE//nagB//rtcB//
RcsB-BglJ	ilvH//nagB//
RelB	nanE//
RelB-RelE	entD//
RhaR	
RhaS	glgA//wzc//sodB//gcvT//
Rob	fruK//ubiA//murG//yfdE//rffG//leuB//fruK//hycD//nanA//phnP//ubiX//rhaD//ynfE//caiB//ydcS//rutA//napB//lldD//ilvC//
RstA	truB//phnH//purE//
RtcR	gntK//pncB//
RutR	fucU//ilvM//fdhF//garK//fbaB//napH//rhaB//fumC//tam//astA//cadA//
SdiA	
SgrR	ndh//paaZ//bioD//
SlyA	cyoE//umpH//dapD//bioC//glyA//trpE//pheT//carB//katG//
SoxR	hemH//
SoxS	cysJ//aspA//phnN//rpiB//mhpB//chbG//lldD//paaJ//glcB//cysD//dadX//pflB//citX//katG//lpxA//leuB//adiA//cysI//tnaA//recD//ppsA//pgaB//fau//cysC//ahpF//garL//
SrlR	gcl//frdB//rffM//
StpA	nrfD//nemA//dgcC//
SutR	hypF//hycE//
TdcA	fadB//ydcS//argD//argH//patA//
TdcR	hyaA//lacZ//fdhF//citE//entH//
TorR	dmsB//rtcB//galK//polB//nrfC//
TreR	galK//folA//
TrpR	garL//gltB//lldD//ftsI//fucU//gcvT//hemL//bioD//rffG//
TtdR	glgA//purE//
TyrR	fbaB//ahpC//sucD//fucO//ssuE//asnA//pdeR//fucK//hycE//
UhpA	deoC//
UidR	garK//ilvM//
UlaR	alaA//cysJ//dmsC//nrfA//glcD//
UvrY	sbcD//guaB//
UxuR	puuB//purF//sdaA//lldD//purA//
XapR	glnA//nfsA//
XylR	malQ//moaC//hyaC//
YdeO	allC//mhpD//ilvC//
YefM	moaE//
YefM-YoeB	ilvC//
YeiL	
YhaJ	
YiaJ	deoC//kbl//uxuB//rffM//lpxA//pheT//
YjjQ	argB//ldtB//
YpdB	
YqhC	leuC//carB//
YqjI	fadM//
ZntR	srkA//
ZraR	
Zur	napH//
