# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ruvA//gcvP//
CysB	nrdB//ynfG//dgkA//hyi//entD//carB//uxuA//tnaA//fucK//uxaC//lysA//bacA//bacA//napB//fabD//dhaL//fucU//
CytR	ycjG//glnA//ftnA//feaB//gltD//nadB//cadA//hyaA//glgA//talA//
DcuR	frdB//cysD//chbG//aroH//
DeoR	bioD//napH//lysA//phnL//purE//argG//
DhaR	feaB//
DicA	
DinJ-YafQ	appA//
DnaA	glpK//sucC//nrfA//cysD//glpB//cdd//
DpiA	treC//yeaG//nanA//idnK//mhpE//
DsdC	ssuE//metL//
EbgR	
EnvR	phnG//purK//
EnvY	acnA//paaA//
EvgA	bioB//idnO//alkB//umuD//ilvD//citX//
ExuR	lyxK//tehB//umuC//ychF//argD//malZ//
FabR	deoA//ilvD//hmp//
FadR	pncB//rpiB//recB//wrbA//uxuA//galK//phr//entH//acnB//gadA//tdh//fucI//narI//tynA//gadA//argF//ybjG//rffG//galE//
FeaR	glpD//wrbA//
FhlA	recF//rutD//nanM//ftsI//codA//pgi//citC//ulaE//
FlhDC	putA//phnN//tadA//mngB//leuD//paaA//ilvC//pagP//wecB//gltB//betA//truB//moaA//purF//
FliZ	dmsA//allE//psd//torA//glxR//
FucR	sbcC//srlD//deoB//mdh//paaH//nrdA//
Fur	speB//fbaA//entD//kbaY//folE//fucO//fadM//paaB//hyaA//xylA//frc//dhaM//pgk//cysJ//fucK//galE//purA//metE//ygeA//puuD//codA//recD//srkA//bioD//glgX//cysG//fadA//ttdA//murQ//aspA//frc//ilvC//torA//hcaE//fes//glgP//glxK//uxuB//pdeH//prpC//cysI//fabH//cysC//mhpD//entB//fbaA//kbaY//paaE//epd//ilvG_1//sgbE//paaJ//mngB//aceE//garL//lsrF//rffC//idnO//napG//luxS//lpxA//gutQ//
GadE	araD//ugpQ//glmU//fucO//uxaB//ada//astD//deoD//frdA//moaC//
GadE-RcsB	ahpC//sdhD//glgP//lsrK//uxuB//
GadW	moeA//speA//narH//hcaD//
GadX	cysD//nrdF//gcl//garR//tdcB//ada//nrdF//recF//glpB//psd//nrdB//citG//galK//
GalR	metE//ssuD//fucA//purN//pfkA//wecB//
GalS	ruvA//sucD//betB//cynT//leuC//sdhD//
GatR	mngB//rffT//nanA//
GcvA	caiD//lyxK//hcaB//
GlcC	sdhB//sodA//sdhB//
GlpR	eno//citD//glpX//chbF//appA//citC//metK//
GlrR	
GntR	aroL//gor//puuB//wecC//kbaZ//yqjH//ddlB//srkA//adhE//
GutM	srkA//glxR//tyrB//
HU	lldD//purA//entB//accA//hycB//nanM//folE//
HcaR	accC//ahpF//
HdfR	
HigA	melA//
HigB-HigA	aceE//
HipAB	rffH//bglB//
HipB	nfsA//dkgA//ppiA//
HprR	prpE//malY//hyaB//cynS//
HyfR	wecE//
HypT	rnpB//gpmM//pgm//glmU//ascB//glyA//sucB//
IclR	pspE//malP//ubiA//
IdnR	melA//hmp//thrS//gdhA//uvrC//alaC//
IlvY	hycE//
IscR	fes//prpE//narI//moaA//dadA//ulaG//pheS//glmU//
KdgR	malP//ppc//
KdpE	ndh//
LacI	phnI//srlD//nadB//
LeuO	ilvG_1//bioD//glcF//pgaC//waaZ//glcE//
LexA	rutD//tdcB//katG//ung//nanK//malQ//nirD//uvrA//sdhB//ftnA//fruK//tyrA//purN//ascB//dmsB//murG//ydcS//waaH//waaZ//ynfH//moeA//gcvH//ilvH//
LldR	hcaB//nadA//
LrhA	
Lrp	wzc//dadA//allE//ilvD//carB//dacC//purK//dapB//frdB//guaB//ynfH//aceE//dacC//relA//puuB//hcaD//poxB//hycF//rutB//garR//allB//gatZ//hycG//nanA//glpX//ilvI//hycC//yqhD//alsE//sodB//hyaA//wecC//glyA//ssuE//ada//lacA//adiA//glxK//rtcA//bacA//
LsrR	carA//paaI//rffM//entD//mdh//
LysR	ttdB//
MalI	hycG//sucD//
MalT	hcaF//rhaB//lacZ//hyaB//malP//paaI//
MarA	ttdB//amn//allB//kbaZ//tktB//nagA//metL//ssuD//lpxD//thrS//allD//pgaC//cysG//frdA//rtcB//ribA//cysI//bioA//murE//recB//fucU//kbaZ//tpiA//lpxC//
MarR	
MatA	pck//
MazE	ynfG//
MazE-MazF	wecE//
McbR	
MelR	atoD//rhaB//
MetJ	wecB//uxaC//purC//tpiA//fumB//murQ//pflB//murQ//murI//ndh//
MetR	argC//recF//prpC//cysG//
MhpR	pgaD//glxK//glxR//rfe//ubiA//fadD//
Mlc	argA//ilvE//slt//hyi//
MlrA	deoB//
MngR	garR//tpiA//
MntR	bioF//speA//
ModE	aroF//argD//arsC//epd//appA//leuC//fucI//frdC//purK//sucD//fucU//ynfG//entF//glmU//eno//murI//fabH//
MprA	uxaA//ubiA//malQ//
MqsA	gloA//aldA//
MraZ	nagA//ccp//hcaB//kbaZ//paaK//udp//narH//phnM//tdcE//citF//
MurR	dhaK//rffM//mhpF//
Nac	purE//prs//ulaD//astD//sgbH//aroG//rffM//ubiA//dapD//aspC//adiA//
NadR	rimK//acnA//aceE//ulaD//
NagC	hyaC//carB//argH//cysM//srlD//trpB//sucC//atoB//napG//mhpC//ulaE//gabT//murG//epd//moaC//puuB//idnD//folA//purA//
NanR	pgm//bacA//moeB//rimK//araB//hyaC//
NarL	feaB//ilvD//rhaB//ubiC//leuD//puuA//paaE//tdcE//patD//tadA//lldD//frdD//entE//edd//ychF//caiA//wecE//argE//alkA//lyxK//cadA//prpC//gpmM//hypB//pdeH//citG//astE//argE//tktB//garR//gadB//malQ//phnP//lsrF//cysN//ilvD//glsA//dhaL//fabH//rffT//malQ//
NarP	glpC//sucC//pepD//leuB//citF//tktB//frc//polA//prpB//sdhC//aceA//fadD//ogt//napG//purE//
NemR	frdA//rffG//
NhaR	carA//metH//puuD//fucA//cynT//
NikR	talA//
NimR	ampC//
NorR	tdcD//
NrdR	garL//cysN//murE//pdeL//
NsrR	phnO//polA//tdh//nagB//rfe//purM//entB//pgpC//allC//caiA//hycF//poxB//pgpC//codA//napH//uxuB//ulaD//entB//allE//nrdD//alaA//ung//ddlB//metK//ilvG_1//rbsK//ynfH//gutQ//atoA//napH//glgC//galE//metL//pgaB//torC//gdhA//ung//kbaZ//pgaC//bioF//
NtrC	gnd//srlD//astB//nadA//fabI//ampC//lsrK//ilvG_1//treC//fadA//nrfD//psd//cysH//yedX//pagP//argA//nanM//tktB//deoB//ascB//metA//
OmpR	uxuB//ubiC//glpK//mnmG//hyi//entD//torC//allC//
OxyR	pepD//entH//gdhA//phnM//oxc//fadD//sdhC//puuC//umuC//pyrC//murQ//argD//glpX//glcB//patA//glpX//paaI//
PaaX	metA//entE//prpD//glcD//dhaM//caiB//cynS//adhE//narI//
PdeL	araB//
PdhR	caiD//gcvP//mltF//metB//sdhC//metC//eda//ssuE//narI//metC//fes//hcaC//lysC//sgbU//umuC//kbaY//gntK//malZ//phnI//prpD//tam//puuC//uxaC//katE//aroA//
PepA	ada//sdhA//
PgrR	xapA//entD//
PhoB	glpD//ynfG//gpmM//adiA//garD//fadD//entF//phnP//ynfF//glxR//iscS//ycjG//phnL//tadA//nrdB//cysH//nadB//gcvH//arsC//yeaE//
PhoP	fucO//xylA//trpA//nanA//hyaB//fbaB//icd//rtcA//paaA//nfsB//deoA//mhpC//uvrA//nrdD//aroH//fdhF//phnN//slt//hycF//pflB//guaB//ydcS//eda//pgaB//pyrD//mltF//gutQ//melA//hemL//nrdE//fumB//aspA//
PrpR	poxB//mltF//grxA//ndh//
PspF	astD//
PurR	pfkA//argD//ascB//tdcE//allE//paaH//uvrB//srlD//rpiB//metK//ftsI//araD//kbl//pfkA//gatZ//puuB//metB//wecB//puuD//astC//galM//tktB//hyi//rutD//metH//astA//
PutA	citF//sdhB//
PuuR	hycF//ldtC//cysC//aroL//idnO//purE//
QseB	
RbsR	cadA//aceF//puuC//sdhA//polB//galT//
RcdA	puuA//
RclR	
RcnR	astB//
RcsAB	nagB//sdaA//cysD//
RcsB	ilvH//atoB//moeB//truB//
RcsB-BglJ	cueO//dacC//
RelB	rffM//
RelB-RelE	kbaZ//
RhaR	
RhaS	speA//entF//ilvE//ygeA//
Rob	ulaD//argC//zwf//rutD//fabZ//fabD//argE//gpmA//rbsD//cysG//fumC//dhaL//glxR//metE//gor//frc//garR//dgkA//gltD//
RstA	argB//araB//rhaA//
RtcR	gudD//paaC//
RutR	aspC//cdd//rhaD//tktB//tdh//patD//glpK//metC//recD//asnA//pflB//
SdiA	
SgrR	yqjH//paaH//asnB//
SlyA	metB//chbG//dgkA//argE//carB//amn//malS//polA//aceF//
SoxR	uxuA//
SoxS	prpC//glpB//puuA//glcF//hycC//fabI//sgbH//aroA//murG//torA//paaA//entH//glxK//purK//dapD//rutE//speA//purH//aroA//moaA//paaA//rtcB//mhpF//aceB//hcaF//hycD//
SrlR	fabI//pgi//asnA//
StpA	moaD//araB//cysH//
SutR	phnH//dgcN//
TdcA	aceB//uxaC//murE//hcaD//ahpF//
TdcR	pgaB//moaE//paaE//fucA//kbaZ//
TorR	entC//leuC//talA//serC//aroF//
TreR	sucA//gor//
TrpR	glgX//ldtC//glyA//poxB//sufS//carB//waaH//ppiA//yqhD//
TtdR	ogt//purK//
TyrR	tpiA//deoD//ygeA//pepD//nanE//gpmM//gapA//idnD//galT//
UhpA	sgbE//
UidR	dapD//cdd//
UlaR	mhpA//sgbE//fabI//uidA//cdd//
UvrY	accA//ahpF//
UxuR	poxB//pyrC//yqjH//moaE//aspA//
XapR	iscS//citF//
XylR	asnB//fadH//cyoE//
YdeO	dmsB//sufS//glmU//
YefM	waaZ//
YefM-YoeB	purB//
YeiL	
YhaJ	
YiaJ	arsC//rbsD//gatZ//dhaL//tauD//frdB//
YjjQ	uxuA//atoD//
YpdB	
YqhC	allB//hcaB//
YqjI	asnB//
ZntR	aroF//
ZraR	
Zur	pspE//
