# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	allD//srlD//
SoxS	dhaL//dhaK//uxuA//tnaA//mtlD//tynA//prpB//mpl//rffH//sodB//glpB//leuB//fes//rimK//pflB//fabH//rpiB//gutQ//yfdE//cysN//fabZ//murQ//purN//paaC//glpK//asnA//
SrlR	aceE//rhaB//add//
StpA	napB//ppiA//bioD//
SutR	hycF//yiaK//
TdcA	ulaF//alkA//argE//asnB//phoA//
TdcR	folE//prs//purD//citX//cyoE//
TorR	umpH//tyrA//dgcZ//rtcA//yiaK//
TreR	aceF//sucD//
TrpR	purF//patA//arsC//paaB//gadA//dadA//ahpC//moaE//relA//
TtdR	glpX//galM//
TyrR	frdC//hemL//malS//sgbU//dacC//ulaE//phnI//prpB//sucB//
UhpA	ubiX//
UidR	uxuA//ycjG//
UlaR	asnB//sdhD//recB//ung//glmU//
UvrY	gpmM//tyrB//
UxuR	malP//wecC//gatY//mtlD//dmsC//
XapR	pflB//phnP//
XylR	yqhD//edd//betB//
YdeO	allE//paaF//betA//
YefM	entE//
YefM-YoeB	argA//
YeiL	
YhaJ	
YiaJ	accA//codA//murI//psd//fabB//luxS//
YjjQ	idnK//sucA//
YpdB	
YqhC	argD//gcvT//
YqjI	ulaD//
ZntR	recF//
ZraR	
Zur	ddlB//
