# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	kbaZ//leuC//
HipAB	luxS//trpD//
HipB	ascB//mhpB//phnN//
HprR	gpmM//pck//caiD//alaS//
HyfR	nirD//
HypT	ung//murC//dhaM//malY//sgbU//purE//phnN//
IclR	carB//dkgA//lpxA//
IdnR	mhpB//dapD//astB//citX//tdcB//acnA//
IlvY	gltD//
IscR	glgX//serA//argI//napB//adhE//rbsK//mhpF//feaB//
KdgR	ampC//gutQ//
KdpE	betB//
LacI	yqhD//udp//lldD//
LeuO	tdcB//entB//psd//glgP//nrdB//lacA//
LexA	argB//gudD//pyrC//garL//glmS//adhE//sodB//phnG//aldA//ahpC//ulaE//napA//mazG//dapB//araD//argC//narG//atoA//rnpB//recF//cysD//patD//astE//
LldR	amn//alaA//
LrhA	
Lrp	ruvB//mraY//mpaA//trpC//argD//purA//epd//entD//ychF//nadB//leuC//ldtC//glxK//rutA//speB//allA//hycE//trpC//metF//gcvT//dapB//glgP//bacA//cynS//glgP//folE//patD//mhpB//mdh//torA//argI//hcaB//nagA//rpiB//moaD//paaK//sdhB//acnB//puuC//lysU//
LsrR	nagB//phnH//yqhD//polA//fadI//
LysR	hyaA//
MalI	purC//entA//
MalT	glxK//ttdA//ilvD//leuD//astC//waaY//
MarA	polB//aspC//pheS//rffC//luxS//dgcZ//sodA//ilvG_1//dgcC//gor//grxA//yqjH//rutC//pyrC//aroA//polB//nadA//purF//gudD//nrfD//murD//cysD//phr//edd//
MarR	
MatA	uxaC//
MazE	paaH//
MazE-MazF	dhaM//
McbR	
MelR	aroL//metK//
MetJ	bioB//uvrC//ilvH//rutD//fucA//ogt//glsA//pgk//ada//tdcD//
MetR	gatZ//katE//prpD//mltF//
MhpR	aceF//bioB//entA//dkgB//mtlD//hemL//
Mlc	pgpC//katG//dapB//rbsD//
MlrA	entH//
MngR	astE//paaC//
MntR	zwf//prpB//
ModE	atoA//rhaA//fbaB//alsE//pepD//gdhA//codA//lsrG//napG//fadI//phnL//nrdF//glpX//fadI//gor//cysD//edd//
MprA	ldtC//pgpC//dgcN//
MqsA	mhpE//metC//
MraZ	entF//deoB//waaZ//accA//ttdA//accD//fruK//pdeH//prpB//atoD//
MurR	aroA//dkgB//paaF//
Nac	prpD//add//glpK//sdhB//folA//yqjH//uvrC//purB//napA//ndh//ascB//
NadR	gudD//gcvH//ndh//argB//
NagC	gntK//sdaA//phnO//ilvM//frdD//cysH//glpD//ilvM//hyi//alkA//alsE//phr//ynfG//rfe//ygeA//nirB//glcE//katE//chbF//
NanR	gadA//dadX//xapA//narG//ttdA//purF//
NarL	idnK//gntK//hemL//tdcD//frdD//lsrG//prpE//sgbU//asnB//fbaA//ybjG//gatY//cysH//tehB//fau//purN//ilvD//mdh//murC//glgC//ybjG//fadB//rpiB//pflB//dapB//glpC//kbl//rnpB//pgaC//ydcS//fadM//paaA//rffM//glcB//paaH//cadA//tam//fabB//garK//tdcE//speA//
NarP	sdhC//grxA//napA//rbsD//uxuB//glcF//carB//ulaF//sdhB//ubiC//rffG//dmsB//napA//ubiC//mnmG//
NemR	ydcS//lyxK//
NhaR	sdaA//murC//citC//ddlB//fadA//
NikR	malY//
NimR	gabT//
NorR	hypB//
NrdR	frdC//hypF//iscS//ppsA//
NsrR	phnL//allD//allD//chbF//metA//nadB//bacA//gatZ//aroH//cysE//napA//idnO//lhgO//paaY//paaG//icd//frdD//fabB//relA//tauD//lsrF//puuC//glpA//hcaE//polA//mhpB//nanM//iscS//malQ//bioA//lacZ//accD//sucB//entF//fumB//icd//ilvH//dapD//idnD//pgaD//
NtrC	gnd//chbF//gcvP//wecE//malY//gutQ//sgbU//hycG//tadA//rtcB//nanM//uvrC//alaS//hyaB//betA//hycC//mhpC//cysE//aroA//lpxD//glxR//
OmpR	sdaA//cysE//dkgA//ulaD//amn//nirD//malZ//pnp//
OxyR	wzc//cysH//pfkA//prpD//xapA//moeA//fbaB//cysE//epd//yedX//ttdB//ruvA//pepD//sucC//uidA//purA//dgcC//
PaaX	sodB//dapD//aceA//tauD//nanA//malQ//cyoE//patA//paaJ//
PdeL	thrS//
PdhR	astC//lysA//puuC//phnO//acnB//cdd//pdeH//uvrB//sdaA//udp//pheS//pgaC//metB//gltB//glgB//lpxC//gapA//ahpC//feaB//hyi//sdaA//nrfD//aceA//uxaC//glgC//
PepA	folA//fadE//
PgrR	entF//napA//
PhoB	trpD//phr//sucC//gcvP//sgbU//yqhD//ilvE//hycB//lacZ//aceB//nfsA//fau//mnmG//mhpD//nanE//aroL//pncB//glxR//mhpA//rbsK//
PhoP	fbaB//prpC//cysE//sgbE//aroF//pagP//gabD//garD//murQ//guaB//guaA//fabH//tdcB//ilvC//gpmM//frdC//metE//argH//wecB//fadE//tdcG//argH//pflB//atoA//argC//cueO//ulaD//rbsD//uxuA//cysG//aceB//relA//
PrpR	paaA//uxaA//malZ//ulaG//
PspF	appA//
PurR	uvrB//sgbE//allC//garK//glgC//tdh//purK//phr//accD//moaE//grxA//nanA//pgaB//fadD//leuD//puuC//puuB//ubiX//feaB//wecE//deoC//rutE//cynT//paaK//ppsA//nadB//
PutA	tdh//deoB//
PuuR	fruK//mngB//entA//garD//tynA//ugpQ//
QseB	
RbsR	pdeR//moaE//fadJ//fucO//fadH//ilvI//
RcdA	gltD//
RclR	
RcnR	dhaK//
RcsAB	dhaM//ilvD//uxaC//
RcsB	hyaC//entH//ftsI//hycB//
RcsB-BglJ	fbaA//ldtC//
RelB	fabZ//
RelB-RelE	rffH//
RhaR	
RhaS	phoA//iscS//fadM//kbl//
Rob	tdcD//mdh//purF//wzb//uxuB//codA//malP//umuC//tyrA//phnI//dkgB//katG//leuC//entD//carB//astD//ampC//glpC//wrbA//
RstA	ascB//cysE//malS//
RtcR	glpB//arsC//
RutR	hycD//aceF//ilvE//citC//wecE//pheS//aceA//trpC//citX//purF//chbF//
SdiA	
SgrR	deoA//phnP//betB//
SlyA	phnN//glpC//astD//cynS//purH//puuE//murC//alsE//yfdE//
SoxR	dadA//
SoxS	dinB//leuB//argG//citX//bioF//glcD//dhaK//gabT//codA//yqjH//lsrG//leuD//cysD//ruvB//citX//pgpC//lpxC//atoA//purD//caiA//deoA//yeaE//narI//trpD//gloA//yeaG//
SrlR	rffM//hyaC//bglB//
StpA	atoA//mazG//sdaA//
SutR	fabZ//mtlD//
TdcA	dgcZ//fumB//moaC//rfe//pheT//
TdcR	hcaF//rpiB//murI//pncB//ttdB//
TorR	gntK//glpD//phnM//accC//yfdE//
TreR	gnd//nrdB//
TrpR	yfdE//glgC//dmsC//uxaC//serC//glyA//gudD//caiC//aroL//
TtdR	ppc//sucD//
TyrR	idnO//lysU//pdeL//mltF//amn//rutA//metL//puuB//gabT//
UhpA	avtA//
UidR	ddlB//gabD//
UlaR	garL//wzc//nanM//torC//xylB//
UvrY	araD//ugpQ//
UxuR	glpQ//glpC//umuD//mpl//metK//
XapR	fadJ//purL//
XylR	carB//fadJ//rtcB//
YdeO	cadA//fabH//sucA//
YefM	phnP//
YefM-YoeB	fruK//
YeiL	
YhaJ	
YiaJ	psd//guaA//trpB//nirD//fadA//rutA//
YjjQ	amn//gadA//
YpdB	
YqhC	lhgO//lyxK//
YqjI	gadB//
ZntR	argC//
ZraR	
Zur	rutB//
