# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	nanM//treC//
GadX	xylA//ynfF//nagB//waaY//citG//allD//epd//paaE//sdhC//mhpB//cynT//pyrD//rffT//
GalR	idnD//mhpC//folE//recD//galM//sucD//
GalS	hcaE//alaC//aceE//sbcC//pfkA//lpxA//
GatR	hcaC//putA//ynfE//
GcvA	metL//nrdD//nrfD//
GlcC	tdcB//hypF//dacC//
GlpR	moaD//gpmA//glpK//ruvB//mltF//umuC//uvrB//
GlrR	
GntR	rutA//add//fadI//sgbH//dmsB//speB//tpiA//ygeA//adiA//
GutM	sgbH//nanE//phnI//
HU	glpQ//pepD//eda//accC//sdhA//glcF//citC//
HcaR	aroG//hyaA//
HdfR	
HigA	glpD//
HigB-HigA	sdhB//
HipAB	rffT//nrfA//
HipB	tynA//aroA//astC//
HprR	prpE//putA//moeB//metC//
HyfR	ndh//
HypT	fucA//lsrK//ruvA//trpE//glpD//rhaD//bioB//
IclR	metA//cysG//fadA//
IdnR	atoD//sufS//speA//dgcZ//metL//paaE//
IlvY	hyaA//
IscR	mdh//allE//sdhD//ynfH//folA//rbsD//sodB//add//
KdgR	gnd//tnaA//
KdpE	phnO//
LacI	aceF//mraY//citC//
LeuO	ppiA//purH//lysC//ycjG//hycC//fumB//
LexA	sdhD//gor//accA//nemA//atoB//murC//deoB//hycG//glpC//ydcS//torA//malS//ddlB//argI//rhaB//pspE//kbl//tadA//astA//tadA//rhaA//uvrC//napG//
LldR	nagA//argD//
LrhA	
Lrp	bacA//gatY//add//pyrC//araA//glpC//ribA//aceE//argF//pdeR//hyaC//aceE//kbl//pgk//dkgA//recF//argD//astC//thrS//ulaD//bioC//narI//metE//ssuE//chbG//nanK//moaC//cysC//moaE//serA//serC//glcD//mhpC//rbsD//paaC//yfdE//mhpC//arsC//mraY//fabI//
LsrR	caiB//frc//napG//phnH//asnB//
LysR	paaF//
MalI	kbl//moaA//
MalT	patD//aceE//waaH//puuB//fucA//tdh//
MarA	citF//cysM//glcF//serA//metA//lacA//allE//glnA//cysM//folE//paaE//tktB//hypB//amn//mhpF//edd//paaI//uxuA//mltF//wecB//ycjG//yqhD//patA//lysU//
MarR	
MatA	epd//
MazE	pykF//
MazE-MazF	polB//
McbR	
MelR	lpxD//aroL//
MetJ	hemL//nfsA//poxB//sucC//nrdD//polB//ulaE//leuC//leuA//glcD//
MetR	truB//sdhB//purN//fadA//
MhpR	garK//lsrG//entH//codA//cysG//aroH//
Mlc	astC//uxuA//wzc//glxR//
MlrA	ubiA//
MngR	glpC//hcp//
MntR	betB//lysC//
ModE	patD//entE//sgbE//tyrA//guaA//citG//murE//tdcD//dapD//uvrA//ilvA//hycC//metF//moeB//pgaC//umpH//katG//
MprA	metL//entF//narI//
MqsA	dadA//chbF//
MraZ	gutQ//fabZ//glpB//nadB//hcp//mhpB//leuC//phnM//treC//sdhC//
MurR	bglB//trpA//malS//
Nac	glcF//glcF//uxuB//fucK//ubiX//purD//deoD//rbsK//srkA//ubiC//puuE//
NadR	sucB//glpQ//metK//betB//
NagC	cysI//lsrK//alaS//ttdA//moaC//codA//aceA//uxaB//aroG//putA//mltF//aceB//tdcE//prpC//bioA//gcvT//sodB//hyaA//sodB//
NanR	lacA//aspA//fucI//waaY//rhaD//fau//
NarL	xylB//gadA//puuE//citD//nfsB//hcaF//citC//argF//ubiA//yedX//phnH//purF//aroL//tdh//napG//rsmH//trpB//epd//glgB//sgbU//rsmH//tauD//hycB//arsC//gntK//pdeL//hemL//cdd//fdhF//murE//nanE//tdh//deoC//mpaA//ddlB//malS//trpE//malQ//argE//prpC//serA//
NarP	ndh//rnpB//frdD//rffG//mpaA//adhE//ppiA//rhaA//argF//lacA//fau//murE//ppiA//murQ//purF//
NemR	moaA//dinB//
NhaR	leuA//pdeR//rutE//argA//citG//
NikR	prs//
NimR	purC//
NorR	waaH//
NrdR	zwf//serA//dhaL//ppc//
NsrR	katE//hcaB//udp//ndh//icd//metC//aceB//malS//araB//ychF//rbsK//uvrB//gadB//nirB//ahpC//wecE//ilvC//ilvC//pagP//fabG//allE//sdhB//tehB//aceB//gntK//tpiA//fucK//speB//tdh//moaC//glgP//atoB//serC//ynfE//metH//garL//glpB//pyrC//wecC//ydcS//
NtrC	fucI//glsA//glsA//arsC//ppsA//garK//amn//udp//ung//serC//fadJ//dacC//aroA//purD//ubiA//lacA//idnK//lyxK//atoA//guaA//cysE//
OmpR	gnd//recF//cysC//pncB//glsA//moeA//idnO//gabT//
OxyR	trpD//pdeH//alaS//fabB//leuC//cynS//nemA//paaY//dgcC//gabT//leuB//caiD//dhaL//puuC//uidA//gapA//uxaB//
PaaX	frdA//frdB//pdeH//ahpF//frc//tynA//argD//allC//gutQ//
PdeL	uxuA//
PdhR	fucI//mhpE//sucD//ulaD//entB//gltB//astE//gapA//yqhD//sdhD//fdhF//purK//fadA//fabZ//glsA//citE//entH//alkA//sgbU//fau//gutQ//phoA//treC//poxB//deoA//
PepA	sucB//ampC//
PgrR	pfkA//yeaE//
PhoB	glnA//ppsA//murF//glxR//mraY//gcvT//torA//cyoE//aceE//ubiX//mpl//gor//carA//nrfC//ruvA//sufS//pflB//appA//dhaK//rffM//
PhoP	ugpQ//aceF//tktB//paaA//ung//cysI//sdaA//dgkA//folA//alsE//ilvD//metF//galT//nrfC//pspE//paaG//rffH//eda//gcvH//lsrG//phnI//pdeL//fabH//truB//mhpB//entB//phnN//hyi//dapB//mnmG//truB//tdcG//
PrpR	pflB//dapD//ychF//fadJ//
PspF	chbG//
PurR	nadB//yqjH//lpxD//hyaA//lpxD//ada//trpB//eda//fabI//deoB//napH//garK//hcaF//mhpA//ppsA//pdeH//fumB//purN//argF//nrdF//mraY//udp//pncB//moaA//dmsC//argB//
PutA	allD//narH//
PuuR	amn//aceA//pheS//xapA//dapD//hcaE//
QseB	
RbsR	atoB//caiA//adiA//fadE//ilvE//moeB//
RcdA	umpH//
RclR	
RcnR	glxR//
RcsAB	acnA//pheT//patD//
RcsB	astA//fucI//astC//ilvG_1//
RcsB-BglJ	phnO//bioD//
RelB	bacA//
RelB-RelE	sodB//
RhaR	
RhaS	ftsI//udp//waaH//rimK//
Rob	ahpF//metA//paaA//nrdD//argA//murI//caiD//leuA//fabZ//cysG//malQ//amn//edd//gntK//hcp//nrdA//lysU//hemL//yqjH//
RstA	nadA//argG//hycB//
RtcR	ydcS//pheT//
RutR	rhaA//dmsB//cadA//frdB//rhaA//mhpA//hycG//leuA//mhpD//yeaG//pgaD//
SdiA	
SgrR	fadA//paaB//ynfG//
SlyA	malZ//dkgB//purC//rnpB//trpA//fucA//pfkA//metL//galM//
SoxR	pnp//
SoxS	serA//torA//ssuE//caiB//cdd//yfdE//mpl//fabD//rtcB//ldtC//glgA//purE//entC//aspA//umpH//accA//gcvH//fau//pgaC//garR//pfkA//nrdF//murQ//ynfH//betB//umuD//
SrlR	gcvP//nfsB//ccp//
StpA	tauD//lpxD//yeaG//
SutR	carB//phnH//
TdcA	alkB//fau//rtcA//sdhC//bacA//
TdcR	frdB//hycG//entE//purA//rutD//
TorR	fadM//alaC//rimK//phnN//cueO//
TreR	glgC//dhaM//
TrpR	fes//ilvC//paaI//ccp//pgi//puuD//glcD//lpxC//glnA//
TtdR	ubiC//dmsA//
TyrR	tyrB//sodA//ulaF//cysK//trpE//pykF//ppsA//malP//leuC//
UhpA	fucO//
UidR	gadB//rtcB//
UlaR	tdcG//cysN//glgB//psd//mhpD//
UvrY	rutE//eno//
UxuR	fabI//entC//gcvT//phnJ//epd//
XapR	melA//atoA//
XylR	sdhA//rutB//fumC//
YdeO	galK//wecB//fabG//
YefM	phnN//
YefM-YoeB	paaK//
YeiL	
YhaJ	
YiaJ	gabD//purH//uxaA//melA//glmU//murI//
YjjQ	glyA//zwf//
YpdB	
YqhC	mltF//gloA//
YqjI	wzb//
ZntR	lyxK//
ZraR	
Zur	sgbU//
