# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pyrD//appA//
MarA	pgi//kbl//glpB//garL//cdd//rffC//pfkA//srlD//gatD//asnA//hycG//napG//sufS//glxR//ttdA//glcB//prpE//murQ//arsC//pspE//carA//ttdB//ubiC//mhpD//
MarR	
MatA	torA//
MazE	dapD//
MazE-MazF	prpD//
McbR	
MelR	murQ//aroG//
MetJ	pgm//narG//mhpD//cynS//purK//sgbH//nirB//feaB//fabA//glpQ//
MetR	uvrA//thrS//glgX//recF//
MhpR	glpX//garR//hycC//tdcD//murQ//argG//
Mlc	paaC//glcE//xylB//ilvH//
MlrA	pheS//
MngR	dacC//nagA//
MntR	fabG//glxK//
ModE	glgC//galT//astB//metF//nrdD//yedX//araA//hyaC//ybjG//lysU//glpD//hyi//trpC//fadD//deoD//pspE//ilvA//
MprA	nemA//uvrB//dadA//
MqsA	aceB//gloA//
MraZ	argB//nanM//ynfE//argG//fadD//rutC//avtA//guaB//ldtC//rnpB//
MurR	psd//napG//mhpD//
Nac	betB//argI//dhaK//ampC//uxaB//murI//fadJ//caiD//cynS//argC//ada//
NadR	ccp//wecE//sucA//nfsA//
NagC	garK//pgpC//mnmG//pdeL//pdeL//ilvD//astD//asnB//xylA//betA//trpB//pheT//mdh//sdhC//hemH//ttdB//rffT//rutA//leuD//
NanR	cynS//argD//murE//ilvC//fucO//xapA//
NarL	ilvG_1//phnO//feaB//nadB//gnd//rffH//cueO//paaJ//hycC//sucD//deoB//trpA//recB//glpB//srlD//ydcS//dgcC//fucO//argD//uidA//glpB//truB//xylA//argF//mpl//ilvA//waaY//rpiB//metB//phnH//gadB//nadB//leuD//poxB//leuC//rffC//nrfD//wecB//ynfH//nrdF//pagP//
NarP	sdhB//ulaF//cysK//hyaB//katG//luxS//astA//yeaE//lldD//glpA//glpX//eno//dapD//fabZ//paaY//
NemR	allA//ftnA//
NhaR	ttdA//fadB//xylA//gudD//sufS//
NikR	rfe//
NimR	ulaG//
NorR	purB//
NrdR	appA//gpmM//entD//cysN//
NsrR	lsrK//glpD//araA//hyi//luxS//yedX//fucI//pgpC//metC//avtA//prpD//fucK//dmsA//citF//aldA//argG//rffT//lacZ//murQ//glpK//ynfE//gapA//trpA//lysA//cysI//napH//entF//puuA//leuC//tpiA//nanA//metA//deoA//atoD//waaY//sodA//moaE//folE//trpA//glxR//
NtrC	ccp//glnA//caiC//accA//napB//fumB//araB//pncB//sdhB//fucO//prpB//frdA//wecB//hcaC//putA//cysE//cysJ//srkA//glyA//pyrD//alkA//
OmpR	lacA//hcp//cysM//uvrB//pflB//ttdA//moaA//glmU//
OxyR	dgkA//uxaC//nfsA//cysI//uxuA//argC//ftnA//tnaA//pheS//fadM//hycD//phoA//accA//paaH//nrdA//argD//phr//
PaaX	ilvC//fadB//leuC//glxR//tdcB//ycjG//hcp//gloA//entA//
PdeL	recB//
PdhR	puuB//fabB//ascB//lpxA//ogt//srlD//fumB//xylA//argH//ubiA//ldtC//hycF//hycC//yqjH//glxR//pyrC//cdd//gatD//cysE//luxS//dmsA//wzc//paaY//amn//ada//
PepA	fucI//gabD//
PgrR	frdC//gabT//
PhoB	serA//puuC//atoB//metF//cysE//gapA//carB//xapA//allA//gpmA//nrdA//idnO//deoA//moaD//hycB//glpC//rhaB//tehB//bioC//tyrB//
PhoP	luxS//malY//pgaD//citE//katE//uvrA//asnA//ynfF//ynfE//glmU//moeA//galK//pgaD//idnK//moeA//lhgO//hycB//purL//trpD//add//uvrC//fadA//betA//xylA//purK//dadA//gabD//sgbE//rfe//pgk//fadE//nirB//
PrpR	ilvH//leuD//yfdE//lacA//
PspF	metF//
PurR	atoB//ilvD//pnp//nfsA//aroL//galT//ppc//deoD//oxc//phr//tdh//phnO//caiD//wzb//fumB//metC//paaI//citX//avtA//ubiX//entE//pgk//entF//paaE//araB//rnpB//
PutA	bioF//gabT//
PuuR	umuD//argE//umpH//ldtD//sodA//yiaK//
QseB	
RbsR	prs//yeaG//accC//tyrA//rhaB//ubiX//
RcdA	ilvD//
RclR	
RcnR	entB//
RcsAB	sodB//tehB//purN//
RcsB	adiA//dmsA//purM//sdaA//
RcsB-BglJ	dadA//citX//
RelB	mngB//
RelB-RelE	argG//
RhaR	
RhaS	glcB//glgA//ynfF//phnI//
Rob	sdhD//fabA//leuC//glgB//ulaE//chbF//zwf//cysJ//hcaD//yeaG//nrdD//napA//dgcC//mraY//deoB//paaC//ulaF//fbaA//galK//
RstA	rutE//tauD//slt//
RtcR	ynfE//fadD//
RutR	ttdA//paaC//bioC//gabD//tam//caiA//citD//uidA//gcl//grxA//argI//
SdiA	
SgrR	gcvP//slt//gabT//
SlyA	patD//glcE//fadI//tauD//asnA//polB//entH//uxuA//ybjG//
SoxR	nemA//
SoxS	fadB//citF//yfdE//ynfF//ycjG//oxc//glmS//murI//ppiA//cdd//xylB//arsC//paaE//gltB//cysJ//serC//leuD//pheT//pnp//epd//rutB//murI//aroL//hcaC//malY//recF//
SrlR	nanM//hcaC//cueO//
StpA	gloA//prpE//tpiA//
SutR	tdh//kbl//
TdcA	gltB//glpX//mdh//astB//bglB//
TdcR	hyi//hemH//mraY//ssuE//nrdA//
TorR	entH//cynT//puuA//fucO//guaA//
TreR	nirB//add//
TrpR	nadA//wecB//puuC//metF//ahpC//glcD//speA//fau//tdh//
TtdR	deoA//gltB//
TyrR	fumC//phnI//argG//glcB//lysU//phnI//rnpB//uxaC//polB//
UhpA	cysJ//
UidR	ldtC//rfe//
UlaR	puuB//fruK//xylB//ilvG_1//lyxK//
UvrY	puuC//sucD//
UxuR	gdhA//nanM//ampC//fucA//leuA//
XapR	tadA//glpX//
XylR	icd//glgX//glnA//
YdeO	dadA//dapD//serC//
YefM	cysI//
YefM-YoeB	eno//
YeiL	
YhaJ	
YiaJ	melA//paaC//gabT//phnN//entF//rhaA//
YjjQ	purC//trpB//
YpdB	
YqhC	caiC//lacA//
YqjI	metL//
ZntR	aceA//
ZraR	
Zur	tyrB//
