# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	paaZ//lysA//
DpiA	dgcN//metA//ttdB//idnD//glsA//
DsdC	cysI//murD//
EbgR	
EnvR	fadH//prpD//
EnvY	phr//ynfG//
EvgA	waaZ//glsA//aldA//ychF//tpiA//cysC//
ExuR	citE//nfsB//entC//astE//glmU//pdeR//
FabR	puuE//ftsI//aldA//
FadR	fabH//dapD//alkB//nanM//patD//wecE//rutB//pheT//glpC//tdh//deoD//uvrA//appA//glmU//leuC//galE//tyrB//wzb//fadD//
FeaR	ampC//speB//
FhlA	malQ//iscS//dhaL//tauD//ydcS//entA//nrdB//caiD//
FlhDC	argF//hcp//argB//phnN//glmU//eda//narH//aspA//paaY//dacC//dmsC//ttdB//rutC//ruvB//
FliZ	nrdB//araD//lpxA//sgbE//umpH//
FucR	chbF//rbsD//pdeR//ilvI//gltB//allD//
Fur	ycjG//alkA//hycC//ftsI//paaA//waaY//phnJ//fadI//purB//gcvP//glcB//fabZ//mtlD//dkgA//kbaY//codA//amn//sodA//aroH//garK//aroG//nrfD//ilvA//hycB//glpD//argF//dadA//hycF//argB//fes//oxc//ulaD//rtcA//alaC//pgaC//eno//caiD//lpxC//metH//entB//yqhD//purL//folE//dacC//argG//glgA//wecB//pdeH//gcvT//cysM//wzb//entC//cadA//nanE//glgX//sucD//gapA//nagA//murG//pdeR//dhaL//paaG//
GadE	gpmM//galE//ugpQ//alsE//purE//slt//idnO//tdcB//paaJ//ahpF//
GadE-RcsB	nrdE//mhpB//cysJ//fadI//tauD//
GadW	gutQ//bioB//atoB//uvrB//
GadX	phr//alkA//eno//tktB//wecC//sdhD//mhpD//tyrB//glgB//rffH//lpxA//pspE//pnp//
GalR	ldtD//cynT//alsE//trpE//phnJ//araA//
GalS	purN//phnG//allD//glsA//uidA//purA//
GatR	allB//aceE//add//
GcvA	paaZ//ynfF//caiB//
GlcC	argC//puuC//prpD//
GlpR	ppiA//fumB//yqhD//fucU//paaJ//glcB//gcvH//
GlrR	
GntR	lhgO//aceF//alaA//dgcN//dgcN//srkA//frdD//tdcD//dgcN//
GutM	astC//zwf//puuD//
HU	sucA//nrdD//rffM//cadA//bioF//glpD//caiC//
HcaR	glcB//nagB//
HdfR	
HigA	idnO//
HigB-HigA	pdeL//
HipAB	lacZ//glgA//
HipB	mltF//dhaM//rpiB//
HprR	galM//sdhA//rhaA//pgi//
HyfR	caiB//
HypT	wecB//ulaE//trpA//atoB//sbcD//glpB//phnM//
IclR	pncB//caiB//garK//
IdnR	wzb//trpE//carA//gabT//argF//citF//
IlvY	caiC//
IscR	sucD//cysN//mnmG//citX//speA//lpxD//grxA//murG//
KdgR	atoA//fadD//
KdpE	lpxA//
LacI	umuC//folA//hycB//
LeuO	paaG//lldD//feaB//accD//ilvD//rffT//
LexA	avtA//nfsA//cysH//ppsA//metH//dgcZ//fabB//murI//sgbH//aroG//atoD//cdd//mpaA//ybjG//astC//yqjH//bglB//gabT//waaY//mpl//wecE//ubiC//icd//
LldR	yeaE//ulaE//
LrhA	
Lrp	lsrF//torC//glcF//uvrC//argI//phnN//nanA//nagA//napB//umuD//umuD//aroF//malQ//mdh//ubiX//lpxA//tnaA//mltF//tyrA//yqhD//ccp//garR//poxB//ribA//phnN//dadA//poxB//cysD//hypF//paaC//caiD//tktB//nadB//garK//argD//gabD//pykF//accD//hypB//torA//
LsrR	kbaY//aroG//uxaB//mltF//glpD//
LysR	ilvG_1//
MalI	sbcD//trpE//
MalT	hypF//cysD//pgaB//prpE//lpxA//rutA//
MarA	gabT//deoB//entA//mhpD//mazG//tdh//fadI//ilvI//entE//argA//ruvB//cynT//atoB//yiaK//leuC//trpE//sdhD//dhaK//pdeL//sucC//speB//paaK//rhaA//paaA//
MarR	
MatA	gnd//
MazE	metB//
MazE-MazF	srlD//
McbR	
MelR	katE//alaS//
MetJ	hcaE//ldtB//ndh//rffH//hycD//talA//uvrC//citF//galT//patD//
MetR	hcp//yqjH//melA//paaG//
MhpR	sucD//sgbE//rffG//uvrA//alkB//pspE//
Mlc	uvrC//kbaZ//hcaB//rhaB//
MlrA	rhaB//
MngR	argD//alaS//
MntR	deoD//pck//
ModE	alkB//sdhA//bioA//argH//napB//entF//allB//atoD//bioD//wecC//citF//pgk//lpxD//entA//galK//araA//serC//
MprA	oxc//phr//phnP//
MqsA	gdhA//pncB//
MraZ	ygeA//uxuA//dmsA//glpB//udp//hycF//fabH//argA//codA//mpl//
MurR	ppc//phnJ//purK//
Nac	ppsA//glgP//waaY//fadM//phnO//nrfD//tdcG//rffT//deoA//phnH//tdcB//
NadR	yqjH//phr//murE//tyrA//
NagC	mngB//wrbA//phnG//glgP//phnL//glpX//hcaC//pepD//galE//rutB//leuA//citF//purK//ddlB//malY//uxuB//rtcA//citG//metB//
NanR	nagA//hcaD//pgi//yeaG//fucK//dkgB//
NarL	entE//pgi//aroA//uxaB//ttdA//dmsB//bacA//dhaK//torC//purC//yedX//glcF//fau//nadA//sbcC//acnB//kbaZ//mhpC//citF//fabB//metC//fau//cysN//pheS//kbaZ//lpxD//tpiA//murQ//ftnA//sdaA//fucK//pepD//trpE//uxaA//amn//lsrK//nrfC//malZ//rfe//mhpD//aceB//
NarP	ssuD//alkA//guaB//garK//phnL//fucU//slt//waaZ//mtlD//nagA//rfe//paaK//rfe//tynA//ilvM//
NemR	purF//paaA//
NhaR	ilvC//ydcS//uvrC//argG//deoB//
NikR	ilvG_1//
NimR	gudD//
NorR	ubiX//
NrdR	nanA//ydcS//trpB//sucC//
NsrR	fadA//gltB//fabG//pheT//glxK//yfdE//prpB//ccp//cynT//folA//phnO//speB//mazG//metC//hemH//alaC//mazG//waaY//gltB//rhaD//fadM//sdhD//trpB//trpB//gor//bioB//fbaB//iscS//ilvG_1//uxaC//ttdA//cadA//argE//alkB//tehB//leuB//putA//rfe//astD//sgbH//
NtrC	sbcD//paaY//fucO//allE//luxS//fucA//puuD//argA//gcvT//aroG//rtcB//entB//cysD//ttdB//wecB//rffT//carA//paaZ//pdeR//tynA//rutE//
OmpR	fucK//pyrD//glpD//glpB//aroA//xapA//cysN//torA//
OxyR	nrdF//umpH//nanE//fabZ//ppiA//purM//sbcD//rpiB//leuB//rffM//ppiA//glcB//caiC//gnd//mhpA//yfdE//pncB//
PaaX	frdD//garL//purM//polA//entE//aceB//leuB//moaD//caiA//
PdeL	dkgA//
PdhR	narH//caiC//ruvB//aspC//nirD//mhpF//prpC//gntK//wecC//lpxD//purH//tdcG//galT//glcF//tdcE//metB//mazG//tktB//cadA//gabT//pflB//umpH//mhpC//tynA//narG//
PepA	rffH//glgC//
PgrR	ttdB//trpE//
PhoB	paaE//dkgB//hyaA//sucB//fabA//caiA//idnK//tpiA//bioD//narI//moaD//gatD//pagP//polA//hycE//ynfF//hcaE//astA//ruvB//dkgB//
PhoP	luxS//gltB//gatY//uidA//dsdA//prpC//fabG//waaZ//mhpC//bacA//bioB//alkA//phnO//allA//ilvM//atoA//napG//hcaB//paaA//sdaA//prpB//narI//prpB//purD//galE//purM//speB//napH//purA//nanK//astB//entE//
PrpR	pheT//metA//avtA//phnG//
PspF	recB//
PurR	pflB//moeA//hyi//luxS//nirB//aroL//fadE//argA//argH//murQ//patD//glgC//paaE//ftsI//sdhC//ppiA//dgkA//uxaC//ttdA//nanA//aroL//aceB//patD//ppiA//tnaA//hcaE//
PutA	uxaC//ilvH//
PuuR	rffT//araD//fbaB//prpD//paaH//hemH//
QseB	
RbsR	metK//pspE//lysU//mhpD//astA//rhaB//
RcdA	prs//
RclR	
RcnR	dadA//
RcsAB	ubiX//cysC//glpA//
RcsB	gltB//atoA//moeB//malP//
RcsB-BglJ	atoA//cysM//
RelB	caiB//
RelB-RelE	bioF//
RhaR	
RhaS	lpxD//hemH//gpmM//nanA//
Rob	caiA//ldtD//glgX//gdhA//idnO//ppiA//purL//nrfC//frdD//rimK//glgP//ampC//tehB//lacA//tdcG//sbcC//galM//nanM//nrdB//
RstA	pyrC//wzc//fucI//
RtcR	garL//fadM//
RutR	mpl//folE//mtlD//yedX//dgcN//glcF//fabH//phr//rtcA//epd//mhpE//
SdiA	
SgrR	lhgO//accC//metL//
SlyA	sdhB//glxR//gnd//waaY//patD//deoD//trpC//gor//glpQ//
SoxR	astB//
SoxS	ribA//ynfE//metL//gadA//alkB//malZ//fadM//moeB//gloA//rpiB//mpl//cysK//uxaB//moaC//sucD//phnH//aldA//aspC//pyrD//psd//adiA//leuB//hycC//ybjG//sdhB//hcaB//
SrlR	umuD//appA//gcl//
StpA	paaA//purM//ppc//
SutR	glnA//carA//
TdcA	rutC//dapD//edd//recB//citE//
TdcR	glgP//ybjG//gltB//murF//glpX//
TorR	ccp//pdeR//ung//amn//fau//
TreR	aldA//tynA//
TrpR	dkgB//prpD//moaA//garD//paaI//pgpC//frdD//dgcN//phnG//
TtdR	xapA//purB//
TyrR	hyaA//recB//mtlD//murI//mhpC//nemA//aspA//tyrB//ppsA//
UhpA	lldD//
UidR	purB//sgbU//
UlaR	wzb//bioC//paaY//garK//puuB//
UvrY	waaZ//gltB//
UxuR	purE//murD//aroG//glsA//dadX//
XapR	trpD//caiB//
XylR	lpxD//hycD//galM//
YdeO	ldtD//glyA//paaG//
YefM	mdh//
YefM-YoeB	fruK//
YeiL	
YhaJ	
YiaJ	murC//nemA//talA//ulaD//sucA//asnB//
YjjQ	iscS//gpmM//
YpdB	
YqhC	argB//alaC//
YqjI	fau//
ZntR	ybjG//
ZraR	
Zur	purK//
