# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	nanK//phnJ//
NarL	murC//glpX//paaG//hcaF//frdA//ahpC//fabB//ndh//garK//pgaD//glpD//araB//uxuB//fucU//alkA//recF//pgk//mhpC//metC//gltD//sdhA//guaA//uxaB//caiD//torA//phnM//mltF//nanK//bglB//tauD//edd//fadJ//gudD//hmp//trpD//malY//asnA//kbaZ//galE//sbcD//rhaB//
NarP	deoA//murF//gdhA//ldtB//murF//fadA//garD//treC//hcaE//moaC//umuC//allD//fadH//fes//pheS//
NemR	lacZ//pgm//
NhaR	deoA//nrfC//glsA//sgbU//hcaC//
NikR	tyrA//
NimR	trpC//
NorR	serC//
NrdR	galM//rffM//glmU//metE//
NsrR	relA//ldtB//hycD//uxuB//purL//citE//pncB//atoA//prpC//glpC//ldtB//guaB//dacC//arsC//trpC//ybjG//dgkA//nrdE//gltB//pdeL//pncB//slt//entB//argG//ppiA//bglB//hemL//pnp//tktB//astD//rhaB//kbaZ//mhpA//aceF//gpmA//oxc//grxA//purA//ung//lsrF//
NtrC	ilvD//fadB//murC//xylB//aroL//eda//idnO//gcvT//kbaY//sufS//caiC//glxK//gudD//aceB//gabT//pgaB//metH//ftsI//rffM//mpl//glcD//
OmpR	guaA//pgpC//sbcC//dgcN//thrS//serA//pck//mltF//
OxyR	iscS//gntK//nagA//lacA//nanA//talA//waaZ//ssuE//lysC//ogt//truB//cysC//sufS//hcp//paaG//frdA//amn//
PaaX	mltF//citX//bacA//bioD//fabG//uxaA//bioB//fau//leuD//
PdeL	nrfC//
PdhR	gdhA//ulaF//gadB//nemA//hcaE//paaY//ahpF//grxA//citF//fadH//rffG//pheT//wzc//gltD//fes//mdh//mraY//glnA//cysM//adiA//phoA//hcaB//pagP//adiA//cysC//
PepA	glmU//astC//
PgrR	hypF//gcl//
PhoB	rfe//wecC//sucB//polA//nagB//wzc//ilvI//rimK//tyrB//rpiB//sdhA//nadA//hmp//ilvI//hyaA//pyrD//murE//aceE//argE//nrdB//
PhoP	hycE//fabG//alkB//waaY//dhaM//idnO//gabT//frc//paaB//napH//rutE//nirD//galM//rbsK//katG//uxaA//glcB//arsC//cysK//nanK//atoA//cdd//mtlD//uxaC//aceE//aldA//sucB//acnA//caiD//mazG//pgi//pck//
PrpR	mngB//uxuB//fau//uidA//
PspF	frdD//
PurR	uxuA//ygeA//phnM//yiaK//aceF//hypB//idnO//sucB//yiaK//sdhB//accA//fucK//cueO//murD//dapD//pspE//glcB//garL//hypB//eda//astE//glcD//rtcB//narI//puuB//dsdA//
PutA	fabA//ilvD//
PuuR	tyrA//glpK//fabG//torC//grxA//rtcB//
QseB	
RbsR	glxR//dacC//glpQ//cysD//rutE//glmS//
RcdA	tdcE//
RclR	
RcnR	xapA//
RcsAB	galM//nfsA//puuD//
RcsB	chbG//accD//purB//rffT//
RcsB-BglJ	nanK//mhpD//
RelB	lldD//
RelB-RelE	rffG//
RhaR	
RhaS	chbG//napB//phnN//dgcC//
Rob	frdD//araA//alaC//glpQ//tdh//fucO//leuA//phnM//rhaB//nrdA//srlD//glmS//garL//yeaG//fes//pdeR//purN//relA//rhaD//
RstA	eno//rutB//glcD//
RtcR	katG//paaJ//
RutR	rnpB//hcaD//hyaC//phnI//ppiA//ilvA//ulaF//fumC//prpC//phnN//nfsB//
SdiA	
SgrR	edd//dmsA//tdh//
SlyA	gpmA//nrdB//entH//hyaB//argH//aceB//wecB//gadA//guaA//
SoxR	accD//
SoxS	phnJ//glpB//metB//wecB//sodA//sdhB//recF//bioB//gor//frdD//phnJ//fabI//malZ//aroH//nfsB//ilvC//bioC//asnB//glgA//dgkA//glgX//yfdE//tdcD//citE//frc//hycD//
SrlR	bioD//dmsC//dacC//
StpA	moeB//ppiA//glsA//
SutR	idnD//garR//
TdcA	xylB//pagP//entH//astA//kbl//
TdcR	dadA//sucC//caiA//caiA//adhE//
TorR	glpK//uxuA//fabA//aroF//lysA//
TreR	paaF//pgk//
TrpR	malP//tehB//sbcC//appA//araA//tpiA//uvrC//allB//mdh//
TtdR	lysU//garR//
TyrR	entA//guaA//rtcA//mpl//aceB//gcvP//cysI//nanA//murC//
UhpA	srlD//
UidR	sdaA//thrS//
UlaR	purF//metB//mpaA//murD//malZ//
UvrY	glpK//sgbE//
UxuR	bglB//ppiA//ruvA//sdhA//garK//
XapR	fdhF//deoB//
XylR	fabG//cysK//prs//
YdeO	speB//entC//sgbH//
YefM	pepD//
YefM-YoeB	glxR//
YeiL	
YhaJ	
YiaJ	gatZ//metB//glpD//hcaB//gdhA//pgi//
YjjQ	galM//gudD//
YpdB	
YqhC	astB//umuD//
YqjI	uxuA//
ZntR	alaA//
ZraR	
Zur	lacZ//
