# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	metL//gpmA//
Fur	paaY//hycF//galE//ugpQ//garD//moeB//phnJ//ldtD//deoC//udp//cueO//hcp//folE//gloA//mazG//hycB//rtcA//astB//guaB//yeaG//argG//leuB//trpB//entC//ssuD//iscS//mraY//gatD//yeaE//allB//accD//ahpC//gdhA//citF//hcaB//deoA//hyi//pncB//aroL//nirB//wzc//paaY//purA//sufS//mhpE//rffC//moaE//cysK//lysU//napG//yeaG//frdB//carB//paaI//frdD//polA//sucD//umpH//caiC//alkB//mnmG//mpaA//
GadE	aroL//idnK//phnG//entB//speB//aroH//dapB//trpA//moaE//murQ//
GadE-RcsB	speB//napH//gatZ//paaH//speA//
GadW	icd//cysJ//yiaK//astB//
GadX	atoB//glnA//kbaY//serC//lsrK//ynfH//cadA//ruvB//fadD//polA//fumB//murD//ttdA//
GalR	ilvI//sgbH//lacA//hemH//accA//kbaZ//
GalS	nagA//aroA//araA//entA//aroL//ulaG//
GatR	nanM//fes//fucK//
GcvA	moaC//ldtB//murI//
GlcC	narH//glmU//phnP//
GlpR	alkA//pspE//glgX//fabZ//paaJ//tehB//puuB//
GlrR	
GntR	phoA//luxS//bioF//leuC//fadM//wecC//fdhF//bioF//sucD//
GutM	pflB//edd//fucI//
HU	glpQ//folA//betB//glcE//ldtB//poxB//fucI//
HcaR	ynfG//aroF//
HdfR	
HigA	hycE//
HigB-HigA	pgpC//
HipAB	glpB//murC//
HipB	paaB//uvrB//relA//
HprR	bioC//astB//phr//hycB//
HyfR	codA//
HypT	purM//puuA//recB//gadA//hycB//rffC//polB//
IclR	pdeH//hyaA//citG//
IdnR	mhpA//grxA//purA//cynS//udp//dsdA//
IlvY	citX//
IscR	nrfD//ppc//citG//trpA//hycC//cysN//aroA//tehB//
KdgR	eno//ahpF//
KdpE	gabD//
LacI	mhpD//pyrC//codA//
LeuO	metF//purB//yeaG//alkA//mltF//glyA//
LexA	purF//uvrC//prpE//aceE//malP//astB//ssuD//phnN//rutC//alsE//entC//serA//glpA//glgC//waaH//galK//malP//nfsA//frdB//hemH//wrbA//frc//ygeA//
LldR	pyrC//gutQ//
LrhA	
Lrp	glyA//malY//paaJ//murQ//ynfF//gatD//umpH//rutE//uxuB//fruK//phnG//uxaA//murD//rutD//caiB//rutB//tnaA//napH//kbl//patA//lacA//gudD//uvrC//nrdA//dhaK//argE//ssuE//fumB//malS//napB//uxaB//nrfA//amn//polB//cysM//ilvE//citC//frdD//gutQ//dgcN//
LsrR	katE//glxR//cysE//mazG//phnN//
LysR	patA//
MalI	truB//rhaB//
MalT	uvrA//rhaD//fabD//dmsA//glpX//hycB//
MarA	treC//trpE//rfe//fumB//ilvI//wzb//gapA//fadE//murF//tdcE//purB//trpB//rsmH//gltB//moaC//metK//asnB//rffH//sdhA//cysD//mpl//ogt//aroF//betA//
MarR	
MatA	pck//
MazE	lyxK//
MazE-MazF	gnd//
McbR	
MelR	umpH//nagA//
MetJ	paaA//ssuD//ulaD//mltF//dacC//leuC//betA//moaC//frdD//uxaC//
MetR	glcE//garK//galM//purM//
MhpR	lpxD//ilvE//ilvG_1//rutD//codA//grxA//
Mlc	udp//ddlB//frdC//lsrF//
MlrA	dgcZ//
MngR	pgpC//nagB//
MntR	cysM//deoB//
ModE	dgkA//oxc//umuC//ppiA//glgB//nrfC//phnJ//trpE//aspC//dapD//umuD//pspE//atoA//uxuB//pgi//nfsA//gatZ//
MprA	dadA//cynS//serA//
MqsA	puuE//glgC//
MraZ	frdC//cysE//ung//rhaD//purD//paaC//guaA//glpK//puuA//fumB//
MurR	phnJ//lsrK//thrS//
Nac	gcvT//purC//malY//patD//cysH//hycC//ycjG//yiaK//ahpC//trpA//feaB//
NadR	treC//glmU//glpK//paaY//
NagC	aroH//metF//sgbH//cdd//gabD//moaA//purM//paaH//prpC//betA//tehB//glmS//gudD//hcaF//trpD//pncB//uxuB//napB//glpA//
NanR	yfdE//ddlB//prs//eda//gdhA//pgaC//
NarL	ssuD//aspC//nrdA//uvrA//oxc//ccp//appA//prpE//ilvD//argE//caiD//nanK//dmsB//hyi//folA//hemH//yqjH//glmS//malP//metC//atoA//add//metE//cysD//astE//deoA//gatD//ndh//aroG//mhpC//glgA//mltF//nadA//murI//gcvT//hycF//ssuD//carA//oxc//nfsA//oxc//
NarP	mhpB//rimK//frdB//lpd//hyaC//dapB//chbF//pnp//serC//sucD//fes//phnG//dmsB//araB//hycF//
NemR	pgm//fadM//
NhaR	ynfG//kbaZ//hcaB//paaB//hypB//
NikR	glpQ//
NimR	serC//
NorR	ahpC//
NrdR	frc//entD//lldD//atoD//
NsrR	waaY//galT//gcl//rnpB//eda//wecE//yeaG//citC//rfe//deoC//nrdD//cysJ//ung//malP//rpiB//rffC//ribA//allA//gcvP//moaC//tdcE//dgcZ//astC//rffG//aceB//cysM//alaS//sdhB//rnpB//murI//ppc//aroF//gcvH//trpB//pflB//malZ//cysM//nemA//pnp//gltD//
NtrC	lldD//fadA//gntK//pykF//allA//gntK//patA//entC//trpD//nrdA//purB//lacZ//gcl//codA//nadB//rhaB//murC//edd//ldtD//gadB//rutB//
OmpR	yiaK//nanK//hemH//sbcD//mraY//nrfC//lhgO//phnN//
OxyR	lsrK//yfdE//garL//gloA//lysC//hemH//astC//allB//glcB//gutQ//gudD//pgaC//hycG//treC//paaB//araD//fabB//
PaaX	ldtB//paaZ//nrdB//bioA//metB//idnD//purN//aroG//aldA//
PdeL	tpiA//
PdhR	uvrC//alaA//purC//fadE//prpB//purM//cysM//frdB//ubiC//pck//accD//nrfD//gpmM//rffM//rffC//sucB//lpd//mnmG//mhpC//garD//cysM//avtA//glgX//ydcS//ilvE//
PepA	napB//hycG//
PgrR	citD//rffH//
PhoB	sdhA//caiC//hemL//caiB//glpA//ubiA//gntK//srlD//cueO//zwf//rffC//ssuD//rpiB//purF//dadX//cynT//chbF//glpA//ilvM//puuE//
PhoP	sdhB//nrfA//cdd//pagP//dgcZ//glcE//nagB//cysJ//pdeL//idnD//acnB//galT//mtlD//mhpD//glxK//atoB//leuC//hcaE//gcvP//srlD//nrdA//fabH//lacZ//mdh//ahpF//sucB//ssuD//mtlD//ilvA//glsA//arsC//ogt//
PrpR	ftnA//paaA//lpxA//lsrG//
PspF	trpB//
PurR	katE//mngB//wzc//katE//murD//atoA//mpl//cueO//umpH//tauD//yqhD//sdhC//purN//tdcD//gabD//epd//pgaC//oxc//feaB//fadE//lsrG//dgkA//yeaE//ilvI//gadB//fbaB//
PutA	dgcZ//sbcD//
PuuR	fucO//wecC//uidA//phnM//nirB//carB//
QseB	
RbsR	cysI//tynA//avtA//xapA//caiD//mngB//
RcdA	purB//
RclR	
RcnR	sodA//
RcsAB	iscS//glyA//citC//
RcsB	murI//ulaF//ahpF//ruvB//
RcsB-BglJ	narG//aceB//
RelB	add//
RelB-RelE	lysA//
RhaR	
RhaS	sucC//mazG//cysG//paaA//
Rob	mhpB//lysC//paaH//argB//fucU//glmU//argE//frdA//rutA//dkgA//ascB//tehB//metA//nrfD//araB//patD//mraY//frc//nrdA//
RstA	atoB//phr//moaD//
RtcR	pdeL//bioA//
RutR	ppiA//mdh//glpD//aroF//gadB//aroF//mhpC//rnpB//ilvE//fabD//yeaE//
SdiA	
SgrR	alsE//puuD//allA//
SlyA	purC//moaC//deoC//mdh//astA//prpE//uxaC//dadX//ddlB//
SoxR	pheT//
SoxS	zwf//melA//acnA//paaK//cysJ//leuA//astD//nirD//dkgA//phoA//nrfA//hycF//waaH//metH//mhpF//alaA//polA//garR//oxc//idnD//glcD//recD//sucB//xapA//galT//phnO//
SrlR	purN//leuC//nrfC//
StpA	paaE//uxuA//trpB//
SutR	hycC//bioD//
TdcA	purB//lpd//ulaG//cysH//garD//
TdcR	paaZ//pheS//narI//murE//gapA//
TorR	fbaB//nfsB//umpH//acnA//alaA//
TreR	leuA//frdA//
TrpR	fadH//fruK//hmp//argE//ttdB//phnL//mraY//guaB//hycG//
TtdR	murQ//uxuA//
TyrR	dapB//argH//ycjG//cysC//trpB//paaH//edd//aroL//trpC//
UhpA	atoD//
UidR	pyrC//nrdD//
UlaR	ribA//cadA//tdcG//cysI//ilvA//
UvrY	psd//gloA//
UxuR	uxaA//cynS//astC//metA//allC//
XapR	pheS//wrbA//
XylR	accC//betA//gpmA//
YdeO	polA//cysE//accA//
YefM	mhpC//
YefM-YoeB	ilvG_1//
YeiL	
YhaJ	
YiaJ	cysI//narH//aceA//cysM//nadA//garD//
YjjQ	sdhD//citX//
YpdB	
YqhC	cysE//cueO//
YqjI	hycB//
ZntR	slt//
ZraR	
Zur	gatZ//
