# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	mhpC//glpX//
Fur	sucB//paaJ//kbaZ//glk//lpd//accA//rnpB//yeaG//pepD//aceF//aceF//ahpF//hycD//murI//uidA//folA//pflB//metE//katE//lyxK//ssuE//glcE//malZ//nfsA//rtcA//sucA//moaE//mpaA//mhpF//murQ//glxR//ftsI//allB//narG//paaJ//luxS//argI//glpX//phoA//acnB//hcaE//alsE//ndh//ldtC//avtA//srlD//murD//entF//garL//hypF//ilvH//garD//pdeH//katG//wzc//hycD//fau//torC//dmsB//paaG//murI//glsA//
GadE	katG//glpQ//carB//rutB//aroA//yeaG//glpX//lacA//carB//glpA//
GadE-RcsB	fadD//fadH//phr//mhpA//dapD//
GadW	ndh//paaI//ndh//araD//
GadX	waaZ//polB//citG//phnM//tyrA//purD//rbsK//ilvG_1//moaD//rutC//rnpB//wrbA//glyA//
GalR	nrdD//dinB//gcvT//rbsK//metF//yqhD//
GalS	ilvI//relA//ribA//ahpC//metL//mazG//
GatR	glpB//caiD//betA//
GcvA	katE//fbaA//wecC//
GlcC	fadJ//pagP//ilvH//
GlpR	trpD//mraY//wecE//malY//putA//gloA//nadB//
GlrR	
GntR	purL//glpA//paaA//amn//tam//ulaF//nanK//leuC//moaC//
GutM	phoA//lpd//sgbE//
HU	gltD//hycF//purC//glxK//hycG//chbG//poxB//
HcaR	ahpF//lpxC//
HdfR	
HigA	uxaC//
HigB-HigA	hyi//
HipAB	rimK//tnaA//
HipB	prpB//umpH//nadA//
HprR	ldtD//mhpD//glpA//avtA//
HyfR	moeB//
HypT	ascB//gltB//purD//purN//hycG//rbsK//gloA//
IclR	frdD//frdB//pnp//
IdnR	purK//ttdA//mnmG//tynA//garK//gatY//
IlvY	gcvP//
IscR	purM//dgcN//alsE//ulaG//polA//aceA//betA//garR//
KdgR	cysK//galM//
KdpE	moaA//
LacI	ilvC//allE//glgX//
LeuO	recF//fabZ//murF//psd//fabZ//rffH//
LexA	mhpC//appA//entB//udp//fes//hycD//ynfG//mraY//murF//pck//astE//astE//ttdB//ydcS//phnI//hcaB//pdeH//argD//entB//lacZ//asnB//cynS//nemA//
LldR	mnmG//argA//
LrhA	
Lrp	paaY//argI//cysN//nrdE//aspC//glnA//nirD//glpQ//gcvP//nanA//paaG//tdh//napB//cysE//leuD//cynS//sucC//gadB//entH//bioB//nanE//katG//trpB//sdaA//fbaB//ruvA//eno//rfe//cysE//ssuE//purA//serA//lacA//melA//ampC//sucD//ogt//paaZ//arsC//alsE//
LsrR	slt//gapA//trpC//dapB//ulaD//
LysR	phnL//
MalI	moaC//metK//
MalT	fruK//aroH//nanM//glgX//mtlD//tktB//
MarA	ldtD//hcaC//entF//rffT//serA//ftnA//phr//murF//sufS//rffH//alaS//purH//betA//malY//gor//frdC//tyrB//ilvM//rffC//citD//galK//glpC//phnG//rutC//
MarR	
MatA	uvrC//
MazE	glgP//
MazE-MazF	xylB//
McbR	
MelR	sucC//ygeA//
MetJ	sucB//phnH//pncB//caiD//pagP//prpE//glgB//icd//fau//ssuD//
MetR	gadB//narI//aldA//lacA//
MhpR	galM//entF//dgcC//fbaA//citE//metH//
Mlc	nanM//relA//asnA//avtA//
MlrA	atoA//
MngR	murQ//pflB//
MntR	fau//hcaC//
ModE	trpE//malS//waaH//sdhA//leuA//patA//nrdF//ubiC//ssuD//atoB//umuC//astA//serC//ftnA//cysK//napB//alaS//
MprA	glpX//dgcN//gcvH//
MqsA	ilvD//uxuB//
MraZ	nrfD//waaH//rffH//sdhD//phnI//lpxC//glsA//sucD//moeA//ruvA//
MurR	trpC//gcvT//rimK//
Nac	fbaA//cynT//paaJ//lysU//bioD//adiA//carA//purH//patD//patD//glpC//
NadR	prpD//argE//amn//cysJ//
NagC	mhpB//glxR//hyaB//uxaC//hcaB//mhpB//gpmA//sgbE//phnN//argA//citC//dinB//pagP//gnd//appA//purM//sdaA//mhpA//thrS//
NanR	entB//wecC//ynfF//gntK//sgbH//fucK//
NarL	mnmG//ldtB//entF//phnL//ubiC//paaZ//glk//trpB//uxuB//lsrG//paaY//paaB//uxuB//hcaE//uvrB//paaF//rbsK//caiA//nrdF//deoB//rffH//ilvC//ttdA//wzc//wzc//lhgO//napH//bioF//metF//fadJ//tpiA//araA//rimK//ubiA//entC//fadD//pgm//kbaY//lpxA//waaZ//glgC//
NarP	deoC//trpA//fumB//gcvH//moeA//sgbU//rffG//entB//citX//pdeR//folE//mhpB//glnA//gpmM//nrfD//
NemR	entC//pdeL//
NhaR	katG//tdcD//gapA//mltF//alkA//
NikR	ahpC//
NimR	rffT//
NorR	kbaY//
NrdR	allB//aceE//fruK//ilvH//
NsrR	argC//sgbH//bacA//add//rbsK//metH//gutQ//purK//hycD//gdhA//kbaY//hcaD//folA//tktB//citD//torC//sodA//rffC//frdD//tauD//atoB//ygeA//accC//serA//carB//murE//ftsI//asnB//eno//bacA//argB//icd//murQ//bacA//rhaB//ruvB//sbcD//hyaA//dmsA//alaC//
NtrC	lysA//metL//ogt//phnH//entD//paaI//pflB//nrdE//garD//hemL//entC//nadB//rpiB//lpxC//pyrD//ubiA//hypF//tpiA//mtlD//ahpF//glgB//
OmpR	lysC//carA//ruvB//grxA//folA//argF//paaY//ruvB//
OxyR	eno//fucU//hemH//ccp//ppiA//mpaA//murI//cyoE//uxaB//hypF//guaB//edd//ychF//mdh//gor//aroH//gcvH//
PaaX	dadA//argD//hycG//carA//rffM//ttdB//citC//caiC//purN//
PdeL	umuD//
PdhR	caiC//trpB//garR//rutC//lpxD//metF//purB//treC//aceE//araB//rffM//ssuE//allA//speB//purN//gltB//pepD//araD//xylA//leuB//pykF//fabB//lyxK//poxB//pdeR//
PepA	malS//fabD//
PgrR	kbaY//yedX//
PhoB	fadA//dmsC//phnJ//citX//fbaA//fadM//pspE//psd//galK//hemH//rbsK//tktB//mhpB//melA//glnA//pgi//gor//purN//deoA//nrfC//
PhoP	ppc//deoB//moeB//nrdA//sgbH//fucA//gcvH//ilvI//mhpA//accC//puuB//fes//citG//ugpQ//polA//lacA//umuC//gabD//sbcD//talA//entC//phnG//fabZ//nanE//deoD//narG//chbG//argC//glxR//metK//ttdB//uxuA//
PrpR	frc//ahpC//pykF//phnJ//
PspF	kbaY//
PurR	aceA//phnM//cysH//pgi//waaH//dapD//hcaE//ppc//uxaB//lacZ//ulaD//srlD//garL//relA//nagA//dadX//glcB//glpX//trpD//pheS//rtcA//cynT//fdhF//fruK//waaH//fabG//
PutA	garL//rbsD//
PuuR	narG//entH//lysU//cynT//ybjG//wzc//
QseB	
RbsR	purF//acnA//murC//hmp//nirD//pdeL//
RcdA	hycD//
RclR	
RcnR	argH//
RcsAB	allC//bioA//recF//
RcsB	malY//murG//cysE//gadA//
RcsB-BglJ	waaZ//narH//
RelB	murE//
RelB-RelE	mhpE//
RhaR	
RhaS	ynfG//eda//ilvC//glpC//
Rob	pgi//nirD//rhaD//nrfA//pflB//mngB//narH//gatZ//hmp//cysJ//ulaD//gcl//rpiB//ssuE//dapD//dkgA//caiB//cysE//gatY//
RstA	sdaA//ybjG//bioD//
RtcR	yqhD//prpC//
RutR	gadB//phnJ//epd//entA//ydcS//fabH//slt//ftnA//lpxC//bglB//hcaF//
SdiA	
SgrR	lldD//glsA//puuD//
SlyA	bglB//glpX//fucK//leuB//moeA//paaE//sdhB//lpxA//glpK//
SoxR	fabG//
SoxS	deoA//moaC//accA//sufS//hycB//hycG//lpxD//glgP//frdC//malZ//carB//leuA//gcvT//metH//ilvD//entF//hycD//gudD//hypB//treC//paaJ//dgcZ//fumB//lsrK//rhaA//fabG//
SrlR	hyaA//amn//gor//
StpA	napH//cysE//fucK//
SutR	paaE//mhpF//
TdcA	phnJ//nfsB//bioB//metB//araA//
TdcR	murI//malS//sdhB//citC//aroG//
TorR	hemH//phnO//ynfF//moaC//nrfA//
TreR	hyaB//aceB//
TrpR	lacZ//ubiA//thrS//hypF//hyi//glmU//nanK//phnO//glcE//
TtdR	epd//ascB//
TyrR	rffH//rfe//icd//glxK//ynfH//murE//paaK//mhpF//fabI//
UhpA	purK//
UidR	pykF//trpA//
UlaR	murC//yeaE//gadB//yeaE//aceF//
UvrY	gatY//fabB//
UxuR	polA//mpaA//pgm//mazG//mraY//
XapR	caiB//umuD//
XylR	rutC//allB//pnp//
YdeO	yqjH//aceB//thrS//
YefM	uvrB//
YefM-YoeB	purK//
YeiL	
YhaJ	
YiaJ	moaD//mltF//recF//xylA//speA//dmsB//
YjjQ	ydcS//fabB//
YpdB	
YqhC	atoD//gatD//
YqjI	aroF//
ZntR	umuC//
ZraR	
Zur	chbG//
