# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	metA//recF//
Fur	ugpQ//kbaY//entA//gdhA//deoB//phnG//phnN//pgm//rtcB//folA//patA//serC//frdD//tadA//betA//cysE//glsA//garD//caiA//sdhB//fucA//moeA//nanA//gcvH//fabI//arsC//cysE//pgpC//truB//tnaA//cysG//aceE//uxaB//dhaL//eno//paaF//napB//deoC//wrbA//metA//fabA//yedX//ppc//yqhD//phnN//nrfA//lsrK//fucI//alkA//aldA//fucU//mhpC//gloA//polA//rbsD//umuC//fruK//glcF//araB//speA//pgaC//garD//
GadE	xylB//mnmG//alaC//astE//ygeA//alaA//gcl//bglB//caiC//pdeR//
GadE-RcsB	astA//pfkA//hypF//glcE//gor//
GadW	folE//garR//hcp//patD//
GadX	hcaC//pspE//pheT//rtcB//glpK//fabA//iscS//katG//uxaB//yeaE//ilvD//entC//entE//
GalR	mhpB//mpl//ybjG//adhE//mhpD//ndh//
GalS	relA//metA//rutC//garK//hemH//purN//
GatR	speA//tauD//recD//
GcvA	tdcD//glcE//hmp//
GlcC	purH//umpH//xylA//
GlpR	rbsK//paaY//gdhA//nfsA//puuE//gltB//astE//
GlrR	
GntR	lsrG//srlD//citC//xapA//yqhD//glcD//ftnA//trpB//dgkA//
GutM	uvrA//glnA//sucA//
HU	umuC//narG//garD//talA//hcaF//alsE//cueO//
HcaR	recF//nrfA//
HdfR	
HigA	oxc//
HigB-HigA	dmsB//
HipAB	accA//lyxK//
HipB	ilvC//prpE//katG//
HprR	lysA//tdcE//ubiA//deoA//
HyfR	fbaA//
HypT	wecE//hypB//garD//puuB//sdhA//hcaE//pykF//
IclR	rffC//nanM//phnH//
IdnR	ynfE//ynfH//malY//nfsA//glpA//tnaA//
IlvY	narG//
IscR	kbaZ//narH//moaE//speB//yqhD//allE//yfdE//arsC//
KdgR	astA//dhaK//
KdpE	paaH//
LacI	trpE//narH//mltF//
LeuO	tehB//rbsD//relA//aceA//phnG//frdD//
LexA	yedX//hyaB//tadA//gatY//gcvH//leuC//ulaD//phoA//carA//entA//metE//idnK//argA//zwf//speB//dmsB//glyA//galT//trpC//ydcS//yeaG//dkgB//feaB//
LldR	ampC//lsrG//
LrhA	
Lrp	frc//umpH//tam//sdhA//rsmH//ybjG//frc//purD//hmp//tdcD//ulaG//paaA//garL//psd//ccp//bacA//allA//ubiC//speA//dsdA//gadA//ampC//serA//fruK//yedX//patD//treC//sucD//rimK//phnP//fadB//rbsD//mhpD//fabZ//nemA//nrdD//fbaA//atoD//ychF//leuC//
LsrR	phoA//aspC//narH//ulaE//malQ//
LysR	nrdA//
MalI	atoB//paaE//
MalT	ychF//allA//gutQ//sbcD//trpD//entC//
MarA	atoA//alaC//mhpC//murF//appA//puuD//ssuE//umuD//cysJ//citG//aroA//sgbU//mpaA//cysE//paaA//fumC//waaH//poxB//leuC//patD//cysG//phnH//sodA//murI//
MarR	
MatA	adiA//
MazE	rutB//
MazE-MazF	speB//
McbR	
MelR	ygeA//ulaG//
MetJ	dgkA//mraY//tadA//paaC//speB//patD//trpA//mpaA//ynfF//hycF//
MetR	tdcD//gcl//tam//pyrC//
MhpR	poxB//ascB//tdcE//patA//argC//mtlD//
Mlc	eda//ccp//accC//waaH//
MlrA	guaB//
MngR	yfdE//lysC//
MntR	patA//mltF//
ModE	ulaD//purB//purE//garK//mazG//cysI//napA//malY//malZ//pgpC//nanM//dgcN//galM//trpD//mdh//allB//pck//
MprA	rutB//ttdA//gabD//
MqsA	guaB//tdcE//
MraZ	tdcE//frdA//chbG//citX//hmp//puuB//atoD//metH//ilvG_1//astD//
MurR	ssuD//nrdE//sucD//
Nac	nirD//fadD//fadD//gcvT//moaA//paaI//entD//napA//paaE//fucI//rhaA//
NadR	rhaA//ubiC//fadI//fdhF//
NagC	metA//waaY//wrbA//uvrB//appA//glgA//murQ//entF//lpxC//hyaC//deoB//murD//wecB//cysG//tnaA//dgcC//ubiC//mhpD//bioA//
NanR	purM//glgB//dhaM//ilvI//deoC//gcvP//
NarL	moaD//sgbE//cadA//alaS//phnL//prs//ddlB//dgcZ//lacA//tpiA//glcD//ilvE//metA//lpxA//gadB//glgP//fadA//hypF//talA//serC//rffT//mhpD//dapD//gatZ//murE//cysI//gapA//fucA//aceE//rutD//pepD//kbaZ//carA//fucU//pgm//waaH//umpH//atoD//nadB//ycjG//rsmH//
NarP	nrdA//purB//relA//speB//murQ//lldD//ribA//dmsC//rpiB//moaA//recB//allA//moaE//fumB//hyaB//
NemR	frc//phnJ//
NhaR	patA//fadM//citF//pflB//argH//
NikR	hycD//
NimR	yiaK//
NorR	allC//
NrdR	sgbE//tdh//fadA//ampC//
NsrR	glcE//nirB//sdhC//puuA//fumB//rutB//nrdA//gatD//katE//lysC//gabD//ulaF//galM//eno//puuB//gdhA//uxaC//kbaY//aceF//bglB//dadA//glgX//moaE//moeB//lysA//fadB//cdd//recB//leuC//frdD//uvrB//trpB//ynfG//pdeR//uxaB//nanE//caiC//hcaD//chbF//argE//
NtrC	mtlD//fumB//ilvD//paaE//ynfH//pnp//entF//fabH//recB//ampC//srlD//serC//arsC//ulaG//ttdB//zwf//citG//napH//wzb//uxaA//ascB//
OmpR	gpmM//trpA//bioA//murF//pdeR//rhaD//atoA//yqjH//
OxyR	treC//glnA//sucB//rutD//napB//lacZ//lysA//cadA//fadD//ddlB//wecE//fabZ//purK//tyrA//rffT//xylB//speA//
PaaX	lacA//astB//fdhF//gcvT//mazG//puuB//wrbA//gcvH//ydcS//
PdeL	argA//
PdhR	entC//purL//leuD//ilvC//ilvE//wzc//gltB//pck//pyrC//sufS//alaC//pgaD//hycG//sdhD//gapA//ldtD//glmU//uxaB//citE//argE//glmS//fucK//paaZ//malS//citD//
PepA	murD//moaC//
PgrR	metK//glcD//
PhoB	ribA//gatD//nadB//betB//puuC//gltB//paaY//gnd//dmsB//araB//speA//ldtD//gloA//bioB//cysJ//gatY//fadB//gatD//nfsA//alkA//
PhoP	frc//ldtB//lldD//frdC//ftnA//arsC//gltD//mazG//moaE//glgX//deoA//cysJ//dgcN//tadA//mazG//alaA//ynfG//narI//hyaC//gnd//cysD//ynfE//guaB//gntK//rutB//napH//purM//entA//phr//kbl//cueO//entF//
PrpR	rbsD//mltF//asnA//epd//
PspF	citG//
PurR	aroL//alaC//glnA//bacA//paaK//hycB//ydcS//rtcA//ddlB//hycE//leuD//sucC//folA//fadH//cynT//argC//sucB//purC//galT//bglB//deoC//ogt//citG//accC//purF//folA//
PutA	ppc//patD//
PuuR	nanE//melA//nanA//prpB//glsA//yqjH//
QseB	
RbsR	dmsB//rtcA//glcF//pgpC//glpK//gcl//
RcdA	idnD//
RclR	
RcnR	ndh//
RcsAB	wzb//tktB//mtlD//
RcsB	aspA//aspC//gloA//hypF//
RcsB-BglJ	iscS//fadA//
RelB	umpH//
RelB-RelE	gpmM//
RhaR	
RhaS	yfdE//trpC//glk//ydcS//
Rob	accD//folA//fucU//fabD//argE//puuB//moeB//pdeR//galK//deoC//garL//mhpF//rffG//bioF//nfsA//ahpF//aceA//pheT//lhgO//
RstA	idnO//pspE//aroH//
RtcR	cysE//xapA//
RutR	codA//leuA//citX//yqhD//nagB//fucO//cysE//glyA//aroH//purA//sgbU//
SdiA	
SgrR	pgpC//carA//garR//
SlyA	trpC//folA//murD//aroL//umuD//waaY//pgm//fabB//phnM//
SoxR	ruvB//
SoxS	gntK//hcaD//dapB//dgcZ//ssuE//bacA//dgcN//murQ//cynS//fucA//katE//argA//polA//ribA//astD//gpmM//hyaB//wecE//malS//malP//uvrB//zwf//yiaK//cyoE//paaK//purA//
SrlR	hyi//argE//gcvP//
StpA	alaS//mraY//ynfE//
SutR	garR//caiB//
TdcA	galM//prpD//galK//fadH//carA//
TdcR	paaC//metB//garR//araA//arsC//
TorR	nadB//glnA//dmsC//sgbU//bacA//
TreR	astC//gutQ//
TrpR	sodB//lsrG//trpB//paaI//astB//ppsA//entD//codA//aroF//
TtdR	hycF//metE//
TyrR	mazG//ubiC//serC//pgpC//purE//arsC//fadI//torA//lacA//
UhpA	gntK//
UidR	leuD//hycD//
UlaR	katG//gltD//yedX//icd//ilvC//
UvrY	entD//ilvG_1//
UxuR	rtcB//murG//putA//lysU//purE//
XapR	lsrF//wrbA//
XylR	aceE//purC//aldA//
YdeO	glxK//ynfF//hcaC//
YefM	psd//
YefM-YoeB	argI//
YeiL	
YhaJ	
YiaJ	recD//glpK//chbF//citG//rutD//ftsI//
YjjQ	sbcC//ada//
YpdB	
YqhC	waaH//umuD//
YqjI	ilvD//
ZntR	hycC//
ZraR	
Zur	pgaB//
