# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	murC//rffC//
NarL	ilvD//astE//ilvC//hyaC//pepD//leuA//sucC//glyA//rffM//nrfC//yedX//nanA//alkA//lldD//fes//mngB//tyrA//fadB//caiD//rbsD//eno//gltB//udp//fadB//rutE//cysI//lldD//nrdD//dhaL//entH//yfdE//moaD//trpE//prs//pepD//trpE//nfsB//acnA//argC//hycC//napH//
NarP	lyxK//cynT//chbF//ribA//trpB//gabD//gpmA//galT//appA//frc//guaB//pdeH//napA//kbl//nrdD//
NemR	sdhB//glpC//
NhaR	glcE//aroG//patD//ugpQ//paaB//
NikR	paaZ//
NimR	pdeR//
NorR	nanK//
NrdR	yfdE//arsC//dsdA//pflB//
NsrR	nrdE//nrfA//araA//zwf//fucI//ruvB//gltB//tktB//betB//metF//dkgB//entC//atoD//glcF//ttdA//malS//purF//ppc//nirB//malP//dgcN//fadA//purK//garL//rpiB//sgbU//hcp//malS//leuC//tdcB//rtcB//gatZ//zwf//lpxD//hycE//mhpF//ampC//patA//adhE//rutA//
NtrC	pnp//fabI//folE//phnJ//citE//pgm//metK//cysJ//sufS//ndh//relA//ttdA//serA//pyrD//nanK//pgaB//araA//frdC//gabD//paaE//purK//
OmpR	nrdD//pgk//nfsB//uxuA//gdhA//phnM//betA//purB//
OxyR	fucO//nrfA//hcaB//ftnA//ldtC//bioB//hycF//tdcE//kbl//eno//ahpC//rpiB//purC//argB//narG//astE//glpC//
PaaX	pgaD//appA//torC//luxS//wzb//pflB//xapA//cueO//truB//
PdeL	murE//
PdhR	mhpF//cyoE//pdeH//glcB//sgbU//pck//bglB//glcD//metC//argD//thrS//nrdA//malQ//mhpB//cysJ//pdeH//cyoE//aceB//napH//ftsI//metF//ydcS//paaJ//cysN//mdh//
PepA	pgi//uxaC//
PgrR	lacA//aspA//
PhoB	bioD//malS//ldtC//serC//yqhD//allC//cdd//napB//moeA//araD//pgaC//metK//ulaG//atoD//tdcG//dadX//mraY//fadE//garK//allA//
PhoP	hmp//atoB//uvrC//katE//paaI//polA//nrdF//waaH//nanM//carA//garL//lacA//malS//glgP//hypB//aroG//phnL//fucI//mhpD//astE//pgi//metA//nanA//glk//serC//fes//cysH//talA//fadB//nfsB//rhaB//lhgO//
PrpR	cysM//malS//allA//pepD//
PspF	lacZ//
PurR	sbcD//ilvA//purM//astE//ruvB//epd//malP//ilvA//glgP//sdhC//galE//glpD//yqjH//nanA//acnA//hycD//cysH//accC//glpA//polA//aroG//metC//mpl//bglB//glpB//glyA//
PutA	putA//hyaB//
PuuR	cadA//tauD//acnA//cysE//lysA//fabD//
QseB	
RbsR	paaH//fumC//sgbE//narH//lysC//puuE//
RcdA	purB//
RclR	
RcnR	phnP//
RcsAB	aldA//galT//narH//
RcsB	pspE//fadB//ftsI//ddlB//
RcsB-BglJ	galM//paaZ//
RelB	argB//
RelB-RelE	waaZ//
RhaR	
RhaS	wrbA//yqjH//ubiC//rimK//
Rob	eda//gabD//purC//pgi//mtlD//sdhA//phnN//frdB//ccp//cadA//yeaE//kbaY//waaZ//ampC//tdh//accA//cysK//prpD//hypF//
RstA	glpB//recB//glyA//
RtcR	dmsC//nanA//
RutR	paaF//carB//yqjH//yqhD//hyi//ruvA//cdd//pgpC//chbG//phnJ//ldtB//
SdiA	
SgrR	malS//metF//paaB//
SlyA	entC//fadD//malY//deoC//glgB//rutC//aceE//prpE//glpK//
SoxR	ydcS//
SoxS	atoD//pgpC//sdaA//dkgB//galK//narG//phnP//tktB//speB//icd//napB//accC//araA//ygeA//glcF//rimK//xylB//pyrC//srlD//fabD//alaS//glpC//argF//lysU//citX//alkA//
SrlR	icd//mazG//ftsI//
StpA	sgbU//katG//rbsK//
SutR	nirD//cysM//
TdcA	astE//aceF//gor//uidA//prpE//
TdcR	ndh//rbsD//sgbU//glk//gatY//
TorR	wrbA//glgX//frdA//nrdD//lpxD//
TreR	tam//citG//
TrpR	pgaB//metE//cysI//pfkA//hycC//argG//glcB//uvrB//thrS//
TtdR	glgX//cysK//
TyrR	wzc//dhaL//serC//aspC//entF//ribA//caiC//aroF//kbaZ//
UhpA	ilvH//
UidR	fabG//nrdD//
UlaR	rimK//glmU//hycE//purH//polA//
UvrY	pnp//gadA//
UxuR	leuB//pykF//pck//pdeR//adhE//
XapR	dgcZ//torA//
XylR	alaS//cysG//idnO//
YdeO	sdhD//alkA//moaE//
YefM	entC//
YefM-YoeB	yqjH//
YeiL	
YhaJ	
YiaJ	ynfE//sdhD//wecB//ppiA//feaB//glyA//
YjjQ	citX//fabB//
YpdB	
YqhC	glpA//sgbE//
YqjI	mhpE//
ZntR	sodA//
ZraR	
Zur	sgbH//
