# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	adiA//gdhA//
Fur	lysU//citE//fes//ugpQ//umpH//eda//cueO//gltD//tehB//caiB//mtlD//uvrA//caiD//purF//glk//hcaE//fdhF//leuA//aceB//uxuA//treC//pheT//betB//alsE//tehB//caiC//leuA//umuD//entE//accC//pyrC//phnI//entF//entE//purN//aroH//rtcB//wzc//ubiX//garL//dgcN//fumB//gabD//nagB//fruK//glcE//trpA//argB//serA//waaY//cysD//hyaA//slt//thrS//sodA//alkB//narI//mngB//nagB//pnp//rutB//ppc//
GadE	cysE//paaC//melA//dhaM//moaE//lacA//fucU//cysN//ynfE//sucA//
GadE-RcsB	rffG//waaH//deoC//patA//fabZ//
GadW	citX//folE//pykF//aroF//
GadX	cueO//cysG//nrdD//astC//rffM//dgcC//ilvA//phnN//wecC//nirD//galM//lpxA//ppiA//
GalR	garR//mtlD//tdcE//nirD//paaZ//pgk//
GalS	allA//narH//phnI//dgcN//lsrK//dadA//
GatR	bioB//fabB//trpC//
GcvA	ybjG//malZ//gor//
GlcC	sucC//phnN//yedX//
GlpR	wzb//citC//fbaA//fadB//metC//mhpF//gor//
GlrR	
GntR	gatD//dhaM//glpQ//waaH//rutC//chbG//ung//malP//rffT//
GutM	gloA//nirB//fbaA//
HU	metK//metA//fadB//rffH//phnN//atoD//glgC//
HcaR	pgaB//frdA//
HdfR	
HigA	rhaB//
HigB-HigA	mpl//
HipAB	cysD//putA//
HipB	glpC//dgcZ//lysA//
HprR	glgP//ulaD//alaS//nrdA//
HyfR	paaZ//
HypT	pagP//ychF//cdd//fumC//cysD//fadD//tyrB//
IclR	sucA//glxK//hyaB//
IdnR	phnI//pflB//alaA//ftnA//rhaD//ilvD//
IlvY	codA//
IscR	alaA//sgbE//mpaA//ygeA//deoD//ldtD//pyrC//malY//
KdgR	argC//psd//
KdpE	slt//
LacI	tnaA//grxA//leuC//
LeuO	rtcB//fabA//hcp//pncB//purB//purC//
LexA	sgbE//purC//gabT//lpxD//frdB//wecC//hemL//pdeL//wecE//glpQ//idnD//aroG//kbaY//glmU//lysC//nfsA//sgbH//paaJ//aroH//ulaE//nemA//paaE//cyoE//
LldR	aceF//nrfC//
LrhA	
Lrp	entA//tktB//pgaB//aroL//prpC//folA//mhpF//gpmA//glgA//fucA//fau//rsmH//metB//purM//glpB//ynfE//aceB//mhpD//glpD//hycF//gcvP//amn//gcvT//citG//patD//hcaC//yqhD//hyi//sucD//aceE//waaZ//ugpQ//argH//eda//fabD//trpC//aceF//yedX//citG//hypB//
LsrR	garR//aroF//tktB//entH//paaI//
LysR	ilvD//
MalI	fbaB//bioB//
MalT	mpaA//lyxK//uvrA//ynfG//ahpC//lpxA//
MarA	hemL//nrdF//yeaE//umpH//carA//bioC//narG//idnK//phoA//gabT//glpX//hcaD//pfkA//dmsA//ilvM//gcvH//metE//tdh//ubiX//wecB//alsE//dgcZ//ynfF//murC//
MarR	
MatA	talA//
MazE	alkB//
MazE-MazF	yeaG//
McbR	
MelR	aroH//gntK//
MetJ	eda//gcvT//ppc//torC//hycB//phnM//dmsA//moaE//lpxD//paaC//
MetR	mpl//glxR//rffM//entD//
MhpR	mltF//bioF//galM//purK//metA//mngB//
Mlc	dadA//folE//yqhD//pnp//
MlrA	malZ//
MngR	gcl//pnp//
MntR	dkgA//deoB//
ModE	sdaA//murC//dgcC//rutA//phnN//gcvT//arsC//chbG//purK//betB//asnA//yfdE//dinB//fadA//fucA//murG//lhgO//
MprA	fes//hyaB//citC//
MqsA	metE//fabZ//
MraZ	yeaE//wecB//psd//nfsB//patA//ilvH//hcaB//tdcD//aroG//dacC//
MurR	phnH//rtcB//hcaC//
Nac	luxS//astB//gcvP//metK//moaD//putA//ndh//uvrC//cysG//metH//lpxC//
NadR	codA//pykF//citE//xylB//
NagC	hycC//pgk//fabZ//hycF//paaA//mngB//wecE//astA//metE//sucA//phnO//fucK//garL//uvrC//paaG//kbl//phnP//aroH//ahpF//
NanR	ldtB//prs//tdcD//hyaC//guaB//ung//
NarL	pgaB//caiD//frc//asnB//prs//cysM//sdaA//ppsA//ssuE//pfkA//tehB//fumC//ilvI//murD//citX//ccp//gltD//paaJ//ilvG_1//idnO//ilvM//glnA//glpA//cysI//metE//ascB//idnD//pncB//pepD//moaE//leuB//rtcB//ruvB//metB//paaZ//hemH//tadA//purE//polB//ruvB//entF//
NarP	ychF//hemH//ogt//nfsB//cysH//alkB//pgk//murC//rutE//ldtD//lyxK//ldtD//puuA//alkA//deoD//
NemR	malZ//hcaE//
NhaR	dmsC//ddlB//dkgA//wecE//bioB//
NikR	guaA//
NimR	alaA//
NorR	uxuB//
NrdR	uvrA//poxB//hycG//araB//
NsrR	polA//fabB//glpQ//xapA//fabH//gutQ//ilvM//arsC//glpA//dadX//allE//ilvI//truB//torC//rpiB//moaD//pheT//frdC//fabI//rhaD//atoA//prpD//phnG//moaA//rpiB//argC//zwf//phoA//fumB//cysH//ulaF//leuD//nrdE//moeA//eda//rimK//cyoE//ulaE//frdD//aspA//
NtrC	codA//purE//guaB//bglB//lpxC//alkB//dhaK//ttdA//xylA//cynS//fdhF//glcD//mazG//malY//ubiX//ilvM//gatD//bioF//speA//tdh//entD//
OmpR	alaS//hcaB//sgbH//sbcC//ilvC//paaH//wecB//cysG//
OxyR	hcp//sodA//ddlB//bglB//mnmG//ppc//gatY//nrfC//glyA//argH//idnK//nadB//rfe//tyrA//citE//ulaE//cysH//
PaaX	patA//narI//ruvA//gor//citE//cysH//lsrG//ogt//phoA//
PdeL	nanE//
PdhR	rfe//pck//pdeL//hyaA//glcE//leuB//ddlB//thrS//mazG//ilvM//prpC//glcE//cynT//lpxD//recB//glpK//caiD//hycD//napH//hycF//ilvC//umuC//narH//hcp//dsdA//
PepA	glxR//deoD//
PgrR	nanM//galM//
PhoB	pncB//tynA//araA//metL//argD//fdhF//polB//allA//alsE//ung//phnN//argC//gpmM//dkgA//prpC//cynS//fabD//metK//leuA//gudD//
PhoP	fucK//hcaD//pspE//eda//phnI//pgaB//wecC//mltF//wecC//sdhB//glxK//rhaA//pdeL//ribA//entD//pdeH//ruvA//dgcN//paaH//treC//ybjG//yqhD//asnA//deoA//aceB//ycjG//slt//moaE//caiC//metF//ugpQ//fumC//
PrpR	amn//sdaA//ycjG//prpD//
PspF	lacA//
PurR	ogt//rimK//puuD//ychF//alaA//appA//gapA//rnpB//napG//waaZ//torA//paaJ//entC//asnB//ilvG_1//paaZ//avtA//pyrD//idnO//mhpE//murQ//ttdA//glpX//hyaC//treC//hyaC//
PutA	ynfF//bioD//
PuuR	caiA//serA//rffM//rffM//hycC//dapD//
QseB	
RbsR	phnP//ftnA//gntK//entF//ilvI//umuD//
RcdA	gltB//
RclR	
RcnR	nrdA//
RcsAB	nrdD//glgB//paaH//
RcsB	moaA//mraY//nrdB//gabD//
RcsB-BglJ	ilvA//garR//
RelB	pgaC//
RelB-RelE	bioC//
RhaR	
RhaS	truB//entD//ftsI//uvrB//
Rob	malP//fadM//sgbE//entE//hcp//gnd//frc//purN//patA//waaH//sbcC//alaC//cynS//uvrC//ynfG//nanA//frdD//ppiA//epd//
RstA	ldtD//ilvA//puuE//
RtcR	pck//lsrF//
RutR	chbF//uvrC//metF//hycG//dgkA//uxuB//gadA//frc//srlD//aroG//tdcE//
SdiA	
SgrR	alaC//guaA//puuD//
SlyA	moaD//waaH//lhgO//leuB//speB//uxuB//deoA//sufS//yfdE//
SoxR	hycG//
SoxS	aspC//prpB//rutC//nirB//feaB//umuC//phnL//fabH//sodA//mhpD//dkgA//gatY//entD//gcvT//purD//carB//lysU//alaS//ahpF//purB//xylB//ttdA//argC//kbaZ//fadJ//uxaB//
SrlR	dadX//betA//chbF//
StpA	hyaA//lldD//glsA//
SutR	wecC//pgi//
TdcA	aceA//cyoE//astA//fabA//cynS//
TdcR	fruK//umpH//rffH//pdeH//murC//
TorR	yqjH//fes//tehB//argI//aceB//
TreR	nadB//malP//
TrpR	talA//pheS//murG//glcD//pgaC//napH//ampC//garK//prs//
TtdR	fadJ//puuB//
TyrR	tyrA//tnaA//lldD//betB//uidA//cueO//paaH//leuB//fumB//
UhpA	gcl//
UidR	nfsA//napB//
UlaR	tdcB//metB//pdeR//sucB//hycD//
UvrY	allB//malQ//
UxuR	glpK//hcp//hcaD//metC//hcaD//
XapR	deoA//ybjG//
XylR	argH//narH//sbcC//
YdeO	gabT//hyi//rffG//
YefM	tpiA//
YefM-YoeB	lysC//
YeiL	
YhaJ	
YiaJ	metE//phoA//feaB//mraY//glcF//sodA//
YjjQ	galM//narH//
YpdB	
YqhC	yiaK//kbl//
YqjI	sdhB//
ZntR	putA//
ZraR	
Zur	hycC//
