# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gatY//araB//
Fur	acnA//gloA//ubiX//ldtC//purN//lacZ//fucI//torA//lsrK//frdB//prs//purD//ulaF//dgkA//ftnA//allE//ulaF//adiA//fadB//mhpB//hycE//mhpE//cdd//glcB//araB//fabD//ada//kbaY//rffG//citG//alaA//ydcS//dhaK//metB//fadI//nanM//astC//hyi//fadB//phnI//caiD//fabD//gapA//gor//fabA//paaZ//paaC//uxuB//hcp//phr//paaG//paaB//malQ//hycE//mhpC//dapB//metL//malP//rutA//carB//pgm//speA//
GadE	mpaA//fruK//trpC//alsE//fadA//gabD//tktB//fabD//rffM//lpd//
GadE-RcsB	gdhA//yqjH//tyrB//metA//accC//
GadW	mazG//cyoE//tdh//ulaF//
GadX	rutC//cysI//ampC//pyrC//entA//sodA//gcvH//glpA//udp//tktB//deoA//hcaF//cadA//
GalR	carA//paaK//cysH//kbaY//argH//polB//
GalS	kbl//lyxK//dmsB//gnd//pck//phnM//
GatR	araA//ilvD//eda//
GcvA	ppc//ychF//bglB//
GlcC	purE//tyrA//pncB//
GlpR	lsrF//puuC//fabA//ynfG//purL//rbsD//metA//
GlrR	
GntR	nrfD//pspE//hemL//pck//glpC//trpD//mraY//dadA//prpB//
GutM	mraY//glgX//gabD//
HU	rutB//uvrC//rutE//aldA//allC//sodB//puuE//
HcaR	lyxK//uxuA//
HdfR	
HigA	napB//
HigB-HigA	paaA//
HipAB	mhpB//malS//
HipB	allB//ampC//lhgO//
HprR	nanK//citG//dkgB//fabZ//
HyfR	nrdF//
HypT	zwf//slt//metB//puuA//ulaE//amn//fruK//
IclR	alaC//uxuB//mhpB//
IdnR	hcaF//gltD//nrfC//trpE//relA//napA//
IlvY	glpQ//
IscR	fabH//hcaE//nfsB//mhpF//rimK//bioD//argE//garD//
KdgR	appA//fadM//
KdpE	yiaK//
LacI	fadB//lhgO//appA//
LeuO	dapB//sdaA//citC//polB//fabD//garL//
LexA	uxaA//cysC//glpX//patD//gntK//puuC//fadE//glpA//lpxA//frdB//cynS//kbl//arsC//galT//recD//glmU//murD//ubiX//ruvB//fadJ//paaZ//argD//aroG//
LldR	gadA//mnmG//
LrhA	
Lrp	ppc//metK//glgB//recD//glcF//hypB//ddlB//cynS//asnB//sodB//guaA//puuD//metE//gcvP//frdB//sucB//accC//fadM//rtcA//pck//udp//prpB//nrfC//ulaE//mhpE//adhE//mhpA//rhaA//nadA//allD//galT//fadJ//fumC//moaD//argC//idnK//hcaC//glgX//ftnA//ilvC//
LsrR	paaB//garK//phr//ugpQ//rffM//
LysR	tauD//
MalI	pyrD//gabD//
MalT	waaH//luxS//trpB//dadA//lacZ//purC//
MarA	putA//katE//purN//mhpC//rffH//gatY//ruvB//gutQ//arsC//fabB//hyaB//uvrB//ung//puuA//sbcC//glpD//phnL//wecB//cysD//prpD//lpxC//hcaB//cysM//glmU//
MarR	
MatA	ubiA//
MazE	ubiA//
MazE-MazF	metB//
McbR	
MelR	garK//bioC//
MetJ	srkA//leuB//galT//codA//accC//betA//moeB//wzb//appA//oxc//
MetR	cysI//mhpD//accD//dapB//
MhpR	entC//garD//metA//cyoE//rimK//aroA//
Mlc	pgm//frdA//glgB//dadX//
MlrA	metE//
MngR	dadA//rhaA//
MntR	rbsD//fucA//
ModE	dhaK//hycG//glcE//ulaG//phnM//allB//wzb//dkgA//glpQ//dgcC//fadI//ilvG_1//ubiA//glsA//lacZ//ynfH//mazG//
MprA	rutA//ybjG//bglB//
MqsA	prpD//fucU//
MraZ	bioB//dmsC//ulaG//allA//lysU//eno//entF//dhaK//pdeR//rimK//
MurR	fucK//grxA//speA//
Nac	rutE//recB//glnA//tnaA//astC//gcvT//puuE//paaJ//rffC//gor//entA//
NadR	uvrA//trpC//fadB//uvrA//
NagC	wzb//kbaY//pepD//nemA//alaS//paaJ//ppc//phnG//astB//gapA//kbl//idnK//hycF//ugpQ//ldtC//fabA//moaE//sodA//lsrF//
NanR	argD//ttdA//deoC//frdD//dkgB//glsA//
NarL	ulaG//rutA//uvrA//umuC//murE//tadA//aroG//rffH//lacZ//frdC//accD//kbaY//hyaB//ychF//speA//prpE//entH//hycB//iscS//dhaM//entA//gor//cynS//fadM//argC//pspE//ldtB//cysK//lsrF//putA//nagA//rnpB//alsE//moaE//sgbU//relA//glcE//glgP//gcl//metA//serA//
NarP	hypB//citF//aldA//aspC//caiA//sgbH//galK//ppiA//aceA//fadE//purH//cysN//umuC//pgaC//malP//
NemR	gdhA//pgaB//
NhaR	yeaE//ccp//narG//recB//mhpE//
NikR	slt//
NimR	citG//
NorR	xylB//
NrdR	paaC//alkB//rfe//eno//
NsrR	ldtD//lsrG//puuB//purK//aceE//sgbE//wzb//fadM//sgbE//glpC//rbsK//tynA//ybjG//cysH//araA//rbsD//mngB//cadA//glmU//sucD//acnA//torA//ruvA//glgA//bioB//ynfH//mnmG//tehB//uxaB//ilvD//murD//phnN//pgpC//tynA//glmU//lysA//metK//napB//cynT//fadM//
NtrC	garL//astC//cysK//adiA//gdhA//wzb//kbaY//gloA//citE//allD//ldtC//purE//speB//ilvI//fbaB//dgcN//sucD//guaA//paaZ//fabA//puuB//
OmpR	ampC//garD//glcD//fucA//phoA//wrbA//fabG//entD//
OxyR	codA//add//allE//recF//caiD//deoB//ilvG_1//trpC//nirB//ulaG//cadA//sodB//murC//truB//dkgA//recB//moaD//
PaaX	glpB//fes//dhaL//purN//dsdA//recF//kbl//tauD//gatY//
PdeL	narG//
PdhR	ung//tktB//ahpF//nirD//moaC//nemA//uxaC//pspE//purD//yeaG//lacA//fau//serA//ssuD//pgi//ampC//gcl//nirD//lhgO//leuB//treC//oxc//tadA//cdd//glcF//
PepA	bglB//tadA//
PgrR	bacA//frc//
PhoB	glpA//fabI//glpK//murD//narH//tyrA//lpxC//hyaA//paaE//tpiA//recD//nagB//uidA//metF//hyaB//puuA//add//paaZ//wecB//uvrA//
PhoP	sgbH//ccp//lyxK//cueO//fumC//guaA//ynfH//rhaB//pncB//nrfA//psd//fabA//glmS//oxc//kbl//malY//yqjH//hemH//phnL//allE//rpiB//katG//pheT//puuE//gadA//astE//ppsA//yeaG//folA//trpE//aceE//ilvG_1//
PrpR	fes//yqjH//fadM//ribA//
PspF	kbaY//
PurR	ybjG//entD//glcD//caiD//xapA//leuB//astA//prpB//adhE//rtcB//allC//ttdB//mhpA//napG//phoA//tdh//phr//argF//araA//murQ//cyoE//xylB//fabG//nrfD//gcvH//paaE//
PutA	moaD//uxaA//
PuuR	rimK//hcaF//gatZ//fucK//alaC//tdcG//
QseB	
RbsR	yqjH//entB//betB//argC//pheT//ilvM//
RcdA	deoB//
RclR	
RcnR	galM//
RcsAB	mraY//purD//ulaF//
RcsB	glmS//glcE//yeaG//yedX//
RcsB-BglJ	sufS//ycjG//
RelB	caiA//
RelB-RelE	yfdE//
RhaR	
RhaS	pepD//pflB//guaB//mhpE//
Rob	lldD//paaY//wzc//rnpB//ilvA//paaJ//speA//hypF//mhpC//leuB//phnM//citC//gcvH//eno//yeaG//sgbU//acnA//sucB//ascB//
RstA	mngB//pagP//ynfE//
RtcR	wecC//ilvM//
RutR	umuC//dhaL//purH//dadX//paaA//fadI//fau//adhE//trpD//metK//mazG//
SdiA	
SgrR	nemA//nirD//bioC//
SlyA	gor//rnpB//pgm//lpxA//leuB//ahpF//uxaA//galK//yedX//
SoxR	sodB//
SoxS	mpl//ilvI//ssuD//paaG//murC//ndh//napG//dapD//rhaA//citD//phnJ//torA//gatZ//trpD//pgaB//ssuE//bioC//nanK//nadB//hyi//gcvH//ilvH//bioD//mhpC//paaF//wzc//
SrlR	metB//ilvE//purN//
StpA	purM//glpA//pspE//
SutR	ynfG//sdhC//
TdcA	torC//fruK//ubiC//rbsK//ilvD//
TdcR	srlD//ilvE//lsrK//nrdA//hyaB//
TorR	aroG//murD//hycB//cdd//edd//
TreR	alaS//purA//
TrpR	phoA//puuA//argI//folE//rhaB//citX//glgB//fucI//galM//
TtdR	kbaZ//fadI//
TyrR	hycC//asnB//arsC//caiA//ppiA//gcl//rffC//phnN//speB//
UhpA	pncB//
UidR	lsrF//rnpB//
UlaR	ilvD//aldA//pyrC//cynS//kbl//
UvrY	fadH//add//
UxuR	phnL//argH//tauD//fruK//purF//
XapR	umuD//glpQ//
XylR	uxaA//fdhF//guaB//
YdeO	bglB//prpD//dmsB//
YefM	kbaZ//
YefM-YoeB	hemL//
YeiL	
YhaJ	
YiaJ	paaC//pgm//sbcD//glpX//ccp//caiC//
YjjQ	metL//narI//
YpdB	
YqhC	dinB//moaA//
YqjI	purN//
ZntR	purB//
ZraR	
Zur	srlD//
