# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	malZ//leuD//
Fur	murD//malP//phnJ//dgcC//cysM//carA//fabH//kbl//tadA//tdcB//lhgO//bioD//pspE//icd//mngB//xylB//gabD//sufS//paaZ//ilvM//rfe//ppsA//pykF//argC//dgkA//ugpQ//glgB//cdd//frdC//gutQ//yedX//hycC//tktB//argA//betB//carA//fumC//folE//nrdB//iscS//fucK//mhpE//bioB//pagP//katE//srkA//glpA//ddlB//cadA//lysU//pgaD//gadA//pdeH//glpA//rimK//hycC//glcD//purK//mdh//phnJ//arsC//glgP//
GadE	nrfD//luxS//fumC//gcvH//lsrF//argD//hcaC//zwf//fadD//fdhF//
GadE-RcsB	citE//tktB//uxaC//argI//rhaB//
GadW	polB//fumC//moeB//ppc//
GadX	dadX//rhaA//glpB//umuC//lysC//entF//recF//eda//glgA//aroL//lysC//glk//murI//
GalR	dkgB//umuC//mngB//phnO//uxaC//idnK//
GalS	gloA//gabT//ahpC//speA//nanK//pagP//
GatR	accC//idnO//nirD//
GcvA	argA//lsrF//ruvA//
GlcC	mhpE//argA//gnd//
GlpR	cysC//dgcC//fadD//aroL//rtcA//idnK//mdh//
GlrR	
GntR	glxR//lpxC//ilvI//leuD//rutC//ugpQ//glxK//uxaC//serC//
GutM	dapB//uxaB//fadA//
HU	ruvA//speA//deoD//accA//fadJ//frdC//puuA//
HcaR	mhpE//cysK//
HdfR	
HigA	metF//
HigB-HigA	alkA//
HipAB	prpE//aroG//
HipB	melA//paaG//lsrG//
HprR	sbcC//dadX//hmp//fadI//
HyfR	udp//
HypT	dmsC//phnM//hemH//napH//ubiA//psd//umuC//
IclR	ndh//paaF//srkA//
IdnR	aspA//idnK//sgbH//caiA//pgi//purA//
IlvY	yedX//
IscR	umpH//waaH//gabT//astC//hemH//nanK//patA//puuA//
KdgR	gadA//fabD//
KdpE	gutQ//
LacI	ahpF//thrS//araD//
LeuO	purE//ilvC//napA//alkB//napH//metH//
LexA	srkA//recD//fucI//sdhC//nanA//yedX//paaK//xylA//fabD//gcvP//deoD//paaE//rutB//ogt//zwf//ung//pspE//rutB//fadJ//tadA//hmp//nagA//paaH//
LldR	dmsB//dacC//
LrhA	
Lrp	argF//narI//asnB//pncB//grxA//prpD//aldA//glmU//cysH//aroH//asnA//umuC//astC//wrbA//leuC//phnG//nirD//sgbH//lpxA//ssuD//aspA//paaH//murI//purN//tdcG//ssuE//ampC//glpC//glgB//gudD//allC//phnH//wecB//polB//gpmM//lysC//hmp//cynS//glxR//ilvC//
LsrR	citD//cysD//treC//citG//glk//
LysR	ftnA//
MalI	tdh//entE//
MalT	aceB//ccp//sucB//bioC//sgbH//dkgA//
MarA	citD//gpmM//sdhD//folA//phnN//uvrC//recD//mhpE//cysE//aceB//pyrD//alaS//dacC//purK//lacZ//wecE//moaC//sdhD//aspA//purL//prpD//mngB//nanA//uxaB//
MarR	
MatA	ampC//
MazE	fucK//
MazE-MazF	tdh//
McbR	
MelR	hcaB//srlD//
MetJ	puuB//gudD//phnH//purM//nanK//rtcB//waaY//tam//fucO//trpB//
MetR	dinB//argH//nanA//fabG//
MhpR	dacC//idnD//rtcA//pgaB//dmsC//ruvA//
Mlc	chbG//mazG//glmS//acnA//
MlrA	hyaC//
MngR	leuA//gadA//
MntR	sdhC//hcaE//
ModE	paaH//fabI//nagB//rsmH//paaG//recD//hcaC//arsC//rutA//alsE//lacA//hmp//paaC//mpaA//nanK//pdeR//ogt//
MprA	aceE//purK//mhpD//
MqsA	moeA//tdcB//
MraZ	purB//argI//xapA//dapB//add//umpH//yeaG//citF//cyoE//mdh//
MurR	prpE//uidA//ycjG//
Nac	phoA//nadA//lysC//metA//sbcD//asnA//citX//truB//sgbE//sbcC//tdcE//
NadR	hcaB//rhaA//fabI//entF//
NagC	ilvC//napB//wecB//frdD//kbaZ//glpX//asnA//trpC//nirD//mtlD//dsdA//uvrA//udp//pyrD//gabT//iscS//leuD//iscS//yiaK//
NanR	fucO//bioB//mhpC//mpaA//gcvT//aceF//
NarL	speA//fucA//amn//ascB//metK//napG//lysU//pspE//tnaA//pnp//wecE//metK//murQ//purD//thrS//phoA//fbaB//acnA//pdeH//ahpC//metL//dkgA//nrdE//ynfF//chbF//srkA//hyaB//glgB//phnG//metE//fabA//argG//hycE//gpmM//bioD//metC//ndh//mraY//mhpE//aroL//waaZ//
NarP	frdD//araD//patA//alaA//fabA//xylA//hcaB//hycC//polA//gcl//cueO//allD//dadA//nadA//cadA//
NemR	lacZ//deoB//
NhaR	ampC//aroG//frdD//dapB//melA//
NikR	fbaA//
NimR	chbF//
NorR	cysE//
NrdR	rhaA//paaF//zwf//cdd//
NsrR	umpH//hcaD//hyaC//caiD//xapA//nfsA//lacZ//gatY//uxaC//purK//tam//cysN//ynfE//sbcC//mhpB//glcB//allE//pykF//moaE//allD//dgcZ//hycG//paaC//paaJ//asnB//metE//yiaK//tadA//entB//yqhD//atoD//patA//malS//rffH//puuD//purM//glgB//ydcS//pgi//lyxK//
NtrC	metH//lyxK//ubiX//hycG//glcF//purD//mltF//phnJ//glxR//sgbH//mpl//rffH//fadA//rutB//gnd//astD//cysM//nanA//fbaB//ynfE//mazG//
OmpR	prpB//paaY//metB//murF//cysC//aceF//putA//hyaA//
OxyR	asnA//torC//deoA//argE//murI//aceF//napH//pheT//frdC//tdcB//rutC//galK//hcp//ppsA//putA//leuD//pheS//
PaaX	galK//carB//mpaA//lysC//bioC//glcD//sdhC//tdcG//moeA//
PdeL	dapB//
PdhR	rffH//srkA//wecE//murG//srlD//cueO//glnA//polA//cysG//deoB//purA//hcp//hyaC//galM//fbaB//lacA//hycD//sucA//lpxA//ychF//eno//hycD//ahpC//moaA//nagA//
PepA	astA//metH//
PgrR	yeaG//dsdA//
PhoB	accA//malY//astA//murG//fbaB//polB//tdh//fadH//cysE//dgcZ//acnA//fadA//gor//betA//nfsB//hcp//mhpD//deoA//fau//pykF//
PhoP	phoA//fadM//glyA//glmU//gatZ//yedX//moaA//nagB//ogt//phnM//atoA//wecC//umpH//moaD//nanK//lpxA//glgA//cysC//sodA//wecE//aroH//dgcZ//dkgB//xylA//puuA//allA//galK//sucC//glcE//sgbE//mhpF//ugpQ//
PrpR	umuC//ftsI//hycC//idnO//
PspF	paaG//
PurR	dsdA//sdaA//argG//glxK//folA//sufS//ssuE//astB//gltB//gabD//pyrC//nirD//nanE//phnO//nanA//guaB//recD//pgm//trpB//slt//bglB//gltD//paaK//dmsB//cysJ//acnB//
PutA	purC//glxK//
PuuR	serA//sdhC//fdhF//tam//purD//ynfG//
QseB	
RbsR	moaC//citG//tdcD//ilvM//leuA//purF//
RcdA	puuA//
RclR	
RcnR	ogt//
RcsAB	dgcC//lpd//rhaB//
RcsB	hcaE//gabD//purF//paaF//
RcsB-BglJ	lysA//ogt//
RelB	nanE//
RelB-RelE	murC//
RhaR	
RhaS	glpC//idnO//argI//metL//
Rob	nadB//dkgA//entD//phnH//malQ//lacZ//patD//melA//mngB//folA//fadH//lacZ//rutA//fadB//ribA//wecC//lysC//bglB//gutQ//
RstA	garK//hmp//trpE//
RtcR	wrbA//recF//
RutR	luxS//aceE//puuD//dhaM//waaH//ilvM//paaA//fucK//malP//ldtD//pyrD//
SdiA	
SgrR	paaC//tyrA//ulaF//
SlyA	aceE//argF//lsrK//murD//glpA//murI//pnp//frdB//nanM//
SoxR	waaH//
SoxS	leuC//atoB//dhaK//napG//alkB//hemH//leuD//bioF//nrdD//hycF//glcE//fabI//paaB//metE//entA//lysU//amn//paaF//eda//dgkA//patA//nagA//pdeL//yeaE//caiA//yeaG//
SrlR	ygeA//ogt//purC//
StpA	phnI//gltD//ulaD//
SutR	epd//trpD//
TdcA	speA//hyaA//trpA//hycD//ribA//
TdcR	alkA//lsrF//glcD//gltD//dadA//
TorR	ulaE//rutC//nadA//ftnA//add//
TreR	gcvP//wecC//
TrpR	moeB//fadI//bacA//aspC//paaB//talA//rffH//ddlB//dmsA//
TtdR	cysN//folE//
TyrR	citC//astD//ubiC//glgC//waaZ//nrdE//paaJ//bioB//lpxD//
UhpA	glpA//
UidR	ilvE//phnJ//
UlaR	gadB//malP//malZ//phnN//gabD//
UvrY	pepD//cysI//
UxuR	hemL//folA//rhaA//garL//tdcD//
XapR	puuA//fabD//
XylR	grxA//ubiC//sgbH//
YdeO	relA//lpxC//hyaB//
YefM	ynfG//
YefM-YoeB	rsmH//
YeiL	
YhaJ	
YiaJ	mpl//pagP//phr//kbaY//fadD//gatD//
YjjQ	add//purC//
YpdB	
YqhC	treC//rpiB//
YqjI	hyaB//
ZntR	cynT//
ZraR	
Zur	cysM//
