# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gcvH//polA//
CsgD	caiC//tktB//gabT//hemL//moeA//
CsiR	kbaY//glcE//ada//gatY//
CspA	uxaC//
CueR	aspA//eno//torA//glpB//glpQ//
CusR	astA//idnK//rutD//atoD//
CynR	aroH//pck//sgbH//
CysB	umuC//dadX//frdA//yqhD//cysN//amn//rnpB//nagB//fadE//nrfC//ddlB//gor//rhaA//fabZ//rutC//frdB//yqhD//
CytR	pgaB//fabD//murE//lsrG//ilvC//mdh//alaA//rutA//luxS//kbl//
DcuR	moaC//purC//citX//fabH//
DeoR	fumB//wrbA//fruK//ydcS//umpH//ilvE//
DhaR	oxc//
DicA	
DinJ-YafQ	atoB//
DnaA	malS//rtcB//bioC//caiB//ldtB//cysH//
DpiA	galK//ppc//metE//polB//fbaA//
DsdC	ulaE//lacZ//
EbgR	
EnvR	ssuD//polA//
EnvY	gadB//fadA//
EvgA	glcB//fdhF//ilvD//gpmM//cyoE//sdhA//
ExuR	pdeR//fabD//argD//nirB//fabH//murD//
FabR	xylB//nrdE//bacA//
FadR	nrdF//betA//sucA//mhpE//glyA//bglB//mpaA//pnp//ribA//mnmG//nrfC//ogt//frdC//murG//aceA//paaH//fadE//pgm//alkB//
FeaR	sodA//frc//
FhlA	cysI//cysC//purE//fadE//fadB//cysJ//gatY//betA//
FlhDC	sdhD//ttdA//ubiC//mhpC//yfdE//tam//ampC//mhpB//metK//allD//citF//ynfG//dgkA//galM//
FliZ	sbcD//xylB//cysK//hemL//mpaA//
FucR	adhE//paaI//edd//pncB//nrfA//fes//
Fur	paaI//fadJ//ttdB//tdcD//bioC//dkgB//rpiB//ybjG//gutQ//fucU//iscS//katE//glgX//grxA//astC//folE//tpiA//glxR//zwf//rutB//prs//aceB//fumC//rimK//prs//nemA//argI//citC//ruvB//torC//pyrC//rbsK//entC//galT//nadB//aroH//sgbH//gpmA//prpE//ada//frdD//prpC//garR//lacZ//ulaF//sodB//paaF//ydcS//metH//bioC//galM//sufS//aroG//dadX//malQ//ilvA//fadE//murG//metL//purB//ssuD//cysG//
GadE	argG//bacA//cysJ//mraY//dgkA//deoB//uxuA//glgA//malY//entA//
GadE-RcsB	yqjH//cysE//frdD//uxaC//accA//
GadW	nrfC//napB//glgX//trpB//
GadX	dapD//araA//garD//glnA//moeA//ynfH//fabB//dmsB//glgP//acnA//purE//frdC//phnJ//
GalR	mpl//ogt//moeB//entD//gabT//frdC//
GalS	betB//yiaK//nadA//epd//hycD//moeA//
GatR	oxc//pgpC//dacC//
GcvA	alsE//galT//phnL//
GlcC	ftnA//sgbH//idnK//
GlpR	carA//aroF//sgbH//uvrB//fumB//aspA//cynT//
GlrR	
GntR	glpQ//trpD//ycjG//metE//sgbU//sdhD//poxB//rffT//hemH//
GutM	pykF//hmp//pyrC//
HU	sufS//appA//napG//mhpD//ssuE//fucI//hcaC//
HcaR	mazG//cyoE//
HdfR	
HigA	narG//
HigB-HigA	ppc//
HipAB	argF//paaZ//
HipB	hycF//ubiA//ilvM//
HprR	wecC//lpd//sdhD//entB//
HyfR	tdcE//
HypT	pdeH//gntK//moeB//gltB//hcaF//purN//bioD//
IclR	pdeL//ascB//sucC//
IdnR	ilvI//alsE//narI//phr//idnD//sodB//
IlvY	glk//
IscR	fes//fumC//galK//mpl//gadA//pncB//rimK//tyrB//
KdgR	gabT//napB//
KdpE	uxaC//
LacI	fadJ//tktB//ldtC//
LeuO	pgaD//napA//polA//purH//iscS//ribA//
LexA	wzb//speA//tnaA//ung//sdaA//gcl//paaB//phnI//pyrC//hypF//mraY//paaJ//glpB//nadA//pepD//tadA//ubiC//paaC//metB//hycC//fabI//frc//sucA//
LldR	puuC//codA//
LrhA	
Lrp	lacZ//entF//truB//kbl//ynfG//hypF//speB//nrdE//tpiA//iscS//ascB//fadE//rutE//codA//allA//dmsB//argF//gatY//sucB//cynS//codA//ynfG//sucA//hycG//paaK//narH//relA//metA//bacA//nemA//glpD//ftsI//argE//glmS//fucK//waaY//polB//nrdD//araA//pgaC//
LsrR	cysE//hycE//gltB//lysA//paaH//
LysR	tdh//
MalI	rpiB//ilvI//
MalT	mhpF//moaA//metA//sdhB//tdcG//phnL//
MarA	pflB//entE//argG//dhaM//arsC//nrfD//uvrA//dinB//poxB//rffH//nirB//argE//waaZ//asnB//moeB//pgaC//phnI//treC//cysI//ung//caiB//treC//xylA//ilvA//
MarR	
MatA	fadJ//
MazE	ppsA//
MazE-MazF	hemH//
McbR	
MelR	sgbH//ascB//
MetJ	paaI//metH//purN//gntK//alkA//phnO//ilvA//hcp//mhpC//bioC//
MetR	lpxD//fabD//narH//paaE//
MhpR	rffH//malS//uvrB//ynfE//phnP//ilvH//
Mlc	ilvI//aceA//mtlD//sucD//
MlrA	ilvC//
MngR	idnK//paaF//
MntR	wecB//fabZ//
ModE	fbaA//bacA//araA//mhpE//glk//purD//cysM//ugpQ//ubiA//fabB//napG//ynfG//tpiA//lsrF//nadB//asnB//metF//
MprA	rimK//lysA//tdcD//
MqsA	galT//lyxK//
MraZ	aceA//wecE//lsrG//gcvH//mhpC//trpE//dmsA//hemH//ynfG//speA//
MurR	aceB//phnG//moaA//
Nac	nadB//dadA//paaH//oxc//hycE//aspA//aspC//mdh//pgk//hyaA//cysH//
NadR	glpX//idnO//mhpC//aroH//
NagC	gltD//fes//deoA//purN//murE//rffT//luxS//sgbE//prpC//glcB//malZ//ruvB//ttdA//tam//entF//idnD//argH//aroH//rfe//
NanR	hycD//gcvH//pdeH//eno//cysE//hypF//
NarL	katG//entD//kbaZ//trpE//ilvM//gor//entH//phnM//purH//gudD//hemL//mhpB//tpiA//patD//argF//aroG//wrbA//arsC//paaC//patD//ynfF//uxaB//cyoE//napB//entD//dgcC//iscS//metE//rpiB//nrdF//paaH//tpiA//fucA//sufS//argF//hyi//fau//pgpC//moeB//moaC//accC//
NarP	allE//purL//aspA//nanE//sgbH//dsdA//adiA//caiD//fumB//gatZ//citG//pgpC//gatZ//ahpC//paaB//
NemR	sucB//citX//
NhaR	nanM//bioA//gcvH//prpB//speA//
NikR	ilvD//
NimR	tdcE//
NorR	aroG//
NrdR	dsdA//dgcZ//alaA//recD//
NsrR	mhpD//lpxD//fabG//ilvE//speB//idnK//lpxC//ahpC//glpK//glyA//treC//yiaK//icd//moaA//ilvH//fadJ//dkgA//galM//torA//nrfA//ugpQ//kbl//paaZ//yqjH//glcF//paaC//gcvT//cysH//ldtC//ruvB//dapD//glnA//mpaA//iscS//murG//bioF//phnG//idnO//feaB//aroH//
NtrC	cysC//citE//tpiA//tyrB//prpE//serA//gadB//accA//wecE//acnA//sgbH//umpH//pfkA//hycG//tktB//cysE//rutB//rffC//dhaK//cysJ//fbaB//
OmpR	glcF//chbG//citE//ilvE//puuA//pheT//gatD//paaF//
OxyR	rtcA//yeaE//napG//umuC//carB//ssuD//aceA//garR//idnD//patD//argE//dgcN//araB//gltD//fucU//idnK//glcB//
PaaX	aldA//rutC//glgA//puuC//galM//pgaC//hcaB//ybjG//fabB//
PdeL	pgaB//
PdhR	rffT//speB//sgbH//frdA//malS//phr//fabI//accD//garD//glpQ//nadB//mhpB//yfdE//patD//ddlB//fabB//gpmM//araB//hycF//sdhB//patA//ilvI//glgB//garR//sbcD//
PepA	eda//murI//
PgrR	murF//fadE//
PhoB	galK//kbaZ//gntK//glcE//gcvP//napG//leuB//paaE//malY//mpl//metL//hycG//cysD//fadI//katE//gudD//cysN//prs//putA//fabI//
PhoP	rffT//avtA//fadM//frdD//dadX//cynS//trpC//dkgB//rpiB//torA//ulaD//wzb//entE//galT//prs//argD//ilvE//leuD//chbG//sodB//zwf//caiA//ahpF//accC//polB//glcD//puuE//sdhB//ttdB//garK//add//idnO//
PrpR	rutC//rbsD//nrdB//metK//
PspF	gnd//
PurR	lsrF//rutD//citX//sbcC//glyA//sodB//glnA//purK//gcvT//ldtD//malQ//astC//cdd//ubiA//bioB//ldtD//gatZ//tdcG//ogt//pdeH//rffT//lpxD//dkgA//malS//ilvI//malP//
PutA	lpxC//lacZ//
PuuR	hemH//ppiA//rsmH//dhaL//bioA//galE//
QseB	
RbsR	slt//pnp//ppsA//nirD//cyoE//ynfH//
RcdA	folE//
RclR	
RcnR	ftnA//
RcsAB	entD//entF//idnK//
RcsB	torC//glsA//ssuD//zwf//
RcsB-BglJ	araB//glmS//
RelB	puuA//
RelB-RelE	dmsA//
RhaR	
RhaS	deoC//wzc//mnmG//murF//
Rob	bioA//aroG//allA//argG//ssuD//paaJ//astE//pepD//nrdE//uxaA//glgC//yiaK//tdh//murG//tdcB//alaA//narH//bacA//purN//
RstA	rhaB//pgi//alkA//
RtcR	pdeH//ppsA//
RutR	gltB//uxaB//fbaA//fadI//pncB//asnB//pdeH//entA//gudD//uxaC//fadA//
SdiA	
SgrR	psd//tdcE//nrfA//
SlyA	sdhB//astB//ppiA//yqjH//wecC//rffC//dadA//phnN//uxuA//
SoxR	torC//
SoxS	bglB//iscS//aceE//oxc//garR//phnG//accC//tdcG//trpE//ccp//nanA//citE//malS//fau//idnK//ilvI//metC//hemH//deoC//recD//grxA//nanM//bacA//ubiC//dapB//recB//
SrlR	hcaF//dgcZ//purF//
StpA	uvrC//phr//puuC//
SutR	arsC//yqhD//
TdcA	eno//galM//sucB//metK//leuD//
TdcR	ubiA//mhpF//tadA//puuA//tyrA//
TorR	metH//ybjG//ilvH//betA//tam//
TreR	lyxK//ulaF//
TrpR	nanA//puuD//idnO//uvrA//dhaK//glyA//trpE//garD//deoD//
TtdR	pgpC//napH//
TyrR	tynA//ppc//rtcB//gabD//wrbA//purD//rtcA//fabG//astE//
UhpA	paaF//
UidR	ddlB//phnI//
UlaR	rffC//deoA//lpd//caiB//glcE//
UvrY	ulaD//paaB//
UxuR	malS//sucC//lldD//pheT//grxA//
XapR	ilvG_1//uvrA//
XylR	sgbH//puuD//hyaB//
YdeO	ampC//puuB//ascB//
YefM	umuD//
YefM-YoeB	sgbE//
YeiL	
YhaJ	
YiaJ	hycF//paaY//asnB//glnA//glpB//citF//
YjjQ	cysD//mltF//
YpdB	
YqhC	paaI//mpl//
YqjI	srlD//
ZntR	argB//
ZraR	
Zur	garD//
