# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	glcE//iscS//
EbgR	
EnvR	recB//argF//
EnvY	rtcA//ascB//
EvgA	uxuA//ahpF//moaE//folE//narI//waaZ//
ExuR	fucK//arsC//fadJ//citX//pheS//phnG//
FabR	murI//paaC//idnK//
FadR	nrfC//purK//relA//polB//accD//mhpB//murI//gatZ//speA//aroA//ilvM//fau//argD//ilvA//ppiA//paaZ//ubiA//bacA//hycD//
FeaR	argB//moaA//
FhlA	mhpB//citG//dgcC//yqhD//citE//ttdA//nrfD//add//
FlhDC	idnK//glpA//gcl//garR//dinB//hycD//treC//mdh//sbcC//cynT//malS//lpxD//fabI//napB//
FliZ	moaC//speA//yqhD//bioA//pgm//
FucR	mhpC//glmU//nagA//rhaB//citE//relA//
Fur	sbcD//ilvM//lacA//nirD//gnd//idnK//betA//mpaA//yiaK//galE//paaE//nrdD//mnmG//phnH//ynfH//trpA//nrdF//glpA//dgcC//phnH//sgbE//nirB//moaD//kbaZ//nrdE//fadA//ldtD//nrdE//aroL//pgm//folA//alkB//sodA//fabZ//dhaL//cysN//oxc//nanA//paaB//aspC//phnJ//gdhA//gltD//citD//bioC//wrbA//ilvD//hcaD//bioA//dadX//wecE//tktB//gloA//metC//lysU//ilvA//tynA//aceF//gcvH//lpd//lhgO//xapA//
GadE	hyaB//patD//nrdA//nanE//xylA//allA//tktB//gpmM//glgB//ugpQ//
GadE-RcsB	add//ygeA//ascB//nrdE//xapA//
GadW	ulaD//astA//pnp//adiA//
GadX	fabH//mpl//phoA//cadA//chbF//hycC//ttdB//garL//murE//grxA//ruvB//waaH//gatD//
GalR	nanE//bioB//fucO//nrdA//frdD//tktB//
GalS	glpB//iscS//psd//hypF//grxA//gcvT//
GatR	wecB//entB//sbcC//
GcvA	puuC//nrdD//gpmA//
GlcC	speA//fucK//phnO//
GlpR	yeaG//citD//polA//aspA//ycjG//yfdE//ulaE//
GlrR	
GntR	galE//pepD//purK//lhgO//paaY//lpxA//metK//ppiA//putA//
GutM	purN//patA//cysK//
HU	metH//gltD//fucO//napH//sucA//napH//gpmA//
HcaR	talA//frdD//
HdfR	
HigA	kbaY//
HigB-HigA	ldtD//
HipAB	pgaB//edd//
HipB	paaK//ftsI//fabG//
HprR	paaJ//glpD//asnB//ttdA//
HyfR	leuB//
HypT	entA//murD//fadD//fabA//xylB//rhaA//folE//
IclR	serA//cysK//aspA//
IdnR	aceB//uxuA//puuE//argB//ung//appA//
IlvY	pfkA//
IscR	tauD//hypB//sodA//lyxK//gpmM//dadX//glgA//gcvH//
KdgR	pagP//ampC//
KdpE	ynfG//
LacI	fadH//citE//fbaB//
LeuO	fumC//asnA//pspE//napA//rutC//chbF//
LexA	sodA//ulaG//rhaD//asnA//pykF//pdeR//edd//xylB//wecE//eno//gadB//ampC//ychF//pgaC//xylA//malP//edd//moaC//lacZ//grxA//purE//gcl//phnO//
LldR	avtA//dmsC//
LrhA	
Lrp	ung//leuC//uxaC//tdcD//fadM//glpB//citE//pspE//pdeR//lysU//wecC//epd//cysI//tpiA//amn//tdcB//lsrG//citX//rutE//argC//aroG//idnD//hcaD//torC//purM//fbaB//grxA//fabI//fabI//lacA//sucB//nrdB//ruvA//tyrA//uxaC//glgB//rnpB//fadB//glk//pgaC//
LsrR	galM//alaS//dgkA//deoC//rffT//
LysR	rnpB//
MalI	pdeL//metA//
MalT	narH//sbcD//lpxA//caiD//narH//truB//
MarA	glgX//umuD//slt//yqjH//sodB//caiD//add//hycE//fucK//cdd//metK//fabG//gpmA//allA//recB//purE//citX//mhpB//gcl//purN//recD//acnA//mazG//caiC//
MarR	
MatA	glxR//
MazE	purM//
MazE-MazF	ftsI//
McbR	
MelR	pgi//tyrA//
MetJ	nemA//rhaA//mpaA//tdcD//fruK//aldA//dinB//frdC//glcB//slt//
MetR	aceB//gapA//yqhD//sucD//
MhpR	glpD//phnP//tdcD//ilvI//gloA//sdaA//
Mlc	lyxK//murG//putA//kbl//
MlrA	rfe//
MngR	fabB//pagP//
MntR	lsrF//entE//
ModE	bioB//prpE//yqhD//allC//paaF//asnB//lsrF//nirB//bioF//folE//paaZ//glcF//mhpD//aspA//phnP//patA//dhaL//
MprA	betA//paaY//fucO//
MqsA	paaB//sgbU//
MraZ	icd//wrbA//hycF//bioD//ssuD//sgbH//fucU//dinB//lacZ//ulaD//
MurR	lsrF//metH//frdC//
Nac	codA//cysM//nanA//accC//nadA//ftsI//paaB//aceE//glk//glyA//paaH//
NadR	ccp//tdcB//ulaD//tynA//
NagC	accD//eda//ybjG//dgkA//waaZ//aldA//sufS//yeaE//ilvH//gadA//wzb//paaC//rpiB//ttdA//pheS//allC//tdcE//ynfH//aroL//
NanR	fadM//puuA//torA//puuC//appA//fabA//
NarL	xapA//ubiA//lhgO//yqhD//polA//kbl//fdhF//metF//phnL//pdeR//fadJ//lysA//metC//ahpC//deoB//pdeL//aceB//paaE//purC//mnmG//adiA//wzb//slt//frdC//metB//bioA//alaA//malP//polA//moaD//cynT//glpX//gor//folA//ruvB//poxB//nrfA//luxS//pnp//prpB//ttdB//
NarP	nrfA//sgbE//fadA//trpB//pgk//kbaZ//mdh//aceE//sgbE//rbsK//lldD//frdD//ynfF//fucO//rnpB//
NemR	malP//ftnA//
NhaR	rffT//sdaA//pheS//polB//ascB//
NikR	gloA//
NimR	murQ//
NorR	cysJ//
NrdR	alaS//tadA//gadB//pgk//
NsrR	ppsA//puuC//pyrD//glpX//gabT//ybjG//tyrA//mdh//glmU//paaY//glsA//phnP//galK//gatY//cdd//hycC//metA//yeaG//malS//gadB//arsC//glpA//slt//metB//araB//alkA//pfkA//cynT//purH//ybjG//yeaE//nanM//codA//ribA//argA//citD//sucB//guaA//ugpQ//ulaG//
NtrC	ldtC//pyrD//frdC//gadA//fruK//ruvA//guaA//malS//alkA//napG//hyaB//ilvH//puuE//ruvB//bioA//astE//ycjG//narH//cysC//tehB//paaA//
OmpR	gntK//trpB//malZ//gadB//recB//speA//paaF//ldtC//
OxyR	pgk//gor//waaZ//sdhD//glpX//cysD//rffT//rhaA//sgbE//gudD//narG//hcaF//gadA//ydcS//asnA//kbaZ//uxaA//
PaaX	glk//hycC//sodB//hyaC//rutB//deoB//ccp//rutE//nirD//
PdeL	pgi//
PdhR	add//araD//wecC//gdhA//ilvA//paaE//cadA//caiC//carB//pagP//cysE//yeaE//nfsB//citG//malY//codA//metE//yeaE//glgB//speB//ddlB//sodA//malS//rhaD//paaZ//
PepA	cadA//ubiA//
PgrR	lysA//fabB//
PhoB	pgaD//mhpB//gor//uxaA//mhpF//rfe//metL//hcp//accC//allC//tktB//murD//bioB//gltB//torA//guaB//galE//cysH//araA//pspE//
PhoP	nrdA//epd//dhaK//paaF//glnA//lsrF//ldtB//acnA//waaZ//lysA//garL//argE//glgC//fucA//astB//hycE//cysM//fadI//alaS//fucO//ampC//paaK//lysA//speB//rtcB//sodA//ugpQ//trpC//aspC//srlD//prpD//murD//
PrpR	gltB//phnI//moaE//rsmH//
PspF	glmU//
PurR	nrfD//putA//citC//ascB//ppsA//fadI//garR//carB//pheT//tdcE//uxaA//ilvD//phnJ//pgi//accD//fucK//napA//fbaA//mdh//malY//speB//ulaE//purE//aroG//argE//glpQ//
PutA	paaH//ssuE//
PuuR	glgC//argF//tdcE//adhE//metE//rtcA//
QseB	
RbsR	lldD//moaA//ulaG//lpxD//guaA//alaS//
RcdA	kbl//
RclR	
RcnR	mhpB//
RcsAB	tnaA//lpxA//pgpC//
RcsB	yfdE//moeB//galT//nanA//
RcsB-BglJ	trpB//gpmM//
RelB	rhaD//
RelB-RelE	tyrB//
RhaR	
RhaS	bglB//mdh//uvrA//carB//
Rob	bioD//xylA//cueO//glyA//dhaM//poxB//napH//torA//aceA//gdhA//pflB//dgkA//gpmM//paaF//ychF//gatD//malY//hcp//nfsB//
RstA	ilvD//dinB//tam//
RtcR	alkB//glpD//
RutR	aroF//phnO//katE//cdd//glgB//puuA//astE//ppiA//nrfA//leuB//gpmA//
SdiA	
SgrR	patA//caiC//fumC//
SlyA	rffM//torA//hcaD//garK//caiC//yeaE//atoD//dapD//yqhD//
SoxR	prpD//
SoxS	argB//fabH//betA//paaC//gcvH//sucD//ribA//alkB//ilvH//lhgO//ccp//uxuB//ddlB//avtA//pdeL//hcaD//pfkA//tadA//eno//paaC//lysA//purK//pgpC//argG//astB//purC//
SrlR	glpK//moaA//murE//
StpA	sufS//avtA//fumB//
SutR	paaJ//patA//
TdcA	leuA//torA//entH//dgcZ//ldtD//
TdcR	sdhA//moeA//mhpD//galT//dgcN//
TorR	gatZ//phnJ//waaY//moaC//glmU//
TreR	polA//mnmG//
TrpR	eno//allD//lsrG//chbG//edd//paaG//ttdA//ydcS//pagP//
TtdR	rbsK//ssuE//
TyrR	purF//ilvE//deoD//trpC//nagA//metC//appA//nrdE//gltB//
UhpA	metF//
UidR	glmS//yeaG//
UlaR	glpX//hyaB//fadH//argA//ascB//
UvrY	nanM//ssuD//
UxuR	glsA//murI//deoD//allE//rffC//
XapR	waaY//pepD//
XylR	tpiA//argA//rutA//
YdeO	argC//aceA//tnaA//
YefM	ddlB//
YefM-YoeB	gnd//
YeiL	
YhaJ	
YiaJ	ulaG//malP//metA//trpB//rutC//purA//
YjjQ	pnp//rutA//
YpdB	
YqhC	argC//ung//
YqjI	gcvH//
ZntR	glgP//
ZraR	
Zur	ilvH//
