# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	carB//lsrG//
CysB	aroF//nrfC//patD//fucI//purC//astC//alkB//fadH//garR//icd//lsrG//accC//leuB//citE//dkgB//fucI//galM//
CytR	fabA//nanA//guaB//puuA//ydcS//rhaB//moaC//glpC//ydcS//moeA//
DcuR	mdh//garR//cysK//pspE//
DeoR	gabD//sbcC//xylB//hcaD//moeA//ruvB//
DhaR	murE//
DicA	
DinJ-YafQ	moaA//
DnaA	umpH//rffG//nfsA//rsmH//bglB//fdhF//
DpiA	ilvA//polB//sdhB//ttdA//ttdA//
DsdC	murG//paaJ//
EbgR	
EnvR	glgC//accD//
EnvY	rbsD//pgaC//
EvgA	hcaE//folE//pheS//fabH//glpC//acnA//
ExuR	ubiC//recF//asnA//nfsA//fbaA//pyrC//
FabR	purA//wecC//leuD//
FadR	lpxA//nrdE//ada//argD//pykF//thrS//ilvC//glgC//tdcE//metK//mngB//psd//thrS//nrfC//fumC//uxaB//caiD//glnA//mhpB//
FeaR	pgm//lpxA//
FhlA	dmsB//speB//patD//lhgO//paaE//metL//lyxK//tktB//
FlhDC	malQ//araB//sucD//napA//galK//gpmA//chbF//glgB//ndh//mpaA//iscS//gcvT//rffM//fadJ//
FliZ	citE//speA//gltD//wecE//asnA//
FucR	trpD//phnG//mdh//citC//hyi//pagP//
Fur	ubiA//fucO//sbcD//phoA//dgcZ//purN//sgbE//sbcD//murI//putA//glxR//narG//hycC//gpmA//rutE//prpD//ppc//hypF//astA//cysG//hcp//lacZ//relA//ruvA//ubiA//carB//ldtD//pheT//nrfA//fruK//allE//hemH//kbaY//wecB//tnaA//ruvB//malQ//mhpC//glsA//udp//polA//gadA//ilvH//cynT//moaD//cysH//cysG//poxB//ddlB//astB//glpX//ldtD//edd//mpl//ynfF//entB//uxaB//ruvB//lysC//serC//prpD//wzb//
GadE	tdcB//phr//ulaD//sucB//sdhA//glxR//glgX//gpmA//aspC//nagB//
GadE-RcsB	allA//epd//gcl//alaC//srkA//
GadW	allB//ilvH//dgkA//rpiB//
GadX	dhaL//truB//hycB//frc//astB//rffM//oxc//sodA//entC//rfe//rhaA//phnM//rutD//
GalR	trpE//aroA//nanE//aceB//cysK//mazG//
GalS	psd//poxB//pgm//dapD//puuD//metK//
GatR	trpE//frdA//uxuB//
GcvA	alaC//tdcD//rbsD//
GlcC	recF//pgaB//ychF//
GlpR	argF//sufS//pheS//nrfA//idnO//alkB//moaE//
GlrR	
GntR	fabB//kbaZ//puuE//dacC//rffM//nirD//dgkA//sodB//sucD//
GutM	narG//speB//rutC//
HU	nfsB//aroL//araB//pnp//nirD//avtA//nrdA//
HcaR	carB//uxaB//
HdfR	
HigA	lacZ//
HigB-HigA	lysC//
HipAB	yqhD//nanM//
HipB	pheS//phnL//waaY//
HprR	uxaB//aceF//rfe//citX//
HyfR	hycC//
HypT	uvrB//pspE//pykF//murG//mpaA//cueO//rhaD//
IclR	ynfF//tam//nfsB//
IdnR	mhpA//gcvP//rhaD//yiaK//folE//ulaF//
IlvY	moaD//
IscR	nrfC//prpD//hcp//garD//gloA//paaG//sdaA//nrdB//
KdgR	glcB//xylB//
KdpE	garK//
LacI	nagA//galT//rbsD//
LeuO	tnaA//malQ//sgbH//dadX//uxuA//argA//
LexA	citX//cysD//moeB//moeA//paaY//gcvT//aceF//nrfA//leuB//bioD//pfkA//fadD//putA//ilvH//ndh//ilvH//entC//oxc//mhpF//dmsC//pdeR//tadA//relA//
LldR	carA//murI//
LrhA	
Lrp	bioD//serC//glmS//hycF//prs//araB//pflB//glgB//nanA//metC//dgcC//fumC//ygeA//araA//pgm//moaC//mhpD//glcF//lacZ//accD//trpA//sbcC//kbl//pdeL//accA//glgC//entF//rffT//lsrF//prpE//gor//betA//hmp//ilvI//entE//rffC//dkgA//yiaK//talA//accC//
LsrR	mtlD//fadI//caiB//garR//bioF//
LysR	ydcS//
MalI	prs//deoB//
MalT	pflB//ubiC//alkB//leuB//ascB//cysH//
MarA	prpE//hycC//tynA//rffM//moeA//gpmM//malP//serA//guaA//uvrB//puuE//hyaC//dgcZ//gltB//mpaA//iscS//nanM//alsE//sdhB//deoA//pgk//astE//katG//fadE//
MarR	
MatA	nrdA//
MazE	lldD//
MazE-MazF	dkgA//
McbR	
MelR	allB//cyoE//
MetJ	pfkA//hyaB//fbaA//uxaA//prpD//sdaA//metL//edd//nfsB//uvrB//
MetR	entC//gapA//gcvP//fadI//
MhpR	prs//tdcB//frdD//phnM//adiA//rutB//
Mlc	waaZ//astE//dadX//paaC//
MlrA	glgA//
MngR	glpQ//malZ//
MntR	iscS//uxuA//
ModE	rffH//rtcA//glxR//hycG//lpxD//purN//sucC//rutE//frdA//rimK//phoA//glmU//umpH//ftnA//tpiA//ynfH//adhE//
MprA	fabA//hyaA//yeaG//
MqsA	putA//glmU//
MraZ	tam//sdaA//dacC//hemL//folA//mtlD//rhaA//pdeR//fadH//idnK//
MurR	carA//glmS//polB//
Nac	yqjH//tadA//nrdF//sdhA//pyrD//srlD//waaY//fdhF//nadA//mltF//accC//
NadR	sdaA//leuB//umpH//phnJ//
NagC	hycF//aceB//argH//wrbA//hyaB//fucK//rhaA//caiA//uxaC//fucI//murF//dmsA//hycE//aldA//garK//hyaB//idnK//citC//dsdA//
NanR	kbaZ//phoA//glmU//glyA//puuA//rbsK//
NarL	lsrF//pflB//frdC//uidA//ilvE//dhaM//fabI//nadA//purM//talA//alaC//rffG//cynT//cysD//fadA//glcE//rtcA//hcaC//pgk//ppsA//pspE//ilvH//malZ//pspE//pheT//dkgA//treC//bioA//alaC//nrdB//epd//glgX//pnp//rffC//lpd//argI//yedX//fabG//pgm//accA//rffC//
NarP	talA//katE//adiA//trpA//nagA//purH//gnd//idnD//pgaD//idnD//lpxC//yedX//xapA//eda//caiD//
NemR	napG//aspC//
NhaR	dgcC//cynS//prs//tdh//ftnA//
NikR	mazG//
NimR	paaH//
NorR	lysA//
NrdR	sdaA//fucA//glpX//alaS//
NsrR	ulaE//gcl//alaS//fbaA//leuA//ubiC//asnA//glgA//ftnA//hyaA//hcaF//serA//murF//deoA//arsC//wecE//hemH//dapD//patD//phoA//speB//gudD//aspC//sucC//umuD//epd//sdhD//katG//napH//gatY//prpD//napG//rfe//pck//mpaA//ldtD//narG//araA//yqhD//glgX//
NtrC	dsdA//ttdB//wzb//dmsB//mnmG//waaH//pncB//caiD//citX//lsrF//purK//nadB//tdcD//nirD//putA//pheS//purB//hycC//ygeA//fumC//fumC//
OmpR	nagB//gutQ//paaI//nanE//uxaA//umpH//purH//metK//
OxyR	bioC//hcaE//glpK//astB//dacC//lacA//gpmA//frdC//ttdB//ychF//murG//gcl//ahpF//entD//purC//hypF//fucA//
PaaX	idnD//hycG//deoB//fucK//garR//metE//nanK//galK//purM//
PdeL	murD//
PdhR	trpE//lysA//gnd//mazG//umuD//ndh//gltB//ahpC//bioB//puuE//purK//hcaB//ftnA//rutD//garK//feaB//hcaE//garK//hycF//aceB//argH//gadB//nrdF//ilvM//aspC//
PepA	hcp//lldD//
PgrR	alkB//yeaE//
PhoB	rffH//phnI//xapA//pgi//prpB//cysM//tdcB//prpC//aroL//dhaK//torC//metA//ilvC//wecB//dmsC//hcp//nanM//rutC//metL//trpE//
PhoP	nrdA//fabH//sdhA//xylA//oxc//trpE//polA//alaA//nrfD//entA//entH//wzb//ygeA//acnB//fabZ//gpmM//malQ//paaE//lpxA//hmp//hyi//wzb//mpaA//edd//gatD//ddlB//tnaA//fabB//rbsK//tdcG//gcvT//moeB//
PrpR	hypB//glpC//adiA//bioC//
PspF	adhE//
PurR	wzb//uxuA//sbcD//accA//allE//srkA//torA//astC//fucI//narH//purH//mpaA//napA//dhaK//paaY//prs//pspE//moaD//citX//purF//glpX//epd//rimK//paaA//xylA//ttdB//
PutA	serA//dadA//
PuuR	fabD//yeaE//alkA//murQ//fabI//bacA//
QseB	
RbsR	alaS//citE//hemL//gabT//citE//sdaA//
RcdA	gabT//
RclR	
RcnR	murQ//
RcsAB	leuC//citD//fadH//
RcsB	paaC//avtA//entH//ycjG//
RcsB-BglJ	putA//caiD//
RelB	rffM//
RelB-RelE	yedX//
RhaR	
RhaS	tktB//purL//ilvG_1//uxuB//
Rob	rhaB//lacZ//sdhC//malS//ilvA//phnN//paaA//rutA//fabB//phoA//nfsB//katG//ssuE//glgX//pfkA//kbaY//purC//sbcD//fbaB//
RstA	metB//mdh//gcl//
RtcR	rsmH//rutE//
RutR	ogt//citG//hycG//rbsK//grxA//ychF//idnK//araB//gntK//ynfG//pepD//
SdiA	
SgrR	allB//waaZ//glpQ//
SlyA	glpB//paaK//cysE//nanE//ttdB//gcvP//purC//narH//rimK//
SoxR	rsmH//
SoxS	ugpQ//ribA//astA//ndh//pgpC//wecE//asnA//wrbA//hycE//xylB//uxaC//gcvP//phnJ//torA//leuC//appA//fadM//ampC//recB//malY//tauD//polA//mpaA//caiD//pdeL//guaA//
SrlR	glsA//cadA//garK//
StpA	narH//waaZ//poxB//
SutR	tynA//ilvH//
TdcA	ubiC//nrfA//gcl//bioA//tynA//
TdcR	fdhF//atoD//codA//katE//allD//
TorR	deoB//aroH//pgk//sdhB//entD//
TreR	murI//lsrF//
TrpR	cysG//cadA//puuB//pflB//moaD//rsmH//malY//gadA//lhgO//
TtdR	glpK//fadJ//
TyrR	paaZ//hcaB//alkA//astD//tpiA//argH//pgi//sdaA//narI//
UhpA	ftnA//
UidR	leuD//lhgO//
UlaR	fadE//fadA//accD//tynA//tdcE//
UvrY	glgB//alaC//
UxuR	hemL//sgbE//wzc//glmS//cysJ//
XapR	nrfC//astE//
XylR	idnO//gcl//nrfC//
YdeO	trpE//ubiC//gcvT//
YefM	katE//
YefM-YoeB	add//
YeiL	
YhaJ	
YiaJ	rutC//paaK//aceE//purH//gabT//metK//
YjjQ	garD//gpmM//
YpdB	
YqhC	ynfG//phnM//
YqjI	glsA//
ZntR	pagP//
ZraR	
Zur	mtlD//
