# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	patA//metB//
Fur	sdhB//dhaK//mazG//gltD//citG//alaA//ubiA//tyrA//allE//fadE//caiD//mhpE//dsdA//hycC//hycG//idnO//entA//alaC//purA//nanM//entF//prpB//ydcS//hemH//yqhD//pspE//fes//citG//glcD//ppiA//lldD//srlD//tdcD//trpD//speA//garR//accA//ttdB//tam//fadD//metL//ttdB//alsE//ndh//uxuA//fabG//ilvA//dacC//waaH//glcD//nrdA//fadM//serA//leuD//rpiB//moaE//narH//nirB//yedX//patA//rutA//ubiC//
GadE	rffH//fau//atoD//glsA//lhgO//aceE//argB//pgaD//pflB//entC//
GadE-RcsB	waaH//lldD//murI//mdh//nrdA//
GadW	nirB//sdhD//paaI//entB//
GadX	glcB//phnM//bioF//glsA//allD//pdeH//cynS//puuA//leuA//citX//rhaD//rpiB//aspA//
GalR	tehB//kbaY//dgcZ//aspA//glpB//hycD//
GalS	citF//dacC//fucK//argC//murI//murI//
GatR	luxS//murI//udp//
GcvA	betB//napA//lsrK//
GlcC	ruvB//fadI//rutA//
GlpR	prpD//sgbH//citC//cysG//xapA//luxS//ulaG//
GlrR	
GntR	prpC//nadA//ruvA//ilvE//waaY//leuC//mraY//chbG//pgk//
GutM	hcaE//amn//allE//
HU	tyrA//paaY//icd//tdcD//iscS//adiA//argI//
HcaR	mngB//ftnA//
HdfR	
HigA	uvrA//
HigB-HigA	sdaA//
HipAB	mhpE//idnK//
HipB	wecC//aroG//moeB//
HprR	pgaC//rffM//malZ//aroF//
HyfR	citE//
HypT	fabZ//ppsA//trpE//paaI//mhpF//lpxD//rbsK//
IclR	nadA//trpD//sbcC//
IdnR	gudD//mpl//ldtD//nanK//cysE//cysI//
IlvY	pck//
IscR	pck//guaB//cysC//avtA//alsE//glsA//fucO//wzc//
KdgR	xylB//narH//
KdpE	nrdD//
LacI	glpD//caiC//tyrA//
LeuO	puuC//galE//glgA//nrdB//truB//pgk//
LexA	glpQ//yqjH//ynfG//ubiA//tdh//puuD//nirB//puuC//sodB//adiA//lpxD//galK//ribA//carA//galK//metL//frdC//patD//fadA//pgi//paaC//aldA//pgi//
LldR	astE//ppsA//
LrhA	
Lrp	hcaC//garR//paaZ//puuA//ilvE//purE//entA//cysC//rfe//asnA//pflB//fucO//aroG//tktB//gadA//uxuA//argG//lsrF//rffH//glmU//bioD//rnpB//umpH//dinB//accD//allA//torC//uidA//hcaD//tpiA//frdC//guaA//tadA//hcaF//feaB//rffH//lhgO//ahpC//avtA//sdaA//
LsrR	pgaC//sbcD//purE//lysA//dhaM//
LysR	dadX//
MalI	ftnA//ulaF//
MalT	fabA//ftsI//entF//ribA//allE//glpA//
MarA	xylB//gatD//ogt//nadA//fadD//rfe//codA//pck//pgaB//purH//hcaE//sucA//dhaM//ulaG//lysC//yedX//entE//phnH//ynfF//pgm//paaG//citD//entB//recB//
MarR	
MatA	nagA//
MazE	prpC//
MazE-MazF	fucA//
McbR	
MelR	gdhA//wecB//
MetJ	recD//entH//aspA//putA//atoB//rutE//thrS//astD//lsrG//prpD//
MetR	pck//ynfH//deoA//pflB//
MhpR	fabH//hcaE//dgcC//glmU//nirD//kbl//
Mlc	sdhC//purA//dgcZ//paaZ//
MlrA	wzb//
MngR	cadA//gor//
MntR	alaS//pfkA//
ModE	gatY//leuD//fadE//idnO//recB//sgbE//rtcB//lpxC//asnB//hyaB//rutE//mhpF//malP//citX//sdhD//ttdB//gor//
MprA	tyrA//metE//glpK//
MqsA	moaA//caiB//
MraZ	sbcC//pspE//deoA//ruvA//sodB//paaE//rtcA//rbsD//folA//idnO//
MurR	pdeR//speA//fucO//
Nac	hycE//gloA//hycD//sgbU//hyi//torC//sucB//ilvD//ynfF//bioB//idnD//
NadR	ychF//fucU//ftnA//glcF//
NagC	glsA//trpC//sodB//paaG//napG//rffT//uidA//patA//acnB//lysU//allE//cysC//uxaC//fadI//torA//moeA//ydcS//gcvH//dhaL//
NanR	aroA//oxc//pheT//mpaA//fruK//sodA//
NarL	thrS//chbG//gnd//dmsA//phnG//araD//trpA//waaZ//edd//ynfG//mazG//gatY//glmS//hycG//yfdE//rtcA//umpH//cdd//murC//zwf//rffC//hcaE//fadB//argA//yeaE//citD//umpH//paaC//fadE//prpD//deoB//umuC//murF//trpE//fadJ//purF//tynA//xapA//rimK//pgpC//hcaD//
NarP	gcvH//fadD//uxuA//gabD//idnD//purL//glpA//gapA//ilvC//yfdE//ruvA//garD//hypF//mdh//gcvH//
NemR	fadB//ldtC//
NhaR	glmS//entB//glmS//hmp//adhE//
NikR	rhaD//
NimR	ulaF//
NorR	citD//
NrdR	sdhD//purD//poxB//dgcZ//
NsrR	lpd//nanE//trpC//citD//araA//nemA//sucC//lysC//hyaC//accD//hyaC//paaY//lsrG//ruvB//tdcD//citC//umuD//allB//lhgO//dinB//citF//metC//glpK//melA//glyA//rbsD//idnO//cdd//fumC//treC//glpK//asnA//pgaB//caiB//ilvA//gpmA//hcaC//tam//aldA//lacZ//
NtrC	ugpQ//aroG//glpX//yeaE//gpmA//accD//astD//acnA//ddlB//sdhD//ilvA//sbcD//paaE//hcp//sgbH//phnL//pgpC//dadX//trpB//glpD//glgB//
OmpR	avtA//sufS//mpl//gloA//pdeL//glgA//dhaM//eda//
OxyR	xylA//grxA//glnA//entF//hcaE//glpX//cdd//sucC//ftsI//wecE//hcaF//aldA//fabI//fumC//talA//argE//galE//
PaaX	murQ//aroF//lsrF//avtA//pheT//hyaA//ftsI//garR//glmS//
PdeL	lsrF//
PdhR	glpB//ycjG//ppiA//rfe//trpE//caiD//ynfF//uxaB//arsC//dapB//codA//entD//astE//ulaD//accC//dhaM//rutE//sbcD//mhpC//cysN//ndh//glpQ//caiB//wrbA//astD//
PepA	nrdE//betB//
PgrR	talA//pnp//
PhoB	phnG//fabH//murI//truB//grxA//lpxD//nanE//deoC//gatD//waaH//metC//aroF//guaA//glsA//sgbE//ldtD//bglB//dgcC//glpQ//rffH//
PhoP	sdhA//ycjG//glgB//pgm//ilvE//ilvC//dgcZ//fabH//talA//rbsD//frdA//hcp//grxA//paaJ//gor//tyrB//sodB//fbaB//moeB//dgkA//hcaD//rbsK//sucA//ccp//relA//uvrB//ruvA//ddlB//cynT//metF//lsrK//glsA//
PrpR	umuC//prpC//avtA//folE//
PspF	ilvC//
PurR	malZ//glmU//nadA//frdC//ogt//ynfF//iscS//rsmH//speA//frdA//trpE//ndh//lacA//tyrA//uidA//pgm//citC//metK//thrS//yfdE//ndh//purK//allC//ugpQ//bioA//eda//
PutA	metE//hcp//
PuuR	talA//nrdE//lyxK//poxB//edd//mraY//
QseB	
RbsR	rfe//yeaG//thrS//rffG//fdhF//ychF//
RcdA	paaG//
RclR	
RcnR	ada//
RcsAB	ychF//yeaE//sgbH//
RcsB	nrdA//ldtC//glgC//dadX//
RcsB-BglJ	uvrA//ribA//
RelB	lpxD//
RelB-RelE	aldA//
RhaR	
RhaS	rutC//psd//codA//alkB//
Rob	phr//metB//rutC//hyaC//uxaB//astD//sodA//araD//pck//ahpC//ilvE//melA//recD//rpiB//gadA//ulaG//fadH//accA//atoA//
RstA	hypF//allC//prpB//
RtcR	add//rpiB//
RutR	dgcZ//frdD//purE//hyaC//ychF//patD//sdhD//citG//citX//betA//pnp//
SdiA	
SgrR	ulaG//frdA//glgP//
SlyA	ilvG_1//gudD//hyaC//sbcC//phr//recF//hcaC//avtA//purB//
SoxR	argC//
SoxS	ulaE//sucB//uxaB//frc//astC//iscS//sodB//ruvB//astC//alaA//nfsB//prpE//fumC//prs//nanM//wecC//gdhA//glgX//ilvE//fadI//paaY//purF//murQ//citC//mazG//yqhD//
SrlR	glgP//frc//ycjG//
StpA	ynfE//ygeA//pdeR//
SutR	napH//idnD//
TdcA	ynfF//hcaD//prpE//sdhD//tdcB//
TdcR	pepD//phoA//acnB//tynA//hypB//
TorR	atoB//sgbU//nemA//ybjG//ftsI//
TreR	rpiB//frdB//
TrpR	bacA//ddlB//ygeA//sufS//aldA//nirD//sdhA//argI//malY//
TtdR	allD//caiA//
TyrR	gloA//leuD//sufS//pgk//tadA//ilvC//alaA//lhgO//rutA//
UhpA	murI//
UidR	torA//dhaL//
UlaR	rbsK//tyrA//tktB//chbF//mazG//
UvrY	carA//lsrF//
UxuR	wrbA//trpE//fucA//katG//aroF//
XapR	fucA//entF//
XylR	mpaA//rutB//ssuE//
YdeO	phoA//nanE//wecB//
YefM	fabI//
YefM-YoeB	gloA//
YeiL	
YhaJ	
YiaJ	glgP//yfdE//glcD//citC//ilvC//mhpA//
YjjQ	sdhA//napA//
YpdB	
YqhC	phnH//pncB//
YqjI	psd//
ZntR	polA//
ZraR	
Zur	malZ//
