# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	paaC//moaA//
LsrR	glgX//codA//ttdA//hycF//garR//
LysR	recB//
MalI	gnd//tnaA//
MalT	deoA//gapA//uxuB//aroL//bacA//purN//
MarA	yeaG//lacZ//tktB//arsC//ynfE//ynfE//truB//rutD//cynT//nagB//gadB//allC//frc//prpC//nfsB//aldA//uvrC//moaC//galM//pck//allA//gntK//cysJ//prpC//
MarR	
MatA	murC//
MazE	ftnA//
MazE-MazF	purM//
McbR	
MelR	leuC//fadB//
MetJ	cysG//sdaA//atoD//araA//nanM//slt//nirD//tpiA//xapA//waaZ//
MetR	carB//rtcA//paaK//galE//
MhpR	avtA//aceB//paaJ//pdeH//mhpE//umuD//
Mlc	lsrG//rbsK//malY//glpC//
MlrA	guaB//
MngR	glxR//pgk//
MntR	ilvC//entC//
ModE	eno//uxaA//patA//gntK//dhaK//xylB//glmU//galM//lysC//prpE//adhE//glpK//gntK//lsrF//trpD//malS//thrS//
MprA	gatY//rbsK//fumB//
MqsA	trpE//aspC//
MraZ	aroH//pncB//prpD//cysK//purD//alaS//talA//pgk//hcaE//nanA//
MurR	uidA//rutE//idnO//
Nac	murQ//tpiA//recB//nanM//avtA//cysN//speA//fruK//puuE//ppiA//pheS//
NadR	frdD//yfdE//acnB//paaC//
NagC	gatZ//carB//argI//mhpA//argH//nirB//adhE//frc//sbcD//folA//ribA//frdB//citD//sodA//metC//ampC//moaD//argD//galM//
NanR	gatD//lpxC//leuB//astB//sbcD//alkB//
NarL	rutE//lpxD//ssuD//polB//ydcS//betB//fucA//malZ//sodB//umuC//citE//phnO//pepD//mltF//tdcE//aroG//fadA//paaF//cadA//moaA//fabB//speB//garR//metE//mnmG//ttdB//cysH//citC//rpiB//lacA//mhpA//hcaC//aroA//ung//nrdA//pgi//mraY//rtcB//ftsI//gdhA//tdcE//
NarP	idnK//citD//fucK//nrfA//nrdA//garR//cadA//yiaK//murD//fruK//bioC//rutB//nfsB//gpmM//allC//
NemR	uxaB//yedX//
NhaR	mdh//fbaA//purN//fadM//atoD//
NikR	caiD//
NimR	nfsB//
NorR	recB//
NrdR	uvrA//frc//recB//deoD//
NsrR	cadA//nanA//katE//sbcD//argA//aroH//lldD//ribA//hycD//kbaZ//entE//uxuB//argD//hycF//ulaG//pck//deoC//guaB//fabG//lpd//lsrG//lldD//glgP//udp//dhaM//uxuA//puuD//ada//betB//glk//treC//leuB//pagP//dgcN//ugpQ//folA//ugpQ//pgm//sdaA//pyrD//
NtrC	aldA//accD//xapA//metC//hycC//ung//prpE//ttdB//amn//nanM//yiaK//hyi//glpQ//kbaY//cynS//ada//tdh//ilvE//leuD//sgbU//yeaG//
OmpR	ftsI//ruvB//argF//gcl//sucB//ugpQ//garK//mazG//
OxyR	eno//gdhA//ruvA//allA//wzc//dadX//dapB//sucD//gnd//epd//cysM//tadA//pck//rhaD//cysM//ruvA//aceE//
PaaX	ruvA//purB//glxK//aceA//prpB//nanE//gor//cysG//ogt//
PdeL	tdcB//
PdhR	pgaB//zwf//fbaA//metE//dmsA//entC//cysE//gcl//tpiA//gabT//rutB//trpC//dgcN//ttdA//moaD//ftsI//nfsB//rhaD//glcB//dhaL//nanA//pgaB//purN//pyrD//tynA//
PepA	cysD//torC//
PgrR	psd//metH//
PhoB	alkA//eda//ccp//paaE//rnpB//wzc//patD//deoB//fabD//hcaF//mnmG//citD//wzb//adhE//glpQ//ilvM//dgcN//mnmG//iscS//argA//
PhoP	frc//yfdE//uxuB//entF//moeB//ccp//fabG//astB//kbl//glgC//rffM//lpd//puuB//umpH//eno//fabH//malY//truB//astB//uxuB//tdh//patA//dgcZ//glcF//wrbA//aroH//glk//hycB//wecC//argH//pgk//gadB//
PrpR	guaB//alaS//nrdD//pepD//
PspF	araB//
PurR	codA//pgk//kbaY//gutQ//atoA//adiA//fucK//dmsA//umuD//folA//fadM//paaJ//glgB//ahpC//phnM//cynT//cueO//fadI//nrfD//wecB//waaZ//phnL//nrdD//appA//hyaB//tynA//
PutA	cysC//puuB//
PuuR	luxS//rtcA//nanM//araB//srkA//glgA//
QseB	
RbsR	poxB//murC//gcl//bglB//purB//ybjG//
RcdA	glpC//
RclR	
RcnR	betB//
RcsAB	malZ//tdcD//ndh//
RcsB	rffG//relA//icd//gor//
RcsB-BglJ	pncB//dhaM//
RelB	mraY//
RelB-RelE	fabB//
RhaR	
RhaS	metB//idnK//accC//dapD//
Rob	relA//glgP//deoA//allA//alaC//lsrK//galM//fucK//folA//cysJ//gatD//hmp//frdD//moaC//paaE//ccp//tpiA//polB//katG//
RstA	mhpD//trpA//rnpB//
RtcR	lpxA//prpC//
RutR	tyrB//glmU//lsrF//mhpE//pdeL//tadA//alaA//pspE//ampC//uxuA//tyrB//
SdiA	
SgrR	sucB//aldA//paaE//
SlyA	glpA//sodA//sgbU//glgB//nrdA//hemL//murG//murD//hcp//
SoxR	dgcZ//
SoxS	cysK//fucA//mnmG//fadB//aroG//ribA//glgP//phnG//metE//pdeR//ubiX//ung//hypF//napH//ppsA//pyrD//moeB//cyoE//paaK//caiD//ogt//speA//gatZ//phnO//ppc//mtlD//
SrlR	puuE//atoB//metF//
StpA	purN//dinB//aspC//
SutR	nadA//kbaY//
TdcA	purL//rbsK//puuA//ilvD//ilvG_1//
TdcR	dgkA//kbaY//hycD//malP//ssuD//
TorR	gpmM//murF//sgbE//serA//dgcC//
TreR	chbG//yeaG//
TrpR	napG//allE//rffG//nrfC//ynfF//caiD//dapB//accA//lpxD//
TtdR	rsmH//betA//
TyrR	ycjG//paaA//hyaB//puuE//purK//umpH//hycE//sdhC//sdhB//
UhpA	caiD//
UidR	asnA//astE//
UlaR	ulaD//polA//entC//aspC//ilvC//
UvrY	ugpQ//sodA//
UxuR	uxaA//dinB//aroA//ycjG//phoA//
XapR	mhpC//trpB//
XylR	lpd//purB//leuD//
YdeO	kbl//glnA//ygeA//
YefM	dgcZ//
YefM-YoeB	mhpE//
YeiL	
YhaJ	
YiaJ	napG//mhpC//rpiB//fbaB//citE//hycE//
YjjQ	alkB//dkgB//
YpdB	
YqhC	rsmH//citD//
YqjI	entE//
ZntR	ampC//
ZraR	
Zur	dmsA//
