# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	uvrC//galM//
LexA	oxc//bioD//avtA//purN//ribA//fabI//gor//pdeR//paaA//torA//xylA//argC//mhpF//ubiC//sdhD//glcD//ubiX//sdhD//moeA//lsrK//rbsD//metK//lysU//
LldR	rutE//paaG//
LrhA	
Lrp	idnD//ppiA//sdhA//speB//umpH//ppiA//fabB//purF//atoA//adiA//sbcD//allC//umuC//tynA//bioD//bioC//folE//phnJ//fucA//tyrA//glnA//entF//moaC//uxuA//eda//metA//rtcB//yedX//lacZ//fabG//yfdE//aceB//eno//fadH//lsrK//gcl//metH//waaY//glpB//dkgA//
LsrR	rimK//allE//purK//aceA//aceF//
LysR	trpB//
MalI	asnB//lldD//
MalT	dkgA//ada//chbG//sdhC//dmsC//idnK//
MarA	deoA//moaE//dinB//gabD//napA//murE//hypF//sodB//uxaB//waaH//srlD//acnB//mltF//nanA//rnpB//metC//galM//cysK//cysG//galM//yeaE//frc//metK//ldtC//
MarR	
MatA	fruK//
MazE	deoA//
MazE-MazF	mpl//
McbR	
MelR	malZ//dmsB//
MetJ	metA//kbl//nagB//metB//add//fucA//hcaF//glgX//accC//sgbU//
MetR	glpA//dsdA//uvrC//rnpB//
MhpR	fbaB//oxc//cysK//astD//murD//wzc//
Mlc	pgk//gatD//bioF//guaB//
MlrA	aldA//
MngR	ycjG//cysG//
MntR	ulaF//caiD//
ModE	sdhC//ynfF//hcaE//pheT//glcE//prpB//nfsB//ppiA//glyA//mhpA//zwf//yfdE//pgaC//galM//bioD//lhgO//trpA//
MprA	metH//glnA//rtcA//
MqsA	pykF//xapA//
MraZ	prpD//atoA//lsrG//napG//pgaB//rffT//mraY//caiC//frdB//betA//
MurR	paaI//gatY//mhpB//
Nac	yeaE//murI//luxS//gpmM//hyaB//hemH//bioD//glnA//mraY//napG//pgi//
NadR	argD//dgcC//phnI//rhaD//
NagC	paaY//sucD//glpB//hcaD//alaC//nrfD//hcaD//malZ//glk//serA//fucA//ssuE//glpB//glpB//ruvA//dhaK//trpB//prpD//adiA//
NanR	gcvH//leuA//rnpB//fbaB//hcaD//ubiA//
NarL	cysD//speA//leuB//pgaB//dgkA//srlD//caiD//hycD//nagB//ilvI//metF//aroG//bacA//entE//pck//ndh//fadA//uvrB//umpH//glpB//bioB//hycB//dgcZ//ilvG_1//amn//paaZ//frdA//allD//codA//avtA//citX//slt//dgcN//nfsA//alkA//ilvA//fabZ//sucD//ychF//caiD//entA//
NarP	hycD//phnJ//rutC//glpC//puuC//leuD//paaE//astE//adiA//hcaD//glnA//psd//glyA//glpK//mazG//
NemR	sodB//lsrF//
NhaR	sodB//glpD//rutE//prpE//tdcB//
NikR	fdhF//
NimR	fadA//
NorR	gdhA//
NrdR	moeB//sodA//allE//aspC//
NsrR	pykF//alkB//rffT//ppc//ogt//dapB//idnK//gutQ//uxuB//polB//lldD//atoA//tdcB//ulaE//astE//ampC//sdhD//trpB//uxaA//pgm//paaK//fucO//entF//udp//mhpF//speB//paaJ//narI//arsC//sodB//uxuA//pepD//alkB//leuB//fadH//caiB//adiA//paaZ//leuB//citD//
NtrC	fes//phnN//fucI//nfsA//caiC//phnO//gcl//paaG//relA//mhpF//luxS//pheS//paaA//oxc//sucC//ldtB//entB//ppiA//citC//hemH//recF//
OmpR	dhaM//allB//kbl//fabA//argC//entF//dacC//leuA//
OxyR	tdcG//uvrB//phnI//nanM//nrdE//aroH//bioB//pncB//moeB//mhpB//uidA//patD//uvrC//gcvT//deoC//garL//avtA//
PaaX	dacC//nagA//fruK//puuA//garL//sdaA//glpD//feaB//relA//
PdeL	caiB//
PdhR	eno//nrfC//ugpQ//lacA//hemL//lpd//acnA//xylA//truB//hyaB//nrdF//tnaA//ndh//rffC//narI//deoA//metF//alaA//kbaY//malZ//aceA//sdhD//argD//dadA//moaD//
PepA	garR//relA//
PgrR	xylB//fadI//
PhoB	mraY//lpxD//dgcZ//napB//wrbA//moaA//glpD//malP//guaA//nrdF//paaK//gabD//phoA//puuB//ssuE//hemL//mazG//puuC//purH//umuD//
PhoP	add//dapD//eda//trpE//pykF//ruvB//argH//nemA//folE//leuC//gcvP//nrfD//paaJ//rutE//uvrA//cysH//uvrA//add//hyaC//gnd//hemH//nrfA//gabT//grxA//add//frc//bioF//tdh//pagP//bioF//sbcD//malY//
PrpR	entH//cysG//murD//allE//
PspF	malQ//
PurR	rutB//fadA//ddlB//purC//bglB//pheT//torC//purM//polB//dapB//aceF//ilvA//napG//glk//pdeH//ada//rffT//mhpA//paaJ//dacC//frdD//torA//pagP//alkA//dapD//argG//
PutA	gatZ//dsdA//
PuuR	glxK//folA//putA//fabZ//fadB//astD//
QseB	
RbsR	pdeR//galM//pdeL//puuA//dmsA//argE//
RcdA	treC//
RclR	
RcnR	mhpF//
RcsAB	cysK//polB//hycF//
RcsB	napG//bglB//sdhB//allA//
RcsB-BglJ	paaZ//cueO//
RelB	puuB//
RelB-RelE	nrfC//
RhaR	
RhaS	sdhA//alkB//tnaA//pck//
Rob	codA//uxuA//araD//folE//fadJ//puuB//argC//asnA//fadI//patA//frdA//adhE//purH//gdhA//ttdA//ulaF//malQ//cysH//ung//
RstA	ubiC//fbaB//pnp//
RtcR	pgpC//deoD//
RutR	truB//wecB//eda//ung//yfdE//feaB//argH//sufS//aceB//fabI//dmsC//
SdiA	
SgrR	hcp//citD//cyoE//
SlyA	astB//gcvH//purF//glpD//ldtC//adiA//ttdB//ppsA//citX//
SoxR	fadM//
SoxS	speB//hemL//bioA//sucC//hypF//alkA//waaZ//luxS//hyaB//rpiB//allA//hycG//metE//dgcN//phnP//cysI//entB//sucB//yiaK//ssuE//hcaB//carA//atoD//bioA//fadM//pgi//
SrlR	tyrA//fucI//argF//
StpA	katG//phnJ//ssuD//
SutR	aspA//dapB//
TdcA	narG//ruvA//fucK//gabD//napG//
TdcR	pagP//argC//mhpA//frc//entB//
TorR	rbsK//entA//aceA//wzb//phnO//
TreR	hcp//fbaA//
TrpR	ppsA//paaF//ribA//accA//glcB//tyrB//tyrB//citE//metC//
TtdR	yiaK//moaA//
TyrR	gnd//ilvC//yqhD//rffC//pheS//glcF//araB//phnI//serC//
UhpA	alaC//
UidR	cueO//aspA//
UlaR	puuA//argE//trpC//pyrC//mngB//
UvrY	idnD//dkgA//
UxuR	lpd//patD//dmsA//talA//moaA//
XapR	hycD//gcl//
XylR	deoD//ldtB//glnA//
YdeO	glmU//pdeL//katE//
YefM	gcvH//
YefM-YoeB	cynS//
YeiL	
YhaJ	
YiaJ	hemL//sucD//bioC//sucC//ampC//alkB//
YjjQ	fabH//glgC//
YpdB	
YqhC	cysD//eda//
YqjI	nanM//
ZntR	pheT//
ZraR	
Zur	sgbE//
