# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	speA//pheT//
PuuR	entF//hycG//ilvG_1//fabZ//phnL//lpxA//
QseB	
RbsR	katE//yqjH//phr//fucA//dapB//malZ//
RcdA	hcp//
RclR	
RcnR	umuC//
RcsAB	uxaC//ruvB//cysE//
RcsB	hcaD//nadA//metA//garK//
RcsB-BglJ	rffG//nrdB//
RelB	cueO//
RelB-RelE	rffC//
RhaR	
RhaS	fabZ//alaS//fadM//murI//
Rob	ruvA//bglB//dinB//betA//guaA//entH//ycjG//gadB//ssuD//trpE//ilvA//dgcC//betA//katG//metA//gltD//alaC//glpD//mpaA//
RstA	mhpE//gadA//fadA//
RtcR	ygeA//cysK//
RutR	ilvC//speB//murG//metH//patA//ahpF//xapA//cysK//tktB//nagA//fabZ//
SdiA	
SgrR	gcvP//napA//paaH//
SlyA	aceB//accC//fadD//amn//fau//arsC//citE//dmsA//dhaM//
SoxR	galM//
SoxS	pheS//hycE//fbaA//metC//cadA//hcaF//paaB//uxaA//glxK//ynfG//aroF//aspC//accD//cysM//folA//carB//kbaY//aroF//melA//serC//pspE//gutQ//argF//paaF//polA//rnpB//
SrlR	tdcD//patD//ttdB//
StpA	ddlB//nemA//phnJ//
SutR	prpC//glcF//
TdcA	talA//epd//glpC//tpiA//talA//
TdcR	puuB//hcaF//leuD//katG//nirB//
TorR	patD//argI//lpd//glgC//ynfG//
TreR	avtA//gnd//
TrpR	gatD//caiB//nirD//leuD//glpC//grxA//entC//cadA//yeaG//
TtdR	pdeH//lsrF//
TyrR	astA//garL//argA//tynA//argC//deoD//chbF//pck//aroH//
UhpA	gabD//
UidR	ssuE//patA//
UlaR	gudD//rffH//alsE//sodA//cadA//
UvrY	frdD//rhaD//
UxuR	purN//glk//deoA//sucC//allD//
XapR	metH//folE//
XylR	rhaB//leuB//torC//
YdeO	tyrA//mnmG//aspA//
YefM	uxuB//
YefM-YoeB	glsA//
YeiL	
YhaJ	
YiaJ	aceF//eda//uvrA//ynfF//glcD//tdh//
YjjQ	accA//aroG//
YpdB	
YqhC	allE//nfsB//
YqjI	rsmH//
ZntR	cysE//
ZraR	
Zur	nrdD//
