# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ampC//rutB//
NtrC	metE//moaA//ssuD//paaJ//entA//metF//yeaG//deoD//leuA//lldD//acnA//puuC//ada//fabD//dhaM//nrdA//folA//malS//tadA//pyrD//pgaB//
OmpR	fucK//gor//lacZ//purF//metC//dgcZ//treC//adhE//
OxyR	garR//hyaA//dsdA//add//rimK//cysC//pheT//kbaZ//ubiX//ilvE//oxc//udp//dhaK//moaD//ynfH//metE//lysU//
PaaX	feaB//murC//argE//waaH//leuC//psd//lpd//hypF//acnA//
PdeL	aroF//
PdhR	lacZ//icd//wzb//ynfF//cynT//mhpD//pnp//fucA//waaY//glxK//gabT//paaY//paaG//slt//ldtC//pnp//gcvH//hycG//idnK//glcF//phnG//alsE//sucB//napG//ilvE//
PepA	deoD//dsdA//
PgrR	gatD//hyaB//
PhoB	ftsI//patA//moaC//atoB//ssuD//narG//mtlD//phnL//acnB//trpA//cysN//puuE//codA//fucO//moeB//wecE//metE//murE//kbaZ//dadX//
PhoP	fadI//glcE//hyaB//pgaB//alkB//fruK//gutQ//idnK//rffG//ppc//fadM//guaB//ilvE//glk//ruvB//hyaC//glgP//pagP//lpxD//tdcE//yeaE//pnp//patD//hycB//patD//oxc//glsA//waaY//ftnA//argA//gutQ//glxR//
PrpR	fau//nrdD//murI//nrdE//
PspF	dgcN//
PurR	murI//hmp//narG//ndh//malY//rutE//aceB//avtA//tdcE//dhaK//murC//dadX//ydcS//glgX//poxB//pdeR//xapA//dmsA//pagP//ilvM//acnA//rffT//betB//atoA//trpD//fucK//
PutA	recD//aceE//
PuuR	purA//argC//truB//uvrA//phnM//lyxK//
QseB	
RbsR	paaC//rutE//sucD//add//galM//deoB//
RcdA	nrfC//
RclR	
RcnR	rhaD//
RcsAB	rutD//kbaZ//moaE//
RcsB	ribA//speA//polB//prpD//
RcsB-BglJ	nrfD//uxuB//
RelB	tyrA//
RelB-RelE	cysJ//
RhaR	
RhaS	cysM//aroL//nanM//puuE//
Rob	dsdA//prpC//leuB//argA//cynS//cdd//nrdF//dacC//glmU//hcaB//moaA//paaH//ampC//umuC//patD//entE//prpC//arsC//gatZ//
RstA	puuD//guaB//bioA//
RtcR	arsC//hemH//
RutR	glpB//grxA//paaI//moaD//wecC//sufS//argH//ppiA//feaB//ldtD//murE//
SdiA	
SgrR	rutA//aceB//nagA//
SlyA	aceA//nagB//umpH//ilvM//sucA//garR//metH//lysC//acnB//
SoxR	metF//
SoxS	garL//fadD//recD//citG//glpA//ycjG//glgA//waaY//entH//tyrB//uvrA//ddlB//bioB//aroA//pheS//ydcS//grxA//astE//moaC//gutQ//cysN//guaA//icd//glyA//hycF//purL//
SrlR	phoA//ldtC//treC//
StpA	araB//aroH//eno//
SutR	nadB//sgbE//
TdcA	dmsA//sgbU//dapB//mhpF//serA//
TdcR	bacA//sdhB//cadA//add//rhaB//
TorR	gatZ//sucC//fabA//pgi//glxK//
TreR	lacZ//dadA//
TrpR	accA//tdcG//ascB//waaH//gutQ//fadE//dinB//ilvC//avtA//
TtdR	yeaG//hcaB//
TyrR	purK//avtA//galE//fabZ//glxK//deoC//paaC//lsrG//tadA//
UhpA	pheS//
UidR	sodA//alaS//
UlaR	gatD//dhaK//pagP//iscS//asnA//
UvrY	astE//purC//
UxuR	argF//katE//ilvG_1//glnA//murG//
XapR	eda//trpA//
XylR	glpQ//mraY//pflB//
YdeO	glgA//pagP//glmU//
YefM	frdC//
YefM-YoeB	yeaE//
YeiL	
YhaJ	
YiaJ	glpK//dhaL//trpB//gatY//rffM//lldD//
YjjQ	alaA//ssuE//
YpdB	
YqhC	avtA//fucO//
YqjI	phnO//
ZntR	phnH//
ZraR	
Zur	nfsB//
