# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gadB//amn//
NsrR	sucB//rnpB//galE//rbsD//cynS//amn//fbaB//aroA//cynT//nanK//bioB//entF//ulaF//sdhC//ycjG//aldA//ubiA//rutD//fumC//sdhC//alkB//paaY//fes//cysD//betB//galM//dgcN//poxB//srlD//rbsD//truB//murF//hypB//polB//tdcG//metF//argD//idnK//asnB//hmp//
NtrC	frdB//gloA//dapD//metB//waaZ//aroA//pnp//pgi//murF//glcB//srkA//argD//cysI//hycG//lysA//trpB//citC//cysI//dacC//phnG//entF//
OmpR	sgbU//allC//tynA//nanK//nrdE//ampC//pflB//lpxD//
OxyR	alsE//rffT//araB//tdh//gdhA//amn//purC//thrS//cysE//ung//tdcG//astA//nanK//pdeR//gcl//caiC//citX//
PaaX	ccp//ahpC//garL//folA//mpl//ilvD//argI//ftsI//bglB//
PdeL	guaB//
PdhR	fadM//fadI//dmsB//phnJ//hycG//pgm//fadM//ilvE//glgC//pheS//eno//phnL//hycF//paaH//fadJ//araD//ccp//ppc//oxc//dgcN//tyrA//argF//fabI//serC//lpxC//
PepA	hyaA//pykF//
PgrR	moeB//srkA//
PhoB	tdh//kbl//napB//srlD//ttdB//trpD//gdhA//dmsB//nirD//murI//gltB//gltB//fabB//cysI//kbaY//aroF//wecB//glgX//idnO//garR//
PhoP	feaB//carB//lldD//allA//trpA//ruvA//trpD//lldD//gnd//tdcG//gapA//tnaA//speA//pdeR//paaJ//xylA//ppsA//fadH//glcD//mhpE//pgaD//dgcZ//hcaE//poxB//purB//paaB//argD//gntK//nanA//rutB//oxc//lpd//
PrpR	rutE//waaH//fruK//iscS//
PspF	gcl//
PurR	ruvA//astE//citC//ychF//moaA//tdcD//fadA//araD//fruK//pdeH//tdh//hyaA//argH//wzb//relA//waaY//pck//allD//trpE//pgaD//gabT//argE//sucD//deoB//glpK//glyA//
PutA	yqjH//mazG//
PuuR	gntK//tauD//accA//citG//ynfG//kbaZ//
QseB	
RbsR	rpiB//ascB//gloA//glgX//moaA//ahpF//
RcdA	epd//
RclR	
RcnR	pagP//
RcsAB	phr//sucB//katG//
RcsB	glgB//metL//serC//glpD//
RcsB-BglJ	waaH//pnp//
RelB	paaI//
RelB-RelE	ilvD//
RhaR	
RhaS	recB//glcF//rutB//purK//
Rob	feaB//psd//cadA//nanK//dgkA//caiB//sdhB//paaA//phnJ//fabG//mnmG//lpxC//uvrA//astD//fabI//srlD//narG//truB//nemA//
RstA	gcvT//betA//gutQ//
RtcR	fdhF//hypB//
RutR	dgkA//gatD//glxR//talA//glcE//mhpD//uxaC//tktB//serC//lsrK//garK//
SdiA	
SgrR	garD//paaZ//ftnA//
SlyA	psd//allB//tdcD//nrdA//phnO//ybjG//cysI//alkA//moaE//
SoxR	ychF//
SoxS	fabG//rhaB//paaH//tdcD//pyrD//fumB//nrfA//xapA//moeB//uvrC//sucB//ftnA//dgcC//waaZ//lysA//fadE//torA//fabI//lyxK//cysJ//paaZ//accA//idnK//ruvA//dinB//wecE//
SrlR	napB//speA//sucA//
StpA	garL//argD//ilvC//
SutR	paaY//ccp//
TdcA	tdcG//fucA//tdcB//tadA//pagP//
TdcR	aroH//gcl//alaS//gnd//aroA//
TorR	carA//gadB//adiA//nirD//hemH//
TreR	rbsD//fadM//
TrpR	pagP//cysN//ftnA//rfe//garR//glcD//pgpC//dgcN//recD//
TtdR	phnL//zwf//
TyrR	atoA//xylB//feaB//glyA//mraY//ynfF//gatZ//phnH//mltF//
UhpA	uxaB//
UidR	alsE//sucA//
UlaR	pspE//entE//hyaB//recF//entD//
UvrY	kbl//astC//
UxuR	rffM//aspA//rffT//betB//nirB//
XapR	serC//ilvE//
XylR	guaA//ppc//citD//
YdeO	ldtD//ndh//dmsB//
YefM	relA//
YefM-YoeB	fadJ//
YeiL	
YhaJ	
YiaJ	puuE//dinB//narG//eda//deoC//ubiX//
YjjQ	fucA//prpD//
YpdB	
YqhC	icd//tyrB//
YqjI	ubiC//
ZntR	chbF//
ZraR	
Zur	rhaD//
