# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	avtA//ftnA//
DcuR	argI//thrS//ssuD//guaA//
DeoR	gutQ//fadB//pgk//mtlD//citX//atoB//
DhaR	glsA//
DicA	
DinJ-YafQ	purH//
DnaA	gatZ//waaZ//kbaY//kbl//rffH//umuD//
DpiA	mhpB//tyrB//gudD//hycG//entE//
DsdC	slt//prs//
EbgR	
EnvR	zwf//sbcC//
EnvY	aroF//paaG//
EvgA	metF//dmsA//dadA//yedX//caiA//polB//
ExuR	caiC//pheS//idnO//appA//psd//ynfH//
FabR	phnG//entH//tehB//
FadR	prpB//serA//paaJ//glmS//cdd//napA//yqhD//sgbU//nirB//dmsC//hyaB//gcvP//paaG//astC//argH//metF//eda//dadA//murE//
FeaR	hcp//ribA//
FhlA	wzb//lsrG//lpxA//dmsB//dapB//rutA//ccp//folE//
FlhDC	mhpE//nrdE//fdhF//murQ//fadE//argI//pheS//entB//hyaA//mazG//leuA//pfkA//appA//malS//
FliZ	rtcB//astE//lsrF//umuD//caiD//
FucR	fadA//pepD//allE//uvrC//ychF//lacA//
Fur	galT//ulaD//citG//kbaY//aceB//tpiA//fabZ//metE//ydcS//mhpF//purF//putA//rnpB//moaC//narI//glyA//sdhD//fadA//glpC//ybjG//psd//talA//dadA//garK//carB//ybjG//nfsB//argF//astE//rffC//tnaA//tdcD//entF//rutC//rimK//fau//tauD//lacZ//rutE//nanE//leuA//serC//accC//sodA//paaY//yeaE//malP//glxK//accC//leuA//nfsA//idnO//entA//napA//phnM//garD//tehB//pdeL//tdcD//katE//bioB//wzb//
GadE	cynS//wzc//nagA//wecB//ynfH//purF//uvrC//aspA//dsdA//garD//
GadE-RcsB	fucU//epd//prpC//dinB//kbaY//
GadW	galM//avtA//frdB//glgB//
GadX	tehB//dapB//slt//nrfC//lacZ//prpB//gatZ//cysC//mtlD//nadA//nadB//rutC//purM//
GalR	fabA//ugpQ//ssuE//metK//phnJ//entE//
GalS	aroH//feaB//gabT//thrS//ydcS//sucC//
GatR	murI//fadA//murQ//
GcvA	gnd//guaB//aspC//
GlcC	mhpA//ilvC//astE//
GlpR	recF//eda//xapA//carB//tynA//chbF//fabI//
GlrR	
GntR	dkgA//iscS//appA//sdhB//malZ//glsA//asnB//gatZ//bioC//
GutM	pgm//betB//malZ//
HU	gatY//speA//tdcG//astC//pheS//caiD//yedX//
HcaR	fabD//guaB//
HdfR	
HigA	wecC//
HigB-HigA	ilvD//
HipAB	entE//aldA//
HipB	hycC//metE//xylA//
HprR	frdD//nrdA//ilvM//argA//
HyfR	glcF//
HypT	murF//hemL//deoC//gntK//phnH//fabG//speB//
IclR	dgcZ//xapA//cysD//
IdnR	fruK//talA//gltD//fadB//malS//gatY//
IlvY	wrbA//
IscR	ppc//hcaD//paaF//murE//tdcD//asnA//dgkA//ampC//
KdgR	acnB//treC//
KdpE	gdhA//
LacI	argG//phnL//pheS//
LeuO	uxaC//ldtD//astD//eda//sdhA//ugpQ//
LexA	ftnA//ilvG_1//cueO//nrfC//ybjG//tadA//gudD//ynfG//prpE//rffM//rnpB//ubiA//lpxD//pgaC//gcvH//hycF//fumC//cysG//paaK//umuC//mpl//fadA//prpD//
LldR	pepD//dgkA//
LrhA	
Lrp	dkgB//ilvE//guaB//pheS//murF//fucK//idnD//murC//xylA//murG//argC//phnJ//cysN//murI//dkgA//luxS//pspE//kbaZ//gudD//argC//rutE//glpC//dmsB//purM//mdh//tynA//caiA//nrfD//ahpF//dapD//phnG//betB//icd//eda//adiA//dkgB//trpC//lhgO//epd//hypF//
LsrR	pdeR//murF//entB//ampC//narI//
LysR	malY//
MalI	lhgO//allD//
MalT	relA//entB//relA//cueO//hyi//rhaB//
MarA	relA//ilvA//ampC//malP//cysI//xylA//ugpQ//metB//ilvI//thrS//malS//bioB//tauD//cysE//lpxA//epd//malQ//fadI//mhpE//mtlD//leuC//hcp//ogt//waaH//
MarR	
MatA	rimK//
MazE	hyaC//
MazE-MazF	ilvI//
McbR	
MelR	fucO//leuA//
MetJ	gpmA//glk//deoB//kbaZ//dadA//galM//citD//gadA//ldtD//frdB//
MetR	paaB//tnaA//acnA//gatD//
MhpR	deoC//ogt//murC//gatZ//leuB//frdD//
Mlc	wzc//rffM//pgaC//mdh//
MlrA	murI//
MngR	arsC//aceB//
MntR	speA//torA//
ModE	aspC//gutQ//glsA//gltD//purL//araA//rnpB//rbsK//alkB//fbaA//betA//bglB//ruvB//fbaB//recB//gcl//deoC//
MprA	alkB//galM//cadA//
MqsA	fadH//speA//
MraZ	aspC//purF//nirD//aspC//treC//ung//uxuA//rutD//bioA//glgP//
MurR	entC//ppsA//katG//
Nac	ahpF//gpmM//lysA//yedX//ulaF//fadE//aceE//caiD//caiB//iscS//trpC//
NadR	pepD//mngB//rpiB//glxK//
NagC	ppiA//ychF//rutB//ilvE//ydcS//prs//allA//dmsC//garR//caiB//rutB//tauD//gudD//rbsK//allD//garD//aroA//sdhD//glpA//
NanR	pck//gdhA//cysM//araA//rffT//eno//
NarL	trpC//sufS//bioB//cysK//treC//treC//uxuA//nfsB//aroL//nadA//rbsD//moaC//pgaB//phnG//tauD//rffH//purH//polB//speA//gltB//nrdE//hypB//ynfF//cysK//torC//mngB//cysI//wecC//kbaZ//aroH//yeaE//mpaA//acnA//fabI//glmU//gcvT//sdaA//paaZ//alsE//yqhD//ugpQ//
NarP	trpE//moaE//lsrK//pgpC//murE//carB//moaD//glpC//allC//pgi//deoC//dsdA//araB//paaE//entF//
NemR	nfsA//paaB//
NhaR	lysC//allA//paaC//moaE//mltF//
NikR	rbsD//
NimR	aspA//
NorR	sgbU//
NrdR	garD//wecE//purL//dsdA//
NsrR	gloA//allE//glgC//prpB//ccp//fumC//fadE//aspC//lysA//ilvI//murG//caiB//tyrB//puuC//fadB//serC//entB//yfdE//argD//thrS//ilvA//dapB//fabZ//entD//malZ//glgX//mpl//pgaD//gltD//cysH//bioB//gatZ//alaS//entD//alkA//dhaM//ftsI//recF//purF//dhaL//
NtrC	mdh//mpaA//hemH//fucA//mpl//entB//ssuD//tdh//cysI//polB//paaE//tynA//metB//nanA//pyrC//nfsA//mhpD//fadM//dadX//aceB//fabG//
OmpR	hycC//murQ//alsE//hycF//lsrF//lsrF//lpd//paaC//
OxyR	cysE//galT//tdcE//glpD//ftsI//lpxA//gor//polA//nanE//appA//tyrB//pagP//caiA//yqhD//glnA//yedX//bioD//
PaaX	sucB//trpE//aroL//rffC//mpl//trpA//allC//nanE//allC//
PdeL	rutB//
PdhR	avtA//rtcB//deoD//sbcD//fadJ//rffG//metL//avtA//nrdF//cynT//ubiC//prpC//ynfG//lysC//phnM//dinB//glyA//katG//murF//thrS//uxaB//carA//chbF//carA//aroG//
PepA	yqjH//accD//
PgrR	gadA//fabA//
PhoB	slt//phnH//galE//mhpC//pflB//rhaD//deoB//mhpC//allE//cysH//garD//luxS//lacZ//argG//leuD//gpmM//rtcB//cysJ//gatZ//codA//
PhoP	idnD//phnH//idnD//phnH//wrbA//fadJ//malZ//purF//ampC//katE//hycE//lpxA//lysC//ttdA//pgpC//glxK//frdA//nadB//mhpD//asnA//mraY//tdh//wzb//tdh//lysA//glgP//yeaE//gntK//nrfD//ascB//moaC//aroF//
PrpR	kbaZ//malP//gadA//tnaA//
PspF	pdeR//
PurR	tpiA//glgB//rffM//gloA//ulaG//rffH//nrdD//araA//codA//serC//ftnA//uxaC//nanA//hyaB//argC//recF//citF//trpB//ruvA//purE//fes//glpB//glcB//ydcS//deoA//allA//
PutA	ycjG//mnmG//
PuuR	cysG//puuA//yiaK//ccp//sodB//melA//
QseB	
RbsR	patD//uxaA//fucI//hyi//yiaK//citD//
RcdA	ndh//
RclR	
RcnR	ilvG_1//
RcsAB	yqhD//idnK//gatD//
RcsB	hcaB//hcaE//hycC//entD//
RcsB-BglJ	yiaK//ruvB//
RelB	lldD//
RelB-RelE	caiA//
RhaR	
RhaS	mdh//tynA//ftnA//ruvB//
Rob	moeA//amn//metA//phnL//malS//prpE//argH//lacA//puuA//xylA//grxA//aroF//betA//deoC//tnaA//glgC//gudD//poxB//allC//
RstA	aroG//gatZ//purC//
RtcR	frdB//aroA//
RutR	glmS//recF//malS//metL//argD//metB//gpmA//rffM//pdeL//appA//aceE//
SdiA	
SgrR	murD//mhpE//sbcC//
SlyA	murE//alsE//paaY//lpxC//fabB//caiC//ybjG//phnG//ftnA//
SoxR	alaC//
SoxS	napH//xylA//ruvB//argG//gapA//astD//gadB//ogt//phnM//mltF//dapB//sucB//chbG//aldA//gpmM//feaB//napG//xylB//gpmA//pfkA//waaH//cysH//allD//sodA//sdhD//dgkA//
SrlR	sucB//cysE//tdcE//
StpA	lysU//malZ//rffH//
SutR	nrfC//cdd//
TdcA	adhE//alaS//cysH//trpA//narG//
TdcR	astD//purA//metK//citD//gcvT//
TorR	hcaC//adiA//ribA//tyrB//aceB//
TreR	gadB//ribA//
TrpR	hycF//trpA//talA//ilvI//pheS//phnO//murQ//gcl//cysJ//
TtdR	phnH//tnaA//
TyrR	metH//hycE//phnO//speB//ada//hyaA//ppiA//cysJ//alkA//
UhpA	dapD//
UidR	entC//murQ//
UlaR	waaY//folE//rimK//kbaZ//ung//
UvrY	napB//fucK//
UxuR	gcvH//trpD//frdD//paaH//cysH//
XapR	dgcC//bioA//
XylR	yfdE//uvrB//kbl//
YdeO	recD//phnH//ribA//
YefM	dinB//
YefM-YoeB	lacA//
YeiL	
YhaJ	
YiaJ	tdcD//allB//fabB//lacZ//glk//paaJ//
YjjQ	lysA//gabT//
YpdB	
YqhC	nanE//lsrG//
YqjI	lldD//
ZntR	gatY//
ZraR	
Zur	kbl//
