# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	kbaY//kbaZ//
CysB	entH//ppsA//nadA//tpiA//narG//sbcC//rnpB//murF//yfdE//hcaF//ybjG//pheS//rutE//ppc//aroF//ppsA//entD//
CytR	astE//pdeR//prpC//frc//add//nagB//murC//galT//dinB//dhaK//
DcuR	rimK//mhpA//cysI//ruvB//
DeoR	glgC//glxR//hyaB//nrfA//fucU//lysC//
DhaR	pdeH//
DicA	
DinJ-YafQ	ilvM//
DnaA	luxS//nanE//guaA//umuC//pagP//ppsA//
DpiA	rffM//sufS//phnG//pyrD//melA//
DsdC	amn//speA//
EbgR	
EnvR	hyaC//aceB//
EnvY	dgcZ//talA//
EvgA	adhE//gatY//glsA//purC//nrfD//lysC//
ExuR	argE//mraY//araD//phoA//ilvG_1//ascB//
FabR	malP//allB//glpA//
FadR	leuA//entD//phnH//entE//argI//metL//murD//fumB//lsrG//speB//acnB//garK//sdhC//fabZ//hycF//kbaZ//tehB//hycB//melA//
FeaR	rutC//tadA//
FhlA	phnP//avtA//mhpD//sbcD//nirD//mhpC//mhpF//tdcE//
FlhDC	glcF//fabA//galM//rtcB//ilvC//asnB//ttdA//deoD//ynfF//phnO//ycjG//paaF//dadA//tauD//
FliZ	fumB//hemH//dhaL//yeaE//allA//
FucR	lysA//gadA//napA//glgA//eda//tnaA//
Fur	ppc//caiB//leuC//tdcD//astA//xylB//ilvG_1//sbcD//sucC//cynS//hcaD//hcaF//lysA//ilvM//cdd//murE//rutD//recB//aroG//uxuB//nagB//fabB//tdcB//moaA//argI//lsrK//napG//pgaB//pgaB//ftsI//carB//codA//phnM//accC//guaB//ulaF//purN//metA//prpC//ahpF//galE//talA//torA//eno//glk//moaD//pgaC//gor//frdB//glxR//purL//lysU//purE//bioA//metK//add//purH//phnN//speA//cysJ//gpmA//glcF//
GadE	citE//nadB//gltB//slt//sgbU//idnD//gcvH//pgaD//ybjG//lysC//
GadE-RcsB	atoA//sodA//trpA//ogt//citC//
GadW	deoB//fucK//ynfG//galM//
GadX	nirD//lsrG//galT//galM//pyrC//moaD//argB//phnP//ulaG//paaY//puuA//astE//rffG//
GalR	glcE//dhaM//glgA//tyrA//nrdF//sdhB//
GalS	polA//glcF//epd//rffT//nanE//aroH//
GatR	deoB//metE//xylB//
GcvA	rtcB//aroH//frdD//
GlcC	rutD//sdhB//phnJ//
GlpR	fadA//uxaC//tdcD//glcF//bioA//entE//malS//
GlrR	
GntR	ynfH//cysC//lacA//nagA//citC//entF//recF//xylB//nrdD//
GutM	puuE//ugpQ//uxaA//
HU	yqjH//pgaB//garL//fabZ//adiA//dinB//phoA//
HcaR	puuE//aspC//
HdfR	
HigA	prs//
HigB-HigA	lpxD//
HipAB	ychF//prpB//
HipB	patD//add//fes//
HprR	cysH//allE//pnp//wecE//
HyfR	ulaF//
HypT	rutD//cynS//mltF//dapD//fucK//nfsA//rtcB//
IclR	rffG//paaH//paaK//
IdnR	tdh//idnO//allD//sbcD//aceA//hcp//
IlvY	moaC//
IscR	paaY//patA//tyrA//aldA//chbF//astC//wzc//guaB//
KdgR	entB//feaB//
KdpE	garD//
LacI	gabD//sucA//bioA//
LeuO	pgi//bioA//hycG//ilvM//betA//aspA//
LexA	purB//serA//sdhB//edd//mpaA//alaA//caiC//rffT//alaS//lpd//ynfE//murG//pyrC//purC//ubiA//speB//nrfA//zwf//treC//lysA//gabD//ttdA//gltB//
LldR	frc//aceF//
LrhA	
Lrp	rutB//phnG//hcaC//dmsC//leuD//dsdA//tpiA//frc//dkgB//argE//eno//ugpQ//ilvE//lpxA//fruK//paaE//dapD//yqjH//zwf//entF//bioD//relA//phoA//uxaC//dacC//fes//adiA//pgm//hycD//lldD//zwf//recB//tdh//tauD//mnmG//ldtD//nanK//puuA//mhpC//hemH//
LsrR	yfdE//nirD//dinB//ppiA//rbsK//
LysR	paaI//
MalI	nagA//ilvD//
MalT	pheS//waaY//rffC//ddlB//sgbH//malY//
MarA	frc//dmsC//caiD//talA//gpmA//allC//xylA//alkB//fabI//glpQ//putA//uidA//frc//asnB//murQ//purK//puuD//hycF//argH//kbaY//phnM//nrfA//yedX//gnd//
MarR	
MatA	allD//
MazE	umuD//
MazE-MazF	gntK//
McbR	
MelR	ilvE//nirB//
MetJ	dmsB//gpmA//paaF//icd//gnd//hyaC//rbsK//ilvD//fumB//ilvD//
MetR	dgcN//uxaB//bioB//fabI//
MhpR	tdcE//puuD//gapA//glgP//patD//caiC//
Mlc	yeaE//mnmG//dhaM//gcl//
MlrA	gpmM//
MngR	cysM//pdeR//
MntR	bglB//glgA//
ModE	mpaA//ampC//aceB//paaJ//nemA//gcvT//tdh//phnP//aceF//dapB//phnM//recB//lldD//phnO//fabD//uvrA//gcvH//
MprA	phr//phnH//fau//
MqsA	mraY//sdaA//
MraZ	zwf//paaE//bglB//bioD//tktB//hemL//caiA//katG//puuA//pncB//
MurR	lldD//glgP//wecE//
Nac	citC//dhaK//astD//gabD//ahpF//adiA//gltD//pncB//chbF//fabB//pdeL//
NadR	aspA//glpQ//rffH//ldtC//
NagC	rutC//nrfA//ilvG_1//sgbH//puuE//gpmA//nrfC//uxaA//deoD//aroH//alkB//ppc//cysD//hemL//glnA//tyrB//gadB//pheS//fbaA//
NanR	mhpE//rffH//rimK//phnN//galK//dgcN//
NarL	allB//ppsA//cysJ//aspC//uxuB//allC//fabA//bioD//entC//aspC//pflB//deoB//mazG//fumC//entA//dhaK//moaE//tdcB//mnmG//argC//nrfA//pfkA//sodA//deoD//rbsK//uvrC//purN//phnI//alaS//sucD//phnL//idnK//sbcC//sucC//glcB//garL//ulaD//phnG//glpD//paaJ//torC//
NarP	fumB//tdcG//puuA//leuC//gor//fumB//purL//uxaB//mraY//nanK//gltB//purM//kbl//uxuA//purF//
NemR	hycB//glcD//
NhaR	mnmG//sdhC//aceA//betB//truB//
NikR	kbl//
NimR	rtcB//
NorR	rnpB//
NrdR	ldtB//hyaB//fabI//ubiX//
NsrR	ppsA//caiA//tdcE//gadA//glpB//purM//hycB//ascB//hycF//hcaD//serC//puuD//gapA//sdhD//astB//puuD//fadI//murE//entF//tyrB//idnD//hyi//lysC//ynfF//fucO//cynS//polA//ruvB//kbl//aspC//murQ//ilvD//fumB//feaB//fbaA//entE//nemA//nadB//pdeH//atoA//
NtrC	rffM//cysG//tdh//mhpC//ftnA//puuD//sbcD//hycE//metB//lsrG//entE//adiA//waaZ//napH//zwf//ahpC//dgcC//fadB//argF//speA//paaI//
OmpR	lpd//fadH//glpD//tdcE//rbsD//metA//ung//bioB//
OxyR	pyrC//tyrB//purH//glcB//nrdF//prpE//citE//fumB//deoA//paaK//accA//betB//rffH//glpD//ycjG//citF//pheS//
PaaX	ruvB//gcvT//rffT//folE//accC//glpA//glgA//uvrB//entB//
PdeL	garK//
PdhR	idnK//ftnA//gatD//tehB//sucB//fadE//glxK//malP//asnA//waaZ//katE//nanE//accC//nrfD//argC//glpA//gabT//hcaC//prpB//moaA//ftnA//nrfA//rhaB//ugpQ//ssuE//
PepA	pdeH//glgX//
PgrR	alaC//hycD//
PhoB	oxc//fbaB//trpC//phnM//cysH//yqjH//codA//codA//lpxC//gatY//moaD//paaH//sodA//gor//nrdF//lsrK//glpD//idnK//sucD//pheS//
PhoP	ssuD//rutA//argD//gcvP//ilvA//lpxD//glcF//glpQ//napB//glsA//napA//malP//ftnA//hcaE//gcvP//pepD//ttdB//ruvB//phnP//fucA//cyoE//lhgO//dkgA//hcaD//aspC//tynA//argG//kbl//bioA//thrS//aroG//caiC//
PrpR	asnA//entD//lpxA//nadA//
PspF	citG//
PurR	pgk//paaY//mtlD//ampC//rutD//ldtB//pheT//dacC//paaY//napB//aceE//allA//purN//lacA//paaE//argD//dhaL//pykF//umuC//pgm//moaC//glxR//mngB//lacZ//puuD//sdhB//
PutA	hcp//idnO//
PuuR	feaB//rhaB//nirB//ilvH//narI//metB//
QseB	
RbsR	ruvB//dinB//aldA//purB//kbaY//truB//
RcdA	caiD//
RclR	
RcnR	paaJ//
RcsAB	purK//ynfE//ddlB//
RcsB	cysH//yiaK//gutQ//murC//
RcsB-BglJ	mpl//garK//
RelB	fruK//
RelB-RelE	chbF//
RhaR	
RhaS	pgaB//serA//narG//alaS//
Rob	entA//glpX//dkgA//speB//aceB//gabT//paaH//hycC//astB//trpC//cysK//gudD//aroH//yqjH//chbG//hmp//pgi//katE//hyaC//
RstA	fbaA//gloA//tdcE//
RtcR	malY//nfsA//
RutR	purM//cysD//malS//nrfD//xapA//tyrB//tnaA//trpC//adhE//astE//nanA//
SdiA	
SgrR	uvrC//caiD//dadA//
SlyA	mhpC//ttdB//atoD//glpQ//hycF//glmU//wrbA//ddlB//paaI//
SoxR	fes//
SoxS	glgC//pheS//wzb//gadB//nirD//fadH//ddlB//tktB//putA//arsC//ilvI//aroH//ilvI//rimK//cysD//aroG//napA//icd//glsA//srkA//sgbE//gloA//argA//dadX//caiD//fadA//
SrlR	hycD//aroG//gabD//
StpA	polB//hemH//nrdD//
SutR	dacC//dadA//
TdcA	ynfH//pgk//paaI//betA//asnB//
TdcR	allA//ndh//moeB//ychF//gatZ//
TorR	murF//cadA//glnA//phnI//napB//
TreR	paaJ//pgaC//
TrpR	eda//deoD//alaC//cysC//srlD//phnJ//alkA//ynfG//frdB//
TtdR	bacA//pgm//
TyrR	dsdA//sgbE//carB//sdhD//frdC//nadB//moaE//entF//add//
UhpA	aldA//
UidR	accC//cysH//
UlaR	patA//caiD//glxR//lysA//recD//
UvrY	glnA//rtcB//
UxuR	gcvH//aroH//ftnA//araD//betB//
XapR	cysD//recB//
XylR	hypB//aroL//paaG//
YdeO	tnaA//cysM//nagB//
YefM	wecE//
YefM-YoeB	xylB//
YeiL	
YhaJ	
YiaJ	glpK//eda//ppsA//yfdE//entC//moaE//
YjjQ	kbaZ//ccp//
YpdB	
YqhC	cysN//rutB//
YqjI	ftsI//
ZntR	gadB//
ZraR	
Zur	poxB//
