# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	gatD//lyxK//
PutA	purF//bioD//
PuuR	phr//puuE//dapD//ilvG_1//phnP//metA//
QseB	
RbsR	citD//rutC//ugpQ//ychF//paaZ//gloA//
RcdA	ttdA//
RclR	
RcnR	cysJ//
RcsAB	acnB//gloA//mtlD//
RcsB	edd//atoB//eda//fruK//
RcsB-BglJ	pheS//frdB//
RelB	cysE//
RelB-RelE	rutD//
RhaR	
RhaS	ccp//aspC//narH//cysH//
Rob	hcaE//araA//mhpF//murG//thrS//ynfG//ilvH//nfsA//alkA//napA//entD//ulaD//carA//alaS//glpA//caiA//glgP//iscS//uxaA//
RstA	garL//rfe//pyrC//
RtcR	aroL//ung//
RutR	kbaY//wzb//dmsC//frdB//hcaE//uxuA//patD//narH//tktB//cdd//fadM//
SdiA	
SgrR	astB//dgcC//moaE//
SlyA	paaE//gadA//aroA//dacC//sbcD//gcl//paaY//dgkA//caiD//
SoxR	bacA//
SoxS	nrdE//sucC//ssuE//murE//yedX//waaY//relA//folA//paaA//adhE//acnA//garD//alsE//oxc//allC//bioC//rimK//puuC//rsmH//rpiB//wzc//pgpC//gltD//alsE//dinB//tadA//
SrlR	hemH//malS//wecE//
StpA	sucB//bacA//uxaB//
SutR	puuA//galE//
TdcA	avtA//ubiA//caiB//dadX//pncB//
TdcR	fabG//ugpQ//sucC//umuC//fes//
TorR	rimK//katG//dapD//hypB//katG//
TreR	glsA//sdhC//
TrpR	narH//malP//aceE//yiaK//rtcA//pykF//tyrA//waaZ//ilvC//
TtdR	paaB//atoB//
TyrR	puuA//glgC//ccp//ilvG_1//folE//murC//glsA//fruK//hyi//
UhpA	astA//
UidR	fruK//sbcD//
UlaR	torA//tynA//purK//gcvH//rnpB//
UvrY	rutE//gabT//
UxuR	cysC//accD//frc//ynfG//kbaY//
XapR	dhaK//uvrB//
XylR	sodA//argA//glgP//
YdeO	mpl//hypB//ogt//
YefM	umuD//
YefM-YoeB	betB//
YeiL	
YhaJ	
YiaJ	eno//patD//glgB//pyrD//mnmG//garL//
YjjQ	lysU//cyoE//
YpdB	
YqhC	ynfE//metE//
YqjI	bioD//
ZntR	glxK//
ZraR	
Zur	edd//
