# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	lhgO//folE//
Cra	katG//trpE//wzc//entC//avtA//gpmM//ynfH//adiA//nanA//glgX//sucB//allE//frdD//ssuD//xapA//patA//umuC//purA//prpC//purA//truB//fadB//acnB//glsA//entH//lpxD//uxaA//nrfA//psd//ppiA//polA//cysE//ulaG//glpC//gor//fabB//hemH//ulaG//sucA//purC//hycG//sgbH//galK//frdC//deoD//cynT//gcl//pagP//purC//rffC//fabG//tadA//murE//fabG//dmsB//uvrC//gor//purL//garK//
CreB	glsA//fadA//
CsgD	pheS//paaJ//fadA//paaH//fabG//
CsiR	sdhB//galT//murF//garK//
CspA	pgaD//
CueR	paaB//argF//trpA//ccp//dhaM//
CusR	phnP//idnD//murQ//ilvD//
CynR	bioB//metL//add//
CysB	purC//allE//idnO//mhpE//ynfF//fadB//pgm//hycD//xylA//sdhB//malP//ybjG//sbcC//puuB//argC//speB//recD//
CytR	accD//mhpC//folA//fucK//glcE//dhaM//ruvA//cynT//dhaM//bioA//
DcuR	argF//rutA//sbcD//metA//
DeoR	glpQ//paaA//puuA//lsrG//malY//gnd//
DhaR	gcl//
DicA	
DinJ-YafQ	nirD//
DnaA	ychF//feaB//hyaB//ssuE//entE//patA//
DpiA	gapA//napB//mtlD//glsA//phoA//
DsdC	cysI//sgbH//
EbgR	
EnvR	entC//aspA//
EnvY	ftnA//wecC//
EvgA	ulaF//rbsD//tdcD//ung//argC//ada//
ExuR	nrdD//metK//sodB//argE//ampC//hycF//
FabR	prs//yedX//bioC//
FadR	recD//citF//sucB//umuD//ulaE//frdA//fabG//frc//ynfF//cysJ//alsE//rpiB//yqjH//cdd//paaA//dgcC//aroH//hmp//argA//
FeaR	rhaD//lysC//
FhlA	metL//dadA//icd//truB//paaZ//napB//malP//hcaE//
FlhDC	hycB//aroA//nanK//rbsK//phr//malQ//purE//garK//nrfA//ydcS//amn//deoA//allB//serA//
FliZ	pykF//zwf//mnmG//pheS//gabT//
FucR	entA//lhgO//frdD//sdhB//malY//hcaF//
Fur	tdcD//dgcZ//aceF//katG//uxaC//tnaA//glsA//cysI//alkB//hcaE//allE//pagP//nirD//carA//pflB//hcaD//mhpE//paaZ//tdcD//ygeA//rpiB//leuD//srkA//hyaA//glyA//sucB//amn//gabT//ftsI//garD//astC//chbG//napH//ruvB//phnN//guaA//trpD//murD//adhE//dacC//torC//gcvT//bacA//pyrD//phnP//sucC//eda//purC//pgaC//galE//rnpB//bioD//cysM//fabA//araD//dhaM//uxuB//nrdF//mnmG//waaY//phnJ//frdA//
GadE	lsrF//mltF//nirD//ycjG//pncB//gapA//paaZ//kbl//allE//fbaB//
GadE-RcsB	prpB//entH//waaH//fabZ//mhpA//
GadW	ygeA//gutQ//atoD//polA//
GadX	idnK//srlD//nagB//murF//caiA//ldtD//metB//alaC//mpl//xylA//tadA//dsdA//malZ//
GalR	caiA//purN//tynA//ilvC//aroL//mhpA//
GalS	ahpF//nadA//glcB//fbaB//rbsK//recB//
GatR	edd//hypB//epd//
GcvA	alaS//gpmA//tnaA//
GlcC	allD//rbsK//moaC//
GlpR	rimK//rutA//deoB//fadE//psd//metC//dsdA//
GlrR	
GntR	pyrD//epd//cysH//galT//yeaG//sgbH//phnN//edd//fadJ//
GutM	fadB//puuB//glyA//
HU	tyrA//dgcZ//nagB//dhaK//tktB//lacA//ssuE//
HcaR	moaD//ilvM//
HdfR	
HigA	kbl//
HigB-HigA	gcl//
HipAB	ahpC//rffH//
HipB	tadA//paaY//ugpQ//
HprR	alkB//frdB//lysA//feaB//
HyfR	dapB//
HypT	citD//argE//rutE//prs//patA//rhaB//mhpE//
IclR	kbaY//serA//sucA//
IdnR	relA//nadB//pykF//ubiX//tynA//lpd//
IlvY	lpd//
IscR	cysJ//pflB//napG//hycF//serA//alkA//sucB//rutD//
KdgR	ndh//hycF//
KdpE	murQ//
LacI	fabH//hycB//hcaB//
LeuO	phoA//rpiB//xylB//tpiA//phoA//paaF//
LexA	ulaE//puuB//purD//moaC//gudD//tktB//caiB//guaB//nrdD//phnH//kbl//rnpB//hcaD//prs//psd//bacA//citX//argC//patD//rffT//argI//allC//uidA//
LldR	dinB//nadA//
LrhA	
Lrp	gdhA//gcvP//nemA//rffC//rffM//araB//entH//hmp//sbcC//dadA//hcaF//rffM//cdd//dhaL//alkB//gatZ//prpB//rutC//ahpF//alkA//lysU//pncB//feaB//gcvT//lpxC//glpK//hypF//uxaA//lpxA//kbaZ//caiD//ynfF//psd//chbG//glpA//purK//kbl//zwf//citE//nadB//
LsrR	moaC//cynS//glgX//pgaC//idnK//
LysR	trpC//
MalI	gatZ//astB//
MalT	appA//glxK//bioC//accC//ulaF//ynfF//
MarA	idnD//bglB//purM//dapB//pyrC//napH//pdeH//galM//astD//atoD//luxS//lacA//torC//murC//uvrB//paaY//rffH//tyrB//metE//zwf//dadX//lldD//moaC//mhpC//
MarR	
MatA	entA//
MazE	entF//
MazE-MazF	yfdE//
McbR	
MelR	entH//nadB//
MetJ	idnD//fbaB//argI//citE//cyoE//umuC//phnH//fabG//glpB//fadJ//
MetR	rhaB//lacA//mtlD//fabG//
MhpR	prpB//wecE//metC//dgkA//add//trpA//
Mlc	ybjG//gatD//uxuB//cysC//
MlrA	mazG//
MngR	bioF//hcaE//
MntR	phnN//hyaB//
ModE	purD//argE//astC//torC//astA//ttdB//tadA//glgA//ascB//trpD//mpl//aceF//hyaA//caiB//metH//phnL//dgcN//
MprA	ascB//glpK//lhgO//
MqsA	murC//araD//
MraZ	nfsA//glgX//argA//lacA//leuA//amn//tdcD//allE//pgpC//paaA//
MurR	bioA//ttdB//nrfD//
Nac	pheT//dadA//paaY//galM//glyA//glyA//ssuD//ascB//frdB//ampC//pgaB//
NadR	gpmM//glpX//nemA//rtcB//
NagC	ahpF//pflB//rpiB//cyoE//argG//hycD//napG//sodA//sodB//puuE//lpxC//atoB//gadA//dapB//idnD//mhpF//carA//mhpC//rhaB//
NanR	argC//lhgO//sgbH//rnpB//cysH//metF//
NarL	pepD//ccp//ulaE//frdD//paaB//araB//napA//carB//astC//grxA//cysI//aceE//oxc//deoD//paaE//deoA//ndh//cysC//fucO//narH//lsrK//tdcD//phnP//frc//kbaZ//dsdA//rutB//ruvB//garR//sbcC//ulaD//adiA//lldD//sdhA//metF//bioA//sgbH//citX//gdhA//mhpC//citF//
NarP	uxuB//waaH//mhpA//sdhC//hmp//nrfC//paaY//ynfG//leuB//rutC//gloA//purE//tnaA//metF//accC//
NemR	ilvM//metC//
NhaR	atoA//nrfA//aldA//puuB//argD//
NikR	cysJ//
NimR	fucK//
NorR	sodA//
NrdR	tdcG//glpD//moaD//srkA//
NsrR	nanK//sdhA//moeA//nrfD//treC//moaC//pdeR//chbG//dadX//gntK//hyaA//citF//mngB//dkgB//citD//galK//dkgA//udp//chbG//pyrC//allB//hycE//ldtD//nfsB//mhpD//dadX//napG//fadE//astB//pyrC//paaG//glgC//phnM//fabA//serA//ycjG//glnA//ttdB//hyaC//puuB//
NtrC	rhaD//astB//idnD//glpB//cysD//sdhD//glcD//paaF//sdhC//relA//adiA//rhaA//metE//fadM//araB//gcl//tynA//umuC//tyrA//nanA//ygeA//
OmpR	metA//bioA//dhaM//ulaG//aceE//patD//malP//eno//
OxyR	recB//nanA//relA//lsrG//nrfC//alsE//galT//entD//pck//malY//pncB//recB//hycG//astE//idnD//uxuA//yedX//
PaaX	deoB//uvrC//uvrC//rbsD//alaA//mhpA//metK//xylA//astB//
PdeL	katG//
PdhR	entH//idnD//ydcS//rutC//rpiB//aroH//pgpC//leuC//glgA//astA//ppsA//araD//dapD//dadX//phnG//tyrB//sgbH//ruvA//paaJ//ubiX//uvrA//trpC//hcp//gor//malZ//
PepA	argH//lldD//
PgrR	codA//ogt//
PhoB	atoD//eno//treC//moeB//lysC//aroL//phnJ//fadM//hcaD//tdcD//umuC//fadM//xapA//rnpB//fabI//lldD//hyaC//aldA//trpB//trpB//
PhoP	entE//malS//phnI//hycD//ttdA//glpK//metL//pgpC//puuD//fadB//pdeR//adiA//patD//yedX//ilvC//allE//folA//entC//uxaB//hcaF//frdC//tdh//sodA//rnpB//sucA//gudD//glyA//prpE//dkgB//lhgO//lpxD//trpE//
PrpR	dkgB//araA//dmsC//betB//
PspF	araA//
PurR	aceB//gcvT//oxc//trpB//fabI//gutQ//prs//tynA//pgpC//ubiA//kbl//ahpF//purC//srlD//sufS//purE//kbaZ//sucB//lldD//waaZ//allC//hycC//kbl//ilvI//fucU//hemL//
PutA	umuD//lysC//
PuuR	ycjG//purC//aroH//nirB//feaB//argC//
QseB	
RbsR	ilvI//alsE//galK//pgk//dhaM//rnpB//
RcdA	ppsA//
RclR	
RcnR	puuC//
RcsAB	rutD//glgX//aroH//
RcsB	glgP//rutD//tynA//psd//
RcsB-BglJ	epd//ubiX//
RelB	rnpB//
RelB-RelE	codA//
RhaR	
RhaS	ahpF//uvrB//pgi//serA//
Rob	mhpE//edd//torA//argG//recB//paaH//lsrG//ynfH//aroG//cyoE//lpxA//atoB//fadE//speA//oxc//nadA//ppsA//pgpC//hcaC//
RstA	paaH//pgm//deoD//
RtcR	phnN//sucA//
RutR	phnJ//hyaC//tnaA//tyrA//phoA//ilvC//oxc//dmsA//caiB//dkgB//astD//
SdiA	
SgrR	lacA//glgC//prpC//
SlyA	cadA//hypF//argG//tnaA//glgX//fadI//ubiX//moaC//cueO//
SoxR	leuA//
SoxS	cysG//iscS//fabG//paaZ//ulaD//ubiX//adhE//allC//hycC//uidA//nrdD//cysE//amn//yeaE//ynfE//garR//fadM//moaE//gcvP//polB//phoA//phnL//ilvC//paaC//rhaB//paaI//
SrlR	tyrB//entB//codA//
StpA	entE//garL//lpxD//
SutR	lsrF//bacA//
TdcA	sdaA//trpB//cueO//fucK//tdcE//
TdcR	nanK//mtlD//dkgA//psd//umpH//
TorR	araA//caiC//wrbA//citF//dgcN//
TreR	guaB//purH//
TrpR	ubiC//dadX//ppc//glcD//rffM//glgX//aceA//sdhD//pgaB//
TtdR	aroL//cysD//
TyrR	aceF//ulaG//umuD//tktB//betA//glgC//leuA//betB//edd//
UhpA	metF//
UidR	mpl//galT//
UlaR	purA//lyxK//avtA//murG//atoA//
UvrY	aroG//cysG//
UxuR	tdcD//gcvT//dkgA//galT//dhaK//
XapR	malQ//gltD//
XylR	frdA//ynfE//uvrA//
YdeO	wzb//rsmH//leuC//
YefM	betA//
YefM-YoeB	cysC//
YeiL	
YhaJ	
YiaJ	phnO//atoD//gltB//accD//hcaB//pagP//
YjjQ	rhaD//ttdB//
YpdB	
YqhC	glpC//gcvP//
YqjI	phoA//
ZntR	glxK//
ZraR	
Zur	torA//
