# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	prpB//dinB//
CytR	purD//glyA//ada//metB//paaZ//aceA//nanK//lacZ//fruK//rutD//
DcuR	eda//yqhD//ubiA//purN//
DeoR	gadB//appA//narI//mpl//paaF//cysE//
DhaR	tdcE//
DicA	
DinJ-YafQ	nagA//
DnaA	paaA//chbF//sgbE//purH//lpd//sodB//
DpiA	hmp//lsrG//alaS//dhaL//hmp//
DsdC	carA//fucU//
EbgR	
EnvR	glgP//allD//
EnvY	lacZ//xylB//
EvgA	accA//dgcN//adiA//mnmG//tehB//dgkA//
ExuR	fabA//puuB//acnB//ilvM//gatZ//gor//
FabR	napB//rutD//moaE//
FadR	alsE//purE//gntK//dmsA//murE//tadA//fau//dadA//ubiA//dkgA//sdhA//trpB//glgX//sucD//uvrB//galT//torC//hycB//trpC//
FeaR	luxS//gltD//
FhlA	sucD//wecB//ttdB//moaD//mpl//glpQ//mhpE//gatD//
FlhDC	gadA//rffH//glgC//add//glpK//folA//caiB//citE//ubiC//mhpC//eno//ulaG//trpC//nadB//
FliZ	carB//phnG//ldtC//hycB//pdeR//
FucR	rhaD//ftnA//ulaD//hycB//trpB//pdeR//
Fur	argC//polB//zwf//ampC//aroL//aspC//argA//yeaG//rhaB//glgC//wrbA//ttdA//phnL//citD//atoD//argH//alaS//avtA//fbaA//uvrB//pgm//garR//rbsK//murC//astB//garD//xylA//sdhD//entD//srlD//hycB//ilvH//lpxA//rffM//ppc//rbsK//nanA//cysN//ruvB//nanM//paaK//alaC//murF//mhpE//sgbE//hcp//moaC//atoD//pyrC//cysN//fadJ//purF//fucK//pnp//dgkA//lysU//napA//garD//pyrD//trpE//fabA//sbcD//
GadE	fadI//pgi//entE//glcF//nadB//metH//gcvH//idnD//speA//lacZ//
GadE-RcsB	avtA//gcl//lsrK//truB//glk//
GadW	ynfE//glgB//fabH//wecC//
GadX	ydcS//allE//uidA//metH//ycjG//gor//argD//gcvH//tktB//bglB//dhaL//aceF//uxaA//
GalR	serC//ilvH//ilvM//acnA//araB//murF//
GalS	ilvC//lsrK//phnI//aroA//dsdA//glyA//
GatR	ynfF//purE//aceF//
GcvA	rutB//puuB//tadA//
GlcC	edd//lysU//lysA//
GlpR	pflB//hypF//nrdD//mhpA//cysG//hycE//lpxC//
GlrR	
GntR	purH//fucK//pepD//glsA//nrdE//glcB//metB//lpd//hycG//
GutM	pflB//pdeH//glsA//
HU	add//citC//glpB//nrfC//glcD//rffM//dhaL//
HcaR	rffG//nagB//
HdfR	
HigA	rnpB//
HigB-HigA	caiC//
HipAB	nfsB//cysN//
HipB	lysU//citF//gadA//
HprR	kbl//tnaA//yqjH//pykF//
HyfR	ada//
HypT	caiA//dgcC//tdcB//alkB//frdB//atoB//accD//
IclR	recD//srlD//fucO//
IdnR	paaI//ilvM//fumC//lpxD//malY//hemL//
IlvY	sodB//
IscR	ppc//mhpA//cueO//serA//hyaB//malQ//aceA//lacZ//
KdgR	sucB//umuD//
KdpE	sucC//
LacI	ynfF//amn//recB//
LeuO	nanM//rfe//acnB//purL//arsC//paaC//
LexA	lacZ//rtcA//pheT//glcE//pncB//waaY//uxuB//polB//dhaK//entF//gcl//ssuE//yeaE//guaA//nrdA//rpiB//phnG//allA//ycjG//cysN//gnd//glk//malS//
LldR	fumB//cynT//
LrhA	
Lrp	purD//gnd//tdcB//ilvG_1//fadD//malP//hypF//paaY//bioA//hyaB//tktB//paaC//kbaY//accD//purM//ydcS//polB//glyA//nrdB//nrdB//prpB//gatY//asnA//alaC//ygeA//bioC//glgC//cysG//aceE//argD//frc//accC//caiC//ulaG//gutQ//tpiA//frdA//murD//caiB//glyA//
LsrR	moeA//phnI//purD//fau//murD//
LysR	pgk//
MalI	paaF//glpB//
MalT	paaC//nirD//gloA//wecC//entD//prpE//
MarA	mtlD//hyaB//rnpB//moaA//hycE//mhpC//sufS//tyrA//yqjH//wecB//torA//garR//gatZ//frdC//purH//hyaB//tyrB//alaS//katE//prpD//ascB//fdhF//recB//sucB//
MarR	
MatA	iscS//
MazE	nadB//
MazE-MazF	ftsI//
McbR	
MelR	gudD//sgbE//
MetJ	fadI//caiB//glmU//betB//gutQ//dapD//cysJ//ubiX//glpK//cadA//
MetR	rffC//atoB//rtcA//tauD//
MhpR	add//recB//entA//murD//ilvH//waaY//
Mlc	rsmH//bioD//folA//purK//
MlrA	lacZ//
MngR	glxK//lysU//
MntR	arsC//tdcE//
ModE	dmsB//garD//pflB//entE//glgX//ilvC//ldtC//sufS//rutB//fabH//argA//gloA//fau//ulaG//xapA//cysJ//pgaD//
MprA	leuA//ccp//purC//
MqsA	ydcS//argD//
MraZ	slt//gadB//tnaA//srlD//torC//betA//ybjG//sdhB//dhaL//hemL//
MurR	gor//trpE//ppc//
Nac	ttdA//citF//ahpF//fadH//recF//yeaE//gpmM//pagP//fabG//ttdA//moeB//
NadR	appA//aroH//frdC//lsrG//
NagC	aroH//sucA//zwf//ilvH//sucA//patD//tadA//sucA//uxuB//astE//purD//nanM//deoC//putA//ychF//lysA//pncB//ahpC//tdcG//
NanR	ttdB//grxA//mtlD//uxaC//aceE//atoA//
NarL	pncB//fadJ//frdB//dadX//nemA//nrdF//waaY//nrfA//leuD//eda//rutC//rutE//mhpF//ulaG//ulaF//hcaE//acnA//dsdA//eda//purM//phnI//torA//allA//talA//hcaB//accD//alaA//dadA//oxc//gapA//lpxA//dmsB//nadA//dmsA//idnK//mazG//fadH//hemH//dhaL//ulaF//purN//
NarP	glxR//trpC//metF//patA//malQ//fau//nirD//dhaK//nagA//paaJ//torA//cysC//puuE//ung//hycB//
NemR	gadB//glgP//
NhaR	argA//ugpQ//entD//iscS//yqhD//
NikR	gudD//
NimR	ydcS//
NorR	pykF//
NrdR	ssuD//metF//phnH//leuA//
NsrR	argE//tehB//ahpC//dinB//phnL//pck//ubiC//oxc//ttdB//mpaA//mhpE//purH//hmp//deoD//glmS//hycC//hyaB//ppiA//paaA//tnaA//araA//dapD//hypB//dacC//ydcS//ubiC//dgcN//entC//lpxC//rutB//fruK//leuC//guaA//nirD//uxuA//bioC//fabI//ftnA//sgbH//bioA//
NtrC	ubiX//add//fruK//glxK//ahpC//srkA//glxK//mhpF//paaZ//adiA//mpl//metB//moeA//paaF//dapB//cynS//sdhC//phnG//metF//argH//caiC//
OmpR	lysA//allE//moaC//betB//dapD//gadA//malY//rhaD//
OxyR	nanK//cynT//polB//fabG//mtlD//glgX//argB//astC//gcl//dapD//malP//gabT//polB//ada//dhaL//prpC//alaA//
PaaX	garD//purK//araD//glpD//fbaB//argG//ldtD//dadX//arsC//
PdeL	pdeH//
PdhR	lpd//ruvB//entC//cueO//narG//ttdA//betA//napH//metK//dmsB//tyrA//glpA//carA//fadA//pdeR//recD//lpd//paaH//phnI//paaK//idnK//gcl//cysM//aroF//rffG//
PepA	napG//mhpA//
PgrR	leuC//fucU//
PhoB	fadB//frdB//rsmH//kbaZ//metE//nemA//leuA//aroH//fadH//ldtD//tyrA//atoA//fabA//glgX//frdB//citC//garK//astE//fucO//bglB//
PhoP	pnp//astC//cadA//glcE//wzb//galM//nrdB//ppc//ttdB//glpA//sbcC//galT//tyrB//caiC//pgi//trpD//moaE//ssuD//aspA//dadX//tauD//sucD//murF//sdhA//nanK//caiB//phnL//gntK//nanA//adiA//pagP//fumC//
PrpR	slt//gatD//fadH//malP//
PspF	aldA//
PurR	zwf//paaJ//malZ//metE//lpxC//rimK//ugpQ//caiD//purK//glpC//mhpA//rutD//ampC//deoA//paaJ//alaA//rutD//umuC//fadH//allA//rffG//ldtB//pgpC//torA//uxaA//ampC//
PutA	glyA//treC//
PuuR	trpA//leuC//fucI//tyrA//cysD//glpK//
QseB	
RbsR	citC//mraY//ndh//lsrF//ttdA//gapA//
RcdA	hycB//
RclR	
RcnR	ybjG//
RcsAB	acnB//alkB//hyi//
RcsB	rutE//deoD//phnN//eno//
RcsB-BglJ	purD//asnB//
RelB	hycF//
RelB-RelE	purM//
RhaR	
RhaS	glgX//ruvB//hcaD//waaY//
Rob	idnK//umpH//prpB//cysK//glgB//psd//tdcE//ynfE//iscS//tehB//nanM//malP//cadA//recF//glgP//moaE//galM//araB//uxuA//
RstA	adhE//rffG//rffG//
RtcR	tam//bglB//
RutR	ugpQ//rhaB//ilvH//puuA//speB//napA//rutD//umpH//sbcC//narH//ccp//
SdiA	
SgrR	pflB//hyaB//puuD//
SlyA	uidA//gatZ//gudD//galK//polB//glgP//lsrK//thrS//hycE//
SoxR	argB//
SoxS	tam//dmsC//argA//leuA//glpA//frdA//mpaA//uxuB//moeA//fbaB//purN//puuD//gadA//hycB//gadB//folE//malY//ilvM//mhpA//argE//lysA//pgm//metB//ahpC//murI//dsdA//
SrlR	fabD//aroG//atoA//
StpA	gabT//entF//wecE//
SutR	pepD//metC//
TdcA	polB//lsrG//torA//malY//wecC//
TdcR	waaH//entE//sucB//purD//rpiB//
TorR	nrdE//astD//mhpC//gltD//ruvB//
TreR	allD//talA//
TrpR	argB//mhpE//purB//recF//dadA//aroA//phnH//umpH//mpl//
TtdR	mngB//bioC//
TyrR	glgA//sdaA//nadA//ruvA//paaY//entD//phnP//glpA//nadA//
UhpA	nfsB//
UidR	rffG//adhE//
UlaR	lpxC//glk//puuB//moaC//murI//
UvrY	ppiA//fucK//
UxuR	gabD//uidA//narI//puuC//lpd//
XapR	sdhB//lysA//
XylR	rbsK//ybjG//sdhC//
YdeO	fabD//acnB//dinB//
YefM	gadB//
YefM-YoeB	polB//
YeiL	
YhaJ	
YiaJ	kbl//xapA//uxuA//ppsA//acnB//fadB//
YjjQ	pykF//argG//
YpdB	
YqhC	ftsI//glgP//
YqjI	ynfF//
ZntR	ubiA//
ZraR	
Zur	nrfD//
