# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pykF//ubiA//
DnaA	glpB//serA//fumB//ynfE//dgkA//leuC//
DpiA	deoB//gor//fucI//adhE//hycF//
DsdC	lyxK//prpC//
EbgR	
EnvR	gnd//dacC//
EnvY	rhaB//paaF//
EvgA	prpC//dadX//alaC//putA//sgbH//dgcZ//
ExuR	hyi//glgX//entE//ada//entA//sgbE//
FabR	fadA//ldtD//phnH//
FadR	ilvE//moeB//uidA//nrfC//trpA//entD//ssuD//sgbU//pgk//aspA//fumB//ruvA//rhaA//malZ//argB//ppiA//gpmA//napA//melA//
FeaR	lldD//aldA//
FhlA	ssuD//chbF//fau//treC//uvrC//hyaB//phnG//epd//
FlhDC	ydcS//hcaF//yeaG//purD//fadM//aceF//speA//ampC//pepD//nanM//cynT//hycC//dmsC//mngB//
FliZ	galT//idnO//glmS//pflB//melA//
FucR	metK//rffM//phnI//argE//oxc//codA//
Fur	ilvC//arsC//garL//nemA//nrdB//polA//hyaA//sbcD//pgaB//sucD//slt//metH//epd//tauD//poxB//kbaY//sdaA//cysN//hemL//tdcB//argB//srkA//ldtC//purH//idnK//hyi//bglB//nanM//sbcC//glpQ//rffT//fabB//relA//putA//astA//mhpF//aceE//sgbU//mtlD//rffC//hypF//feaB//citX//zwf//glcE//murG//ssuD//phnH//ribA//rffG//lsrK//ftsI//arsC//arsC//rnpB//idnK//trpD//phnI//puuC//dkgB//bioD//epd//
GadE	mhpC//aroA//xylA//argA//glcB//lysA//hypF//mtlD//talA//uidA//
GadE-RcsB	phnH//mhpA//mpl//metA//cysJ//
GadW	alaC//citE//phnP//tnaA//
GadX	aldA//lysU//hcaE//idnD//caiB//arsC//ahpF//entE//uvrC//amn//glpD//phnI//mhpD//
GalR	arsC//ybjG//argB//mraY//napG//thrS//
GalS	tdcG//nanA//paaA//hyaB//moeB//glpK//
GatR	sgbU//lhgO//iscS//
GcvA	entA//astE//speB//
GlcC	rhaB//lysA//tdcG//
GlpR	pdeR//leuC//gabT//fes//sgbH//ttdA//puuC//
GlrR	
GntR	moeA//astA//purM//lsrK//cysG//rsmH//purE//metH//dgcN//
GutM	accC//hmp//murQ//
HU	fes//tam//talA//pgm//dgkA//codA//dmsB//
HcaR	cynS//metL//
HdfR	
HigA	aroG//
HigB-HigA	lysC//
HipAB	citC//aldA//
HipB	nrdE//paaA//glpD//
HprR	fucA//umuC//ycjG//rimK//
HyfR	phnH//
HypT	wecE//katE//fabA//aspA//pgaB//ung//ynfF//
IclR	malS//adhE//moaA//
IdnR	edd//paaH//slt//uxaA//treC//astA//
IlvY	leuB//
IscR	hycB//katE//citE//paaZ//fadA//dinB//ttdB//glgC//
KdgR	polA//paaG//
KdpE	hcaD//
LacI	lpd//mhpE//grxA//
LeuO	aspA//pflB//cysN//feaB//deoB//cysN//
LexA	lpxA//murG//folE//tktB//wzb//sucC//gudD//gatZ//argH//nfsB//ulaF//ubiA//wzc//ybjG//nfsA//betA//purA//yeaE//araA//pgm//glgA//tdcB//fumC//
LldR	pnp//pgaD//
LrhA	
Lrp	metB//tnaA//rhaA//sbcC//paaG//leuC//sdhC//atoA//gor//lysA//garK//avtA//pfkA//phnH//rhaB//pdeR//ruvB//garD//mazG//hycE//ilvG_1//rbsD//fabG//fucK//aceA//purL//ndh//murG//aceB//alaC//tpiA//nrfD//rffC//dgcC//mdh//dkgA//accD//argA//nagA//mnmG//
LsrR	rnpB//galT//glmS//gltB//frdD//
LysR	serA//
MalI	hcaB//napH//
MalT	umuD//lldD//frdD//rutB//puuA//frdB//
MarA	citD//ttdB//garD//nirB//fadJ//nanA//nrdF//tdcD//moaD//entE//metB//malP//aroA//glgC//phnH//accC//hmp//tdcB//gpmA//lsrK//rffH//rutA//fucI//gdhA//
MarR	
MatA	allD//
MazE	lpxC//
MazE-MazF	fucI//
McbR	
MelR	aceF//murG//
MetJ	citF//gadB//glcB//accC//codA//frdA//hycC//allD//argG//moeA//
MetR	prpC//rbsD//sodB//hyi//
MhpR	purF//hcaE//malQ//metB//ynfF//deoA//
Mlc	gpmA//caiA//kbl//gudD//
MlrA	ilvG_1//
MngR	acnA//ahpF//
MntR	nirB//galM//
ModE	trpB//entD//pgpC//aspA//idnO//paaF//melA//pgpC//glxK//argG//trpC//phnG//waaZ//hyaB//codA//sdhB//ybjG//
MprA	dhaK//pgm//mhpE//
MqsA	citE//mhpC//
MraZ	leuC//glyA//yfdE//glcF//pgpC//nirD//waaY//nirB//pdeL//citX//
MurR	prpB//oxc//alaC//
Nac	wecE//gutQ//cysK//fadI//trpB//sucA//hemH//nfsB//frdB//glcF//gdhA//
NadR	sdhC//citD//sgbH//tam//
NagC	fadI//hycB//phnG//glcB//dgkA//narH//edd//argB//murG//gntK//adiA//iscS//hcaF//patD//mtlD//sucB//argF//ascB//mhpC//
NanR	fau//gabT//edd//ilvE//alsE//adhE//
NarL	glnA//dkgB//napH//fadB//cysN//caiC//trpD//garD//ahpF//ynfF//ulaE//alaC//rffT//lpxC//narI//lldD//gadA//ruvB//prpE//adiA//idnK//sufS//malY//dapB//gloA//waaY//citF//hyi//moeB//fabD//fumC//pgm//entA//leuC//aldA//nanE//glpQ//dhaL//trpD//atoA//atoA//
NarP	poxB//mraY//nrdA//xylA//edd//galM//rffC//gatY//patA//paaE//ttdB//alaS//ppiA//pheS//fdhF//
NemR	sodB//entH//
NhaR	acnA//glk//dkgB//sufS//malP//
NikR	narI//
NimR	srlD//
NorR	bioC//
NrdR	ycjG//tauD//bioD//feaB//
NsrR	alkA//gltB//metC//ahpF//sodA//uvrA//metE//phnH//metB//talA//carA//lpd//purE//glgB//ilvD//hcaE//talA//entB//tadA//ndh//rtcB//gatD//gadA//gltB//ogt//betA//metB//cyoE//gudD//purE//fabH//napB//ybjG//puuA//dapD//melA//nadB//ubiA//sodA//aceE//
NtrC	rutD//garD//metK//mhpF//glpC//puuA//waaH//entA//nanK//leuC//glcE//argB//alkA//citE//uvrA//mnmG//argC//fruK//aroL//murC//paaI//
OmpR	purA//aceB//gcvH//murD//cdd//tdcE//deoB//galT//
OxyR	fadM//yqjH//puuC//aroH//caiA//argD//lysU//bioD//tyrB//glsA//pdeH//pyrC//napG//hemL//allA//sodB//prs//
PaaX	nrfA//metH//ttdB//lsrG//aroF//phnL//pheS//mhpE//paaB//
PdeL	nrdD//
PdhR	glmS//ttdB//wrbA//allE//moaA//wecE//ilvE//deoA//ychF//patD//hyaB//frdB//mdh//metH//pgaC//phnI//rfe//wzc//ynfH//tyrA//pyrD//glgA//srkA//metL//mngB//
PepA	yfdE//dgcN//
PgrR	dinB//cadA//
PhoB	kbaY//argC//tam//ahpF//murG//purL//ung//wzb//rnpB//astE//tdcE//argG//pncB//paaA//waaH//pfkA//arsC//atoA//metF//cysD//
PhoP	gatZ//alkB//rtcA//sgbU//fabB//cadA//pflB//cysI//lpxD//tam//lacZ//phnH//recB//dgcC//lysA//sdhA//eda//nirD//prpB//purL//paaB//paaI//entF//entE//phnG//alkA//glgX//oxc//astB//nrdF//gntK//dapB//
PrpR	hcp//galK//astD//ilvH//
PspF	bacA//
PurR	moaA//hycB//accC//ascB//gltD//rffM//polB//deoA//dmsA//yeaE//ndh//purM//pgpC//cynT//gatD//paaC//fdhF//dkgA//dhaL//glmU//pyrD//dhaL//prpB//rutC//truB//glcE//
PutA	galK//glpQ//
PuuR	gloA//argI//asnA//nrdE//sbcC//xylB//
QseB	
RbsR	lacZ//purF//yfdE//glgA//phnJ//serC//
RcdA	iscS//
RclR	
RcnR	nrdA//
RcsAB	eno//malQ//glnA//
RcsB	guaB//gatZ//ulaF//atoD//
RcsB-BglJ	ldtB//xylA//
RelB	metL//
RelB-RelE	adhE//
RhaR	
RhaS	gatY//pflB//dgcC//aldA//
Rob	gloA//trpE//nanE//moeB//hyaC//caiA//aceE//waaY//dapD//rhaA//lpxA//ychF//nrdD//gapA//nanE//oxc//mhpC//recD//wzb//
RstA	purF//cynS//accC//
RtcR	pspE//alsE//
RutR	phoA//glpB//serA//glnA//dadX//paaY//carA//nadA//eda//trpC//recD//
SdiA	
SgrR	hyaC//trpA//pagP//
SlyA	nrdF//nrdE//napH//puuC//astE//pflB//gltB//tauD//trpE//
SoxR	gpmA//
SoxS	dacC//cyoE//eda//ftsI//ubiX//glpC//pheT//mdh//phnN//hycE//luxS//gcl//ttdA//putA//citC//argI//uxaC//ribA//malS//rpiB//ychF//phoA//srlD//malP//trpB//sucB//
SrlR	lldD//trpB//phnJ//
StpA	dinB//puuD//lacZ//
SutR	dgcC//hcaF//
TdcA	ftnA//appA//glcE//dgcC//bglB//
TdcR	ugpQ//mnmG//galT//citX//fruK//
TorR	pck//moaD//folA//aroL//sdhA//
TreR	yiaK//pgaC//
TrpR	tyrB//glyA//napG//umpH//atoB//bglB//fabI//lhgO//sgbH//
TtdR	aspA//metA//
TyrR	citD//glpD//rtcA//leuA//gnd//paaE//iscS//aceB//phoA//
UhpA	torA//
UidR	recD//eno//
UlaR	trpC//alaC//tdcD//chbF//fucK//
UvrY	nagB//adiA//
UxuR	ruvB//moaE//hcaB//rpiB//argG//
XapR	nanA//pgaC//
XylR	aspC//paaK//glpA//
YdeO	mhpD//add//pdeR//
YefM	entB//
YefM-YoeB	pgpC//
YeiL	
YhaJ	
YiaJ	mhpA//ldtD//cadA//hyaA//pgaB//wecE//
YjjQ	ilvM//paaK//
YpdB	
YqhC	dapB//fadM//
YqjI	trpA//
ZntR	hcaD//
ZraR	
Zur	ttdA//
