# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	hycG//mngB//
LldR	nagB//moaA//
LrhA	
Lrp	ada//napB//nanM//ruvB//adiA//malP//mazG//metA//dkgA//phnG//lsrG//moaD//nirB//napH//polB//garR//hcaB//rffC//thrS//srkA//trpA//nagB//tnaA//phnM//frdA//gdhA//rtcA//sucA//nrfD//bioF//prpE//gadA//napB//pfkA//mhpC//sucB//glpX//citE//nemA//frc//
LsrR	sucD//ynfE//amn//thrS//pagP//
LysR	cysK//
MalI	paaY//lldD//
MalT	ldtC//dmsB//purL//cueO//gatD//gltD//
MarA	yqjH//nrfC//poxB//tehB//pheT//dgkA//trpE//nrdB//purM//trpA//mltF//glsA//caiC//purE//paaF//hyi//murC//citG//malP//allD//dhaK//araD//ruvB//yeaE//
MarR	
MatA	hcaC//
MazE	argF//
MazE-MazF	cysM//
McbR	
MelR	kbaY//ascB//
MetJ	atoB//murD//fabZ//galM//uvrA//nrdB//hycG//fucI//adhE//tadA//
MetR	ilvI//alaA//purA//ycjG//
MhpR	wzc//malP//ybjG//galK//lpxC//deoB//
Mlc	murF//bacA//ulaE//paaI//
MlrA	tdcG//
MngR	sucB//rutE//
MntR	sgbE//mhpD//
ModE	uxuB//moaA//cynS//yqhD//tdh//murC//ynfE//sdhD//trpB//tnaA//fadM//ruvA//citF//astD//poxB//prs//rffC//
MprA	sgbE//entB//ttdB//
MqsA	amn//ung//
MraZ	gadA//pyrC//napH//prpD//ilvD//hycG//hcaD//prpC//fadA//rsmH//
MurR	lsrF//katE//kbl//
Nac	fau//tyrA//lyxK//glgX//ddlB//glpK//citX//tynA//ung//nrdF//ppsA//
NadR	torC//glpB//ilvI//ycjG//
NagC	fucU//cueO//fes//ddlB//cysN//bioF//purD//gapA//purC//sgbE//glxK//chbG//ynfF//trpE//allE//umuC//glcE//hmp//napG//
NanR	pdeR//aldA//gnd//treC//mraY//nadB//
NarL	folA//hyi//ilvG_1//dgcN//ftnA//argF//edd//malS//paaH//narI//paaA//hyaB//purD//ssuE//uxaC//acnB//glgC//lpd//purM//putA//codA//ttdB//rpiB//guaB//hyaB//ruvA//mngB//argI//cysK//phnL//betA//aroH//ftnA//argG//gcvH//phoA//cueO//lsrF//ribA//ulaD//citG//
NarP	alsE//ilvM//dacC//caiA//dadA//folE//prpB//glcE//cyoE//moaD//ssuE//moaA//melA//hyaA//rutA//
NemR	malY//srlD//
NhaR	entB//ruvB//phnL//astA//caiA//
NikR	eda//
NimR	pdeL//
NorR	puuE//
NrdR	dmsB//nrdB//pdeR//glsA//
NsrR	fucO//glsA//glpQ//lysA//purA//ulaG//melA//uxaC//dadX//waaH//fumB//moaE//xylB//rimK//lacA//sbcD//bioC//narH//carA//rimK//phnG//trpD//sucD//ssuD//glmS//araB//nadB//glpQ//argE//dadA//narG//mazG//pepD//glcD//dhaK//gpmA//pgk//argG//fabI//mhpF//
NtrC	uidA//malP//dmsB//sucA//pdeH//yfdE//mhpE//tdcB//gudD//fumB//ulaF//garR//argD//rutC//mpl//ilvD//uxaC//pfkA//metK//araD//hyi//
OmpR	paaZ//leuB//tnaA//moaC//tam//glpX//hyaC//pheS//
OxyR	ldtD//nrdD//wecB//nrdB//gadB//iscS//sucA//sdaA//ahpF//nirB//cdd//pgaC//glmS//polA//purC//ssuD//pgaB//
PaaX	hmp//dmsA//uxuB//cysD//phnL//ttdA//zwf//nrdE//moeB//
PdeL	fabH//
PdhR	glnA//serC//fes//dapB//mhpD//recF//ssuD//dgkA//fadB//tdcB//tdcG//aroG//paaZ//gudD//lysC//bioA//allD//phnN//lacZ//cysE//nagB//nanA//speA//paaK//allA//
PepA	fucO//paaB//
PgrR	nrdB//sgbH//
PhoB	glpK//gnd//speA//allD//cysI//rhaA//glnA//lpxC//trpD//eno//uxuB//tdh//caiB//betB//ssuE//glcF//paaH//tauD//ccp//gloA//
PhoP	hypF//entC//ampC//tpiA//cysK//tdcB//zwf//rffG//entC//napA//fucA//moeB//dsdA//glpB//torA//lsrK//dsdA//glgC//icd//garR//gloA//phnH//mnmG//astE//sdhA//garR//napG//recB//tam//ilvI//ubiC//fabD//
PrpR	ppc//fabA//gcvP//metA//
PspF	paaF//
PurR	rhaD//tyrA//ccp//aceF//udp//mdh//nagA//psd//yqhD//ppiA//pgaD//epd//aroH//argB//gloA//purM//napG//rhaB//alaS//hypF//nemA//fucI//yiaK//wrbA//entD//fumC//
PutA	tdcB//aceB//
PuuR	rnpB//caiB//citD//ynfG//nfsB//carB//
QseB	
RbsR	psd//carB//mhpD//mhpB//ilvI//sufS//
RcdA	lacA//
RclR	
RcnR	cynS//
RcsAB	waaY//mhpC//ahpC//
RcsB	sdaA//astE//nrfA//asnA//
RcsB-BglJ	caiC//mnmG//
RelB	sodB//
RelB-RelE	umuD//
RhaR	
RhaS	garL//cysK//relA//hyaB//
Rob	eda//entF//sdhA//paaY//tehB//gapA//glcB//dkgA//dgcC//pgaC//aceB//paaA//cysM//idnO//metF//mhpD//alaC//cysI//pdeR//
RstA	fbaB//gpmM//mltF//
RtcR	umpH//phnI//
RutR	phr//icd//srlD//gor//pheT//malZ//sodB//edd//garK//ldtD//ahpF//
SdiA	
SgrR	mpaA//gadB//aspA//
SlyA	aroL//gcl//rpiB//trpA//hycC//metA//pyrC//ldtC//garL//
SoxR	rffM//
SoxS	tdh//ppiA//gatD//garK//lacZ//argD//ascB//phnI//gatD//ilvI//truB//glk//srlD//gdhA//bglB//cysC//moeB//grxA//uxaC//rpiB//glcE//lyxK//yeaG//phnH//prpB//fucU//
SrlR	rhaD//glnA//lpd//
StpA	entA//hypF//ynfH//
SutR	trpA//dapD//
TdcA	ppiA//yfdE//phnG//bacA//glxR//
TdcR	prs//ftnA//rhaA//glk//phnP//
TorR	rffG//paaK//dhaK//polB//entH//
TreR	aceE//lyxK//
TrpR	nfsB//paaA//glpA//pgaC//betA//tdcB//glpA//gntK//lldD//
TtdR	uidA//galE//
TyrR	yedX//hycD//narI//mraY//dacC//dkgB//hcaD//alaC//torC//
UhpA	nrdA//
UidR	araA//melA//
UlaR	gltB//yeaE//talA//fadI//oxc//
UvrY	sdaA//glgP//
UxuR	bioF//aroF//hypB//yqjH//ubiC//
XapR	fabG//hycF//
XylR	atoA//fabA//glcE//
YdeO	paaY//alkB//slt//
YefM	galT//
YefM-YoeB	mnmG//
YeiL	
YhaJ	
YiaJ	mhpF//polB//glpC//ygeA//chbG//dhaK//
YjjQ	purB//metK//
YpdB	
YqhC	wzc//accA//
YqjI	phoA//
ZntR	gatY//
ZraR	
Zur	yedX//
