# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	aroF//ilvH//
GcvA	rutD//pgk//prpC//
GlcC	tadA//purD//prpB//
GlpR	yeaG//nfsA//uxaA//gadB//purD//aceB//yiaK//
GlrR	
GntR	sdhA//zwf//carA//sbcD//dkgB//araD//rutB//phnP//ynfH//
GutM	pnp//gatY//puuC//
HU	folE//fabG//glk//fadM//asnB//ppsA//prpC//
HcaR	fbaB//frdB//
HdfR	
HigA	accD//
HigB-HigA	fes//
HipAB	aroL//glk//
HipB	pgaD//gadA//thrS//
HprR	thrS//murE//citE//trpC//
HyfR	glcD//
HypT	waaH//ahpC//polA//allE//yeaG//purB//lpxD//
IclR	mhpA//phnP//frdD//
IdnR	paaJ//metE//pyrC//recF//pgpC//pgm//
IlvY	ilvM//
IscR	mngB//puuE//iscS//tdcG//rhaB//galE//wecC//astB//
KdgR	cysN//tehB//
KdpE	ynfE//
LacI	wecC//codA//pgpC//
LeuO	dkgB//hemL//moeB//dadX//pnp//dinB//
LexA	hcaB//metF//ampC//nrdE//uxaA//allE//glpC//uxaA//dinB//acnA//ilvI//luxS//glpD//udp//nadB//hcaE//uvrA//ttdB//ybjG//tehB//sdaA//kbaY//ulaD//
LldR	lsrK//ddlB//
LrhA	
Lrp	truB//ycjG//galM//pagP//sgbE//citC//astB//phnJ//adiA//argI//glmS//pgaC//phnH//malZ//serC//uvrC//narH//rffC//uvrC//sdhB//mhpC//gatY//lsrK//adiA//glpB//fruK//psd//malS//pncB//paaI//purA//malY//moaE//pnp//araB//glk//ynfE//uxaC//rtcB//yeaE//
LsrR	ilvC//galT//mpaA//glgB//hycG//
LysR	puuB//
MalI	atoB//caiD//
MalT	alsE//nrfD//garK//yeaG//chbG//entF//
MarA	rutD//nrfD//glpA//truB//avtA//malZ//truB//ttdA//glxK//argC//oxc//sucB//purH//ulaG//metH//pagP//gntK//fucU//fabD//fabA//metB//ruvB//accD//lacA//
MarR	
MatA	metA//
MazE	leuA//
MazE-MazF	gnd//
McbR	
MelR	rtcA//cysG//
MetJ	astA//ldtB//mnmG//entE//eda//rutA//nrfC//eda//mhpE//hycF//
MetR	patD//dacC//ubiC//cysD//
MhpR	pdeH//lsrF//prpB//thrS//paaB//uvrA//
Mlc	cysG//rffC//mngB//idnD//
MlrA	kbaY//
MngR	glpK//sucB//
MntR	entC//gpmM//
ModE	pyrC//pflB//nfsA//sucA//bacA//trpB//fucK//cysM//dkgA//tyrB//glpX//araD//fes//purM//glpA//waaZ//caiA//
MprA	ldtB//lsrG//mhpB//
MqsA	sdhC//pepD//
MraZ	gntK//phnN//glxK//ulaF//cysC//allD//aceA//ldtB//aroF//hmp//
MurR	tnaA//dacC//gabD//
Nac	purM//paaC//glcD//hycC//dhaL//ppc//umpH//guaB//wzb//garL//murG//
NadR	aceB//sbcD//garL//murC//
NagC	phnN//amn//dhaL//entD//purH//eda//metA//tnaA//paaF//napH//yeaE//fau//lhgO//gabD//galT//hypB//astB//ulaF//allA//
NanR	cysM//dkgA//phnM//glgP//mhpC//ssuD//
NarL	fadH//paaZ//ydcS//rhaD//dapD//atoB//ppsA//alaA//ulaF//lsrK//gadA//gnd//bioB//nrfC//paaE//lacZ//pdeL//bacA//rutE//wecE//accC//idnO//dgkA//appA//cysH//nanA//glmU//cynT//paaZ//dgcC//bioF//garL//purH//treC//paaH//ubiX//gpmA//uxaC//hyaC//uvrC//fes//
NarP	citD//gcvH//lldD//murI//nrdD//add//accA//sdhC//ilvH//glpX//dmsB//purD//frdC//astC//rpiB//
NemR	hycG//wecE//
NhaR	tynA//ilvG_1//nfsA//fadE//ynfG//
NikR	pdeH//
NimR	fabA//
NorR	garR//
NrdR	alaA//yedX//tyrB//wrbA//
NsrR	metB//trpD//ldtB//leuC//frdA//ttdB//fucA//mpaA//leuC//kbl//murE//dadA//murI//fabA//galE//deoC//ddlB//murD//glpX//prpE//pnp//gatZ//glxR//alkB//entF//gcvH//kbl//allE//araD//sdaA//astE//ynfG//leuA//guaA//folA//paaG//uidA//glpQ//nrdE//phnN//
NtrC	ribA//sodA//edd//gapA//dadX//garR//ruvA//rffH//ilvC//pykF//bioF//cadA//hycB//dhaK//gcvT//wzb//ydcS//fadI//araD//citX//galK//
OmpR	paaC//nadB//rutC//arsC//tyrA//slt//lsrG//pyrD//
OxyR	dgcN//citF//purK//ynfG//zwf//ppiA//tpiA//lysA//allC//lpxD//hycG//citF//dkgB//lhgO//glsA//malQ//metH//
PaaX	ppiA//fadI//frdC//garD//sodB//allE//phnJ//gudD//aldA//
PdeL	putA//
PdhR	gatD//yedX//dkgA//cysK//pflB//rffT//bioA//ppiA//epd//waaZ//cynS//nadA//argE//cysK//puuA//garK//nirB//murD//gdhA//sufS//cysI//ada//entH//ubiA//frdC//
PepA	pck//ulaD//
PgrR	hcaB//ada//
PhoB	hyaA//frdA//napB//dapB//hycB//gcvH//guaB//appA//paaH//nanM//lsrG//alaA//entE//sufS//cysD//ampC//narH//allD//pheT//ygeA//
PhoP	cynS//fadH//purD//ppc//ssuD//polB//ilvH//pflB//lyxK//bglB//nagA//gadA//cysC//glpK//paaI//rhaB//tehB//frdD//rutD//pck//rnpB//tktB//nanM//sgbE//ulaF//fbaB//nrdF//trpB//dadX//sucA//rffC//ilvG_1//
PrpR	ilvM//sdhA//gor//adiA//
PspF	slt//
PurR	allD//folA//gpmA//ulaG//citD//hcaF//frc//fdhF//sdhA//hypB//gcvT//prpD//galT//astA//phnJ//sucD//gcvP//tynA//pdeR//pyrC//paaA//sdhC//ldtC//nrdF//sdhC//sdhB//
PutA	phnO//alkB//
PuuR	gabT//ydcS//fabD//ldtB//moaD//trpB//
QseB	
RbsR	yqjH//icd//argE//moeA//dacC//rbsD//
RcdA	amn//
RclR	
RcnR	cynT//
RcsAB	phr//idnK//hycF//
RcsB	zwf//patD//fumB//mazG//
RcsB-BglJ	lacA//nfsA//
RelB	galM//
RelB-RelE	ahpC//
RhaR	
RhaS	lldD//sucD//glpA//ubiX//
Rob	fucI//paaJ//cysH//paaI//aroF//sucD//dmsA//pgm//purN//dinB//rutE//tdcG//araB//katE//pykF//fabH//add//grxA//bioD//
RstA	gabT//malY//lacA//
RtcR	glpX//lacA//
RutR	hemH//paaY//ybjG//sdhA//fumB//metL//speB//hyaB//hyaC//ugpQ//cysH//
SdiA	
SgrR	uvrB//hypF//ynfE//
SlyA	glcB//bacA//rtcA//glxK//serC//truB//rutD//ppc//paaJ//
SoxR	gatZ//
SoxS	garK//mdh//nirB//citG//astB//ilvG_1//alaA//phnI//ftsI//ulaD//ftnA//chbG//nrdA//nagB//xapA//eno//hyaA//entE//puuD//fadE//moeB//garK//uxuB//phnG//galE//codA//
SrlR	murF//serA//srlD//
StpA	dhaL//glgX//sbcD//
SutR	glyA//rnpB//
TdcA	treC//fucA//ndh//nfsA//moaA//
TdcR	rutA//deoA//phnG//ulaE//yfdE//
TorR	nadB//gadA//ilvG_1//allB//purM//
TreR	frdB//ulaG//
TrpR	recF//rutB//mnmG//aroG//wzc//malY//dadA//lacA//ssuE//
TtdR	citD//paaJ//
TyrR	recD//uvrC//sdhA//nrdF//ldtB//astD//pgaD//citE//yedX//
UhpA	galK//
UidR	leuD//hypF//
UlaR	arsC//mltF//ubiA//purE//ubiC//
UvrY	argA//deoA//
UxuR	yqjH//leuD//tpiA//caiC//mtlD//
XapR	fbaA//uvrB//
XylR	paaG//epd//ppsA//
YdeO	deoA//pgi//mhpC//
YefM	ampC//
YefM-YoeB	cynS//
YeiL	
YhaJ	
YiaJ	frc//xylA//dinB//dgcZ//argB//kbaY//
YjjQ	prs//relA//
YpdB	
YqhC	ydcS//hycF//
YqjI	purH//
ZntR	citC//
ZraR	
Zur	cysI//
