# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	lysU//glcB//
GadX	fadB//nrfA//narG//waaZ//xylA//paaZ//trpE//lpxD//deoA//fucK//gcvP//pyrD//aceA//
GalR	ilvD//purD//caiB//sodA//trpE//yeaG//
GalS	argG//lsrF//lacZ//moeA//tnaA//ndh//
GatR	carB//accC//rbsK//
GcvA	ndh//mhpD//torC//
GlcC	pyrD//wecB//malP//
GlpR	bioA//ilvD//rutB//idnO//putA//mhpA//accD//
GlrR	
GntR	nanM//sdhD//sufS//frdA//sodB//bioD//ygeA//rutC//glcF//
GutM	glpB//gcvH//tdcG//
HU	pgaB//ubiC//napG//frdA//rpiB//asnA//adiA//
HcaR	hemH//bglB//
HdfR	
HigA	sucA//
HigB-HigA	alsE//
HipAB	ynfF//fabH//
HipB	acnB//metL//puuE//
HprR	avtA//frdC//sgbE//narI//
HyfR	ftnA//
HypT	caiD//narG//bioA//wzc//phnI//hycF//adhE//
IclR	entF//nrfC//gatY//
IdnR	betA//rutA//talA//mhpC//mhpA//glcF//
IlvY	metC//
IscR	argG//hcaB//hypF//phnG//sodB//galT//sucA//ulaF//
KdgR	asnA//astE//
KdpE	deoA//
LacI	ydcS//wecB//yqhD//
LeuO	citG//glpQ//dhaM//sucB//srlD//garD//
LexA	tehB//cysE//ybjG//fabB//garD//paaB//glmS//umuC//paaF//speB//ilvC//deoB//phnN//sodB//patD//fau//eno//glcD//mhpD//ampC//frdD//alsE//thrS//
LldR	tauD//hypF//
LrhA	
Lrp	serC//entA//chbF//iscS//gudD//hyaC//rhaD//idnO//sdhB//tauD//srlD//ynfE//hcaD//sucB//metB//phnP//ndh//bacA//dadX//rutA//glpA//lsrF//rhaA//trpB//glgC//uxaB//rnpB//wzb//nfsA//napB//hyaA//xylA//leuC//avtA//phnG//ynfE//nadA//phnH//adhE//napA//
LsrR	purL//cyoE//fabH//purA//gatY//
LysR	glcF//
MalI	argC//alaC//
MalT	edd//sufS//hycC//wecE//ulaD//pheT//
MarA	ttdB//atoA//ahpF//pdeH//sbcD//dmsC//pgi//acnB//yqhD//leuC//tam//glxK//bioD//glgB//sucC//truB//ilvI//deoA//ttdA//hmp//gor//asnB//fbaB//hyaA//
MarR	
MatA	gltB//
MazE	metA//
MazE-MazF	uxaA//
McbR	
MelR	galE//garD//
MetJ	sucD//lpxD//metB//pyrD//frdA//allB//hyi//ssuD//fucU//slt//
MetR	ahpC//ampC//dadA//yeaG//
MhpR	nanE//hyaA//alkA//pgi//metC//glpQ//
Mlc	nanA//hcp//napB//glcD//
MlrA	lsrF//
MngR	citX//cysH//
MntR	glxK//deoC//
ModE	ilvC//gor//torC//fabH//glmU//ogt//ddlB//atoB//katE//uxaC//ascB//ugpQ//lpxA//gcvT//dacC//purA//nrdD//
MprA	dkgA//melA//rffT//
MqsA	yeaG//wecB//
MraZ	ilvA//sodA//hycB//xapA//dgkA//narG//fdhF//ampC//gudD//caiA//
MurR	hypF//psd//polB//
Nac	speB//betB//poxB//cueO//hycB//nadB//paaK//sgbU//pykF//garD//glsA//
NadR	dhaM//pncB//fadJ//gabD//
NagC	pyrD//yfdE//sgbE//hcaB//icd//paaB//fbaA//deoD//moaE//ppsA//phnM//wecE//fucU//nrdA//malS//glpB//dapD//galM//glk//
NanR	hcaB//yqhD//lpxA//lsrG//dmsC//ldtB//
NarL	citG//guaB//citE//argA//codA//fabZ//cysD//cyoE//pdeL//ilvA//putA//ynfG//caiC//argC//hypB//gcvT//katG//alaC//katG//wecC//sgbH//napA//paaA//dacC//sodA//paaI//uxuB//citE//gudD//garR//purM//dkgA//kbaZ//nanK//uvrC//dmsB//pgm//pdeR//entF//galM//wecB//
NarP	iscS//purK//paaH//argF//dapD//rnpB//phr//nemA//fabZ//udp//metF//malZ//phoA//fumC//sodB//
NemR	glnA//asnA//
NhaR	nanK//sbcC//bioA//cyoE//umuC//
NikR	malQ//
NimR	ftnA//
NorR	murG//
NrdR	pdeH//sucD//kbl//puuD//
NsrR	sdhA//deoB//wecB//asnB//wecE//fadA//wzc//fumC//folA//dkgB//mhpF//ilvA//aceA//ftnA//gcvT//purC//nagB//glpX//polB//sucD//dhaM//glcF//cysI//phnI//bglB//tyrA//lhgO//dmsB//udp//alaC//carA//ulaE//kbaY//gapA//glgB//moaE//gpmM//rtcB//ubiX//hycD//
NtrC	torC//tadA//cysH//ppc//uxaB//cdd//phnP//aceB//gpmA//aroL//torC//purH//fucU//sgbE//sdhD//ppiA//thrS//codA//asnB//glgB//ruvB//
OmpR	ulaF//nfsA//ppiA//hcaE//aspA//hmp//pdeH//deoA//
OxyR	ilvM//gnd//lpxC//bioB//luxS//purL//lpxD//luxS//purE//ycjG//chbG//bioA//paaF//lpxD//dadX//rffC//cynS//
PaaX	atoB//citG//fabD//dgcZ//pgi//guaB//ldtD//aroA//citG//
PdeL	aceB//
PdhR	talA//fruK//paaJ//moaA//torA//wzb//lhgO//fabG//waaY//citD//rnpB//fadB//lsrF//dapD//metC//sdhC//pnp//hycD//truB//pheT//napG//glgC//murI//gatY//rhaB//
PepA	accD//bioB//
PgrR	murI//ribA//
PhoB	citG//ynfE//serA//waaH//bglB//gutQ//fadE//psd//truB//lacA//gpmM//lsrG//gdhA//gapA//nadA//astA//carA//paaE//phnH//purD//
PhoP	cysC//phnP//waaH//wecE//citF//nanM//appA//pheT//dgkA//gltD//putA//aroG//ubiC//murC//garK//glpA//ribA//rfe//lhgO//mraY//nanM//sbcD//bioD//fabI//sucA//pflB//gcl//yeaG//gltD//entD//cysJ//paaH//
PrpR	ruvB//purK//sgbU//argD//
PspF	gadB//
PurR	paaC//sgbE//epd//nemA//leuB//rtcB//ldtB//ssuD//hcaD//arsC//yeaG//purA//gapA//mnmG//aldA//citE//ppiA//tauD//acnB//puuA//ddlB//accA//hypF//glcE//cynS//deoD//
PutA	acnA//alsE//
PuuR	lsrK//ychF//yedX//ilvD//gltB//purL//
QseB	
RbsR	patD//aceA//mltF//aceA//patA//frdD//
RcdA	citD//
RclR	
RcnR	murD//
RcsAB	hyi//frdC//napH//
RcsB	fucO//asnA//umuD//rhaD//
RcsB-BglJ	cysK//fabB//
RelB	bacA//
RelB-RelE	dgcZ//
RhaR	
RhaS	glyA//sufS//uxuB//torC//
Rob	paaY//atoD//hyaA//glmS//mhpB//glpK//fadE//adhE//glpB//sdhD//entF//alaC//ung//astE//aceA//deoB//sufS//gcl//deoA//
RstA	rbsK//frdB//ahpC//
RtcR	nadA//tynA//
RutR	rhaA//srlD//asnA//putA//prpC//xapA//paaZ//wrbA//speA//aroA//fbaA//
SdiA	
SgrR	purL//fucI//pck//
SlyA	alsE//allB//glpB//nagA//nanA//ndh//wzc//phnL//leuB//
SoxR	pgm//
SoxS	glcE//citF//pgpC//umpH//aroA//tdcE//galK//cysH//dmsC//glmU//lysC//cysN//entF//lpxD//accD//fabB//puuC//yeaE//cyoE//astD//malQ//uxaC//kbaZ//aceA//mnmG//ampC//
SrlR	dhaK//kbaY//ycjG//
StpA	metK//pgm//prpD//
SutR	metB//paaE//
TdcA	gapA//atoB//fadH//lpxC//nanE//
TdcR	betB//ilvE//dinB//phnO//lhgO//
TorR	rbsD//cueO//dhaL//tdcD//mhpB//
TreR	fruK//prpB//
TrpR	iscS//ilvM//fadB//nadB//gltD//phnM//tktB//entE//carB//
TtdR	ilvA//xylA//
TyrR	allE//paaE//ydcS//accC//pyrC//hemL//ulaE//sufS//rhaA//
UhpA	ynfF//
UidR	napH//glxR//
UlaR	fabD//rsmH//lysC//rutE//rbsK//
UvrY	glyA//gcvP//
UxuR	serC//metC//hycB//trpE//iscS//
XapR	lacA//ruvA//
XylR	accC//nrdF//lyxK//
YdeO	rpiB//atoA//purD//
YefM	betB//
YefM-YoeB	tdcE//
YeiL	
YhaJ	
YiaJ	fes//entA//melA//speA//metK//xapA//
YjjQ	idnK//wecE//
YpdB	
YqhC	trpE//puuB//
YqjI	fabZ//
ZntR	glpC//
ZraR	
Zur	astB//
