# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	serA//sodA//
CusR	ahpC//garL//glpC//ada//
CynR	uxuB//fabD//glpX//
CysB	pheS//paaY//ruvA//moaC//fabB//tdcD//dapD//ldtC//ddlB//mtlD//mpaA//amn//polB//udp//pdeL//gatD//pgaB//
CytR	ynfE//araD//ttdA//pnp//phnG//argB//ulaF//gpmM//cyoE//ruvA//
DcuR	fadE//napG//ribA//dmsC//
DeoR	ruvA//moaA//fadH//hycE//phnI//tktB//
DhaR	pepD//
DicA	
DinJ-YafQ	allB//
DnaA	glgX//tktB//codA//ahpC//frdB//fumB//
DpiA	gabT//frdA//ung//lyxK//phnM//
DsdC	astE//cyoE//
EbgR	
EnvR	dmsB//bioB//
EnvY	eda//uxuA//
EvgA	astD//ybjG//phnH//purM//cynS//cysM//
ExuR	nanK//entA//tyrB//lldD//fadM//mhpE//
FabR	glsA//purA//glxK//
FadR	ilvE//phnO//fabB//kbl//garR//garR//srkA//purA//tnaA//ddlB//idnO//rtcA//aroL//gabT//uvrC//asnB//fes//fau//polB//
FeaR	alkA//lldD//
FhlA	sodA//pgi//astB//hcaF//dgcC//yedX//sdhC//cysG//
FlhDC	cyoE//mnmG//nanE//ribA//tyrB//glpQ//rfe//metB//nrdD//caiC//phnG//pheT//gltD//metK//
FliZ	truB//phr//paaC//ribA//yqjH//
FucR	glpQ//ldtC//gatD//fes//tktB//cyoE//
Fur	ftnA//pgaB//ogt//glgA//aroG//nadB//galT//phnP//gltB//lpxD//trpA//ppiA//aroG//phnI//ppiA//rhaA//asnA//thrS//tdcD//citX//avtA//galT//waaZ//hycC//pgaC//mhpE//galM//pgi//nrfC//trpA//luxS//pheT//fau//paaC//metB//paaG//nrfC//ynfE//lacA//dgcC//fabD//dinB//kbaZ//deoA//luxS//psd//waaY//puuC//entH//putA//atoA//purL//cadA//torA//ulaG//ung//caiD//galT//acnB//iscS//malZ//glgP//
GadE	mtlD//cynT//nrdA//lyxK//ssuE//phnN//uxaA//chbG//mpaA//fabG//
GadE-RcsB	gapA//idnD//moeA//gabD//cysJ//
GadW	fabH//fadE//guaA//phnP//
GadX	umpH//ybjG//ppsA//fadJ//guaA//purN//bioA//mngB//gpmM//pgpC//polB//fabZ//astC//
GalR	fau//rfe//nrdA//add//recB//ilvI//
GalS	purF//torC//deoB//fau//ubiX//argH//
GatR	glmU//glxR//yfdE//
GcvA	eda//ldtC//ygeA//
GlcC	phnL//fau//ldtD//
GlpR	ulaG//citF//idnK//metH//aceF//purE//ldtB//
GlrR	
GntR	accA//sbcD//tdcB//narH//alkA//ftnA//fadJ//lsrK//napB//
GutM	trpE//phr//purC//
HU	tadA//moaE//fbaA//bacA//nirB//paaE//guaB//
HcaR	nanE//astE//
HdfR	
HigA	icd//
HigB-HigA	eno//
HipAB	tdcD//fadA//
HipB	gcl//purD//moaC//
HprR	ulaF//fucU//wrbA//cyoE//
HyfR	malZ//
HypT	katG//bglB//yeaG//lsrK//purD//gadB//fadE//
IclR	mazG//aroA//alkA//
IdnR	waaY//prpD//puuA//allB//deoA//hyaA//
IlvY	gudD//
IscR	nadB//entC//aroH//dhaM//gdhA//ldtD//hcaB//atoA//
KdgR	ilvI//ulaE//
KdpE	nanK//
LacI	pck//citF//malY//
LeuO	hycG//purA//wecE//yeaG//pdeH//alkB//
LexA	pykF//uvrA//treC//deoA//yedX//bioA//ascB//murF//malQ//ychF//pgpC//ulaF//metE//wecE//waaZ//hycC//gatY//ynfG//dhaL//folE//glcD//malS//malY//
LldR	cueO//gatY//
LrhA	
Lrp	ascB//cysC//recF//glcF//glpX//glxK//argE//argD//ulaE//wrbA//glcF//idnD//tdcD//katG//frc//ilvD//frdC//gpmM//dkgB//cysG//dhaL//glxK//ada//ddlB//lhgO//glmU//nanM//dmsA//nanK//relA//gudD//phnL//pyrD//fucO//recF//ttdB//rutE//ribA//nrdB//nrfC//
LsrR	astA//sodA//galT//prpC//amn//
LysR	thrS//
MalI	ulaE//waaZ//
MalT	xylA//dkgB//argH//hemH//psd//alaS//
MarA	ccp//yqhD//poxB//ilvA//caiA//glxK//acnB//lysU//wzb//patA//lldD//citX//pagP//pheT//nrdA//fadJ//mhpD//dapD//malP//frc//gatY//pck//accA//entE//
MarR	
MatA	glxR//
MazE	patD//
MazE-MazF	allE//
McbR	
MelR	gor//prpC//
MetJ	patD//ttdB//nanE//ppsA//allC//yeaE//srlD//gdhA//ampC//uvrA//
MetR	gltB//hemH//dapB//polA//
MhpR	ssuE//folE//mtlD//avtA//aceA//ahpC//
Mlc	prpB//wecC//acnA//fabG//
MlrA	nanK//
MngR	entE//sucB//
MntR	nanM//metB//
ModE	gapA//entA//mhpB//sdhA//phnH//frdC//idnO//recF//cysG//fau//rhaA//araB//hemH//ilvD//gloA//purE//glxK//
MprA	betB//fucU//ppsA//
MqsA	pnp//ydcS//
MraZ	ubiX//ftnA//gabD//folE//nemA//fucU//lsrK//ppiA//betA//nrdE//
MurR	nanE//frdB//hyi//
Nac	ahpC//rpiB//ychF//puuD//tauD//fabZ//yfdE//astD//ftsI//rtcB//paaH//
NadR	entC//fabI//dkgB//lsrK//
NagC	astE//pgaB//nrdA//puuE//torC//ruvB//metK//oxc//psd//dadA//dsdA//bacA//garL//hycG//tyrB//hcaF//ychF//ttdB//tyrA//
NanR	nrdD//thrS//trpA//gpmA//rnpB//paaZ//
NarL	entE//ahpF//recD//ahpF//nrfA//glcF//cdd//glgP//folA//mazG//nadB//glgX//sbcD//argH//ycjG//uvrA//yqjH//prpD//glk//purH//yqjH//garK//aroF//srkA//luxS//ygeA//dmsB//relA//srlD//yiaK//glcB//lhgO//putA//frdC//uxaB//phoA//wzc//hycC//paaG//fabZ//cueO//
NarP	glpC//gor//pspE//phoA//garD//aroG//astD//dhaL//ydcS//puuB//adhE//ilvD//gcvP//pnp//ddlB//
NemR	ldtD//caiD//
NhaR	ynfH//alaA//tyrB//fdhF//glnA//
NikR	pgi//
NimR	ftsI//
NorR	trpC//
NrdR	ahpC//ulaG//katG//rbsD//
NsrR	argH//prpE//caiD//murD//glpD//mnmG//mdh//yeaG//hycD//dgcN//phnO//lpxD//trpE//idnO//torA//gcl//malZ//ychF//cynS//glpK//trpC//uxaB//waaY//rutA//trpB//guaA//ttdB//aspC//glgX//tdcB//glsA//rhaA//sucC//glcF//cyoE//murF//glk//paaC//moaD//ugpQ//
NtrC	dapB//alaS//ycjG//ilvE//tpiA//cysC//deoC//aspA//leuC//phnJ//deoC//pfkA//argE//citF//sucA//hycD//dhaL//aceA//paaK//hyaC//ilvG_1//
OmpR	bioD//atoD//mngB//moaD//treC//epd//uvrC//bioF//
OxyR	galK//ynfE//serA//luxS//prpC//paaH//malZ//phnO//hycB//treC//ttdA//glgX//ilvE//ilvA//sucD//pgk//rffH//
PaaX	paaG//wecE//grxA//adhE//dinB//glpD//allE//hyaB//hcaC//
PdeL	lhgO//
PdhR	dadA//mhpE//carB//rffM//arsC//deoC//metF//phnG//leuA//accC//sdhD//alkA//trpB//ldtC//katE//nadA//tehB//metC//dadA//leuD//purE//fucI//amn//ppc//ilvH//
PepA	nrfC//rbsD//
PgrR	argH//metB//
PhoB	pyrD//glpC//dmsA//ilvM//ttdA//gltD//ygeA//alkA//murD//argD//entH//lpxC//speB//astD//phnN//pyrD//hcaB//sbcD//prpE//murD//
PhoP	dadX//pfkA//ynfF//hemL//gpmA//uxuB//metE//eda//iscS//ftnA//aroH//mtlD//pfkA//mhpF//aceE//thrS//paaZ//argI//paaE//astA//pck//fadA//metF//gpmA//rpiB//fadJ//umuD//rutB//metA//fadA//patA//talA//
PrpR	aroA//ldtC//folA//psd//
PspF	pheT//
PurR	hcaF//katE//fruK//treC//gcvP//deoA//glsA//frdB//metL//caiA//mngB//rffG//napA//phnP//fabA//mhpE//bioF//purM//cynT//paaI//rutC//trpE//paaK//puuC//pagP//lysU//
PutA	metE//chbF//
PuuR	paaA//fbaB//araB//mhpF//mnmG//cdd//
QseB	
RbsR	glxK//fabH//entB//astE//waaZ//mhpE//
RcdA	glcD//
RclR	
RcnR	fucA//
RcsAB	ulaF//fes//argC//
RcsB	ynfG//citD//glmS//ilvA//
RcsB-BglJ	sbcC//entA//
RelB	thrS//
RelB-RelE	mhpD//
RhaR	
RhaS	nrdD//deoB//nanE//guaA//
Rob	idnK//ldtB//ldtC//sucA//nagA//lpxC//lldD//nrfD//fadH//pgaC//tdcB//pykF//prpC//codA//pykF//ilvD//lsrF//sgbE//uvrB//
RstA	ascB//glpK//glpD//
RtcR	caiA//frc//
RutR	murG//rutD//fucA//ynfE//polB//glgC//sucC//wecB//alkB//ttdB//lpxC//
SdiA	
SgrR	codA//argB//aroA//
SlyA	aldA//recB//fumB//bioC//chbF//alkA//waaY//glnA//entD//
SoxR	frdB//
SoxS	aspA//mhpE//lysC//acnA//nirD//sdaA//ychF//cysG//prpD//ldtC//glcE//dgcC//hycG//rhaD//nrdD//garR//mtlD//mngB//uxuB//citX//xylB//rutC//bioB//rutB//sdhD//tynA//
SrlR	murD//dsdA//pagP//
StpA	hemL//ung//gloA//
SutR	sucA//serA//
TdcA	adhE//leuA//cadA//paaE//leuD//
TdcR	sucA//ribA//glxK//rbsK//ddlB//
TorR	wzc//dkgB//nrfD//uxuB//dapD//
TreR	nrdF//rutA//
TrpR	ccp//tehB//ppsA//frc//truB//srlD//nagA//ddlB//rbsK//
TtdR	fadB//cysG//
TyrR	avtA//nrdA//malQ//glcE//tehB//citD//kbaZ//nanA//paaJ//
UhpA	katE//
UidR	fumB//frc//
UlaR	allA//ruvB//lsrK//moaA//tehB//
UvrY	mhpD//fadM//
UxuR	moaE//cdd//rbsD//citX//cynS//
XapR	aceA//nirD//
XylR	phnM//aroA//patA//
YdeO	hmp//umuD//nrdA//
YefM	cdd//
YefM-YoeB	wrbA//
YeiL	
YhaJ	
YiaJ	bioA//uvrB//hcp//phnO//adiA//gpmA//
YjjQ	pgaD//asnB//
YpdB	
YqhC	metB//cdd//
YqjI	idnO//
ZntR	astC//
ZraR	
Zur	fadA//
