# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	puuA//gapA//
UxuR	glcD//recF//mnmG//yfdE//cysJ//
XapR	fadD//murE//
XylR	uidA//sucC//tynA//
YdeO	paaK//aspA//hyaB//
YefM	dapD//
YefM-YoeB	dacC//
YeiL	
YhaJ	
YiaJ	phnN//ribA//aroA//katG//ndh//pyrD//
YjjQ	cynT//glpB//
YpdB	
YqhC	ppiA//mpaA//
YqjI	fabI//
ZntR	uidA//
ZraR	
Zur	aroL//
