# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ilvC//ilvG_1//
NarL	malP//ilvI//nanE//ascB//sodB//frdC//icd//pncB//prpB//rhaD//fadD//pdeL//moaC//cysE//cysG//hyi//speA//nanK//pnp//sdaA//pnp//srlD//nrdB//gcl//idnD//mraY//dadX//accA//ulaG//moaC//ilvH//deoC//cysJ//malP//hycD//malZ//mngB//araD//galT//ubiC//argH//
NarP	phnH//waaH//asnB//prpE//fadD//malP//argG//gudD//allB//prpE//hcaF//tehB//nrdB//lysA//folA//
NemR	ahpF//lhgO//
NhaR	fumC//astB//frdC//garD//recD//
NikR	katE//
NimR	hycB//
NorR	ribA//
NrdR	deoC//tam//garD//pheS//
NsrR	sgbU//entC//iscS//asnA//lsrF//fadI//rbsK//ygeA//dadX//poxB//garR//ndh//phr//carB//garL//aspC//bacA//fumC//fbaA//wecC//pgaD//acnA//fabG//wzb//phnL//pyrC//ydcS//mhpA//yeaE//ogt//glpC//pdeR//gadA//caiB//murG//phnI//fucO//sucA//gadA//malZ//
NtrC	lsrK//ilvC//lysC//mhpD//glmS//rpiB//xylB//ung//ynfH//nanE//aroL//metK//ndh//bioD//recD//hypB//mngB//pgk//murD//tdh//aceE//
OmpR	purF//xapA//umuC//bioD//aroG//rutA//glcF//aceF//
OxyR	ilvH//ulaD//glpQ//hmp//idnK//tadA//glgC//betB//cysE//dadA//fadB//carA//tdh//pdeR//rutC//mraY//glnA//
PaaX	mnmG//mhpB//phnL//yfdE//araA//mnmG//hcaF//ilvH//tktB//
PdeL	ada//
PdhR	trpB//polA//uvrB//fumC//melA//ddlB//tdcE//zwf//hemL//mdh//bacA//lsrK//argA//hcp//frc//cynT//purD//hyaA//mdh//argH//paaG//adhE//paaG//glxK//sdaA//
PepA	ssuE//fadD//
PgrR	nagB//frdC//
PhoB	ynfG//gor//phnO//carB//fucK//sbcD//gcvT//glpX//add//frdB//glgX//ppiA//fadD//puuD//metK//cynT//nadA//iscS//nadB//luxS//
PhoP	oxc//fau//waaH//dhaL//nfsA//ppc//gudD//purF//yedX//nanK//moaA//atoB//ppc//uvrA//entF//nrfC//idnD//nanK//slt//araD//galM//leuC//avtA//sdhC//glpD//astC//araB//hmp//srlD//pck//mhpC//aspA//
PrpR	rhaD//adiA//rtcB//iscS//
PspF	serA//
PurR	entH//pykF//atoB//tauD//fabG//dadA//araB//glxK//ulaG//idnO//feaB//araA//sodB//ygeA//paaA//sdaA//paaA//gatY//pyrC//xylA//fabI//fabD//napB//hycF//galT//nirD//
PutA	appA//nrfC//
PuuR	leuD//luxS//phnL//kbaY//sucD//murD//
QseB	
RbsR	tnaA//cysN//deoD//codA//glyA//gnd//
RcdA	nanK//
RclR	
RcnR	sgbE//
RcsAB	murD//nrdA//ahpC//
RcsB	glpX//prpD//nrdD//nanE//
RcsB-BglJ	udp//dmsC//
RelB	hcaC//
RelB-RelE	allE//
RhaR	
RhaS	oxc//entF//hycE//rbsK//
Rob	dapB//dkgA//paaB//treC//hcaE//prpE//codA//rffH//adiA//argC//nadB//paaK//murD//paaF//murI//pheT//phnL//ppsA//recD//
RstA	ilvC//gltD//moaC//
RtcR	tynA//phoA//
RutR	fadE//gcvT//rimK//tyrA//tktB//uvrB//purD//fruK//cysI//citG//ynfE//
SdiA	
SgrR	purM//malY//fucK//
SlyA	paaH//wecB//purM//dgcZ//kbaZ//ubiC//hypF//edd//zwf//
SoxR	aceA//
SoxS	nrdF//purE//grxA//pgaD//patD//murG//speA//gloA//tauD//rutB//araD//glyA//citE//wecC//mhpE//astA//deoA//hmp//glsA//pgk//entB//fucO//araD//relA//pheT//paaF//
SrlR	hemH//recF//murI//
StpA	mazG//dsdA//uidA//
SutR	sdhB//fucA//
TdcA	kbaY//glpC//entA//fadD//srkA//
TdcR	feaB//recF//glpB//cysC//recF//
TorR	katE//pheS//folA//aceF//poxB//
TreR	pflB//sucA//
TrpR	icd//ydcS//argA//purA//zwf//nadA//tdh//malQ//slt//
TtdR	alaC//ilvA//
TyrR	aspC//glmU//galT//xylA//ppiA//ubiC//yqhD//sbcD//sodB//
UhpA	aceE//
UidR	lhgO//mhpB//
UlaR	cysC//sdhD//uxaA//gcvP//metF//
UvrY	phnP//sucD//
UxuR	fadA//malP//ubiC//pspE//ahpC//
XapR	gdhA//betB//
XylR	glpD//ascB//purC//
YdeO	ilvD//argI//dadA//
YefM	moaA//
YefM-YoeB	astA//
YeiL	
YhaJ	
YiaJ	cysG//bglB//paaC//pheT//sdhB//argB//
YjjQ	rnpB//prpC//
YpdB	
YqhC	mngB//rimK//
YqjI	fadM//
ZntR	napB//
ZraR	
Zur	talA//
