#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	ilvG_1//b0063//
CRP-cAMP_pos	b0515//b0616//b3709//b2580//b0720//b4102//b3908//b2489//b4059//b4159//b0330//b2631//b4384//b0338//b3567//b1500//b1901//b0349//b0107//b2866//b1297//b3006//b3212//b3115//b1301//b2760//b1673//b4438//b1205//b3971//b2591//b0115//b4401//b0197//b0462//b2092//b4671//b1391//b2979//b4006//b1244//b3311//b3830//b4476//b4287//b0589//b1613//b0720//b0411//b1615//b0595//b2600//b0929//b1482//b2993//b0827//b4105//b0894//b1546//b2903//b3845//b2711//b1532//b0583//b2406//b0814//b0755//b1256//b0959//b3273//b1260//b3038//b4392//b2211//b2392//b4319//b2487//b0605//b3405//b0189//b2763//b1337//b0116//b3726//b3167//b3599//b2029//b1681//b3224//b0594//b3327//b2591//b1704//b3605//b1334//b4138//b3356//b0622//b3521//b1038//b1394//b2571//b0183//b1335//b3610//b4317//b2755//b0996//b1389//b3934//b2375//b2195//b0860//b1530//b4567//b1006//b4511//b3332//b2911//b3567//b2752//b1287//b0388//b1615//b4438//b1736//b2727//b0390//b3227//b4288//b3438//b3165//b3170//b2852//b3672//b3942//b0998//b1704//b3455//b3450//b2079//b2236//b3314//b1036//b0347//b1747//b1673//b2223//b2194//b1987//b4355//b1781//b3124//b3133//b2994//b3277//b0178//b2242//b1717//b0998//b4054//b4382//b0679//b1516//b2153//b3458//b4460//b1323//b1593//b2671//b3724//b0872//b0728//b0038//b2868//b4317//b2752//b2705//b0339//b2373//b2715//b2234//b4076//b3114//b4663//b0123//b1040//b3941//b4118//b3702//b3903//b0781//b0366//b3939//b4120//b4129//b2559//b1656//b0619//b4451//b3904//b3564//b2146//b0191//b2153//b4169//b1224//b1513//b1590//b2608//b2572//b3364//b2200//b2942//b2283//b1429//b3671//b3725//b0077//b3905//b4426//b3971//b0995//b2148//b0198//b2559//b2866//b2240//b0615//b3403//b3315//b2406//b0978//b1389//b2430//b2943//b2712//b3070//b0970//b3416//b4355//b0979//b3451//b0166//b4172//b4292//b1743//b2557//b3774//b1620//b1011//b2589//b1256//b3725//b3726//b2730//b2707//b3521//b4324//b1883//b0154//b2608//b2029//b3725//b4671//b2659//b0997//b4670//b2987//b4034//b1537//b3831//b4153//b2866//b1007//b2370//b3278//b3530//b1683//b3327//b0367//b0112//b3669//b3521//b3077//b3608//b1132//b0572//b2975//b4175//b2763//b1275//b0945//b3171//b4291//b0586//b2200//b2923//b1744//b2106//b0785//b1615//b0935//b0723//b4322//b4101//b1301//b2152//b3409//b2509//b4450//b3863//b0377//b2552//b0759//b4355//b0759//b3969//b2852//b0764//b0889//b2206//b0613//b3315//b1102//b4417//b0934//b1613//b2492//b1252//b4315//b4094//b3481//b4175//b0184//b1015//b2996//b3450//b2660//b1112//b2943//b0367//b4172//ilvG_2//b3414//b0432//b1385//b0763//b2222//b2212//b0978//b0440//b0826//b4313//b1220//b2507//b1008//b0161//b3430//b0675//b1514//b2148//b3168//b1738//b3773//b0198//b1615//b2728//b1272//b2490//b4266//b4171//b3926//b4417//b3437//b1246//b3751//b1883//b4382//b1321//b1704//b4099//b1220//b1733//b3860//b3708//b1616//b3315//b2742//b0757//b1516//b3533//b3335//b0614//b2367//b1220//b2957//b0785//b0778//b2975//b3316//b0461//b4399//b2991//b2723//b4240//b3273//b3709//b4313//b0078//b2926//b2211//b0180//b3126//b1797//b1987//b3441//b3541//b1396//b2709//b3213//b3869//b2721//b2573//b2722//b2234//b3231//b1594//b1612//
ChbR-Monoacetylchitobiose-6P_neg	b3905//b1859//b2213//b0592//b3169//b1264//
ChbR-Monoacetylchitobiose-6P_pos	b3026//b2424//b1020//b4172//b0037//b0812//
CpxR-Phosphorylated_neg	b0862//b0933//b0570//b4013//b1397//b2091//b4099//b1338//b1015//b2235//b4317//b2711//b1390//b0729//b1112//b2723//b0976//b1704//b4702//b0383//b3750//b2163//b3957//b1658//
CpxR-Phosphorylated_pos	b3611//b2530//b0895//b2709//b0202//b0933//b0679//b1043//b1714//b3540//b1515//b3081//b4670//b4289//b0862//b2560//b0042//b3476//b2205//b1857//b2995//b1501//b3855//b1597//b1261//b2151//b1276//b4288//b3725//b4471//b2284//b2704//b3960//b2085//b0345//b4102//b3092//b4003//b2311//b0565//b0676//b3672//b1297//b2580//b0184//
CreB-Phosphorylated_neg	b4599//b1043//b0606//
CreB-Phosphorylated_pos	b0338//b0352//b3968//b3212//b0553//b2552//
CueR-Ag_neg	b3423//b1476//b2106//b3123//b3266//
CueR-Ag_pos	b2235//b0044//
CueR-Cu+_neg	b3431//b2904//b2660//b0517//b2715//
CueR-Cu+_pos	b3480//sroD//
CuerR-Au_neg	b4092//b4310//b0039//b4151//b2107//
CuerR-Au_pos	b3415//b0190//
CusR-Pasp_pos	b2763//b2661//b0895//b1039//b3599//b0860//b3942//b1814//b1262//b3934//b0313//b0515//
CynR-Cyanate_neg	b2866//
CynR-Cyanate_pos	b2709//b0553//b2308//
CysB-N-acetyl-L-serine_neg	b3476//b3481//b1224//b1391//b2713//b2284//b3266//
CysB-N-acetyl-L-serine_pos	b2365//b2476//b2094//b3828//b2283//b3428//b4384//b1474//b0314//b1589//b0721//b2092//b1391//b2235//b2490//b2721//b3409//b3845//b4007//b4311//b1015//b3493//b2584//
CysB-O-acetyl-L-serine_neg	b4471//b2197//b2580//b0602//b1388//b0331//b4124//
CysB-O-acetyl-L-serine_pos	b4290//b1379//b0178//b3469//b4177//b4073//b0887//b2661//b2663//b0887//b3321//b0758//b1589//b3541//ilvG_1//b2987//b0720//b0935//b3912//b1039//b2560//b0168//b0720//b0758//
DcuR-Phosphorylated_pos	b1300//b2221//b4249//b1746//b0564//b3363//b2726//b1222//b4101//
DnaA-ATP_neg	b4292//b2631//b2840//b4669//b2241//b3451//b0887//b0153//b2529//b2393//b0959//
DnaA-ATP_pos	b0557//b0111//b4382//b2499//b3574//b1513//b3959//
DpiA-Pasp_neg	b0586//
DpiA-Pasp_pos	b1501//b1036//b1207//b2194//b2588//b0733//b2148//b2912//b0335//b2221//
DsdC-D-serine_neg	b3171//
DsdC-D-serine_pos	b0430//b1733//
EvgA-Phosphorylated_pos	b3531//b0937//b4034//b2659//b2608//b3939//b4289//b2283//b4451//b0618//b2485//b3426//b4070//b3450//b3567//
FNR-Fe_neg	b3828//b3958//b3125//b0330//b0203//b3225//b2912//b0586//b2416//b2702//b0197//b1379//b0460//b0615//b3276//b3415//b1719//b0812//b1499//b3709//b0192//b3418//b2570//b2992//b4431//b1189//b1609//b4355//yegZ//b1682//b0908//b4203//b2572//b4460//b3132//b1810//b4013//b1674//b4115//b4311//b0978//b0352//b2211//b3278//b0586//b0781//b1679//b2801//b4196//b2762//b1024//b4037//b3722//b4093//b3117//b3751//b1679//b0347//b0341//b4070//b3669//b3908//b1038//b2290//b0572//b1712//b3927//b4092//b1609//b3617//b0032//b2528//b0428//b4417//b2965//b0756//b4094//b3431//b1287//b2372//b2063//b1656//b3315//b4008//b0595//b2703//b2146//b1224//b0035//b2741//b2482//b2662//b1002//b0622//b1224//b2852//b2754//b0616//b4071//b0872//b3327//b2728//b4310//b3392//b1735//b1511//b0064//b4438//b1265//b0031//b1009//b4382//b1546//b1209//b3165//b4009//b1396//b0345//b4289//b3604//
FNR-Fe_pos	b0125//b0430//b0484//b1041//b0240//b1244//b0400//b0430//b2203//b2724//b3906//b3124//b3970//b0342//b0061//b4009//b2076//b0151//b4068//b3170//b2551//b2203//b3749//b1111//b0591//b0124//b1537//b3324//b1521//b3455//b1247//b2371//b2754//b3273//b4036//b2607//b1608//b0903//b4014//b1714//b2720//b2373//b0340//b4392//b2927//b3230//b2287//b4202//b3672//b4397//b1127//b0430//b1613//b3532//b4018//b2313//b3312//b2961//b1797//b1102//b0980//b4102//b1747//b4072//b1392//b1397//b0729//b3125//b1852//b0167//b1497//b1530//b1298//b2375//b0682//b2422//b1615//b2977//b2697//b1796//b1532//b2096//b2757//b3214//b0399//b1391//b0615//b4194//b3773//b2152//b3404//b0338//b1738//b3026//b1498//b2727//b4249//b2279//b2236//b0108//b1889//b2091//b1208//b4468//b1022//b4102//b0814//b4070//b3481//b3410//b3227//b2282//b4132//b2557//b1988//b0594//b1227//b2531//b2486//b3212//b3222//b0827//b3566//b3864//b4007//b0676//b0167//b3428//b1209//b2085//b1062//b3117//b1101//b2425//b3688//b1302//b2630//b3469//b4122//b0114//b0450//b3912//b2722//b3441//b3415//b0996//b2373//b3770//b0596//b4319//b4392//b3870//b3432//b3479//b1587//b1532//b1656//b1617//b3450//b4093//b3072//b0313//b1706//b3356//phnE_2//b1528//b1482//b1222//b2285//b2975//b0721//b0450//b3416//b2725//b1260//b3752//b0296//b0403//b3511//b1517//b0179//b0378//b1884//b4106//b1016//b2422//b2531//b1002//b2212//b2235//b3781//b2096//b1670//b4313//b4124//b0336//b2155//b1337//b3116//b1002//b2866//b0339//
FhlA-Formate_pos	b1736//b1287//b3330//b1392//b4669//b4167//b2163//b0335//b1394//b2703//b3274//b2201//b1587//b3859//b2840//b4314//b1022//b4698//b0191//b0340//b4015//b4034//b3766//b1885//b1885//b0041//b1616//b3452//b0907//b3925//
FucR-L-fuculose-1-phosphate_pos	b2717//b2470//b2424//b3567//b1616//b0352//b4242//
Fur-Fe2+_neg	b4203//b3588//b1393//b0934//b3959//b1130//b0613//b3518//b0820//b4131//b1241//b2344//b0759//b1616//b0168//b3940//b1389//b2750//b2867//b1287//b2852//b3227//b2997//b4502//b1415//b0887//b3543//b4417//b0933//b1780//b3432//b3326//b1732//b3566//b1518//b4310//b0895//b0333//b4319//b3367//b2904//b1904//b3855//b3366//b3725//b3134//b1275//b0734//b3227//b1594//b2341//b4476//b1517//b2213//b3223//b3081//b3165//b3863//b4106//b4315//b2239//b2344//b1208//b4037//b4075//b4095//b0451//b1012//b3071//b2607//b1262//b1532//b0240//b1612//b4367//b1262//b2674//b2075//b3161//b2996//b4471//b1136//b1608//b4040//b4467//b4168//b0033//b2223//b1679//b0349//b2288//b3413//b2706//b3116//b3261//b4316//b1889//b2407//b4170//b1888//b2194//b1136//b3278//b0602//b1514//b1336//b1852//b2310//b2758//b1921//b3212//b1780//b2709//b2706//efeU_2//b2965//b2240//b3671//b1006//b3958//b0040//b0063//b2666//b1007//
Fur-Fe2+_pos	b2937//b0184//sroD//b3851//b2583//b3617//b2074//b0343//b2367//b1301//b1641//b1109//b1244//b4670//b2009//b0039//b0774//b0593//b1609//b0112//b2559//b3221//b3521//b1682//b2803//
Fur-Mn2+_neg	b1256//b3115//b3312//b3864//b1421//b2224//b2723//b3213//b3057//b1243//b3588//b2415//b1826//b2804//b0678//b1737//b0759//b3709//b0827//b1102//b3450//b1007//b4139//b4289//b3240//b0679//b3859//b3749//b3126//b1429//b1132//b1131//b3846//b2716//b3320//b1970//b0820//b3603//b3511//b1817//b1006//b1748//b3317//b0621//b2732//b0959//b3172//b3118//b0973//b2720//b1516//b4002//b3757//b1588//b0733//b3667//b4241//b3005//b1276//b1904//b1615//b1547//b3476//b3863//b2421//b3958//b2374//b3242//b2281//b2500//b3863//b3961//b0728//b4139//b4200//b4242//b4383//b0584//b0166//b1920//b0042//b3469//yegZ//b4132//b2841//b3113//b0874//b4040//b0785//b0337//b1679//b1391//b1704//b2724//b1673//yegZ//b2486//b0976//b0178//b4092//b2342//b0450//b3165//b0125//b0192//b0450//b3454//b4193//b1245//b4072//b2276//b3036//b0161//b2241//b0894//b2571//b3541//b1243//b2075//b4175//b1023//b0181//b3072//b4092//
Fur-Mn2+_pos	b4059//b3700//b0591//b0755//b2707//b2755//b3938//b2962//b0040//b4663//b3567//b3326//b3461//b1620//b3425//b0933//b3830//b1732//b1858//b2107//b1497//b2552//b3365//b1512//b1970//
GlcC-Acetate_neg	b4054//
GlcC-Acetate_pos	b4092//b0314//b3363//b3429//b3072//b3724//
GlcC-Glycolate_neg	b0978//
GlcC-Glycolate_pos	b0396//b0722//b1337//b0684//b0428//b2208//
GlrR-Pasp56_pos	b2912//
IclR-pyruvate_neg	b1220//b1007//b2375//b3126//
IdnR-5-ketogluconate_neg	b1263//b2485//b0937//
IdnR-5-ketogluconate_pos	b0197//b3958//b4054//b4067//b4398//
IdnR-Idonate_neg	b0366//b0168//b0204//
IdnR-Idonate_pos	b2597//b0040//b2277//b3418//b3603//
IlvY-2-acetolactate_neg	b4292//
IlvY-2-acetolactate_pos	b0977//
IlvY-Alfa-acetohydroxybutirate_neg	b2762//
IlvY-Alfa-acetohydroxybutirate_pos	b2724//
IscR-2Fe_neg	b0622//b0184//b2171//b3728//b4131//b1131//b2584//b4068//b3927//b1883//b0928//b0757//b3081//b3927//b2296//b0341//b3272//b1130//b0181//b3324//b0676//b4287//b1684//b2702//b1407//b2482//b1297//b4024//b3395//b1901//
IscR-2Fe_pos	b2712//b1020//b4174//b0207//b2551//b1395//b1513//b1276//b2759//b4698//b2075//
LldR-L-lactate_neg	b3758//b0116//b3408//
LldR-L-lactate_pos	b0462//b1519//b1887//
Lrp-Leucine_neg	b4264//b1476//b1655//b2288//b3212//b1532//b2372//b0997//b2721//b0432//b2717//b1336//b1889//b3864//b4099//b2367//b1680//b2075//b1683//b4393//b3934//b2990//b3723//b3938//b0460//b0886//b1379//b1889//b1744//b1301//b0675//b4382//b0377//b1540//b0613//b0729//b4076//b2923//b1227//b3671//b2429//b3123//b0334//yegZ//b2552//b0461//b2905//b4102//b4035//b4068//b4320//b3418//b3957//b2710//b1264//b1136//sroD//b2597//b3869//b1112//b1009//b2276//b2976//b0776//b0936//b0106//b3532//b2707//b1616//b3541//b2942//b3077//b3905//b1493//b4037//
Lrp-Leucine_pos	b4698//b0180//b3453//b0819//b4637//b1902//b4111//b4451//b1338//b0484//b1682//b2943//b3724//b2486//b3324//b3035//b3722//b1779//b2553//b2560//b2375//b3426//b2091//b4177//b0430//b0166//b4019//b0398//b3403//b3588//b3221//b0182//b1023//b3329//b3409//
LsrR_neg	b2149//b2232//b3081//b3904//b1222//b0785//b3431//b2212//b4324//
MalT-ADP-Maltotriose_pos	b3942//b3334//b0784//b2096//b3429//b3227//b3324//b1782//yegZ//b0597//
MalT-Maltotriose-ATP_pos	b2151//b3845//b2416//b3276//b0585//b2464//b2416//b3457//b4239//b0345//
MelR-Melibiose_neg	b0996//b1641//b1132//
MelR-Melibiose_pos	b3510//b0973//b3169//
MetJ-S-adenosylmethionine_neg	b0605//b1597//b2425//b0221//b4032//b2671//b0820//b2723//b0039//b2709//b1704//b0935//b0894//b0334//b2713//
MetR-L-homocysteine_neg	b0820//b3431//
MetR-L-homocysteine_pos	b0107//b4266//b0035//b3481//
MhpR-3-DHPP_pos	b1547//b0934//b3571//b3453//b0729//b3518//
MhpR-3HPP_pos	b0311//b3615//b0596//b0191//b4266//b2702//
MntR-Cd2+_neg	b2852//b3456//b2584//b4242//
MntR-Cd2+_pos	b3603//
ModE-MoO42-_neg	b3429//b3830//b3939//b2723//b3752//b2763//b4209//b0592//b0606//b2584//b2424//b3236//b0334//b1109//b3223//
ModE-MoO42-_pos	b2965//b1613//b2235//b0123//b4151//b4417//b3222//b3274//b3667//b4198//b2476//b3609//b1297//b3938//b2977//b1009//b4254//b1398//b2583//b3542//b1395//b3394//b0754//b4201//b0031//b0586//b0311//b0979//b2726//b2707//b4393//
NarL-Phosphorylated_neg	b4467//b1817//b3332//b3166//b3453//b2804//b1265//b2711//b4118//b4160//b3748//b2277//b4071//b0042//b3403//b4669//b3116//b0614//b2608//b0221//b0588//b0908//b1921//b0451//b1681//b2500//b2367//b0862//b0400//b0873//b1395//b2085//b2818//b0037//b0111//b4511//b1616//b4460//b2801//b1379//b1260//b0109//b0765//b1227//b3608//b3709//b0936//b2584//b3096//b1211//b1501//b1129//b1540//b0064//b4160//b0872//b3313//b3318//b0347//b0378//b0860//b3868//b2589//b2076//b0723//b0032//b0895//b0108//b4316//b0977//b2718//b1388//b1920//b0166//b2995//b3724//b0675//b1207//b4431//b2570//b2029//b2240//b0585//b2370//b1921//b3668//
NarL-Phosphorylated_pos	b0929//b2942//b3544//b3240//b2722//b0201//b1132//b0390//b3221//b0177//b0398//b2912//b1674//b4172//b2365//b1851//b3604//b3970//b4000//b1256//b2708//b1389//b4698//b3124//b3721//b0959//b4381//b2277//b0516//b0345//b0378//b0337//b1608//b3207//b2589//b1988//b2840//b0959//b1743//b1264//b3540//b3669//b2976//b3405//b3469//b0397//
NarP-Phosphorylated_neg	b0591//b1521//b2943//b3477//b2588//b1036//b1641//b1299//b0338//b1220//b1597//b3766//b1391//b3601//b1398//b0723//b3908//b4170//b2758//b1261//b0109//b0153//b1130//b0178//b1810//b3701//b2804//b2762//b3093//b0184//b2492//b2660//b2241//
NarP-Phosphorylated_pos	b4172//b1499//b2716//b4309//b0586//b0980//b0296//b3038//b2242//b3212//b3359//b2588//b4102//b1396//b4321//b3405//b0334//b1818//b0776//b3961//b0889//b3316//b1132//b4287//b1265//b1818//b2977//b0202//b0366//b1407//b0181//b0904//
NhaR-Na+_pos	b0368//b2481//b4123//b0975//b3357//
NikR-Cd2+_neg	b3605//b3135//b1970//b2075//b2079//b0342//
NikR-Co2+_neg	b2799//b1588//b0522//b2964//b1390//b3423//
NikR-Cu2+_neg	b3453//b1337//b1858//b4093//b3604//b0978//
NikR-Ni2+_neg	b3415//b1336//b1511//b3772//b2486//b0614//
NikR-Zn2+_neg	b3118//b0111//b3863//b0198//b4133//b2721//
NrdR-ATP_neg	b3413//b1889//b4040//b1672//b0429//b3774//b3567//b1713//b4355//
NrdR-Zn2+_neg	b4153//b3533//b1062//b1594//b2211//b4438//b0048//b2422//b3438//
NrdR-dATP_neg	b2490//b1474//b4439//b4074//b4417//b2728//b1781//b3413//b4167//
NsrR-2Fe_neg	b2962//b2962//b3403//b3469//b0037//b2938//b4129//b2731//b2068//b0199//b1040//b4035//b2711//b2757//b2531//b3939//b4705//b3393//b0397//b0957//b0351//b4254//b3701//b2965//b0182//b0191//b0775//b2287//b1716//b0605//b3756//b1588//b0763//b1781//b0764//b0440//b3756//b2312//b0602//b0523//b3316//b2697//b2942//b2573//b3868//b3617//b1846//b2993//b4198//b0729//b3335//b1621//b0110//b2469//b3600//b2927//b1421//b4326//b1516//b1476//b1038//b4383//b2241//b1717//b2106//b0044//b1888//b3164//b4367//b2530//b0945//b2284//b0566//
PhoB-Phosphorylated_neg	b3567//b1321//b2673//b0061//b3166//b0827//b0606//b3395//b1654//b3395//b0596//b1905//b3756//
PhoB-Phosphorylated_pos	b4355//b2697//b4267//b4063//b4092//b1415//b2722//b3707//b2800//b3315//b1887//b3493//b2286//b0764//b0192//b2095//b4417//b1246//b2195//b3806//b4293//b1885//b3164//b3511//b0820//b2868//b3572//b2557//b3859//b4003//b4037//b2976//b3752//b2279//b2937//b2675//b2727//b0428//b0314//b0429//b1594//b3265//b2991//b2804//b1264//b4030//b3851//b4079//b0872//b2393//b2076//b4287//b4054//
PhoP-Phosphorylated_neg	b2721//b3588//b2500//b2211//b2508//b1886//b3961//b0887//b1337//b4197//b0565//
PhoP-Phosphorylated_pos	b2365//b1397//b2423//b2671//b4400//b4670//b4102//b3480//b4318//b4198//b4599//b3726//b0602//b2713//b0192//b3278//b3450//b0113//b2975//b0515//b1684//b1210//b1900//b0602//b0241//b3214//b4167//b4239//b1519//b0724//b0826//b3942//b2529//b0450//b1301//b0168//b3315//b0755//b3600//ilvG_1//b3831//b3225//b3320//b3213//b3392//b0113//b4119//b3904//b3672//
PrpR-2-methylcitrate_neg	b2659//
PrpR-2-methylcitrate_pos	b2147//b4671//b4153//b1501//
PurR-Guanine_neg	b1738//b2913//b2764//b3316//b0613//b2483//b1322//b0198//b3332//b3425//b2240//b0777//b4171//b2235//b0107//b2199//b3314//b0039//b2913//b1587//b4131//b1476//b3727//b3328//b2755//b4036//b1020//b0587//b4471//b3314//b1613//b3728//b1531//b0108//
PurR-Hypoxanthine_neg	b0063//b3134//b0864//b1263//b3567//b0566//b4171//b2312//b4467//b2489//b3968//b3670//b3959//b0181//b0785//b2729//b0296//b1517//b4153//b4201//b2609//b4068//b2416//b2630//b0785//b0411//b0566//b1112//b2171//b4268//b1537//b1395//b1513//b0764//
QseB-Phosphorylated_pos	b1921//b2221//b4316//b4287//
RhaR-L-rhamnose_pos	b3688//b0936//
RhaS-L-rhamnose_pos	b0812//b2926//b1891//
RstA-Phosphorylated_neg	b4177//b3756//b2106//b4265//b4172//
RstA-Phosphorylated_pos	b3356//b0756//b3601//b0606//b1745//
SoxR-2Fe_neg	b0765//
SoxR-2Fe_pos	b2757//b2242//b2406//
TorR-Phosphorylated_neg	b3528//
TorR-Phosphorylated_pos	b2200//b0040//b2927//b0783//b0041//b1499//b4094//b2756//b3569//
TrpR-Tryptophan_neg	b0566//b2200//b0756//b3870//b0931//b4476//b4671//b3852//b2712//b4138//b2283//b3588//
TyrR-L-tryptophan_neg	b0207//b2805//b1062//b0192//b2147//b0895//b3415//b1805//b3828//b2482//b2205//b2156//
TyrR-L-tryptophan_pos	phnE_2//b0311//b1616//
TyrR-Phenylalanine_neg	b0463//b3751//b0106//b0429//b0112//b1111//b4039//b2732//b1517//b1407//b3319//b2276//
TyrR-Phenylalanine_pos	b0314//b2750//b0399//
TyrR-Tyrosine_neg	b0199//b4511//b2205//b0781//b1136//b3852//b2674//b3670//b2580//b4313//b1272//b1260//
TyrR-Tyrosine_pos	b0338//b0515//b1111//
UhpA-Phosphorylated_pos	b3313//
XapR-xanthosine_pos	b4320//b3438//
XylR-Xylose_pos	b3460//b0523//b3454//b2609//b2215//b3415//
ZntR-Cd2+_pos	b0596//
ZntR-Hg_pos	b0428//
ZntR-Zn2+_pos	b3533//
ZraR-Phosphorylated_pos	b3480//b2078//b3476//
Zur-Zn2+_neg	b2068//b1680//b2417//b0221//b4242//b2243//
