#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3911//ilvG_1//
CRP-cAMP_pos	b0937//b0970//b3926//b0597//b1338//b2589//b1781//b3531//b4637//b2429//b3321//b2716//b3766//b2085//b1511//b3025//b1905//b2240//b4467//b0336//b3700//b1385//b2500//b2719//b1797//b3600//b4194//b0383//b1300//b1907//b0972//b0378//b2607//b2213//b0785//b1389//b4202//b1040//b4070//b1276//b3478//b0400//b2800//b4003//b3617//b0570//b0199//b2659//b3332//b0907//b4172//b0872//b4007//b1111//b1011//b1597//sroD//b4071//b2284//b2852//b0241//b1127//b3025//b3313//b2579//b1276//b2997//b2199//b3863//b2297//b0972//b2866//b0333//b0812//b0344//b3171//b0777//b2663//b3275//b3903//b3770//b0403//b0150//b2276//b1393//b2926//b2491//b4319//b2430//b2215//b2366//b1617//b0733//b2153//b1265//b0677//b2754//b4074//b3367//b0754//b2243//b0585//b0339//b3409//b2075//b4102//b2107//b1779//b4317//b4032//b2151//b0168//b1220//b3127//b3908//b2706//b3851//b2149//b4074//b2584//b0827//b1387//b4124//b4439//b1656//b4076//b1021//b1043//b2063//b1821//b4172//b1207//b2975//b3118//b2840//b3748//b1474//b2799//b3315//b0777//b3429//b2291//b2290//b3318//b0330//b4315//b1010//b4125//b2241//b1859//b3093//b3588//b2552//b2723//b4133//b2342//b4018//b3368//b3511//b3408//b1391//b1227//b0785//b4174//b3393//b0340//b0441//b2724//b3510//b2579//b0586//b3774//b1669//b1379//b0553//b3237//b3688//b3409//b4197//b3831//b2580//b0114//b3230//b3543//b4254//b4168//b3571//b2660//b4316//b1819//b4321//b0895//b2762//b1622//b2367//b4172//b3911//b1275//b4268//b3860//b0575//b0398//b4314//b0976//b1391//b3424//b3393//b0201//b3093//b3363//b2867//b3543//b3725//b2423//b0681//b1212//b2487//b2221//b1852//b1514//b0998//b2242//b0352//b3477//b0959//b3508//b0565//b3540//b0584//b4567//b1500//b3970//b4416//b3414//b2758//b2152//b3774//b2310//b3221//b1515//b4202//b1716//b1621//b1407//b0978//b2063//b2500//b3567//b3700//b1672//b1654//b2373//b1039//b3025//b2077//b3970//b2312//b1499//b3773//b4198//b4008//b0197//ilvG_2//b2203//b0872//b3476//b1738//b4239//b1988//b2311//b2285//b2373//b3324//b0033//b4187//b2364//b2285//b1297//b1620//b1321//b0594//b1658//b2224//b2483//b4242//b2607//b1745//b3449//b0273//b0598//b1532//b0755//b3165//b2552//b0557//b3469//b1040//b3070//b4265//b3049//b1888//b4317//b1211//b2291//b1973//b0111//b1593//b0368//b2311//b1111//b3669//b1611//b0566//b2147//b4152//b1127//b2993//b1588//b2990//b4324//b0675//b3725//b2079//b2571//b0118//b3272//b1617//b3311//b2572//b1497//b2243//b2290//b2198//b2554//b0062//b2406//b4264//b2239//b3702//b2697//b2367//b3408//b2570//b3425//b4071//b3432//b2662//b3318//b2660//b1334//b3599//b4289//b1321//b2203//b2800//b1102//b0353//b0523//b2484//b1208//b0928//b3508//b4006//b2091//b4098//b0973//b3543//b3912//b0451//b0116//b0348//b4200//b2106//b0125//b1810//b3320//b4317//b1009//b4355//b0936//b2803//b1264//b0996//b0313//b1521//b3907//b0450//b1407//b0344//b3939//b2717//b0037//b1704//b0812//b0397//b2280//b0729//b4592//b3870//b3942//b0198//b4197//b1597//b0192//b4160//b2503//b1475//b2557//b0033//b4074//b0782//b3115//b1683//b2662//b1210//b3123//b0936//b3509//b1593//b2150//b2287//b3571//b3430//b0343//b1891//b1884//b0441//b1734//b3006//
ChbR-Monoacetylchitobiose-6P_neg	b3081//b1006//b3428//b2406//b3243//b2421//
ChbR-Monoacetylchitobiose-6P_pos	b3600//b1287//b1209//b3509//b0111//b2728//
CpxR-Phosphorylated_neg	b1609//b2311//b0351//b2579//b3530//b3092//b0595//b4249//b4441//b3116//b0575//b1821//b1852//b0432//b1421//b2600//b2557//b3273//b0183//b1006//b4438//b4326//b2675//b1886//
CpxR-Phosphorylated_pos	b3863//b0860//b1593//b4203//b4092//b3441//b4322//b3860//b4008//b2570//b2719//b4451//b2369//b0903//b2800//b0819//b0886//b2764//b1037//b0776//b3454//b1747//b2464//b3688//b1858//b3276//b2675//b1129//b2671//b4033//b3432//b4062//b3036//b3332//b4416//b2235//b0114//b2500//b3265//b1321//b0192//b3332//b2223//b2234//b3457//
CreB-Phosphorylated_neg	b2963//b3480//b1244//
CreB-Phosphorylated_pos	b2199//b3588//b0151//b0757//b1252//b3605//
CueR-Ag_neg	b2277//b2234//b3169//b0177//b0907//
CueR-Ag_pos	b2344//b0150//
CueR-Cu+_neg	b1430//b2150//b1589//b3273//b1390//
CueR-Cu+_pos	b3410//b3940//
CuerR-Au_neg	b4062//b2197//b2106//b0598//b3274//
CuerR-Au_pos	b0331//b3926//
CusR-Pasp_pos	b3616//b0826//b0517//b3828//b1514//b0896//b1891//b1715//b3438//ilvG_2//b2868//b3260//
CynR-Cyanate_neg	b2276//
CynR-Cyanate_pos	b1515//b2993//b1415//
CysB-N-acetyl-L-serine_neg	b3759//b2600//b2307//b1530//b1883//b1246//b0592//
CysB-N-acetyl-L-serine_pos	b0724//b4313//b4002//b0805//b0733//b0311//b0583//b3410//b2481//b3477//b3530//b2584//b0570//b1391//b1263//b1737//b4098//b1620//b0064//b0755//b0342//b2306//b1881//
CysB-O-acetyl-L-serine_neg	b3072//b1207//b2297//b1970//b4314//b0592//b1621//
CysB-O-acetyl-L-serine_pos	b4014//b1515//b0338//b3453//b4063//b2078//b0679//b4376//b4129//b3670//b2912//b4006//b0953//b2407//b3333//b3831//b2805//b0583//b3432//b4198//b0863//b4196//b2609//b2507//
DcuR-Phosphorylated_pos	b2503//b2840//b4095//b3414//b3927//b2676//b3541//b4202//b4171//
DnaA-ATP_neg	b3572//b4397//b1395//b0240//b2279//b4313//b2484//b2486//b4196//b3092//b1733//
DnaA-ATP_pos	b4599//b1324//b4172//b2508//b0109//b1387//b0860//
DpiA-Pasp_neg	b3869//
DpiA-Pasp_pos	b0522//b2711//b2291//b1859//b4032//b3425//b4354//b4102//b1540//b4291//
DsdC-D-serine_neg	b3320//
DsdC-D-serine_pos	b0937//b0590//
EvgA-Phosphorylated_pos	b2528//b1733//b3408//b3418//b3668//b0451//b4254//b2674//b0591//b1221//b0033//b4705//b3312//b3518//b2977//
FNR-Fe_neg	b2607//b1818//b4167//b3957//b0728//b2206//b0929//b3133//b3092//b3852//b1611//b0682//b2202//b4416//b0184//b0166//b2724//b3081//b2152//b0312//b1892//b2312//b3453//b4111//b1546//b1397//b0192//b4393//b3608//b2143//b0995//b3907//b0273//b4063//b4382//b2279//b1037//b1300//b2498//b0588//b1546//b2464//b0590//b0166//b3227//b3477//b4006//b0775//b0863//b4291//b3330//b3168//b2009//b1324//b2206//b1300//b4004//b4240//b2485//b0462//b2732//b0722//b1160//b1394//b2660//b1609//b4451//b1301//b3359//b2417//b1037//b3227//b3854//b2663//b1221//b1513//b0616//b2759//b2838//b4506//b3124//b0161//b0620//b0191//b1010//b1826//b0061//b0390//b3571//b2666//b0411//b3672//b3724//b4131//b1387//b3572//b0553//b2198//b2570//b1043//b0733//b3243//b4102//b3457//b3415//b3481//b0721//b2583//b4406//b2800//b1597//b2530//b3828//b1518//b3367//b0331//b4265//b1817//b3709//b1245//
FNR-Fe_pos	b4669//b1008//b4319//b3907//b4702//b2078//b2992//b4289//b0931//b4315//b3610//b1970//b0411//b0975//b3319//b3671//b0586//b0161//b1016//b2287//b3781//b0591//b2215//b3700//b1857//b3408//b3574//b0593//b1779//b3567//b0167//b3327//b3316//b1010//b2756//b0183//b1851//b3095//b0784//b1920//b0179//b1392//b0156//b1826//b1733//b3403//b3438//b0033//b0777//b1021//b3478//b3688//b3904//b2631//b2201//b3461//b0390//b2489//b0812//b1846//b4460//b0976//b1227//b0978//b1537//b2207//b1819//b0594//b0585//b4076//b3912//b1715//b0111//b4173//b2673//b4120//b0167//b4008//b3236//b3667//b1706//b0570//b1265//b0440//b0684//b4398//b3093//b3670//b2074//b0366//b1882//b0377//b3038//b0515//b3869//b1111//b1043//b2155//b4399//b3571//b0995//b2485//b0566//b3941//b4292//b4131//b0460//b1615//b3749//b4242//b2284//b4468//b2308//b0619//b0613//b1684//b0976//b0042//b3125//b3702//b4671//b3961//efeU_2//b2373//b0179//b1609//b4264//b0586//b4400//b1261//b4316//b1846//b2239//b2720//b4133//b3127//b0775//b2757//b0125//b3221//b0613//b2425//b0613//b2364//b1540//b0928//b1101//b4198//b1797//b1302//b2106//b1973//b3828//b4326//b2980//b0722//b3165//b0037//b4095//b3902//b2937//b3770//b2937//b2802//b0721//b2965//b2148//b3324//b3332//b3327//b1734//b0565//b2591//b2277//b2207//b1798//b3904//b4172//b3902//b4241//b0678//b1718//b3230//b0727//b0973//b1814//b2507//b1398//b3728//b1396//b0676//b4039//b0156//b4034//b2212//b0365//b0221//b2530//b0106//b3748//b4019//b0880//
FhlA-Formate_pos	b0860//b1323//b3168//b1514//b1112//b3617//b0805//b0077//b1796//b1337//b0183//b3072//b1670//b4010//b1669//b0346//b3851//b3611//b0043//b0116//b1492//b0311//b2486//b4030//b4092//b2584//b2197//b1041//b0038//b2718//
FucR-L-fuculose-1-phosphate_pos	b0335//b2365//b2742//b0729//b1276//b2589//b1300//
Fur-Fe2+_neg	b0154//b1009//b2202//b4070//b3727//b3260//b4101//b1889//b3456//b3688//b1594//b3911//b2980//b4132//b1704//b3071//b3771//b0125//b2802//b0678//b0681//b3543//b0782//b2284//b2287//b0586//b1287//b1012//b1335//b2201//b0894//b2608//b2153//b3133//b1715//b0616//b1500//b2557//b2372//b3725//b2297//b2708//b1498//b2990//b4241//b1672//b0349//b0398//b3367//b3359//b3272//b4438//b3668//b1127//b3906//b4097//b2926//b2203//b1262//b0078//b1546//b0036//b3925//b2498//b2152//b4567//b3260//b0596//b1616//b2608//b2713//b3723//b4511//b4242//b0995//b0619//b4238//b4118//b3770//b3224//b3318//b1987//b3037//b0619//b2705//b4105//b0590//b0366//b2375//b2976//b3458//b0572//b3223//b4399//b1012//b4174//b0904//b2804//b0945//b2531//b2311//b2675//b0035//b3772//b0345//b2704//b0516//b3478//b3038//b2531//b1384//b2106//b2428//b2715//b3325//b0333//b2804//b2232//b1782//b4168//b0785//b2196//b1712//b4171//
Fur-Fe2+_pos	efeU_2//b0182//b1857//b0312//b2232//b2221//b1704//b3125//b1226//b2993//b0515//b2342//phnE_2//b0841//b2800//b0221//b3275//b3365//b2712//b3903//b3600//b2213//b1922//b0589//b3855//
Fur-Mn2+_neg	b3770//b2373//b4249//b0933//b1655//b2663//b3166//b1322//b2676//b1745//b1036//b3005//b4426//b2148//b2508//b1737//b1101//b3415//b4233//b3331//b3366//b4075//b0336//b3319//b3207//b1243//b2663//b4002//b0945//b3758//b2760//b2414//b4511//b2311//b1670//b0684//b4311//b3227//b2297//b0240//b4175//b2239//b3854//b0978//b3453//b0931//b3265//b0805//b2281//b2991//b2106//b3221//b1040//b4003//b3454//b3277//b3222//b0860//b3318//b3272//b2722//b3367//b3609//b2614//b2223//b0980//b3906//b3772//b0979//b2476//b3846//b1111//b4177//b2151//b3311//b2364//b1385//b0205//b1670//b3971//b0331//b0754//b1530//b3864//b3424//b1891//b3172//b4124//b1850//b0241//b0152//b2147//b1736//b0314//b1907//b1780//b4398//b3667//b4123//b3318//b3335//b2341//b1395//b3938//b3117//b4032//b3769//b1517//b3521//b3971//b4105//b0202//b4431//b1684//b2241//b4240//b1398//b3852//b2703//b3925//b1883//b4173//b2277//b2207//
Fur-Mn2+_pos	b0431//b0683//b2153//b2364//b1227//b2868//b2528//b4324//b2484//b1392//b1493//b2422//b0204//b4101//b2481//b2288//b0123//b1113//b3480//b2221//b3438//b2206//b0733//b2313//b0553//
GlcC-Acetate_neg	b3451//
GlcC-Acetate_pos	b0154//b2666//b1493//b4034//b2758//b3461//
GlcC-Glycolate_neg	b3072//
GlcC-Glycolate_pos	b3509//b0595//b3671//b3356//b2675//b4120//
GlrR-Pasp56_pos	b2937//
IclR-pyruvate_neg	b0755//b4471//b3908//b3457//
IdnR-5-ketogluconate_neg	b4267//b2278//b2306//
IdnR-5-ketogluconate_pos	b0557//b0113//b2204//b2927//b2201//
IdnR-Idonate_neg	b2236//b1226//b1038//
IdnR-Idonate_pos	b1394//b0862//b3758//b0682//b4039//
IlvY-2-acetolactate_neg	b3601//
IlvY-2-acetolactate_pos	b1474//
IlvY-Alfa-acetohydroxybutirate_neg	b3958//
IlvY-Alfa-acetohydroxybutirate_pos	b2491//
IscR-2Fe_neg	b2063//b1890//b2741//b3395//b1891//b0880//b3114//b1611//b0557//b4599//b4119//b4399//b1548//b2751//b2905//b3432//b0978//b1922//b4104//b2551//b3828//b1920//b4431//b0031//b0112//b1819//b4289//b0451//b0240//b0061//
IscR-2Fe_pos	b2943//b0937//b2805//b4268//b4426//b1517//b1737//b2091//b3213//b3125//b1516//
LldR-L-lactate_neg	b0615//b1548//b2729//
LldR-L-lactate_pos	b1021//b0757//b2713//
Lrp-Leucine_neg	b3071//b1779//b3165//b3057//b0936//b4311//b3416//b3123//b4323//b3701//b2607//b2194//b0570//b0734//b0182//b1537//b2942//b0331//b0336//b2764//b4241//b0352//b4266//b0515//b4115//b2559//b0616//b4000//b1681//b0061//b1616//b3908//b4151//b4450//b1805//b4467//b2706//b1851//b0201//b2075//b2425//b4122//b1296//b2464//b0937//b4120//b0907//b4139//b3414//b0110//b0754//b1684//b4093//b3869//b3518//b1537//b3670//b0334//b1547//b3863//b1275//b2163//b3166//b0734//b1907//b3408//b2752//b3224//b2149//b2706//b3773//b1039//b0440//b0411//b0368//
Lrp-Leucine_pos	b0785//b1262//b4003//b1683//b4104//b3854//b1430//b0755//b3726//b1421//b4268//b4313//b3461//b1012//b0935//b3333//b3414//b4416//b3759//b4318//b3455//b1521//b3668//b1540//b0062//b4008//b1922//b2905//b1264//b4123//b2673//b3671//b3532//yegZ//b1781//
LsrR_neg	b3091//b4318//b2368//b3356//b4287//b4265//b1474//b2728//b3081//
MalT-ADP-Maltotriose_pos	b4172//b1010//b2279//b0441//b0107//b3759//b0345//b2659//b3091//b4171//
MalT-Maltotriose-ATP_pos	b1810//b4075//b0077//b3722//b4314//b1430//b3278//b1673//b3604//b1022//
MelR-Melibiose_neg	b1109//b1814//b0864//
MelR-Melibiose_pos	b3508//b4171//b0957//
MetJ-S-adenosylmethionine_neg	b2913//b1210//b2282//b2662//b4008//b3124//b0974//b0623//b1673//b1500//b1671//b0587//b2707//b4671//b0336//
MetR-L-homocysteine_neg	b3315//b1212//
MetR-L-homocysteine_pos	b0618//b1900//b2199//b1407//
MhpR-3-DHPP_pos	b2365//b2068//b1227//b0683//b1499//b0038//
MhpR-3HPP_pos	b0114//b2600//b1846//b3806//b2200//b3469//
MntR-Cd2+_neg	b3533//b2068//b3859//b2994//
MntR-Cd2+_pos	b2491//
ModE-MoO42-_neg	b3566//b2096//b3240//b4193//b3968//b0177//b4320//b1620//b3748//b1225//b2630//b0723//b3942//b1922//b3599//
ModE-MoO42-_pos	b3081//b3588//b1516//b2697//b4133//b0621//b2029//b2751//b0199//b0570//b2488//sroD//b2717//b0154//b0595//b1499//b1679//b0726//b0516//b0384//b4167//b3543//b1982//b2198//b4059//b0594//b0124//b1715//b4138//b3568//b4309//
NarL-Phosphorylated_neg	b3223//b2202//b4209//b4291//b0874//b1734//b1127//b2149//b4097//b1846//b3126//b0678//b0591//b0677//b2306//b3026//b3700//b1780//b4400//b4173//b3408//b3603//b1498//b3461//b3961//b3359//b3124//b1608//b1748//b1982//b4167//b0150//b1493//b3366//b0339//b3037//b2630//b0995//b0202//b0154//b4122//b3261//b3942//b2800//b4240//b4076//b2280//b3366//b2284//b0430//b4054//b1395//b4193//b3409//b1109//b1609//b3769//b2232//b4249//b0863//b3770//b0566//b3231//b4153//b1512//b2708//b3365//b2489//b4016//b3460//b2146//b3329//ilvG_2//b1498//b2286//b3568//b0588//b1379//b1546//b3329//b3608//b2980//b4467//b3409//b4321//b0887//
NarL-Phosphorylated_pos	b1904//b4003//b1189//b3770//b0460//b0341//b1016//b2764//b4203//sroD//b2284//b1718//b0205//b3942//b4426//b4376//b2313//b2531//b0805//b0678//b0860//b4169//b3863//b3273//b0776//b2482//b1040//b2799//b3165//b2868//b0118//b1597//b3311//b2979//b2204//b0557//b1886//b0125//b1131//b1009//b4139//b1883//b1885//b2990//b3274//b2507//
NarP-Phosphorylated_neg	b0064//b1670//b0805//b3114//b3330//b4014//b0346//b2284//b4123//b1109//b1782//b1591//b3333//b2716//b1982//b0343//b1336//b4054//b0684//b3132//b1037//b3960//b0296//b0998//b3393//b3164//b2630//b2676//b3961//ilvG_1//b3609//b2291//b2487//
NarP-Phosphorylated_pos	b2583//b1475//b1805//b2589//b1132//b4194//b3530//b0202//b2570//b1715//b2344//b0203//b3096//b4069//b4105//b1042//b2708//b3968//b2222//b1735//b1112//b2552//b1385//b3828//b3670//b3168//b3672//b1819//b1683//b1616//b2927//b3450//
NhaR-Na+_pos	b0240//b0168//b1810//b3831//b1672//
NikR-Cd2+_neg	b2916//b1826//b2078//b2207//b2732//b0339//
NikR-Co2+_neg	b4030//b4426//b2717//b4099//b3769//b1300//
NikR-Cu2+_neg	b3869//b0044//b4567//ilvG_1//b0168//b3611//
NikR-Ni2+_neg	b4669//b0450//b2283//b4177//b1655//b1247//
NikR-Zn2+_neg	b4382//b2143//b3438//b1892//b3721//b1884//
NrdR-ATP_neg	b0125//b1814//b3666//b0841//b0341//b4075//b3458//b0428//b0179//
NrdR-Zn2+_neg	b0041//b2239//b2155//b3971//b3868//b0614//b3273//b2609//b2296//
NrdR-dATP_neg	b2992//b0972//b0035//b4637//b2992//b1734//b2215//b2487//b2742//
NsrR-2Fe_neg	b2977//b4438//b2529//b3723//b3365//b2194//b2155//b0048//b0113//b2074//b0399//b3006//b3574//b4292//b0566//b1476//b2196//b3275//b1482//b0042//b3455//b3957//b2280//b3364//b1796//b1475//b2987//b3615//b4314//b4123//b1112//b1041//b2905//b3117//b4152//b0934//b0588//b4139//b3540//b2365//b4154//b2223//b0945//b3266//b1683//b3331//b0313//b4008//b1395//b1684//b1023//b2095//b1517//b0684//b2364//b4702//b1007//b4698//b0972//b3415//b1002//b0182//b1540//b2601//b3859//b3278//b3431//b1733//b3333//b1492//b2393//b4441//b3213//
PhoB-Phosphorylated_neg	b2993//b1532//b2414//b4319//b3329//b0953//b4125//b0181//b0153//b2800//b2143//b3617//b3124//
PhoB-Phosphorylated_pos	b0389//b1036//b1492//b0726//b3311//b0123//b0241//b1023//b4170//b2965//b2697//b2200//b0782//b1392//b3125//b3222//b2488//b1821//b2491//b1062//b2068//b3572//b0571//b2310//b2710//b2925//b3960//b3452//b3709//b2529//b2430//b3038//b4203//b2507//b1817//b0754//b2277//b3542//b2975//b3366//b3752//b3528//b0684//b3035//b0679//b0168//b3604//b4669//b1683//b1589//b3224//b1712//b3430//
PhoP-Phosphorylated_neg	b3227//b1211//b2659//b0774//b0676//b4289//b2429//b1890//b3829//b4167//b0515//
PhoP-Phosphorylated_pos	b0617//b0894//b0775//b1613//b4133//b4202//b2205//b3769//b1546//b0605//b0516//b1109//b0153//b4198//b0895//b3588//b0432//b3318//b2149//b0368//b2281//b2152//b0588//b2201//b4196//b1819//b3418//b1209//b4264//b2912//b1881//b2489//b2742//b1850//b2307//b3752//b4314//b0895//b1388//b0728//b2943//b4406//b3870//b0398//b3135//b3574//b2365//b0733//b3940//
PrpR-2-methylcitrate_neg	b2535//
PrpR-2-methylcitrate_pos	b1497//b1211//b3934//b3926//
PurR-Guanine_neg	b2993//b2762//b3455//b1654//b2724//b4030//b1132//b4671//b0377//b2996//b2925//b4237//b0112//b4705//b2488//b2085//b4293//b3610//b3568//b4293//b0398//b4323//b2991//b1746//b4054//b0970//b2469//b4125//b1323//b2995//b0125//b0124//b0722//b3774//
PurR-Hypoxanthine_neg	b2600//b0978//b4115//b2659//b0106//b1982//b3774//b1041//b1493//b1321//b4242//b3907//b0874//b3169//b4118//b1734//b1920//b1224//b4132//b3599//b2673//b3441//b2197//b2310//b0183//b2977//b2992//b3416//b3416//b4200//b3135//b3851//b0908//b4005//
QseB-Phosphorylated_pos	b4034//b4240//b0344//b3133//
RhaR-L-rhamnose_pos	b4314//b0078//
RhaS-L-rhamnose_pos	b1393//b2607//b3758//
RstA-Phosphorylated_neg	b3096//b0432//b0781//b2675//b2671//
RstA-Phosphorylated_pos	b0620//b3722//b3829//b3237//b1519//
SoxR-2Fe_neg	b2529//
SoxR-2Fe_pos	b2151//b0153//b4040//
TorR-Phosphorylated_neg	b2965//
TorR-Phosphorylated_pos	b4129//b2606//b1039//b1826//b2660//b0183//b3135//b1518//b3260//
TrpR-Tryptophan_neg	b2203//b4100//b1002//b2964//b3769//b2614//b0189//b0957//b2757//b3940//b3314//b0573//
TyrR-L-tryptophan_neg	b4016//b4124//b1300//b1385//b0517//b2705//b2344//b1852//b2163//b0889//b1190//b1275//
TyrR-L-tryptophan_pos	b2231//b0462//b3902//
TyrR-Phenylalanine_neg	b3403//b3319//b3135//b1521//b1390//b1891//b2721//b0928//b3091//b1716//b4036//b1395//
TyrR-Phenylalanine_pos	b0945//b2759//b3366//
TyrR-Tyrosine_neg	b1612//b0819//b1746//b2841//b1016//b0184//b2805//b4506//b0038//b3418//b2364//b0887//
TyrR-Tyrosine_pos	b3846//b0679//b3324//
UhpA-Phosphorylated_pos	b0365//
XapR-xanthosine_pos	b2092//b3571//
XylR-Xylose_pos	b1852//b4237//b0775//b3668//b1010//b2802//
ZntR-Cd2+_pos	b1982//
ZntR-Hg_pos	b1922//
ZntR-Zn2+_pos	b4314//
ZraR-Phosphorylated_pos	b3025//b3236//b0959//
Zur-Zn2+_neg	b4035//b4318//b0378//b3241//b3314//b2204//
