#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pykF//yhdX//
BirA_neg	kdpF//mhpD//dsdC//glcG//ulaF//
BluR_neg	cheW//cheW//tdcE//betT//
BolA_neg	rpiB//yiaM//
BolA_pos	gadF//garP//
CadC_pos	mioC//oppB//kdpB//
CaiF_pos	yncE//ssuE//garL//cydD//nuoH//lldR//astE//ybaS//dinQ//gatD//
Cbl_pos	thrS//tdcB//fucI//rclB//yeaH//znuA//cpxP//purA//gspK//
CdaR_pos	dnaN//adiA//cas2//ppiA//cydA//purF//ybhG//bioF//phnN//lysO//
CecR_neg	fdnI//ybhR//cueO//gabT//artM//
ChbR_neg	hyfA//phoH//artI//dhaR//moeA//carA//
ChbR_pos	hybO//lsrA//ptsH//tdcG//kbaZ//napG//
ComR_neg	agaC//
CpxR_neg	setA//ribA//sgbH//yjeV//nrfE//osmB//torR//fliK//nupG//trxC//aceE//zwf//cyoC//ulaA//cheA//katG//bioC//tsr//tynA//polB//hemL//cynX//yebG//rnlA//
CpxR_pos	gspI//yqhD//caiA//nanA//glcF//relB//fliP//omrA//murI//nrdB//flhC//mazG//patA//evgA//napD//caiD//gspG//nrfA//seqA//uxuA//rutB//melA//rprA//dmsA//nirC//lrp//nrdH//hisP//fimB//dinJ//hyfA//argR//aroG//argG//phnL//rob//rhaA//gspJ//araA//yiaL//moeB//emrA//cpxQ//agaS//malZ//fliR//
Cra_neg	hyaE//hyaD//phnG//nlpA//araE//glxR//pqiA//arsB//pdeL//ccmE//ycgZ//ybfN//allA//tyrA//ompN//metR//argI//rprA//ldtB//kbp//nrdF//ftnB//ddpA//ubiC//evgA//yciF//glgP//moaE//iscU//pdhR//dsdX//gspE//allC//cynX//lon//marB//sutR//galR//araF//talA//uxuA//garD//murR//puuP//wecB//cspE//yfbR//sgbH//aceB//sroD//lsrB//potI//rpiR//gadE//dtpA//yjjQ//norR//ccmE//grxD//
Cra_pos	kdpA//ulaG//nrdH//caiE//ssb//katG//mipA//uxuA//rpsU//phnK//marA//ccmB//gspH//alsB//rbsK//tbpA//fixB//pheS//ytfE//gltJ//ccmF//tomB//ilvC//
CreB_neg	mepH//bglB//ndh//
CreB_pos	modA//flhC//
CsgD_neg	hipB//idnD//gntK//borD//manZ//fliT//nuoA//srlR//araA//gfcA//feaR//umuC//focA//mcbA//rutG//
CsgD_pos	puuP//aceB//pspF//nimT//hokE//entB//fucR//gspL//ybhR//sdhC//sbcC//nuoA//hyfI//
CsiR_neg	glgA//phnI//ynfE//zinT//fhuD//
CspA_pos	eno//ydiV//
CueR_neg	rob//sucD//sdhD//flgI//nrdE//
CueR_pos	exbB//rhaR//
CusR_pos	ynjI//glpB//flgD//ulaA//gadC//ybhG//pykF//ebgC//fes//ebgA//guaB//uvrD//
CynR_neg	gatC//
CynR_pos	nfsB//nikD//oxc//
CysB_neg	yoeB//sbmA//tynA//pykF//obgE//zraS//potI//
CysB_pos	dmsA//efeU_2//infC//nadB//arsR//metE//flgJ//pstA//glcF//bioC//tadA//nuoL//gltK//glpA//ssuE//ftsQ//cusF//nanK//codA//ompC//dpiA//sgrT//mtlD//narL//gatY//
CytR_neg	yeaH//fliP//ccmC//ttdR//entH//lgoR//dsdA//gcvP//yjjZ//nupC//ygiZ//rutA//hyfI//
Dan_pos	ldtB//galS//ygbA//ynbB//
DcuR_pos	fhlA//hcp//hisP//uxuB//phnE_1//nuoG//pepA//ibaG//rbsR//
DeoR_neg	atoA//yeiB//ynbB//hcaD//rob//cusR//
DhaR_neg	nrfA//
DhaR_pos	hokE//moaD//fdnI//
DicA_neg	nikR//flhA//lsrC//putA//frdD//iscS//fhuF//fucP//
DinJ-YafQ_neg	relB//ybbY//yibQ//
DnaA_neg	fixB//eda//mdtF//allB//glgX//dsdX//fadB//cynT//psiF//marA//mscM//
DnaA_pos	tynA//umpH//glyA//uidC//chbB//potG//fliI//
DpiA_neg	leuD//
DpiA_pos	fhuD//ymjD//rpsU//mdtE//ahpC//mltF//fadE//hyaF//wzc//argI//
DsdC_neg	dcuB//
DsdC_pos	oppA//pspA//
EbgR_neg	yeaG//uxuB//
EnvR_neg	phnM//allD//
EnvY_pos	hisJ//purM//
EvgA_pos	rhaA//yjbF//arsC//nikC//thiQ//atoD//cusA//yfbR//lsrG//csgA//ftnB//pgk//ydfD//mraY//fecI//ychF//fliS//idnK//fliF//
ExuR_neg	aceE//ydiV//hyfI//ftnB//rffG//ecpA//aroM//hdeA//ykgM//
FabR_neg	phnP//iraP//
FadR_neg	bdm//cytR//mngA//fepA//ynfE//dmsB//mtlA//lsrG//dinF//nuoK//glmS//
FadR_pos	paaE//sodA//puuE//phnE_2//nikC//hyfR//pgaD//fimE//puuC//trpL//yiaM//ilvC//
FeaR_pos	ykgM//ynbD//
FhlA_pos	tadA//ynbD//galP//gcvA//pheS//rstA//rpmA//mtr//rnpB//fepC//ybfN//ybhL//fucR//rutG//nrdA//csgB//fixC//tsr//lsrB//emrA//yhbT//fadI//trpD//dkgB//frdD//ddlB//dnaN//hcr//leuB//tsr//
FlhDC_neg	paaG//hycI//pgk//atoE//
FlhDC_pos	dps//phnE_2//bioC//fdnI//ppdC//yhhY//hybO//ydcV//melA//dsdX//qseB//alsA//gabP//ccmG//fur//narI//glnQ//accD//borD//ompW//phnI//lon//yncE//artI//rhaS//deoD//ybhF//tolC//uvrA//adiC//hemL//fucI//deoA//artP//ygeA//metA//focB//ybjG//glnK//sucC//betB//wecB//bhsA//ccmG//glpF//mntS//hyfE//entE//lysR//nmpC//argC//metN//ccmC//fliT//glpB//nrfE//mhpE//soxR//edd//gcl//cdaR//csrB//lsrD//fruB//pspD//nimR//gspK//nanE//srlE//ybhR//aldA//arsC//yecR//polB//prpE//waaZ//sufB//argH//
FliZ_neg	hcaE//bioA//bglJ//yebE//yqaE//hyfB//lsrG//cyoA//bacA//rplU//recC//psd//glnG//dhaL//yecT//hemL//fecE//rprA//yhbE//isrC//leuB//
FucR_pos	ybjG//oppB//prpD//allD//cspD//glmS//asnC//
Fur_neg	ubiX//dkgB//hycB//ybhG//phnH//napH//dmsC//aldA//rpoE//ybbY//nrdE//ribA//hypB//mdtB//torD//rseC//norV//uxuA//mtlD//gspM//citE//hyfB//tpiA//asr//dsbC//hyaF//thiP//ytfE//lsrR//metR//hemH//rhaS//gltK//pspA//nusA//caiB//glpQ//malE//leuA//glnL//tomB//moaE//yjbH//hemH//pspC//tdcE//yegR//ydeO//ynfH//alkB//yaiA//nanT//cheW//yidL//allB//atoD//ptrA//glpK//sulA//rpiR//ydfN//yhbT//bhsA//dinD//rhaB//ydeM//nuoL//ydeN//bglF//gltK//aldA//recA//mhpD//xylR//cusB//pepA//yqhG//gspJ//yjeV//glxR//fecC//norW//adhE//gntT//ulaG//dmsD//tpiA//patD//ampC//nadB//fecA//cysB//tauA//hcp//patD//trpL//uvrA//bluF//hypE//gltL//modA//araF//araF//hcaD//modB//ung//fixX//ydfE//csrB//ccmF//caiB//ydfE//garP//putP//cynS//
Fur_pos	agaV//pspB//murR//appC//ddpA//yiaO//ybaT//ppiD//glpT//idnD//atoA//ppiD//hlyE//rffT//metA//sdhA//hlyE//mntS//uvrD//citC//acrA//
GadE-RcsB_pos	infC//paaY//mdh//flgH//ldtB//frc//mioC//treC//narJ//
GadE_pos	btuB//malP//melA//rbsR//puuB//hipA//rpiR//dinJ//leuC//xylB//fur//hycI//araB//ompW//tehA//rclC//ydhY//cynS//ttdR//gatA//hisJ//ymiA//puuE//rpoD//phoU//napA//uxuA//sdhA//yhiM//
GadW_neg	argT//fepA//yeaH//purL//fhuF//ydfX//pepD//ynbC//tcyJ//yqjA//glnA//
GadW_pos	deoC//hisM//fbaB//pdhR//yjeV//sufE//mntP//gcvT//gatY//yiaJ//fdnH//
GadX_neg	idnD//hcp//rbsD//ybhF//pepA//flgB//
GadX_pos	ybiT//malY//fepG//aceB//asnA//ftsL//cyoB//dicB//glnQ//narL//moaA//sgbU//fixX//manY//ydiU//fepB//fepD//yfiB//ariR//allA//lysA//cysU//alsC//gdhA//yqjH//glxK//lsrF//
GalR_neg	hcaR//puuB//betB//icd//paaX//hycD//cysC//yqhG//treC//uxuA//
GalR_pos	cirA//dgcC//recA//garK//
GalS_neg	obgE//bdm//wzb//malE//fpr//wzyE//cusC//ulaA//fbaB//cas2//
GalS_pos	rtcB//gfcA//uxuA//zraS//
GatR_neg	citE//hybD//sufS//asnA//efeU_2//umuD//
GcvA_neg	fecD//mngR//ydfD//pspE//
GcvA_pos	mdtC//yhdY//creD//ybaT//
GlcC_neg	idnK//
GlcC_pos	mhpA//cyoD//lsrA//hcr//rbsC//argT//
GlpR_neg	yfiB//arsR//dapB//yfbR//sucD//pepD//intQ//pdhR//aslB//
GlrR_pos	ulaC//psiE//sutR//umuD//yedX//
GntR_neg	flgH//gatY//ssuC//hycG//treC//grcA//hcaB//fecA//hybC//lsrK//rstA//cho//
GutM_pos	fhuB//chbC//yhbS//qseC//nrfF//ymjD//dcuS//
GutR_neg	yhbS//dinQ//dmsB//ydiV//modA//caiE//napD//
HU_neg	hycA//gspK//mqsA//narX//yiaN//ibaG//gadY//patA//
HU_pos	uidR//
HcaR_neg	gatD//
HcaR_pos	oxyS//rutC//cynS//ydeM//tehB//
HdfR_neg	gcvA//nrfF//
HdfR_pos	pnp//glnH//hyaE//
HigA_neg	ibaG//borD//
HigB-HigA_neg	fecD//bioF//
HipAB_neg	betT//grcA//flgD//yafO//aldA//
HipB_neg	rbsD//ftnA//pflB//leuA//fliQ//flgC//
HyfR_pos	ftsA//rhaB//ynbA//xylH//ftsQ//gltK//rbsA//gatZ//ynfF//fimB//oppD//qseB//
HypT_neg	moaD//hcp//tauA//paaZ//phoA//
HypT_pos	glcG//soxR//murC//uvrA//nrdA//ada//yfaE//efeU_2//
IclR_neg	cysM//uidA//ada//insD//
IdnR_neg	hybB//sucA//
IdnR_pos	argR//ydhT//ftsL//ttdA//nemA//
IlvY_neg	fabD//
IlvY_pos	xylB//
IscR_neg	pykF//sucB//sucC//ygiB//fliJ//rob//nupG//hha//yciW//hycD//flu//bluF//ynbA//creC//hypF//gatC//rhaS//tsgA//nagA//hypE//fliA//
IscR_pos	flhA//psd//rcsA//metB//mazG//feaR//rffT//leuL//yfbR//ptsG//uvrA//
KdgR_neg	rclB//cspE//
KdpE_pos	nuoB//obgE//exbD//csgC//
LacI_neg	yaiW//gcvA//nikE//
LeuO_neg	uspE//fliZ//acrD//
LeuO_pos	fliG//yebE//edd//cysI//creB//cynR//fabG//yhjA//napC//betB//gltI//dctA//mepH//prpD//rcsA//yoaC//asnC//atoA//
LexA_neg	cyoE//ftnB//melB//wcaB//bdcA//pstS//puuB//thiP//phoQ//caiT//aroF//copA//argB//yjhB//hyfA//glmS//purL//yeaH//murF//add//glpK//recA//yhcH//skp//gloA//deoB//hns//tauC//evgS//ycjX//yafQ//dmsD//trpA//nirC//flgI//malG//dnaA//znuB//entB//ycdZ//frdC//ftnB//ompT//znuC//ybdN//thrS//sufD//trpA//lpxD//fliT//dcuS//ung//cynR//phnN//puuA//fliO//yegR//hycH//narJ//
LldR_neg	aceF//hybC//hisJ//
LldR_pos	motB//purN//lacZ//
LrhA_neg	cynT//gatD//
LrhA_pos	narH//ryhB//
LsrR_neg	gcvB//nrdA//dkgA//nikA//polB//paaY//grxD//mtlR//hdeB//
LysR_neg	patA//
LysR_pos	lsrA//
MalI_neg	narL//napB//melB//
MalT_pos	ulaE//ygdB//lldD//yrbL//gadF//hcaR//garD//ldtC//yhbE//galE//
MarA_neg	lsrR//fecB//torC//znuA//purB//yjiY//mhpA//
MarA_pos	gltJ//osmY//torR//citF//rclC//nikE//dhaK//ccmH//glmU//pstA//argB//cbl//flgF//fliJ//argP//pspE//gltD//lysC//rcnA//yiaJ//rob//hisP//ydfE//ppsA//narX//lldP//slp//hybD//glpX//fliN//argC//
MarR_neg	araB//hyaF//hyfB//
MatA_neg	ccmB//nanK//citC//polA//metK//yhdZ//
MatA_pos	zntA//fdnG//
MazE-MazF_neg	ybhL//yeaH//ugpE//
MazE_neg	trpR//atoA//mdtE//
McbR_neg	chbG//
McbR_pos	allE//pdeR//ygeA//
MelR_neg	pfkA//tktB//pnuC//
MelR_pos	polB//uhpT//sra//
MetJ_neg	tehA//yafO//srlA//sodB//agaR//uidB//marA//mdtE//casD//ftsW//sroD//ulaD//yiaJ//soxR//cyaR//
MetR_neg	cydC//cysJ//
MetR_pos	amn//dinD//ttdR//galR//
MhpR_pos	fldB//purR//tyrA//fabZ//araA//napH//
Mlc_neg	ygbA//alsB//ybhS//aspC//lgoR//alaC//dicC//casE//znuB//yqjH//
MlrA_pos	efeU_2//fabH//gadB//prpE//purR//fbaB//paaF//wecB//oppC//mdtA//
MngR_neg	dhaK//sgbH//mtlR//
MntR_neg	appB//xylA//nrdF//ftsQ//
MntR_pos	galP//
ModE_neg	narL//pspG//fdnH//yeaD//lolA//intQ//fbaA//mntP//fdnI//flgF//ykgM//nikD//bhsA//nrfE//galS//
ModE_pos	moaB//ssb//paaD//nfsA//flgN//galS//treR//cysW//modC//gadX//ftnB//fhlA//astA//decR//codA//cheA//rcnA//osmB//ptsI//tdcA//gadY//yqhD//cspE//flu//exbB//tdcC//rcnA//uxuB//bioD//artQ//bglG//
MprA_neg	symE//sulA//codB//gadA//pheT//yeiL//
MqsA_neg	ynbD//ddpD//caiB//phnO//lpxC//mraZ//narH//uspA//
MraZ_neg	yiaK//cusF//moaE//narK//ydiV//gatD//nlpA//lexA//ldtD//lysP//galK//qseC//sulA//nusA//recA//napD//rcnR//
MtlR_neg	fixC//hdeB//fliT//
MurR_neg	xylR//borD//dicC//
MurR_pos	dapB//
Nac_neg	nadA//entC//bglF//accB//rutC//casD//htpG//galS//yjhB//
Nac_pos	ddpD//hyfA//cydA//crl//nirC//fimE//sufB//ybhF//mtlD//aceE//gatB//iscA//
NadR_neg	tdcG//ugpC//rutF//oppC//
NagC_neg	cyoE//gfcA//nac//ybjN//znuC//glpX//isrC//moaC//setA//treR//aroP//phnJ//chbB//fhuE//rcnA//frc//cyoE//creD//tdcC//rnpB//aroH//nirB//asnB//purF//csgB//caiE//hycB//ppdB//cyoE//paaB//ugpQ//entD//psd//
NagC_pos	agaA//alsB//lsrG//
NanR_neg	dapB//hipA//gltB//bamE//glnG//fliN//gspK//alkA//cusS//yrbL//
NanR_pos	argH//
NarL_neg	tnaB//phoU//gudD//rnlB//yefM//cyoA//trpB//talA//norR//nanS//gor//gcvH//nanM//cysG//rffT//glpK//galT//aceB//nrfG//aroL//yefM//ydjM//fliS//cydD//ybdZ//tadA//casE//malY//moaB//poxB//ptsH//rpoD//iscA//argP//uspA//ftnB//lysR//dps//gatC//tsgA//pgaD//pagP//narK//nrfC//ppiA//dhaM//gabT//sgbU//arsR//ruvB//gadW//cspI//gspH//fnr//rpiB//chiP//ftsW//appA//sufA//csgD//gadW//ykgO//ptsH//puuA//phnG//pgaB//hyfG//bdm//ftsL//ulaG//lrp//hyfR//sdhC//cdaR//nikC//rpmA//fliM//thiP//nfsA//talA//serA//pncB//yiaL//flgH//rbsD//hyfC//ychF//
NarL_pos	sbmA//lpxA//pspD//xylR//gspC//gcl//yhhY//mltF//ulaD//gspF//glnL//gabD//glpA//norV//norR//accA//qseC//gatZ//pqiB//iscS//glgC//ftsK//cysJ//gspH//mngA//purA//gfcA//ppdC//hybO//paaD//astD//pykF//dsdX//leuC//lsrK//narG//rprA//astD//hisP//purK//accB//ascF//glnK//
NarP_neg	pspG//idnO//fbaA//phoH//citD//phnO//yoeB//sgbU//rbsD//tfaQ//yjiY//appA//trxC//uxaA//pheS//rutF//glpC//phoR//glpD//fadJ//putP//pyrC//bhsA//focA//ydiV//sodB//fixB//yciF//ydhT//lsrB//glnA//appB//casA//
NarP_pos	glmY//cydB//frdC//dinB//arsC//ampC//polB//adhE//yjbH//cysD//amtB//oxyS//sufS//rprA//hycH//feoA//bglF//chbB//ykiA//hydN//flgL//wcaB//fadH//trpR//lrhA//ydfN//fbaA//araH//cusC//motA//evgA//hflD//
NemR_neg	xylA//fepE//sbcC//
NhaR_pos	ydeP//ldtC//ftsW//aroF//yqjI//ccmG//nuoC//
NikR_neg	lsrF//hcaD//appB//fabB//dkgB//gntU//
NimR_neg	mhpD//ndh//
NorR_neg	hypC//
NorR_pos	rpoS//paaH//
NrdR_neg	gspL//glnA//phoH//sucD//fliJ//mdtF//lrp//qseB//leuO//
NsrR_neg	hyaB//ddpF//glcE//fliO//yiaN//yneM//lpd//paaF//codB//rutR//ydbK//glnB//garL//yhhY//pyrC//cusB//paaH//lpxD//yebG//nrfC//lysA//dgkA//artQ//nrdB//sufE//gudX//rutE//pstC//malF//mdtA//soxR//dnaN//yoeB//tpiA//nrfF//araG//chiP//baeS//wecE//galR//moaB//gadW//pstS//ddlB//ppdB//sgrS//fimB//adiC//alsB//artP//yqhD//csgD//puuD//fixB//infB//tsx//artM//tomB//mzrA//hipB//ebgC//agaA//potH//alkA//gabD//ryhB//gadC//yrbL//moaE//pstA//gcvH//gadE//leuO//yjhC//carB//cyoB//nupG//nupG//dpiB//sdhA//cspI//fhuF//fhlA//
NtrC_neg	paaY//ybjC//yqaE//mpaA//ibaG//fliI//
NtrC_pos	idnT//hybA//rbsB//accD//osmB//rpmI//fabG//ygiZ//fabB//gspF//ftnB//artI//dctR//pnuC//rnpB//ftnB//tyrR//fucU//tehB//nfsA//moeA//moaE//nupC//rcsA//eda//asnC//amn//hipB//dcuD//rutG//fucA//ykiA//pstS//xapB//araF//ydbK//flhE//rimP//glpK//nrdG//yidL//rutF//tsgA//phnE_2//fpr//pheS//relB//hybO//pstS//
OmpR_neg	ariR//cheA//fixB//gcl//uspD//ssb//gutM//adiC//carA//glcC//hyfE//narH//
OmpR_pos	yciX//cadA//napF//fadM//adhE//bglJ//slyB//ydjM//fpr//hyfC//
OxyR_neg	aspC//appX//cas1//cyoD//ihfA//puuA//hypE//csgA//napG//phoU//garL//dinF//
OxyR_pos	relB//hcaR//purM//trpL//ptsH//gspM//ygiC//aceE//csgB//tfaQ//mdtB//mdh//bioA//ompF//recF//rnlB//yrbL//chbR//argT//bhsA//folA//ompN//
PaaX_neg	mraY//ybaS//dmsA//wecC//fumC//garR//flgD//atoB//ompN//nanA//guaB//aroP//yhcH//hyaA//
PdeL_pos	uidA//
PdhR_neg	asr//glmS//gspF//uxuR//entA//araB//fumB//pfkA//metE//murE//citD//dinB//ccmB//fepD//flgD//fimB//ryhB//nuoB//rsmH//entC//ftsI//bamE//flgL//prpB//betT//glpC//aspA//rpoS//dinG//hyfI//trpA//exbD//lyxK//acrR//metY//cyoA//
PdhR_pos	omrB//mgrB//fbaB//rprA//htpG//
PepA_neg	uvrA//puuD//manX//
PgrR_neg	ompC//hokD//gcvB//cusB//glcG//lysO//rcnA//creC//
PhoB_neg	slyB//dmsD//nagA//yiaK//galK//agaA//yfbR//paaZ//phnE_1//cheW//cvpA//glcC//
PhoB_pos	rutC//ldtC//fhlA//glgC//ydcV//metE//guaA//hycB//alsC//yqjI//pspG//accD//yeiL//gabD//ydhX//rpsU//motA//glpF//srlR//hybF//gcvT//cpxA//gadE//nuoI//csgF//gpmM//melB//uxaC//ldtD//tolC//potG//ybbW//murE//xylB//nrfB//tauC//mgrB//znuA//fliZ//trpE//hyfJ//yqhD//cas2//ycdZ//accC//creA//yhjA//yjbE//creA//mhpA//mazG//fucK//sucA//
PhoP_neg	rob//accA//rutE//torC//fadD//hcaR//paaF//nfsA//ydcT//cysD//yaiA//
PhoP_pos	ymiA//fldA//rutE//caiD//hdeA//ybhR//ybbW//ybdN//gntT//caiT//puuP//gltD//sdhA//gntT//phoU//trpL//rnpB//glpB//ybbW//ulaC//ecpA//feoA//fhuC//xylG//yecT//gutQ//caiT//sbcD//ycgR//tyrB//cyoA//appB//gfcA//bdcA//mpaA//hyaF//hycH//wecB//gspL//galP//ddpX//carB//yccA//galE//lsrK//fabH//ampC//erpA//
PrpR_neg	dgcN//
PrpR_pos	sodA//flgN//cynX//arsB//
PspF_neg	exbB//
PspF_pos	malS//fhuB//pyrC//fixC//aceB//tynA//
PurR_neg	yibQ//sucB//hcaF//artJ//dinQ//dapB//hycF//feoC//gcl//pncB//yjjZ//astC//mgtL//astE//uxaB//tsr//glpK//gyrA//aroH//uof//rpmI//cysH//glnH//yiaN//potH//qseC//agaS//lon//tdcD//asr//glcC//
PutA_neg	glcG//rclA//
PuuR_neg	prpR//cirA//yeaD//wzc//fpr//crp//symE//
QseB_pos	fadJ//nuoF//lsrK//ynfH//
RbsR_neg	ssuE//nhaA//argH//iclR//iscR//ccmB//ycgR//glcB//
RbsR_pos	nimT//
RcdA_neg	hemH//glcF//
RcdA_pos	fepA//btuB//mipA//poxB//paaK//mnmG//purH//
RclR_pos	sra//fdnI//ftnB//
RcnR_neg	dnaN//exuR//zntA//
RcsAB_neg	marR//nohA//ugpA//uxaA//fhuE//ddpC//
RcsAB_pos	mtlA//gabT//yefM//mdh//sgrS//phoB//hcaF//cusS//ldtB//mhpE//
RcsB-BglJ_pos	malS//pgaC//glxR//yccJ//tnaC//torR//hyaC//flgM//pepA//glcD//lysC//fucA//uidA//omrA//puuA//yiaO//
RcsB_neg	tyrB//srlD//
RcsB_pos	fes//rhaT//gudP//cydC//cydC//purL//tdcD//rutC//gyrA//ulaC//cspE//wecC//osmB//pheM//hns//xapA//hcaR//gltL//deoC//flgI//fecI//yjbE//argP//
RelB-RelE_neg	rimP//betB//ycjG//
RelB_neg	wzyE//cysB//rob//
RhaR_pos	hyfA//fadA//
RhaS_pos	tisB//glk//ydfD//aceE//rybB//nusA//
Rob_neg	entS//
Rob_pos	narX//dnaN//rarA//omrA//poxB//metJ//gspH//ecnB//dinB//rffH//csgA//dnaG//puuA//fdnI//hybG//yqaE//csiD//zinT//tcyJ//fadL//iraP//rbsC//purA//galT//cusF//
RstA_neg	fldA//phnD//rutG//fliO//mqsR//
RstA_pos	fabA//glnL//metI//fumB//paaK//
RtcR_pos	puuR//mlc//
RutR_neg	cysD//nuoJ//rybA//purB//mtlD//sgbU//argF//glmS//glnQ//nagB//kbaY//mazE//hflD//ybbW//nfuA//
RutR_pos	cdaR//mscM//
SdiA_neg	nrdI//qseC//artI//
SdiA_pos	gcvH//lysA//fliT//
SgrR_neg	cysW//mdtE//tnaC//molR_1//citE//
SgrR_pos	prpE//ydiV//chbB//glnQ//
SlyA_pos	fhuE//
SoxR_neg	ybjG//
SoxR_pos	aspC//obgE//
SoxS_neg	codB//fliS//
SoxS_pos	mntP//gntT//fucI//rcnA//pspF//iraP//lgoR//lolA//gspJ//malG//recN//mdtE//cyoD//waaZ//astB//xapB//alaC//murR//phnM//appX//pspE//gudD//glpT//hypF//hcaF//dhaR//fimB//serA//hybO//araA//cydA//mngA//potI//manY//galM//fur//copA//recC//
StpA_neg	fecI//nrdD//rpiB//asr//fucI//phnO//oxc//
SutR_neg	phoP//fadJ//yjbF//idnK//rpmI//
SutR_pos	fumB//
TdcA_pos	glgC//eda//galS//rcnB//lysA//fucO//sdhC//
TdcR_pos	ssb//molR_1//fadR//kdpC//gltJ//atoB//yhjA//
TorR_neg	mgrR//emrA//ccmE//
TorR_pos	araE//tyrP//nmpC//hha//malY//cysG//hybE//asnA//stpA//
TreR_neg	ydbD//argP//
TrpR_neg	ddlB//recX//kbaZ//fdnG//pdeH//gabD//glpK//fhuA//glpB//sgbH//mltF//mhpD//
TyrR_neg	ydcU//fhuF//ddpX//rtcA//pspG//evgA//aroM//treR//amtB//icd//
TyrR_pos	feoC//crr//melR//
UhpA_pos	pheS//
UidR_neg	argR//moaC//yiaL//sdhA//
UlaR_neg	tnaB//fucP//rfe//nanM//nirD//yhdX//modB//
UvrY_pos	gnd//glnL//gcvT//tktB//yccT//
UxuR_neg	agaD//yciW//torD//flgG//mhpD//hycI//yqjA//pepA//exuR//
XapR_pos	cas2//fau//
XylR_neg	yfdX//
XylR_pos	recC//ycdZ//idnK//yjhC//lyxK//ccmC//
YdeO_neg	allA//gdhA//
YdeO_pos	creC//hybA//ycjG//gutM//allB//fabZ//sdhD//kdpA//evgA//uidA//betB//trpC//pdeR//ftsL//hdeB//fucA//glnL//gudX//rcnR//
YedW_neg	hcaC//yjiY//ahpF//hemH//ilvY//
YedW_pos	hcaB//nuoK//envC//paaA//deoC//yidQ//flhC//
YefM-YoeB_neg	dmsB//hybF//
YefM_neg	rpiB//dapB//
YehT_pos	ptsG//
YeiL_pos	ttdR//
YiaJ_neg	fliZ//ebgA//gutQ//adiA//mgrB//lldR//fliD//purH//udp//xylB//
YjjQ_neg	lon//rybB//ykgO//hycI//purE//gabT//nhaA//ccmE//nfuA//hisJ//
YpdB_pos	yhdY//
YqhC_pos	lacY//yhdZ//
YqjI_neg	agaR//manZ//
ZntR_pos	chiP//
ZraR_pos	argO//tktB//gabT//
Zur_neg	trpR//narH//pfkA//aspA//gyrA//rseC//
