#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yhdZ//lsrK//
CpxR_neg	ygeA//yhdX//fepB//yccJ//metF//mioC//phoE//pagP//glpB//phnE_1//pagP//glgA//yoaG//kdpA//rseB//tauD//pyrD//csrB//araC//prpR//purA//purA//gudX//ccmA//
CpxR_pos	yiaO//nanE//sutR//ndh//molR_1//ppdA//gpmA//pheM//ygeH//hycI//yedX//ychF//sgbE//gltI//kdpC//agaB//yeaE//leuB//gspD//pspA//nhaR//mltF//malP//fhuC//puuD//dinD//rbsR//pheM//napF//glpK//yeaD//nirD//rffH//alsE//tdcF//cysK//cbl//nrdB//phoE//dcuS//yiaM//metA//gltB//emrA//glcA//hflD//
Cra_neg	fecE//ydfH//rarA//yciF//nanS//yqjI//ulaC//paaE//argE//mgrR//iscA//yhcH//ybfE//aceE//yiaO//katE//rstA//iscA//higB//deoC//nrfF//rseA//hybO//nanK//sgbE//hyfJ//rbsA//gadF//ynbB//murQ//fbaA//sroA//dhaL//yhjA//mntP//crl//cysE//narH//gatC//leuB//pspE//dinD//tehB//yeiB//sucC//sdhB//dmsD//isrC//phoE//hyaB//btuB//mdtA//ybjN//eno//fixB//gcvP//srlB//ynfK//dhaK//
Cra_pos	puuC//paaE//puuE//entS//metJ//nirD//creC//rhaB//ccmA//exuT//nuoK//exbB//malP//wecE//rutR//fumC//rpiB//cyaR//metF//fixX//purM//uidR//ddpC//
CreB_neg	cadC//fecR//mdtE//
CreB_pos	wecE//flgK//
CsgD_neg	ttdT//ccmB//osmC//pgi//tehB//sgrS//exuT//ebgC//yjbF//znuA//nuoK//ilvC//umuC//agaS//efeU_2//
CsgD_pos	argF//gpmA//rpsO//agaI//nrdF//cysM//hycI//flgC//cydB//ulaF//recN//bioF//amtB//
CsiR_neg	wzyE//yqjH//yciG//oxc//appC//
CspA_pos	acnA//prpR//
CueR_neg	wzc//dinD//ssuA//chbF//gadC//
CueR_pos	lpxA//yeaG//
CusR_pos	wecE//hycA//hybF//araB//bglF//ydfX//gspF//speA//cysB//phnE_1//ytfE//sgrR//
CynR_neg	yciG//
CynR_pos	betB//iraP//gspD//
CysB_neg	cusR//frdC//glnL//yjeV//rutF//sufS//flhB//
CysB_pos	nemA//ulaG//yeiL//fabD//purD//ydhW//gntK//fecI//dctA//dsbA//xylG//fliG//hycI//obgE//chbF//cas2//citG//ugpB//entC//ydhW//sgrT//folA//casD//pgpC//eda//
CytR_neg	sroA//nikA//ebgC//entE//hcaR//hyfF//agaB//paaZ//fecA//tnaA//phnP//ddlB//ydhU//
Dan_pos	nfsB//hyfH//ompF//mgrB//
DcuR_pos	cysP//metK//hybB//cydA//hyfJ//yafP//rutF//cheA//nanS//
DeoR_neg	cydC//hisJ//cysM//pagP//moaC//hybO//
DhaR_neg	iraP//
DhaR_pos	htpG//ssuB//hyaC//
DicA_neg	putP//gabD//malX//cysA//gadY//mhpF//leuB//csgC//
DinJ-YafQ_neg	insK//nuoC//rutC//
DnaA_neg	cadB//sulA//rutF//csrB//udp//ychF//moeB//nrfG//narJ//murI//ogt//
DnaA_pos	flgK//rpiR//agaD//araG//yqhG//osmC//ldtB//
DpiA_neg	nimT//
DpiA_pos	carA//tonB//argT//metQ//hemL//nrdF//frdB//srlD//nuoL//sgrR//
DsdC_neg	glpQ//
DsdC_pos	gatC//kbaY//
EbgR_neg	ilvY//ftsW//
EnvR_neg	symE//sutR//
EnvY_pos	flgG//mdtB//
EvgA_pos	cas2//wcaB//alsA//bioA//mdtA//cyaR//gnd//sroA//nfsA//hdeD//ydfE//glgA//psiE//tktB//wzxE//pgpC//pagP//yccT//moeB//
ExuR_neg	agaC//cysJ//nfo//gudX//gabT//phnC//icd//garR//pnuC//
FabR_neg	fdnH//rstA//
FadR_neg	rnlA//flgN//flgB//sra//fiu//fliF//napA//fucA//glnK//fes//ssuC//
FadR_pos	dcuS//modC//rbsD//murI//rnpB//yafO//xapA//mqsR//malM//cysC//citF//iscS//
FeaR_pos	mdtB//nikB//
FhlA_pos	yneM//yhjX//sgrT//entS//paaI//yoaC//pspF//fucO//artI//nemA//ugpB//aroG//artI//iraP//phnK//gspL//metQ//xapB//osmB//dinF//paaX//fepB//gspF//gutQ//glgC//ybaS//oxc//lacZ//safA//hyaA//
FlhDC_neg	paaE//frdA//mdtB//pnuC//
FlhDC_pos	phoH//ribA//rutC//narI//nhaA//ynfG//edd//fecB//ccmG//cueO//yjjZ//ybhR//rimP//hslJ//fixX//phoA//purC//dhaK//fecD//yciF//mntS//tauD//srlA//ccmG//malZ//hyi//yhdZ//osmY//uidC//ssuB//phnE_1//tktB//codB//csgA//tsgA//cadA//oxyR//potI//entB//flgD//xapB//cho//uxaC//nemR//fnr//ppiA//yccA//argD//rpoD//pitB//flgD//rhaD//yfaE//ppdA//ybbW//nrfA//gltI//puuR//ecnB//accC//ptrA//yiaJ//glcA//mdtD//potH//mprA//nikD//hybD//gatB//recD//qseB//flhC//oxyS//murD//pgpC//phnN//guaA//aroL//
FliZ_neg	feoB//ftsI//ilvC//znuB//skp//polA//dhaL//ddlB//iscA//caiC//fimE//uxuR//ibaG//fimB//phnG//yjhB//feoB//idnK//argR//rybB//flgH//
FucR_pos	araB//sroA//tonB//manY//narG//dmsD//nuoA//
Fur_neg	hypB//ppdC//tolC//evgA//nanS//galT//argB//nirC//fabH//pspD//seqA//cra//exuR//nrfE//rffC//puuD//psd//paaE//pspE//recX//nagA//rutD//araE//oppC//ccmE//ykiA//mglA//acnA//hisQ//argG//ygbK//hybE//kbp//waaZ//argP//potI//tauB//ygiB//cspI//wcaA//glgC//mipA//pykF//ddlB//fliR//infB//dkgB//entH//nikC//hokE//cysH//csgF//gltF//ubiA//gspH//ydfD//pgaD//lldP//lacY//skp//decR//rfe//cysE//fepE//purH//agaI//rbsC//flgH//nfo//pheS//nuoM//yebE//envC//hokD//phnK//araA//phnF//hflD//hybF//ddpF//mgrR//prpD//ftsW//chbC//fucR//yjbE//yiaL//uxaC//rclA//cas1//tnaA//glpT//hyfB//phnH//mglB//insD//ybhR//hypA//tcyP//appC//entD//dinG//yeaE//hybO//mraY//phnJ//pdhR//yidQ//gloA//hybE//betT//tolC//yoeB//gltB//paaG//
Fur_pos	prpR//gspF//tsr//cra//dicB//ybiT//micF//alsA//hokD//rpsU//dicB//dmsA//waaZ//yiaO//xylA//malZ//acnA//ycgR//nrfC//ubiA//iclR//
GadE-RcsB_pos	galT//narK//lacY//ykiA//rhaS//hydN//cas2//fabH//cysD//
GadE_pos	yhjA//hyfG//sgbU//tcyJ//paaJ//cysG//trpC//prpR//ydfE//phoH//fepC//chbB//ygiC//gatC//betB//betT//flhB//melR//phnC//qseC//phr//gpmM//ulaD//sdhB//uvrA//rtcA//allC//astE//flgG//
GadW_neg	agaI//cadB//nemA//dinD//cho//potH//yrbL//rutC//artP//nadA//rpoH//
GadW_pos	bioB//astB//citE//cas2//nfo//mntS//argO//fes//ugpE//uxuR//pepA//
GadX_neg	gadB//fimE//leuD//dhaM//alsC//nikB//
GadX_pos	cspI//torC//caiA//glyA//yhbS//sdhC//yeaE//ugpA//fixB//dmsB//ycgR//galT//ftsL//molR_1//uxaA//malZ//sdhA//glxR//napD//citE//umpH//uidB//lrhA//hycC//poxB//omrB//rpsO//
GalR_neg	csgG//prpR//nikA//yccJ//nrdG//phnI//infC//manX//purK//fucP//
GalR_pos	norW//flgI//astD//hypE//
GalS_neg	alkB//srlB//deoD//hisP//nmpC//fucP//rffC//galP//erpA//torD//
GalS_pos	torD//fucP//nanM//ugpQ//
GatR_neg	rpsU//artI//fixA//purE//dmsC//yecT//
GcvA_neg	aceB//sufA//fliF//csrB//
GcvA_pos	pgk//ybaT//focB//dcuB//
GlcC_neg	nuoG//
GlcC_pos	garP//casB//moeA//napA//decR//rbsD//
GlpR_neg	wzzE//nfo//citF//tauD//appX//cysW//malG//purD//metH//
GlrR_pos	soxS//cusC//entB//yfbR//potG//
GntR_neg	pstC//tsr//hisM//nhaA//cynS//nuoM//paaF//sufB//psd//purH//entE//hcaF//
GutM_pos	csrB//fecB//csrC//torR//nuoI//skp//nuoN//
GutR_neg	nuoC//creA//aroP//tnaA//sgbE//moaA//dcuS//
HU_neg	csgG//ydhX//creD//tolC//mraY//ybjC//fldA//betA//
HU_pos	paaD//
HcaR_neg	ttdT//
HcaR_pos	frdB//agaV//nrfD//modB//narL//
HdfR_neg	prpE//galR//
HdfR_pos	mcbA//ybdN//kdpC//
HigA_neg	nuoA//phoA//
HigB-HigA_neg	norW//fliK//
HipAB_neg	pncB//pepA//nrfE//psd//fliA//
HipB_neg	ariR//flgC//fabG//malS//ptrA//hisP//
HyfR_pos	cadB//glmS//ygaC//cysK//nuoA//araF//speA//btuB//narK//glpB//mzrA//psd//
HypT_neg	cpxA//mdtC//murE//rimP//zinT//
HypT_pos	thrS//flu//pgaA//mgrR//dmsA//csgB//citC//entC//
IclR_neg	yiaM//oppB//galR//phnM//
IdnR_neg	feoA//narL//
IdnR_pos	narX//ptsH//yjjZ//caiC//ygeH//
IlvY_neg	nrdH//
IlvY_pos	mdtA//
IscR_neg	yiiS//kbp//leuC//mpaA//ptsH//fliH//mtr//sroC//osmY//gor//hcaC//aroL//rseC//ygdB//ppdB//lrp//cysM//ydfD//ydeI//gatD//aroM//
IscR_pos	glcD//galP//agaV//casA//ynbD//flgM//fhuB//fliZ//fabA//folE//yciG//
KdgR_neg	metF//mdtC//
KdpE_pos	exuT//nadA//ygiZ//pstS//
LacI_neg	nuoC//ccmC//gltL//
LeuO_neg	mhpA//omrB//glxK//
LeuO_pos	araB//cysJ//speA//tnaC//galK//arsR//gadC//paaH//nikB//murD//waaZ//napA//sbcD//glpT//yciE//glcC//nuoK//pheS//
LexA_neg	narJ//leuA//bacA//ppdA//chiP//alaS//nikB//cpxR//moaA//agaW//gadC//deoB//sufC//nuoA//tdcD//nrdF//feaR//puuA//qseB//rutD//fucK//nikA//relB//rhaT//glpQ//dcuA//ydeI//murC//iclR//sgbE//xylG//dkgA//fhlA//aroL//wzb//cirA//moaC//hypA//ulaE//nuoA//hypD//srlR//pqiA//bglJ//nusA//rseB//ymgC//dsbG//aceA//pck//ydfN//ddlB//dcuR//gloA//dmsC//xylB//carA//puuR//yegH//
LldR_neg	purB//bioA//paaG//
LldR_pos	cysK//ychF//yccA//
LrhA_neg	gatZ//copA//
LrhA_pos	lolA//uxuR//
LsrR_neg	lacZ//emrB//lsrF//hybG//tcyJ//yhhY//yecT//nfuA//cysU//
LysR_neg	dinI//
LysR_pos	potI//
MalI_neg	guaA//puuC//caiC//
MalT_pos	cyoB//ndh//gcvP//allS//ydfE//malF//rbfA//hlyE//ydeI//nikE//
MarA_neg	lldP//casC//gspG//molR_1//fdnH//nrfC//yhdY//
MarA_pos	uidC//rpoH//pitB//gadE//lysA//uidR//molR_1//gspO//csgG//nagB//fabD//melR//malZ//fadI//agaI//puuC//amtB//dinD//rutD//rdoA//cusB//ddpB//mazE//safA//argO//glmY//araC//ppdC//ygeA//dsbG//pgi//
MarR_neg	yccT//rpoH//glpX//
MatA_neg	sbcD//cysJ//guaB//rutA//lldD//galS//
MatA_pos	moaC//cyaR//
MazE-MazF_neg	hycC//fliK//rhaS//
MazE_neg	yjbE//hyi//phnO//
McbR_neg	nupG//
McbR_pos	rclA//acnA//murF//
MelR_neg	ybhL//iclR//astE//
MelR_pos	hcp//flgF//metL//
MetJ_neg	mzrA//aroH//pyrC//artI//napC//alsC//malP//dgcC//metC//dsbA//waaZ//csgA//yqjA//gspK//rhaR//
MetR_neg	rutA//atoA//
MetR_pos	entF//mraY//gspG//cusF//
MhpR_pos	cadB//cysW//purD//rffT//dpiA//oxc//
Mlc_neg	osmC//yafN//yeaH//lsrF//galK//dinD//leuA//nuoK//wecE//gltK//
MlrA_pos	ogt//mhpE//malQ//gspF//rhaA//yfiB//pdeH//glpF//cspI//soxS//
MngR_neg	wcaA//xylR//mpl//
MntR_neg	allS//phoH//appX//ygbA//
MntR_pos	yidQ//
ModE_neg	gadB//argP//ptrA//pgaB//uspE//alsE//dkgA//norR//aroF//pdhR//acrA//degP//mhpE//agaB//dgkA//
ModE_pos	phnK//tnaB//thiQ//uvrC//prpC//yafN//hlyE//aslB//patA//uxaB//pck//pspA//argB//yjhC//oppC//dtpA//hybB//nanM//hcaD//lpxC//glnH//chbB//gspC//accD//yiaM//rstB//nikE//mngA//ydhW//allA//gudX//
MprA_neg	norR//murE//yfaE//pheM//wrbA//yjhB//
MqsA_neg	nrfE//phnO//qseC//hcaE//cysH//fhuE//nagE//gadE//
MraZ_neg	omrA//puuC//yneM//ydeP//pyrC//hybF//acnB//bacA//poxB//argG//rpmA//alkA//fecR//feoB//epd//iscR//fhuA//
MtlR_neg	yciG//moaE//zraP//
MurR_neg	ccmC//htpG//yqhD//
MurR_pos	higB//
Nac_neg	chbB//recD//zwf//ascB//sodB//sufE//rybA//idnT//fucU//
Nac_pos	hycD//ygeH//dctR//hydN//murE//ydeP//betT//ybaS//ldtC//ssuE//rstA//glcE//
NadR_neg	kdpA//araF//lysO//trxC//
NagC_neg	hyfC//fliR//ygiZ//fabB//ddlB//yafN//dnaA//gdhA//ydcU//yqhD//agaC//yafO//aceF//gntT//hybC//uidA//decR//hyfJ//lysP//ddpC//cusB//fucI//yfdV//dcuB//fdnI//ccmG//ompC//phoH//relB//waaH//gspD//oppC//luxS//
NagC_pos	ydfH//pstS//oppF//
NanR_neg	pspD//nrfE//tdcC//paaZ//flgM//hycD//alkB//hokE//cysC//lrp//
NanR_pos	micF//
NarL_neg	sdhB//mlc//gspL//ybhF//astE//agaA//ymgC//hcr//tktB//csgG//bdm//bioF//safA//fecB//fhlA//flgM//uxuR//asnA//phnK//nagB//modA//yafN//bolA//nohA//casC//erpA//dpiA//pfkA//yhiD//citF//sbcD//puuP//allS//dicC//sufC//dsbA//fliP//ompW//gabD//lysA//narK//sbmA//gcl//narK//mdtE//xapA//yfaE//cas2//amn//dinI//mglA//metE//fliZ//csgA//cytR//potI//purL//dhaL//ccmF//ygdB//flgI//malI//flgA//ompT//potH//ynfF//nirD//cydD//acrA//cusF//cpxP//gadB//ydfE//fldB//ddpD//icd//feoC//gadW//phnE_2//cyoB//nuoH//dinB//mqsA//yfdV//lsrC//glpX//mnmG//
NarL_pos	galK//ybbY//sgbH//prpB//casD//ttdB//amn//ybiT//patD//ppiA//pgi//pitB//fruA//napG//gatC//ybjC//ydeM//uvrD//cra//gabT//gatA//yciW//hypE//metN//yecT//gor//flgF//pflB//glpT//cysA//paaE//tauD//agaC//glnD//cra//ymiA//dmsA//paaK//uidR//tauD//murP//flgK//phoP//
NarP_neg	caiE//uxaB//yciX//osmB//glcC//narK//emrA//tsx//narJ//patD//iscS//caiB//hemH//rstB//prpE//dcuR//pfkA//cra//ahpF//umuD//phoQ//guaB//soxS//cynR//agaV//rpmA//hybF//fadH//dgcC//metL//rclB//manY//dapD//
NarP_pos	wecC//fliR//xapB//ynfG//tyrR//glcB//gltI//napF//ccmG//garD//hemH//thrS//entS//frdC//carB//fhuF//metL//yjbH//nuoF//cynT//yiaK//melA//rimK//rdoA//hcp//potH//efeU_2//csrC//zraS//nrfD//kdpA//fliF//
NemR_neg	exuR//fliI//glgA//
NhaR_pos	cusC//nupC//astC//ynjI//mhpD//pspF//csgB//
NikR_neg	araE//fucP//hycI//cvpA//rhaA//rhaD//
NimR_neg	frc//slp//
NorR_neg	iscA//
NorR_pos	yhhY//cydC//
NrdR_neg	acnB//csiD//hybF//evgS//infB//purD//aroH//paaJ//tsgA//
NsrR_neg	waaH//htpG//trpC//yecT//yagK//flgF//evgS//ompT//citD//crl//nagB//murP//yfdE//glxR//nanK//yccA//lpxD//sgrT//nrdA//fucK//hyaC//rhaB//torD//zinT//galS//tdcA//exbB//betA//ydbD//metI//lldD//tomB//asnC//fepB//metQ//nrfA//gntU//ynjI//lysA//sufA//ybaS//obgE//gspI//mtlD//yidL//glcE//rhaT//cysW//araF//higA//araC//ibaG//mdtA//sbcC//aroP//ygiC//sgrR//ttdB//yafO//metQ//fnr//oxc//yncE//allB//glmU//ccmA//marB//yfdX//ccmH//yegR//mdtF//cheW//tsgA//yiaL//efeU_2//dapB//eno//umpH//ygaC//pspD//hybC//gcvP//yjhC//
NtrC_neg	fnr//dnaN//flgN//nfo//glnH//rplU//
NtrC_pos	fumB//argG//phoP//yfdE//yjhC//purA//hisP//mprA//murQ//dsbG//yiaL//entC//bioB//srlB//accD//yeaE//yfiB//alkA//gntK//ybjC//flhB//aceE//argE//hslJ//pncB//yagK//ykgO//mngA//paaF//crp//crp//prs//ybfE//ulaB//yafP//fhuE//mlrA//ybdN//rnlB//ompT//ahpF//phnG//cpxQ//ddpA//alsA//rbsC//norR//mntS//rob//
OmpR_neg	ptsH//dhaL//ftsQ//fliE//phnN//mioC//sulA//qseC//fucU//yiaJ//uxaC//puuC//
OmpR_pos	fldA//rnlB//iclR//mgrR//flgL//aspA//ydfW//relE//lsrG//lsrG//
OxyR_neg	psiF//carA//ccmC//waaZ//rutB//ascF//accD//murC//kdpC//borD//ddpD//argD//
OxyR_pos	napC//ugpQ//infB//csgG//fepC//tyrA//ddpF//sucB//oxc//aslB//argT//alaC//gatB//dsdX//cheA//galS//lysA//rbsA//ydbD//sgrS//fliL//crr//
PaaX_neg	metB//cysD//flhC//lexA//ppdC//eno//yjeV//moaD//flgC//hdeB//prs//ftsW//mazF//glcC//
PdeL_pos	ybfE//
PdhR_neg	malE//asnA//tcyJ//mtlA//nirB//rhaB//feaR//gspM//ilvC//paaI//mgtA//potI//kdpA//galE//uvrB//ydfH//ccmD//speA//argC//setA//metC//moaA//deoB//ftsK//hyfD//ttdT//mdtF//mgrR//fecD//dhaR//araF//yegR//phnE_2//dcuB//cas2//nagA//
PdhR_pos	yebE//paaZ//accB//ymgA//fruA//
PepA_neg	fabG//puuC//uxaA//
PgrR_neg	sroD//tynA//oxc//ycjX//puuA//yoeB//bolA//rseA//
PhoB_neg	yjbE//ftsW//nhaR//fliF//citX//feaR//nrfF//trxC//puuB//hslJ//gfcA//ybbY//
PhoB_pos	ydeP//hcaB//appY//ybjG//polB//leuO//glmU//murR//iscR//ulaB//deoB//dsdX//pflB//hdeB//mngB//yebE//hmp//marR//caiA//lpxD//ytfE//yjhB//iscA//cra//accA//emrB//garR//entF//alsC//ulaE//manZ//phnF//metF//glnB//pgaC//gntT//mioC//potF//ung//mdtD//pflB//agaV//napH//srlE//hisP//polB//wza//ssuC//napF//malT//napB//cpxQ//flgF//
PhoP_neg	ygiA//focB//hypD//tnaA//narJ//nfo//ygiZ//ydcU//potH//flgA//rhaT//
PhoP_pos	hyfA//uvrY//nrfD//pyrC//psiE//dkgA//ydhU//hemL//hyfA//gapA//creB//cydC//nuoK//nrfE//alsB//norW//amn//slp//tpiA//nohA//fliD//yoaG//nadB//fucP//fhuF//cysD//carB//yqaE//ftsW//mlrA//casE//fhuC//tcyP//pnuC//phoQ//phnC//asnA//hybD//ftsA//ygeA//tauC//cysK//mlc//wecE//fepD//insK//rpoD//norR//
PrpR_neg	folA//
PrpR_pos	cytR//lsrK//truB//yegH//
PspF_neg	rcnA//
PspF_pos	sroA//hycI//asnA//gutM//nanM//norW//
PurR_neg	glpK//nanS//metN//dsrA//cynX//deoD//metL//tcyJ//gltF//idnT//yjjQ//napC//alsE//creC//nuoF//rhaA//wecB//ftnA//mdtA//casA//wrbA//srlR//gadW//gor//fadE//ptsI//ftsZ//dctR//nanA//rstA//rutB//
PutA_neg	fimE//csiD//
PuuR_neg	rnpB//gntK//ugpB//ulaC//glpQ//ynbB//sgrT//
QseB_pos	csiD//tdcE//mraZ//melR//
RbsR_neg	nikD//lysA//agaI//fliP//sucB//gltB//astC//yciX//
RbsR_pos	wecB//
RcdA_neg	hyfH//yebE//
RcdA_pos	lgoR//nikB//ftnA//rarA//modA//argI//malP//
RclR_pos	srlD//yjiY//tnaA//
RcnR_neg	ccmC//ddlB//ihfA//
RcsAB_neg	chbB//yidQ//gltI//gadY//oppF//glnD//
RcsAB_pos	hyfE//citC//ompF//hybF//citC//aroL//ydhV//rbfA//pheS//yjjZ//
RcsB-BglJ_pos	caiA//patD//hyfB//napG//hydN//argC//gabT//leuL//glcE//fumB//norR//ssuE//nmpC//copA//hipB//codB//
RcsB_neg	tauC//cadB//
RcsB_pos	ttdA//yciF//aslB//fliO//puuR//appX//galP//higA//ihfA//mraY//pnuC//araH//cyoC//gspH//gadB//gdhA//sufA//ulaG//treB//yidQ//dhaR//deoA//flgD//
RelB-RelE_neg	dctA//rutE//narH//
RelB_neg	sgrR//mhpB//appX//
RhaR_pos	slp//entE//
RhaS_pos	cytR//csgE//acrD//araA//umpH//mtlA//
Rob_neg	ydbK//
Rob_pos	feoC//rsmH//lolA//lexA//ugpA//dgcC//entB//moeA//iraP//sbmC//purN//mlc//purL//phnE_2//rplT//pyrD//edd//mlc//insK//yeaH//flgA//cusR//ymgC//infB//idnO//
RstA_neg	hypA//ccmD//phnG//pfkA//ymgC//
RstA_pos	yfaE//fepC//gfcA//rpmA//fimB//
RtcR_pos	tdcD//feaB//
RutR_neg	feaR//hyfH//fimB//ebgA//nikA//wecB//gcvH//ygiB//thrS//ilvY//fliF//hcaE//glmY//fixC//treB//
RutR_pos	exuR//nrfC//
SdiA_neg	mazE//caiF//hyaB//
SdiA_pos	sgbE//aceA//entD//
SgrR_neg	ccmC//fepD//sgrS//malX//garL//
SgrR_pos	argG//trpB//tomB//glpT//
SlyA_pos	yaiW//
SoxR_neg	fabH//
SoxR_pos	cytR//rbsA//
SoxS_neg	ccmH//ydhT//
SoxS_pos	glpB//uxuA//uidA//tcyJ//rstB//gcl//rfe//acrD//hycE//fhuC//osmC//kbaZ//mraY//pheT//modB//dps//wzyE//argE//mpl//nanS//hisJ//folA//glmY//rutD//amtB//pstS//skp//wecE//deoA//gltI//dgcN//nrdH//murI//hydN//stpA//dmsD//fadH//glnH//
StpA_neg	napF//mdh//ccmE//artQ//uxuA//sodB//dinD//
SutR_neg	cheA//pck//iraM//allA//bdm//
SutR_pos	xapB//
TdcA_pos	lexA//rutR//katG//cyaR//fadE//cirA//fepD//
TdcR_pos	ssuE//yeiB//ytfE//dhaL//uvrY//cecR//leuB//
TorR_neg	yjhB//yafN//yrbL//
TorR_pos	sufS//atoA//ygiB//garP//pqiB//lsrR//torC//glmY//entS//
TreR_neg	hcaR//zntA//
TrpR_neg	cusF//lysO//mepH//ftsQ//grcA//garL//sdhD//narX//gspL//gcvT//nirB//cyoC//
TyrR_neg	fepC//ulaB//argH//dsdA//manY//csgD//inaA//tsx//paaZ//ddpD//
TyrR_pos	ampC//patA//lysP//
UhpA_pos	tyrA//
UidR_neg	melB//torA//rbfA//nagC//
UlaR_neg	rbsR//tonB//ecnB//hybE//exbD//fadD//mdtB//
UvrY_pos	ibaG//fliJ//allE//ahpC//nadA//
UxuR_neg	glcC//cusF//malM//ydbK//sucA//recA//gcvA//fixA//caiB//
XapR_pos	mazE//fliH//
XylR_neg	lsrC//
XylR_pos	ttdA//aroH//recX//gltD//cbl//glpF//
YdeO_neg	araB//nagA//
YdeO_pos	focB//appB//ycjG//nrdB//evgA//nlpA//carB//rsmH//yiaK//rfe//hyfB//codA//ymiA//gltJ//relE//dcuB//yqjA//mtlR//hyfB//
YedW_neg	rutC//dcuR//dmsC//codB//yiiS//
YedW_pos	yfbR//gadX//crp//mipA//ydbD//frdB//ybhR//
YefM-YoeB_neg	gcvT//prpR//
YefM_neg	sdhB//recX//
YehT_pos	sroD//
YeiL_pos	nrdG//
YiaJ_neg	agaR//rybA//argF//relB//ydhT//marA//yfdV//putA//creD//argR//
YjjQ_neg	uxuR//prpR//gcvT//flu//spy//lon//rclC//sdhA//fbaB//rpsU//
YpdB_pos	tyrP//
YqhC_pos	ybfE//mhpE//
YqjI_neg	rstA//murC//
ZntR_pos	galK//
ZraR_pos	trpL//yccT//napB//
Zur_neg	ruvB//fecR//caiE//cysJ//puuA//tdcE//
