#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fadM//yidL//
CpxR_pos	pdeH//sodB//nimT//glnL//ung//rpmI//yhhY//mhpF//ihfA//ihfA//rbsK//entF//torC//citG//mhpD//appC//exbD//exuR//glnB//ygiC//pspB//baeR//phoR//rpoH//phnP//envC//srlE//emrK//arsR//ulaE//glpA//flgC//astA//cspE//ldtC//hflD//safA//malK//nrdE//ddlB//malI//dgkA//gltL//nohA//speA//crr//
Cra_neg	aceE//bdcA//ydeP//narX//argF//fliZ//baeR//nmpC//nimT//crl//tisB//lsrK//rbsA//epd//glnB//yhdY//skp//ygiZ//flgI//flhC//chbC//malS//kdpB//deoC//phnC//manX//tomB//ynbC//baeS//araG//ebgA//lgoR//hycB//artP//appX//ada//oxyR//lon//kdpC//gloA//uspD//dinI//astE//zraS//insD//srlR//galM//yiaO//yjbE//yiaJ//sgbH//tonB//mngB//mglC//fabA//dcuA//mlrA//gspM//ydbK//
Cra_pos	nfuA//carA//yeaH//ompF//cysN//glcB//ftnA//ccmG//citG//leuL//gcvB//exuR//sroA//pyrC//envC//ppdA//accA//acrZ//borD//phoU//ariR//fbaA//galK//
CreB_neg	ugpB//fliC//copA//
CreB_pos	fimE//nfsA//
CsgD_neg	hyfF//rutB//yciW//ariR//gcvP//guaA//tehB//emrB//garP//ftsQ//gadE//mhpC//gadA//ftsW//csgG//
CsgD_pos	nuoI//htpG//glgB//sgbU//betT//napF//yhbS//malY//truB//ccmG//paaZ//yhbE//sufB//
CsiR_neg	uof//nagC//dcuR//rffM//flgI//
CspA_pos	patD//csgE//
CueR_neg	mntS//fucI//bioD//focA//ycjX//
CueR_pos	yciX//ydcV//
CusR_pos	bioA//umuC//hycA//flgK//gabT//pspA//garP//pheM//dhaM//flhA//recB//flgH//
CynR_neg	pyrC//
CynR_pos	dmsD//ydeO//fhuD//
CysB_neg	deoB//serA//yibQ//fldB//hybD//yjhC//ebgA//
CysB_pos	mdtB//pdeL//ftsW//pstA//fliA//cvpA//yeaG//ychF//flgJ//exbB//mpl//ogt//narJ//gltF//aslB//fepE//mglC//gspO//nikB//hypC//pflB//yjbH//bioF//tdcB//dnaG//
CytR_neg	iraM//yedX//pspC//sufC//yfdE//chiP//tfaQ//fecB//ndh//pgpC//dsbG//glcE//oxyS//
Dan_pos	lyxK//iclR//ftsA//cheW//
DcuR_pos	tnaB//argH//metH//ccmC//mtr//gor//garR//tdcC//rutC//
DeoR_neg	ymjC//gcvH//slp//nuoI//yeaH//qseB//
DhaR_neg	hflD//
DhaR_pos	caiD//nadB//cas1//
DicA_neg	codB//cydB//tnaB//ybhF//murC//mntS//eda//hyfA//
DinJ-YafQ_neg	tdcB//yegH//exuR//
DnaA_neg	nmpC//hycE//grxA//baeS//ilvC//melB//dctR//rutD//exbD//garR//glnH//
DnaA_pos	prpR//napH//micF//flhD//araC//nikA//recD//
DpiA_neg	rpiB//
DpiA_pos	nirC//metJ//flhD//hyfC//fepD//garR//purA//ybfN//dinI//ynfG//
DsdC_neg	yfbR//
DsdC_pos	pnp//gudD//
EbgR_neg	mqsA//cydD//
EnvR_neg	crr//sra//
EnvY_pos	dtpA//fbaA//
EvgA_pos	hybA//putP//gspE//tdcD//fadB//phoR//rseC//nupC//metN//fadR//cyoC//recA//pdeR//tdcG//slp//deoD//yfdX//tcyJ//aroG//
ExuR_neg	rpoS//pnp//manZ//sodB//flgL//cysD//ftnA//accD//rbsC//
FabR_neg	rseB//pstA//
FadR_neg	hyfF//gapA//ydcT//sodB//wcaB//nanS//tnaA//yiaM//narX//appX//iclR//
FadR_pos	pitB//norV//lon//dhaL//bioB//trpD//ynfE//hisQ//allD//ptrA//ppc//fimE//
FeaR_pos	uvrY//glk//
FhlA_pos	yhjC//lpxA//amtB//arsR//cysA//lhgO//cadB//mprA//lacZ//slt//tpiA//fadL//yqhD//fadJ//yfdX//ybaT//carB//yeiL//murE//creC//rhaB//mgrB//mlrA//katE//borD//paaX//gspK//hycC//dacC//nirB//
FlhDC_neg	rplU//amtB//cysC//rclA//
FlhDC_pos	cecR//skp//gadA//mqsA//purM//ptsG//csgC//arsR//thrS//csgD//cas1//cho//csgG//nrdA//pgaD//caiF//borD//pck//cydD//dhaR//ygbA//ldtC//murE//casA//csgG//yhjX//acrB//argE//nrfG//glnH//flgK//ynfH//tnaC//nimT//fes//dinI//hyfE//dctA//araH//fdnG//metK//hybB//manY//polA//ftsI//cho//agaV//sodB//treB//acrZ//ynbC//ubiC//speB//rcnB//ybaT//yciG//ydhX//nuoH//ulaD//aroL//exuR//allC//mscM//mgrB//ybjC//puuB//yhdX//sodB//nanA//glxR//entF//cysN//sdhB//ygiA//hyfD//kbaY//agaR//aceE//
FliZ_neg	dhaK//fliM//sdhA//dgcN//fliS//gspL//hdeA//oxyR//nuoE//slyB//araH//chbR//trpR//relE//argP//glmS//ybhL//yfaE//guaA//gabP//hyaD//
FucR_pos	flgJ//hydN//fadE//lysA//flgB//citF//mngR//
Fur_neg	arsR//mltF//nagE//envC//ychF//fepC//yafQ//prpC//uvrB//mglB//gadB//uspD//atoA//betT//tyrB//pdeR//nirB//gntX//ariR//uvrD//cydC//uvrY//bioF//uhpT//tdcC//paaF//glpB//hybG//ynfF//phnD//bioF//tyrR//purK//leuD//nuoG//lysA//dctR//fabZ//galR//efeU_2//phnC//hokD//araA//pspG//modA//fliG//glnK//aroH//rpmA//hlyE//hisM//tisB//wecC//phoP//cyoC//caiE//yeaH//yaiA//ybfN//dcuS//marR//dinG//tauC//relA//nrdH//ampC//sucA//yeiL//metB//rbsD//entE//manX//astA//csrC//dhaL//nrfE//umpH//sdhD//rutE//yiaM//xapB//ftsZ//phnD//nuoL//torA//gntT//glgA//emrB//dsbA//yfdX//xylG//mhpA//umpH//entD//citC//lon//putP//hycA//agaS//pgm//trpE//nrdB//ydfX//treR//mtlA//rpoD//ykgO//cusS//wcaB//fadM//arsR//pspC//ybaS//lgoR//fepG//
Fur_pos	kbaY//argI//fepG//xapA//sdhC//sucD//prpC//entC//pheM//hypB//lysC//napF//cydA//patD//nuoL//omrB//lpxA//uxuA//nmpC//gatA//tfaQ//
GadE-RcsB_pos	fecC//yhbE//ftsZ//malY//entD//luxS//ppdA//uidA//glmS//
GadE_pos	tsgA//lpxD//glmU//cytR//gspJ//oppA//hdeB//borD//oxyR//yjbG//chbF//fdnH//bglJ//betT//udp//rarA//dsbA//mioC//nfsA//mhpF//citF//yqjA//yjjZ//wrbA//casD//yaiW//hypA//ahpF//decR//
GadW_neg	nusA//iraM//idnT//glcC//metJ//yjeV//caiF//wecC//alsE//hypE//yaiA//
GadW_pos	torR//fhuE//murP//mpaA//pdeL//fdnG//ydhX//oppA//metC//araE//accC//
GadX_neg	ybaT//cysA//hokE//lacY//nuoN//ulaG//
GadX_pos	agaW//leuL//stpA//hyfD//nuoE//sfsB//hemL//sgrR//fepE//hycG//lhgO//ydfW//ribA//glcC//pstA//mcbA//entF//fhuC//fixB//hisJ//pheM//agaI//aroF//xylR//agaV//potH//yaiW//
GalR_neg	agaR//nuoE//mpl//ecnB//ydeO//asnA//araD//bacA//yecR//hyaD//
GalR_pos	ybfN//ulaE//yedX//pspF//
GalS_neg	mhpE//wcaA//glxK//gdhA//fdnH//phnP//lolA//ldtC//purR//yhdX//
GalS_pos	cecR//flgG//wzb//pck//
GatR_neg	lacZ//ymiA//hycA//ubiX//yiaM//dgcN//
GcvA_neg	mltF//fau//nanC//yjjZ//
GcvA_pos	putP//ymiA//argT//hemH//
GlcC_neg	sufC//
GlcC_pos	metK//speA//gltF//mhpF//lysA//napB//
GlpR_neg	nuoN//dnaA//modC//nuoM//bglF//psiF//ycjX//potF//yfiR//
GlrR_pos	fhlA//phnG//murF//rfe//fliJ//
GntR_neg	sra//phnM//soxR//yegZ//guaA//cspE//psd//nirC//bglJ//agaW//cusA//sgrT//
GutM_pos	ynbB//fliM//phnP//ogt//tyrP//rutC//asr//
GutR_neg	metF//alsA//malI//artP//flgN//puuC//tadA//
HU_neg	gabD//idnR//nanC//wzzE//puuD//ydcT//fau//garR//
HU_pos	hypA//
HcaR_neg	asr//
HcaR_pos	ybbW//cecR//fixB//uvrC//ugpE//
HdfR_neg	yagK//fhuB//
HdfR_pos	hyaE//cyoC//ydiU//
HigA_neg	ygdB//fecR//
HigB-HigA_neg	yebE//fhuF//
HipAB_neg	rpoE//uxuR//nuoM//tcyJ//nuoM//
HipB_neg	chbG//metH//purL//fliD//glnL//glmY//
HyfR_pos	oxyR//symE//ulaB//ugpQ//pgaD//lrp//cspE//ydfD//ydiV//kbaZ//mhpA//phr//
HypT_neg	citE//pflB//mgtA//gudX//molR_1//
HypT_pos	pqiA//trpB//puuA//fixX//wecC//ldtB//ybaS//rbfA//
IclR_neg	emrK//psd//rbsR//flhA//
IdnR_neg	caiA//mntS//
IdnR_pos	ugpE//fadB//rclA//yhcH//casA//
IlvY_neg	grcA//
IlvY_pos	tynA//
IscR_neg	bacA//gatB//appX//ccmG//katE//phnN//lpxD//mdtD//hyfH//ariR//ftsW//caiF//rutB//rfe//umpH//feaB//hyaD//ydjM//nrfE//trpA//lsrA//
IscR_pos	znuB//ycjF//idnK//gltB//ryhB//folE//hslJ//bacA//gudD//kdpF//yecT//
KdgR_neg	dcuS//fumB//
KdpE_pos	hlyE//artQ//metN//patA//
LacI_neg	aroG//glxR//uidA//
LeuO_neg	alsA//aceE//hycB//
LeuO_pos	argA//recB//paaK//artM//motB//ydiV//ybjC//aspC//oppC//metK//yoaC//metR//yncE//puuD//creD//ydcS//ybdN//fecB//
LexA_neg	hyfH//gltJ//metB//edd//higB//gspO//dapD//yhjX//infC//phnJ//rseC//citD//amn//rsmH//trpA//uvrD//wcaB//murQ//cysD//setA//rpoS//appC//dinB//yidL//glxK//dicB//gdhA//pheM//caiE//recB//ybhG//gltL//ybaT//ulaC//purA//rstB//uvrA//uvrB//moaE//sgbE//glgC//chbC//decR//nirD//artP//intQ//nrdI//yqaE//flhD//hyaB//pepD//sufB//fucI//nusA//tisB//fucO//entA//phoP//betT//
LldR_neg	marR//hcaF//ssuA//
LldR_pos	dcuR//flu//ada//
LrhA_neg	evgA//poxB//
LrhA_pos	glk//dapD//
LsrR_neg	entH//cueO//fucU//fbaA//yafP//gltJ//umuC//wecE//cvpA//
LysR_neg	lsrB//
LysR_pos	nrfC//
MalI_neg	uidA//rhaA//nirD//
MalT_pos	pstC//symE//treR//flgG//ddpB//psd//ymgC//argA//manY//ompN//
MarA_neg	htpG//ydfW//agaR//umuC//rbfA//tdcG//gltF//
MarA_pos	ecpA//puuP//rpoH//higB//yhiD//garD//nuoK//mlrA//uvrA//fucA//feaB//nimR//dsbA//fau//spy//paaH//idnO//malY//pspA//csgF//mcbA//trpL//trpD//rseB//yciG//nikR//hyaE//fucR//trpL//hcaE//ccmB//
MarR_neg	alkA//malS//mdtA//
MatA_neg	nuoJ//ygeH//metI//rtcB//crr//tdcD//
MatA_pos	murP//uhpT//
MazE-MazF_neg	cheW//asnA//psd//
MazE_neg	dgcZ//fadJ//hyfB//
McbR_neg	fruA//
McbR_pos	flgE//tdcB//nanS//
MelR_neg	rpsO//prpE//rplT//
MelR_pos	entS//nrdB//cecR//
MetJ_neg	frdB//csrB//entS//hyfH//pspE//pstC//norV//phnO//srlE//slt//tyrB//dinG//nuoL//folA//caiC//
MetR_neg	sgrS//intQ//
MetR_pos	cheW//agaW//ynfK//nirC//
MhpR_pos	wzc//gntP//moaC//yagK//mdtC//soxR//
Mlc_neg	acnA//folA//flgA//phnM//tnaA//pgaB//nuoF//ttdR//ascF//zraR//
MlrA_pos	fepG//prs//glcA//pfkA//astD//yqaE//icd//nlpA//ytfE//cysI//
MngR_neg	metI//sgbE//paaJ//
MntR_neg	appC//nrfB//trpD//nikC//
MntR_pos	glgB//
ModE_neg	kbp//ykgM//waaH//dicB//yjjQ//ddpB//sbmC//ygdB//puuA//ugpE//iscS//yjhC//gltL//ygbA//flgD//
ModE_pos	phnJ//rcnB//cysU//entH//wzyE//ompN//mioC//lysC//flhC//glnB//pyrD//ybiT//astC//kbaY//hisP//nusA//trpA//mgtA//prpR//phoH//alsB//norV//fliG//glnP//frdD//fucI//pepD//fadR//glcB//yjbE//lacY//
MprA_neg	ttdA//ynbC//glgB//yafP//mazF//cho//
MqsA_neg	lsrC//mscM//symE//yagK//cysC//cynS//truB//edd//
MraZ_neg	hemL//cynR//acrZ//dinF//argA//rfe//dinB//exbB//kbaZ//rutD//kbaY//cpxQ//hmp//mglA//hyaF//yidL//fliD//
MtlR_neg	bglG//ybhL//caiT//
MurR_neg	xylB//hemH//gadF//
MurR_pos	icd//
Nac_neg	ccmA//edd//zntA//rhaD//fdhF//casB//purK//yiaN//ytfE//
Nac_pos	hyfB//gltJ//citX//gatC//ynfG//dcuA//pdhR//fecB//dhaK//osmC//sbcC//ybfE//
NadR_neg	gadE//narI//adhE//fdnH//
NagC_neg	hdeD//ydeI//ynjI//ydcS//fadB//phnP//purH//lamB//glnG//uidB//pfkA//mdtB//paaX//yeaR//pitB//glnH//fdnH//gspF//ybhR//glnP//nuoJ//feaR//yjeV//napA//ftnA//nupG//mraZ//prpR//dapD//narG//glgC//allC//gspK//
NagC_pos	tyrP//lrhA//copA//
NanR_neg	ecpA//tdcB//znuB//malF//manX//gdhA//tisB//tauA//ssb//ykiA//
NanR_pos	trpR//
NarL_neg	eno//fruB//nikE//nuoH//cadB//tyrA//tdcB//acrR//rcsA//creB//phnF//paaJ//hyfD//yibQ//ulaC//bglB//nikR//dnaG//aspA//purM//uspD//ilvY//caiT//rpsO//ydjM//fadL//csgF//fliA//idnD//narI//araG//wecB//dacC//yfdV//rpiB//grcA//glgB//phnC//wecE//melA//leuC//iscA//cynR//yccT//nagC//emrY//argA//cas2//ygbK//fldA//ytfE//mazF//glnP//ulaC//feaR//pdhR//metA//nuoJ//citF//hyi//ybaS//uvrA//lacA//nuoK//araD//ddpF//gadW//frdD//ybhG//glnB//lyxK//ung//rseC//fabH//sdhB//hisQ//fepA//ygiA//fimE//yiaJ//nuoI//mdtB//gadY//glnQ//malI//rseC//uxuR//
NarL_pos	narL//hyaE//gadE//fliF//ydfW//ompF//acrR//ampC//gcvT//yjeV//malT//cysC//nhaA//phoB//norW//marB//tyrR//frdD//pnuC//gspD//caiA//appC//osmC//tisB//omrB//galK//metC//flhA//prpR//ybfE//gatZ//yjhB//rybB//mpaA//slyB//yjbF//tonB//mhpF//fecI//hcr//mepH//tnaA//yecT//
NarP_neg	ccmF//adiC//lacA//sodB//appX//paaK//uxuR//rtcA//trxC//alsA//atoD//argG//safA//acnB//ygiA//cspD//yiiS//nanE//alkB//yjbH//trpD//erpA//nuoI//ftnB//entA//dhaR//fadJ//chbG//ada//hipA//araA//gspI//ynjI//
NarP_pos	ddpC//decR//rseC//phnC//hha//uxuA//dsdX//rutR//cusS//relA//folA//psiF//znuB//hha//lsrA//rhaT//rybB//pyrC//spy//uvrB//ddpD//tdcC//lysP//glcC//nanM//rstA//artP//allA//mraZ//lacA//nanC//csrB//
NemR_neg	tehA//sfsB//rybB//
NhaR_pos	nrfG//cydD//rhaD//deoC//pspF//yciF//metJ//
NikR_neg	modA//mraZ//citG//dacC//glpF//yagK//
NimR_neg	lsrC//fepD//
NorR_neg	malM//
NorR_pos	iscS//pgaC//
NrdR_neg	purM//ydjM//ydcS//entF//carB//fur//artJ//kdpB//yhdW//
NsrR_neg	idnK//rpsO//speA//wcaA//pykF//yccT//ugpE//cydD//ydhY//treR//yqaE//potF//ulaC//tktB//stpA//dacC//alkB//leuO//rbsA//ebgA//potG//malS//chbG//araF//mcbA//rob//cysM//fepB//yiaL//mntP//ybfN//mhpT//fliQ//ykiA//yafN//rcnR//paaI//sdhA//mcbA//ahpF//pfkA//moeB//ccmA//fixA//xapA//lgoR//fliJ//gltL//gatD//pykF//gcl//mhpC//leuA//cpxQ//decR//lldP//rbsD//metB//ycjX//sbcD//hcp//gspD//nuoJ//argG//znuA//rdoA//tehB//nikE//fldA//hisP//lsrC//cyoB//pstC//tsx//flhE//pdhR//rybB//erpA//metY//malI//ydeI//nuoH//fepD//
NtrC_neg	chbR//nanC//ynfG//sroA//glgC//ygiZ//
NtrC_pos	metC//sgrT//ftnA//flgG//lsrK//malZ//ppiA//mgtL//leuC//dmsB//tadA//purH//moaC//rpsU//tdcG//moaA//rhaA//lon//napH//araE//carA//fdnG//metL//leuO//napF//flgB//wcaB//cytR//prpE//fliQ//yeiB//acrB//atoD//slp//mipA//napA//fumB//argR//acrA//hyaE//paaX//thrS//mioC//fadB//dinB//hypA//dapB//dnaG//dsdA//
OmpR_neg	pspC//chbA//pepD//tehB//flgJ//trpE//cirA//mprA//yjhB//gutM//betB//torC//
OmpR_pos	add//csgG//psiF//rtcB//murF//metB//deoC//nimR//yhiD//idnD//
OxyR_neg	baeS//micF//allS//yebE//yeaR//gspK//tbpA//oxyR//yjbE//gcvB//rstB//cysG//
OxyR_pos	aceF//nanE//codB//nfsB//puuA//rybA//pgi//hyfI//poxB//modA//gpmA//flgN//flhC//tbpA//rpoH//ydfD//phnE_1//rutD//agaV//kdpC//fixC//recA//
PaaX_neg	fecI//fliA//nuoI//gcvA//dinD//caiD//gspL//zraS//hyaF//lolA//marR//nrfB//ulaE//fruA//
PdeL_pos	cysP//
PdhR_neg	fadE//carA//nrdH//treR//metB//ulaF//tbpA//nanS//nimT//srlE//mglB//marR//uvrA//ssuB//ygiB//uidB//hcaR//serA//nrfA//ynbC//moeA//nrdD//paaA//purM//malI//entB//hydN//molR_1//rimP//pgm//araG//lacZ//yegZ//malT//tynA//artI//
PdhR_pos	rffM//ugpB//gspM//sroC//metL//
PepA_neg	ugpA//ychF//malF//
PgrR_neg	cysB//hisJ//astB//fumB//ogt//alsB//yhbS//fabB//
PhoB_neg	yiaJ//mioC//rutB//chbG//allS//degP//tauC//recN//umuD//nagA//dinQ//lgoR//
PhoB_pos	nirC//ptsI//gutM//kdpB//cysA//pspG//glyA//nagA//dkgA//frc//ttdB//gltJ//cas2//psiF//glnP//flhE//metK//nagE//iscA//truB//ulaC//fliR//rpmI//lldD//feoB//argG//fabD//ccmB//mngA//asnA//marB//nirC//ydcS//alaC//garP//tcyP//fabH//gspF//argT//puuR//waaY//rutR//tdcE//ulaA//mdtA//phnJ//fepB//asr//gabD//hypB//ptsI//cecR//ariR//
PhoP_neg	oxyS//hokE//lpxA//gloA//fabI//tnaC//sbmC//hycD//yhdZ//ecpA//alaS//
PhoP_pos	metR//znuA//acrR//sodA//glcG//acrZ//rutE//napC//ymgA//nuoL//ddpC//fabZ//citE//hcp//tyrR//dsbG//wzb//pdeR//ycgZ//glcG//gutM//fhuC//ftsW//rcnA//malI//yfdX//ymiA//glpX//rbfA//hcaB//ydcU//pflB//cusB//hypB//rpoE//fabD//yibQ//adhE//insK//chbC//rpmI//fadI//napD//purF//rnlB//bglB//srlR//nhaR//
PrpR_neg	sdhB//
PrpR_pos	nrdF//fimE//motB//puuB//
PspF_neg	nanC//
PspF_pos	psiF//fucI//glgP//icd//ccmH//ftsZ//
PurR_neg	hyfE//galE//uidB//yhiD//tauB//allE//nemR//alsA//nuoB//dpiA//mazF//dinF//paaD//nuoJ//gltL//chbR//murC//gadX//fabG//ddpD//glnG//cydA//oppA//mdtE//uxuB//nuoG//entC//rpmI//dapD//fadL//mlc//
PutA_neg	intQ//fixA//
PuuR_neg	pstB//gdhA//metK//pstA//nikC//fruA//mglC//
QseB_pos	phnM//fdnI//pyrD//tisB//
RbsR_neg	betB//exuR//cpxP//cadA//nrdF//accA//agaS//fepE//
RbsR_pos	fabD//
RcdA_neg	yncE//yegR//
RcdA_pos	hyfJ//wzc//chbR//sufE//puuE//trpD//fadD//
RclR_pos	hdeA//ycjX//alsB//
RcnR_neg	pstC//chbA//hha//
RcsAB_neg	thiQ//metC//argC//nanK//xapA//pflB//
RcsAB_pos	phnH//dkgB//pitB//astB//gfcA//mepH//alkA//recC//talA//infC//
RcsB-BglJ_pos	nuoK//malF//artI//zntA//hcaC//mcbA//ompC//hcp//fau//pgaD//dmsD//nimR//deoD//nfuA//dicB//amtB//
RcsB_neg	fadE//leuA//
RcsB_pos	yfbR//evgS//yqjI//hyi//dnaG//symE//deoD//flgG//tpiA//hypF//pgk//argE//sroC//lldD//tehA//yeaG//fecB//astC//osmB//phnL//galP//csgC//ascB//
RelB-RelE_neg	hybA//efeU_1//ruvB//
RelB_neg	xylB//tdcE//motB//
RhaR_pos	pheM//paaZ//
RhaS_pos	appY//nhaR//pheT//fliK//ybfE//argG//
Rob_neg	fur//
Rob_pos	cydD//ddpX//nrdE//gadB//osmC//manX//lamB//garD//tbpA//malI//lrp//dkgB//uvrB//ddpA//dsdC//gspL//iscA//dps//ppdC//asr//dnaA//insK//ycgR//fhlA//xylF//
RstA_neg	hemH//flgC//malM//garP//lpxC//
RstA_pos	cdd//nmpC//oppA//potF//metI//
RtcR_pos	hyfI//rpoE//
RutR_neg	ynbA//wzzE//rutF//nadA//kbp//dsrA//gntX//safA//nuoF//mdtD//pgi//ptrA//ydiV//csgA//rbfA//
RutR_pos	fadL//hybE//
SdiA_neg	narL//wza//fliL//
SdiA_pos	ung//paaB//pyrD//
SgrR_neg	micF//hyfC//yeaH//zraP//ompT//
SgrR_pos	atoA//hybB//dgcN//cysU//
SlyA_pos	omrB//
SoxR_neg	cheA//
SoxR_pos	pncB//sfsB//
SoxS_neg	qseC//fliF//
SoxS_pos	artM//purR//srlB//csrB//tfaQ//gspC//argR//lrp//fliM//ydfX//lysC//appB//rfe//csgB//guaB//fhuC//araH//gspK//fur//cusA//malE//dcuA//argP//phoR//yecR//sra//ppc//nupC//ybjC//ecpR//gadX//hydN//stpA//yciE//kdpF//uxuB//hcaD//napB//
StpA_neg	rutA//glgA//purM//cysD//cheW//rplU//hypB//
SutR_neg	mazG//tyrB//nrdF//hemL//acrA//
SutR_pos	lsrC//
TdcA_pos	slyB//astE//pyrD//yncE//mhpT//pstC//yfdE//
TdcR_pos	deoA//hemL//ilvY//cusF//cysB//emrY//uvrY//
TorR_neg	melR//agaR//ryhB//
TorR_pos	paaK//ybjC//cysJ//aceK//uvrB//chbB//tonB//gcl//entC//
TreR_neg	lpd//ugpA//
TrpR_neg	agaA//nirC//nuoC//gcl//slt//chbB//accC//hyfC//wrbA//fliK//hycD//ycjG//
TyrR_neg	ydbK//dacC//cheW//cydC//phoP//mqsR//allS//hns//ulaA//norW//
TyrR_pos	gntP//fliE//oppC//
UhpA_pos	lsrA//
UidR_neg	metR//hybF//dpiA//hycB//
UlaR_neg	zntA//cyoA//sgbH//argO//luxS//artI//ulaE//
UvrY_pos	fau//mhpD//hisP//accD//malI//
UxuR_neg	ycjY//sucD//yoaG//rhaA//fbaB//hyfI//hemH//idnT//lpd//
XapR_pos	chbB//malS//
XylR_neg	garL//
XylR_pos	glcC//hslJ//tcyP//purL//gltB//ugpQ//
YdeO_neg	uxuR//metF//
YdeO_pos	speB//psd//uvrD//fadE//cydC//sdhA//oppC//amn//leuC//fruK//fdnG//ompF//phoB//ynbB//glcA//ydhW//norR//fadH//yeaR//
YedW_neg	yidL//hyfA//rclB//phr//gadY//
YedW_pos	ubiC//rclC//evgA//ecpA//ddpA//allB//speB//
YefM-YoeB_neg	kdpF//galP//
YefM_neg	symE//rnpB//
YehT_pos	ynfK//
YeiL_pos	fepG//
YiaJ_neg	dctR//betI//psiE//crl//phnF//deoB//sucA//yecR//csiD//ygiA//
YjjQ_neg	uvrB//yhdZ//yibQ//fes//decR//mntS//tehB//fumC//bolA//ychF//
YpdB_pos	pspF//
YqhC_pos	nmpC//melA//
YqjI_neg	exuT//sufB//
ZntR_pos	ykgO//
ZraR_pos	pflB//flgH//glxR//
Zur_neg	gltD//phnN//hcaF//rhaB//gatC//recD//
